x , y , z
-0.0671335 , -0.453405 , -0.0318246
-0.0448676 , -0.455132 , -0.0340086
-0.0224818 , -0.455508 , -0.0360933
-3.64143e-005 , -0.454509 , -0.0380701
0.0224142 , -0.452078 , -0.0399262
0.0447918 , -0.448241 , -0.0416587
0.0670387 , -0.44286 , -0.0432424
0.0890781 , -0.435773 , -0.0446456
0.110807 , -0.426786 , -0.0458278
0.132084 , -0.415662 , -0.0467354
0.152709 , -0.402103 , -0.0472958
0.17239 , -0.385738 , -0.0474076
0.190684 , -0.366085 , -0.0469231
0.206885 , -0.34252 , -0.0456176
0.219788 , -0.314242 , -0.0431279
0.227188 , -0.2803 , -0.0388284
0.224708 , -0.240088 , -0.0315728
0.203595 , -0.196225 , -0.0193592
0.154247 , -0.165222 , -0.00101911
0.0946251 , -0.166931 , 0.0174359
0.0431226 , -0.189464 , 0.0322786
0.00110053 , -0.221388 , 0.0440291
-0.0333632 , -0.25761 , 0.0535549
-0.0619978 , -0.295874 , 0.0614612
-0.0860505 , -0.33509 , 0.0681439
-0.106406 , -0.374687 , 0.0738684
-0.123705 , -0.414348 , 0.0788198
-0.138423 , -0.453885 , 0.0831319
-0.150924 , -0.493188 , 0.0869044
-0.161492 , -0.532186 , 0.0902139
-0.170351 , -0.570838 , 0.0931203
-0.177687 , -0.609117 , 0.0956718
-0.18365 , -0.647008 , 0.0979074
-0.188365 , -0.684502 , 0.0998595
-0.191939 , -0.721596 , 0.101555
-0.194464 , -0.758287 , 0.103017
-0.196017 , -0.794579 , 0.104265
-0.196666 , -0.830472 , 0.105316
-0.196471 , -0.86597 , 0.106185
-0.195484 , -0.901077 , 0.106884
-0.193752 , -0.935798 , 0.107425
-0.191315 , -0.970135 , 0.107818
-0.188211 , -1.00409 , 0.108072
-0.184473 , -1.03768 , 0.108194
-0.180131 , -1.07089 , 0.108193
-0.175212 , -1.10374 , 0.108075
-0.169741 , -1.13622 , 0.107845
-0.16374 , -1.16834 , 0.107509
-0.157231 , -1.20011 , 0.107073
-0.150232 , -1.23152 , 0.10654
-0.14276 , -1.26258 , 0.105915
-0.134833 , -1.29329 , 0.105201
-0.126463 , -1.32366 , 0.104403
-0.117666 , -1.35368 , 0.103523
-0.108454 , -1.38335 , 0.102564
-0.0988385 , -1.41269 , 0.101531
-0.088831 , -1.44168 , 0.100424
-0.0784417 , -1.47034 , 0.0992471
-0.0676801 , -1.49865 , 0.0980022
-0.0565551 , -1.52663 , 0.0966914
-0.0450751 , -1.55427 , 0.095317
-0.033248 , -1.58157 , 0.0938808
-0.021081 , -1.60853 , 0.0923848
-0.00858101 , -1.63515 , 0.0908306
0.00424553 , -1.66144 , 0.0892199
0.0173926 , -1.68738 , 0.0875544
0.0308545 , -1.71298 , 0.0858355
0.0446259 , -1.73824 , 0.0840647
0.0587019 , -1.76316 , 0.0822433
0.0730777 , -1.78773 , 0.0803727
0.087749 , -1.81195 , 0.0784541
0.102712 , -1.83582 , 0.0764887
0.117962 , -1.85933 , 0.0744778
0.133496 , -1.88249 , 0.0724224
0.14931 , -1.90529 , 0.0703237
0.165401 , -1.92773 , 0.0681827
0.181767 , -1.9498 , 0.0660004
0.198404 , -1.9715 , 0.063778
0.21531 , -1.99282 , 0.0615163
0.232483 , -2.01377 , 0.0592163
0.249919 , -2.03433 , 0.0568791
0.267618 , -2.05449 , 0.0545055
0.285577 , -2.07426 , 0.0520966
0.303794 , -2.09362 , 0.0496532
0.322267 , -2.11258 , 0.0471764
0.340995 , -2.13111 , 0.044667
0.359978 , -2.14922 , 0.0421262
0.379212 , -2.16689 , 0.0395548
0.398697 , -2.18412 , 0.0369539
0.418432 , -2.20089 , 0.0343245
0.438416 , -2.2172 , 0.0316677
0.458648 , -2.23302 , 0.0289847
0.479127 , -2.24836 , 0.0262766
0.499852 , -2.26319 , 0.0235447
0.520822 , -2.27751 , 0.0207903
0.542036 , -2.29129 , 0.0180148
0.563494 , -2.30452 , 0.0152197
0.585195 , -2.31717 , 0.0124068
0.607137 , -2.32924 , 0.00957775
0.629319 , -2.34069 , 0.00673456
0.65174 , -2.35151 , 0.0038794
0.674399 , -2.36165 , 0.00101468
0.697293 , -2.37111 , -0.00185691
0.720421 , -2.37984 , -0.00473231
0.743779 , -2.3878 , -0.00760809
0.767364 , -2.39497 , -0.0104803
0.79117 , -2.40128 , -0.0133444
0.815193 , -2.4067 , -0.0161952
0.839424 , -2.41116 , -0.0190265
0.863854 , -2.41461 , -0.021831
0.888471 , -2.41696 , -0.0246
0.913258 , -2.41814 , -0.027323
0.938193 , -2.41804 , -0.0299874
0.963248 , -2.41656 , -0.0325772
0.988386 , -2.41354 , -0.0350727
1.01355 , -2.40884 , -0.0374486
1.03868 , -2.40226 , -0.0396721
1.06366 , -2.39355 , -0.0416994
1.08836 , -2.38241 , -0.0434708
1.11254 , -2.36844 , -0.0449023
1.13588 , -2.35116 , -0.0458708
1.15783 , -2.32989 , -0.0461879
1.17743 , -2.30373 , -0.0455477
1.19292 , -2.27151 , -0.0434192
1.20074 , -2.23195 , -0.0388109
1.19331 , -2.18531 , -0.0298372
1.15821 , -2.142 , -0.0141628
1.10222 , -2.12716 , 0.00461217
1.04892 , -2.1376 , 0.0208049
1.00382 , -2.16072 , 0.0339838
0.966022 , -2.19007 , 0.0448577
0.934061 , -2.22268 , 0.0540201
0.906755 , -2.2571 , 0.0618774
0.883239 , -2.29252 , 0.0687068
0.862874 , -2.32849 , 0.0747031
0.845181 , -2.36474 , 0.0800076
0.829793 , -2.40108 , 0.0847261
0.816421 , -2.4374 , 0.0889398
0.804836 , -2.47361 , 0.0927126
0.794849 , -2.50967 , 0.0960957
0.786307 , -2.54552 , 0.0991308
0.779081 , -2.58116 , 0.101852
0.773061 , -2.61655 , 0.10429
0.768153 , -2.65168 , 0.106467
0.764278 , -2.68654 , 0.108404
0.761366 , -2.72112 , 0.110121
0.759355 , -2.75542 , 0.111633
0.758192 , -2.78944 , 0.112954
0.757828 , -2.82317 , 0.114095
0.75822 , -2.85661 , 0.115068
0.759332 , -2.88976 , 0.115882
0.761128 , -2.92262 , 0.116546
0.763578 , -2.95519 , 0.117068
0.766653 , -2.98747 , 0.117455
0.770328 , -3.01946 , 0.117712
0.774579 , -3.05116 , 0.117847
0.779386 , -3.08257 , 0.117865
0.784729 , -3.11369 , 0.117769
0.790589 , -3.14452 , 0.117566
0.79695 , -3.17506 , 0.117258
0.803797 , -3.20531 , 0.11685
0.811116 , -3.23527 , 0.116345
0.818894 , -3.26494 , 0.115747
0.827119 , -3.29433 , 0.115058
0.835778 , -3.32342 , 0.114282
0.844863 , -3.35223 , 0.113421
0.854363 , -3.38074 , 0.112477
0.864269 , -3.40897 , 0.111454
0.874573 , -3.4369 , 0.110353
0.885266 , -3.46453 , 0.109175
0.896342 , -3.49188 , 0.107924
0.907793 , -3.51892 , 0.106601
0.919614 , -3.54568 , 0.105208
0.931798 , -3.57213 , 0.103746
0.94434 , -3.59828 , 0.102216
0.957235 , -3.62412 , 0.100621
0.970477 , -3.64966 , 0.0989618
0.984063 , -3.6749 , 0.0972394
0.997988 , -3.69982 , 0.0954551
1.01225 , -3.72443 , 0.0936103
1.02684 , -3.74872 , 0.0917061
