x , y , z
3.79345 , -9.28066 , 0.0103562
3.79829 , -9.27856 , 0.0101266
3.80313 , -9.27647 , 0.009897
3.80798 , -9.27437 , 0.00966739
3.81282 , -9.27227 , 0.00943778
3.81766 , -9.27017 , 0.00920817
3.8225 , -9.26806 , 0.00897856
3.82733 , -9.26595 , 0.00874894
3.83217 , -9.26384 , 0.00851932
3.83701 , -9.26173 , 0.0082897
3.84184 , -9.25961 , 0.00806007
3.84667 , -9.25749 , 0.00783045
3.85151 , -9.25537 , 0.00760082
3.85634 , -9.25324 , 0.00737118
3.86117 , -9.25112 , 0.00714155
3.866 , -9.24899 , 0.00691191
3.87082 , -9.24685 , 0.00668227
3.87565 , -9.24471 , 0.00645263
3.88047 , -9.24258 , 0.00622299
3.8853 , -9.24043 , 0.00599334
3.89012 , -9.23829 , 0.00576369
3.89494 , -9.23614 , 0.00553404
3.89976 , -9.23399 , 0.00530439
3.90458 , -9.23183 , 0.00507473
3.9094 , -9.22968 , 0.00484508
3.91421 , -9.22752 , 0.00461542
3.91903 , -9.22536 , 0.00438576
3.92384 , -9.22319 , 0.0041561
3.92866 , -9.22102 , 0.00392643
3.93347 , -9.21885 , 0.00369677
3.93828 , -9.21667 , 0.0034671
3.94309 , -9.2145 , 0.00323743
3.94789 , -9.21232 , 0.00300776
3.9527 , -9.21013 , 0.00277808
3.95751 , -9.20795 , 0.00254841
3.96231 , -9.20576 , 0.00231874
3.96711 , -9.20356 , 0.00208906
3.97191 , -9.20137 , 0.00185938
3.97671 , -9.19917 , 0.0016297
3.98151 , -9.19696 , 0.00140002
3.98631 , -9.19476 , 0.00117034
3.9911 , -9.19255 , 0.000940657
3.9959 , -9.19034 , 0.000710973
4.00069 , -9.18812 , 0.000481288
4.00548 , -9.18591 , 0.000251603
4.01027 , -9.18368 , 2.19163e-005
4.01506 , -9.18146 , -0.000207771
4.01985 , -9.17923 , -0.000437459
4.02463 , -9.177 , -0.000667148
4.02942 , -9.17477 , -0.000896837
4.0342 , -9.17253 , -0.00112653
4.03898 , -9.17029 , -0.00135622
4.04376 , -9.16804 , -0.00158591
4.04854 , -9.1658 , -0.0018156
4.05332 , -9.16355 , -0.00204529
4.0581 , -9.16129 , -0.00227498
4.06287 , -9.15903 , -0.00250467
4.06764 , -9.15677 , -0.00273437
4.07242 , -9.15451 , -0.00296406
4.07719 , -9.15224 , -0.00319375
4.08195 , -9.14997 , -0.00342344
4.08672 , -9.1477 , -0.00365313
4.09149 , -9.14542 , -0.00388282
4.09625 , -9.14314 , -0.00411251
4.10101 , -9.14085 , -0.0043422
4.10577 , -9.13856 , -0.00457189
4.11053 , -9.13627 , -0.00480158
4.11529 , -9.13398 , -0.00503127
4.12005 , -9.13168 , -0.00526096
4.1248 , -9.12938 , -0.00549064
4.12955 , -9.12707 , -0.00572033
4.13431 , -9.12476 , -0.00595001
4.13906 , -9.12245 , -0.00617969
4.1438 , -9.12013 , -0.00640938
4.14855 , -9.11781 , -0.00663906
4.1533 , -9.11549 , -0.00686873
4.15804 , -9.11316 , -0.00709841
4.16278 , -9.11083 , -0.00732809
4.16752 , -9.10849 , -0.00755776
4.17226 , -9.10615 , -0.00778743
4.177 , -9.10381 , -0.0080171
4.18173 , -9.10146 , -0.00824677
4.18646 , -9.09911 , -0.00847644
4.19119 , -9.09676 , -0.0087061
4.19592 , -9.0944 , -0.00893576
4.20065 , -9.09204 , -0.00916542
4.20538 , -9.08968 , -0.00939508
4.2101 , -9.08731 , -0.00962473
4.21483 , -9.08493 , -0.00985439
4.21955 , -9.08256 , -0.010084
4.22427 , -9.08018 , -0.0103137
4.22898 , -9.07779 , -0.0105433
4.2337 , -9.0754 , -0.010773
4.23841 , -9.07301 , -0.0110026
4.24313 , -9.07061 , -0.0112322
4.24784 , -9.06821 , -0.0114619
4.25254 , -9.06581 , -0.0116915
4.25725 , -9.0634 , -0.0119211
4.26195 , -9.06099 , -0.0121507
4.26666 , -9.05857 , -0.0123803
4.27136 , -9.05615 , -0.0126099
4.27606 , -9.05373 , -0.0128395
4.28075 , -9.0513 , -0.0130691
4.28545 , -9.04886 , -0.0132987
4.29014 , -9.04643 , -0.0135283
4.29483 , -9.04398 , -0.0137579
4.29952 , -9.04154 , -0.0139875
4.30421 , -9.03909 , -0.0142171
4.30889 , -9.03663 , -0.0144466
4.31358 , -9.03417 , -0.0146762
4.31826 , -9.03171 , -0.0149058
4.32294 , -9.02924 , -0.0151353
4.32761 , -9.02677 , -0.0153649
4.33229 , -9.0243 , -0.0155944
4.33696 , -9.02182 , -0.0158239
4.34163 , -9.01933 , -0.0160535
4.3463 , -9.01684 , -0.016283
4.35096 , -9.01435 , -0.0165125
4.35563 , -9.01185 , -0.016742
4.36029 , -9.00935 , -0.0169715
4.36495 , -9.00684 , -0.017201
4.36961 , -9.00433 , -0.0174305
4.37426 , -9.00181 , -0.01766
4.37892 , -8.99929 , -0.0178894
4.38357 , -8.99677 , -0.0181189
4.38822 , -8.99424 , -0.0183484
4.39286 , -8.9917 , -0.0185778
4.39751 , -8.98916 , -0.0188072
4.40215 , -8.98662 , -0.0190367
4.40679 , -8.98407 , -0.0192661
4.41143 , -8.98152 , -0.0194955
4.41606 , -8.97896 , -0.0197249
4.42069 , -8.97639 , -0.0199543
4.42532 , -8.97383 , -0.0201837
4.42995 , -8.97125 , -0.0204131
4.43458 , -8.96868 , -0.0206424
4.4392 , -8.96609 , -0.0208718
4.44382 , -8.96351 , -0.0211011
4.44844 , -8.96091 , -0.0213304
4.45306 , -8.95832 , -0.0215598
4.45767 , -8.95571 , -0.0217891
4.46228 , -8.95311 , -0.0220184
4.46689 , -8.95049 , -0.0222476
4.47149 , -8.94788 , -0.0224769
4.4761 , -8.94525 , -0.0227062
4.4807 , -8.94262 , -0.0229354
4.4853 , -8.93999 , -0.0231647
4.48989 , -8.93735 , -0.0233939
4.49448 , -8.93471 , -0.0236231
4.49907 , -8.93206 , -0.0238523
4.50366 , -8.92941 , -0.0240815
4.50824 , -8.92675 , -0.0243106
4.51283 , -8.92408 , -0.0245398
4.51741 , -8.92141 , -0.0247689
4.52198 , -8.91874 , -0.024998
4.52656 , -8.91605 , -0.0252272
4.53113 , -8.91337 , -0.0254562
4.53569 , -8.91068 , -0.0256853
4.54026 , -8.90798 , -0.0259144
4.54482 , -8.90528 , -0.0261434
4.54938 , -8.90257 , -0.0263724
4.55394 , -8.89985 , -0.0266015
4.55849 , -8.89713 , -0.0268305
4.56304 , -8.89441 , -0.0270594
4.56759 , -8.89168 , -0.0272884
4.57213 , -8.88894 , -0.0275173
4.57668 , -8.8862 , -0.0277462
4.58122 , -8.88345 , -0.0279751
4.58575 , -8.88069 , -0.028204
4.59028 , -8.87793 , -0.0284329
4.59481 , -8.87517 , -0.0286617
4.59934 , -8.87239 , -0.0288905
4.60386 , -8.86962 , -0.0291193
4.60838 , -8.86683 , -0.0293481
4.6129 , -8.86404 , -0.0295769
4.61741 , -8.86125 , -0.0298056
4.62192 , -8.85844 , -0.0300343
4.62643 , -8.85563 , -0.030263
4.63093 , -8.85282 , -0.0304917
4.63543 , -8.85 , -0.0307203
4.63993 , -8.84717 , -0.0309489
4.64442 , -8.84434 , -0.0311775
4.64891 , -8.8415 , -0.0314061
4.6534 , -8.83865 , -0.0316346
4.65788 , -8.8358 , -0.0318632
4.66236 , -8.83294 , -0.0320917
4.66684 , -8.83007 , -0.0323201
4.67131 , -8.8272 , -0.0325486
4.67578 , -8.82432 , -0.032777
4.68024 , -8.82144 , -0.0330053
4.68471 , -8.81854 , -0.0332337
4.68916 , -8.81565 , -0.033462
4.69362 , -8.81274 , -0.0336903
4.69807 , -8.80983 , -0.0339186
4.70251 , -8.80691 , -0.0341468
4.70696 , -8.80398 , -0.034375
4.7114 , -8.80105 , -0.0346032
4.71583 , -8.79811 , -0.0348313
4.72026 , -8.79516 , -0.0350594
4.72469 , -8.79221 , -0.0352875
4.72911 , -8.78925 , -0.0355155
4.73353 , -8.78628 , -0.0357435
4.73795 , -8.78331 , -0.0359715
4.74236 , -8.78032 , -0.0361994
4.74677 , -8.77733 , -0.0364273
4.75117 , -8.77434 , -0.0366552
4.75557 , -8.77133 , -0.036883
4.75996 , -8.76832 , -0.0371108
4.76435 , -8.7653 , -0.0373385
4.76874 , -8.76228 , -0.0375662
4.77312 , -8.75924 , -0.0377939
4.77749 , -8.7562 , -0.0380215
4.78187 , -8.75315 , -0.038249
4.78623 , -8.75009 , -0.0384766
4.7906 , -8.74703 , -0.0387041
4.79496 , -8.74396 , -0.0389315
4.79931 , -8.74088 , -0.0391589
4.80366 , -8.73779 , -0.0393863
4.80801 , -8.73469 , -0.0396136
4.81235 , -8.73159 , -0.0398408
4.81668 , -8.72847 , -0.040068
4.82101 , -8.72535 , -0.0402952
4.82534 , -8.72223 , -0.0405223
4.82966 , -8.71909 , -0.0407494
4.83398 , -8.71594 , -0.0409764
4.83829 , -8.71279 , -0.0412034
4.84259 , -8.70963 , -0.0414303
