x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743793 , 2.326e-005
-0.00289885 , 0.00564542 , 1.78906e-005
-0.000398014 , 0.000751111 , 2.69145e-006
0.0930987 , -0.175866 , -0.000627841
0.186594 , -0.35248 , -0.00125836
0.280088 , -0.529093 , -0.00188888
0.373583 , -0.705705 , -0.0025194
0.467077 , -0.882318 , -0.00314991
0.560571 , -1.05893 , -0.00378043
0.654066 , -1.23554 , -0.00441095
0.74756 , -1.41215 , -0.00504146
0.841054 , -1.58877 , -0.00567198
0.934548 , -1.76538 , -0.00630249
1.02804 , -1.94199 , -0.00693301
1.12154 , -2.1186 , -0.00756352
1.21503 , -2.29522 , -0.00819404
1.30852 , -2.47183 , -0.00882455
1.40202 , -2.64844 , -0.00945507
1.49551 , -2.82505 , -0.0100856
1.58901 , -3.00166 , -0.0107161
1.6825 , -3.17828 , -0.0113466
1.77599 , -3.35489 , -0.0119771
1.86949 , -3.5315 , -0.0126076
1.96298 , -3.70811 , -0.0132381
2.05648 , -3.88473 , -0.0138687
2.14997 , -4.06134 , -0.0144992
2.24346 , -4.23795 , -0.0151297
2.33696 , -4.41456 , -0.0157602
2.43045 , -4.59118 , -0.0163907
2.52395 , -4.76779 , -0.0170212
2.61744 , -4.9444 , -0.0176517
2.71093 , -5.12101 , -0.0182822
2.80443 , -5.29762 , -0.0189127
2.89792 , -5.47424 , -0.0195432
2.99141 , -5.65085 , -0.0201738
3.08491 , -5.82746 , -0.0208043
3.1784 , -6.00407 , -0.0214348
3.27189 , -6.18069 , -0.0220653
3.36539 , -6.3573 , -0.0226958
3.45888 , -6.53391 , -0.0233263
3.55237 , -6.71052 , -0.0239568
3.64587 , -6.88714 , -0.0245873
3.73936 , -7.06375 , -0.0252178
3.83286 , -7.24036 , -0.0258483
3.92635 , -7.41697 , -0.0264788
4.01984 , -7.59358 , -0.0271093
4.11334 , -7.7702 , -0.0277398
4.20683 , -7.94681 , -0.0283703
4.30032 , -8.12342 , -0.0290008
4.39382 , -8.30003 , -0.0296313
4.48731 , -8.47665 , -0.0302619
4.5808 , -8.65326 , -0.0308924
4.6743 , -8.82987 , -0.0315229
4.76779 , -9.00648 , -0.0321534
4.86128 , -9.18309 , -0.0327839
4.95478 , -9.35971 , -0.0334144
5.04827 , -9.53632 , -0.0340449
5.14176 , -9.71293 , -0.0346754
5.23526 , -9.88954 , -0.0353059
5.32875 , -10.0662 , -0.0359364
5.42224 , -10.2428 , -0.0365669
5.51574 , -10.4194 , -0.0371974
5.60923 , -10.596 , -0.0378279
5.70272 , -10.7726 , -0.0384584
5.79621 , -10.9492 , -0.0390889
5.88971 , -11.1258 , -0.0397194
5.9832 , -11.3024 , -0.0403499
6.07669 , -11.4791 , -0.0409804
6.17019 , -11.6557 , -0.041611
6.26368 , -11.8323 , -0.0422415
6.35717 , -12.0089 , -0.042872
6.45067 , -12.1855 , -0.0435025
6.54416 , -12.3621 , -0.044133
6.63765 , -12.5387 , -0.0447635
6.73115 , -12.7153 , -0.045394
6.82464 , -12.8919 , -0.0460245
6.91813 , -13.0686 , -0.046655
7.01163 , -13.2452 , -0.0472855
7.10512 , -13.4218 , -0.047916
7.19861 , -13.5984 , -0.0485465
7.29211 , -13.775 , -0.049177
7.3856 , -13.9516 , -0.0498075
7.47909 , -14.1282 , -0.050438
7.57259 , -14.3048 , -0.0510685
7.66608 , -14.4815 , -0.051699
7.75957 , -14.6581 , -0.0523295
7.85307 , -14.8347 , -0.05296
7.94656 , -15.0113 , -0.0535905
8.04005 , -15.1879 , -0.0542211
8.13355 , -15.3645 , -0.0548516
8.22704 , -15.5411 , -0.0554821
8.32053 , -15.7177 , -0.0561126
8.41403 , -15.8944 , -0.0567431
8.50752 , -16.071 , -0.0573736
8.60101 , -16.2476 , -0.0580041
8.69451 , -16.4242 , -0.0586346
8.788 , -16.6008 , -0.0592651
8.88149 , -16.7774 , -0.0598956
8.97499 , -16.954 , -0.0605261
9.06848 , -17.1306 , -0.0611566
9.16197 , -17.3073 , -0.0617871
9.25547 , -17.4839 , -0.0624176
9.34896 , -17.6605 , -0.0630481
9.44245 , -17.8371 , -0.0636786
9.53595 , -18.0137 , -0.0643091
9.62944 , -18.1903 , -0.0649396
9.72293 , -18.3669 , -0.0655701
9.81643 , -18.5435 , -0.0662006
9.90992 , -18.7201 , -0.0668312
10.0034 , -18.8968 , -0.0674617
10.0969 , -19.0734 , -0.0680922
10.1904 , -19.25 , -0.0687227
10.2839 , -19.4266 , -0.0693532
10.3774 , -19.6032 , -0.0699837
10.4709 , -19.7798 , -0.0706142
10.5644 , -19.9564 , -0.0712447
10.6579 , -20.133 , -0.0718752
10.7514 , -20.3097 , -0.0725057
10.8449 , -20.4863 , -0.0731362
10.9383 , -20.6629 , -0.0737667
11.0318 , -20.8395 , -0.0743972
11.1253 , -21.0161 , -0.0750277
11.2188 , -21.1927 , -0.0756582
11.3123 , -21.3693 , -0.0762887
11.4058 , -21.5459 , -0.0769192
11.4993 , -21.7226 , -0.0775497
11.5928 , -21.8992 , -0.0781802
11.6863 , -22.0758 , -0.0788107
11.7798 , -22.2524 , -0.0794412
11.8733 , -22.429 , -0.0800718
11.9668 , -22.6056 , -0.0807023
12.0603 , -22.7822 , -0.0813328
12.1538 , -22.9588 , -0.0819633
12.2472 , -23.1355 , -0.0825938
12.3407 , -23.3121 , -0.0832243
