x , y , z
16.2217 , 11.3865 , -0.167864
16.2194 , 11.3895 , -0.167823
16.2171 , 11.3925 , -0.167783
16.2148 , 11.3956 , -0.167742
16.2126 , 11.3986 , -0.167701
16.2103 , 11.4016 , -0.16766
16.208 , 11.4046 , -0.167619
16.2057 , 11.4077 , -0.167578
16.2034 , 11.4107 , -0.167537
16.2011 , 11.4137 , -0.167496
16.1988 , 11.4168 , -0.167455
16.1965 , 11.4198 , -0.167414
16.1942 , 11.4228 , -0.167373
16.192 , 11.4258 , -0.167332
16.1897 , 11.4288 , -0.167291
16.1874 , 11.4319 , -0.16725
16.1851 , 11.4349 , -0.167209
16.1828 , 11.4379 , -0.167168
16.1805 , 11.4409 , -0.167127
16.1782 , 11.444 , -0.167086
16.1759 , 11.447 , -0.167045
16.1736 , 11.45 , -0.167004
16.1713 , 11.453 , -0.166963
16.169 , 11.456 , -0.166922
16.1667 , 11.4591 , -0.166881
16.1644 , 11.4621 , -0.16684
16.1621 , 11.4651 , -0.166799
16.1598 , 11.4681 , -0.166758
16.1575 , 11.4711 , -0.166717
16.1552 , 11.4742 , -0.166676
16.1529 , 11.4772 , -0.166635
16.1506 , 11.4802 , -0.166594
16.1483 , 11.4832 , -0.166553
16.146 , 11.4862 , -0.166511
16.1437 , 11.4892 , -0.16647
16.1414 , 11.4922 , -0.166429
16.1391 , 11.4953 , -0.166388
16.1368 , 11.4983 , -0.166347
16.1345 , 11.5013 , -0.166306
16.1322 , 11.5043 , -0.166265
16.1299 , 11.5073 , -0.166224
16.1276 , 11.5103 , -0.166182
16.1252 , 11.5133 , -0.166141
16.1229 , 11.5163 , -0.1661
16.1206 , 11.5194 , -0.166059
16.1183 , 11.5224 , -0.166018
16.116 , 11.5254 , -0.165977
16.1137 , 11.5284 , -0.165935
16.1114 , 11.5314 , -0.165894
16.1091 , 11.5344 , -0.165853
16.1068 , 11.5374 , -0.165812
16.1044 , 11.5404 , -0.165771
16.1021 , 11.5434 , -0.165729
16.0998 , 11.5464 , -0.165688
16.0975 , 11.5494 , -0.165647
16.0952 , 11.5524 , -0.165606
16.0929 , 11.5554 , -0.165565
16.0905 , 11.5584 , -0.165523
16.0882 , 11.5615 , -0.165482
16.0859 , 11.5645 , -0.165441
16.0836 , 11.5675 , -0.1654
16.0813 , 11.5705 , -0.165358
16.079 , 11.5735 , -0.165317
16.0766 , 11.5765 , -0.165276
16.0743 , 11.5795 , -0.165234
16.072 , 11.5825 , -0.165193
16.0697 , 11.5855 , -0.165152
16.0673 , 11.5885 , -0.165111
16.065 , 11.5915 , -0.165069
16.0627 , 11.5945 , -0.165028
16.0604 , 11.5975 , -0.164987
16.058 , 11.6005 , -0.164945
16.0557 , 11.6035 , -0.164904
16.0534 , 11.6065 , -0.164863
16.0511 , 11.6095 , -0.164821
16.0487 , 11.6124 , -0.16478
16.0464 , 11.6154 , -0.164739
16.0441 , 11.6184 , -0.164697
16.0417 , 11.6214 , -0.164656
16.0394 , 11.6244 , -0.164614
16.0371 , 11.6274 , -0.164573
16.0348 , 11.6304 , -0.164532
16.0324 , 11.6334 , -0.16449
16.0301 , 11.6364 , -0.164449
16.0278 , 11.6394 , -0.164407
16.0254 , 11.6424 , -0.164366
16.0231 , 11.6454 , -0.164325
16.0208 , 11.6484 , -0.164283
16.0184 , 11.6514 , -0.164242
16.0161 , 11.6543 , -0.1642
16.0138 , 11.6573 , -0.164159
16.0114 , 11.6603 , -0.164118
16.0091 , 11.6633 , -0.164076
16.0067 , 11.6663 , -0.164035
16.0044 , 11.6693 , -0.163993
16.0021 , 11.6723 , -0.163952
15.9997 , 11.6753 , -0.16391
15.9974 , 11.6782 , -0.163869
15.995 , 11.6812 , -0.163827
15.9927 , 11.6842 , -0.163786
15.9904 , 11.6872 , -0.163744
15.988 , 11.6902 , -0.163703
15.9857 , 11.6932 , -0.163661
15.9833 , 11.6961 , -0.16362
15.981 , 11.6991 , -0.163578
15.9787 , 11.7021 , -0.163537
15.9763 , 11.7051 , -0.163495
15.974 , 11.7081 , -0.163454
15.9716 , 11.7111 , -0.163412
