x , y , z
1 , 0 , 0
0.998273 , 0.0604152 , 0
0.991272 , 0.120505 , 0
0.979009 , 0.179941 , 0
0.961499 , 0.238392 , 0
0.93876 , 0.295521 , 0
0.910815 , 0.350976 , 0
0.877691 , 0.404396 , 0
0.839424 , 0.455399 , 0
0.796059 , 0.503581 , 0
0.747656 , 0.548515 , 0
0.694291 , 0.589739 , 0
0.636067 , 0.626757 , 0
0.573117 , 0.659031 , 0
0.505616 , 0.685974 , 0
0.433795 , 0.706944 , 0
0.357958 , 0.721239 , 0
0.278502 , 0.72809 , 0
0.195954 , 0.726663 , 0
0.111 , 0.716056 , 0
0.0245428 , 0.695313 , 0
-0.0622413 , 0.663453 , 0
-0.14783 , 0.61952 , 0
-0.230276 , 0.562678 , 0
-0.307146 , 0.492356 , 0
-0.375497 , 0.408471 , 0
-0.431956 , 0.311714 , 0
-0.472973 , 0.203858 , 0
-0.495298 , 0.0879735 , 0
-0.496623 , -0.0316254 , 0
-0.476198 , -0.149835 , 0
-0.435114 , -0.261552 , 0
-0.376074 , -0.362497 , 0
-0.302773 , -0.449736 , 0
-0.219189 , -0.521768 , 0
-0.129041 , -0.578288 , 0
-0.0354963 , -0.619825 , 0
0.0589041 , -0.647399 , 0
0.152209 , -0.662268 , 0
0.242962 , -0.665753 , 0
0.330103 , -0.659147 , 0
0.412871 , -0.64366 , 0
0.490733 , -0.6204 , 0
0.563326 , -0.590366 , 0
0.630406 , -0.554455 , 0
0.691821 , -0.513473 , 0
0.747487 , -0.468139 , 0
0.797362 , -0.419103 , 0
0.841441 , -0.366949 , 0
0.879744 , -0.312211 , 0
0.912306 , -0.255375 , 0
0.939175 , -0.19689 , 0
0.960407 , -0.137174 , 0
0.976063 , -0.0766164 , 0
0.986209 , -0.0155875 , 0
0.99091 , 0.0455609 , 0
0.990237 , 0.10649 , 0
0.98426 , 0.166869 , 0
0.973049 , 0.226377 , 0
0.956677 , 0.284692 , 0
0.93522 , 0.341496 , 0
0.908755 , 0.396465 , 0
0.877363 , 0.449271 , 0
0.841133 , 0.499579 , 0
0.800158 , 0.547041 , 0
0.754544 , 0.591293 , 0
0.70441 , 0.631955 , 0
0.64989 , 0.668626 , 0
0.591141 , 0.700879 , 0
0.528349 , 0.728258 , 0
0.461735 , 0.750274 , 0
0.391568 , 0.766402 , 0
0.318173 , 0.776077 , 0
0.241952 , 0.77869 , 0
0.163405 , 0.773588 , 0
0.0831497 , 0.760079 , 0
0.00196381 , 0.737433 , 0
-0.0791804 , 0.704904 , 0
-0.159064 , 0.661759 , 0
-0.236169 , 0.607332 , 0
-0.308617 , 0.541105 , 0
-0.374133 , 0.462844 , 0
-0.430036 , 0.37278 , 0
-0.473325 , 0.271847 , 0
-0.500891 , 0.161934 , 0
-0.509919 , 0.0460635 , 0
-0.498443 , -0.0716337 , 0
-0.465902 , -0.186289 , 0
-0.413458 , -0.292983 , 0
-0.343859 , -0.387531 , 0
-0.260901 , -0.467051 , 0
-0.168723 , -0.530122 , 0
-0.0712207 , -0.576589 , 0
0.0282844 , -0.607196 , 0
0.12716 , -0.623217 , 0
0.223424 , -0.626166 , 0
0.315645 , -0.617608 , 0
0.402823 , -0.599048 , 0
0.484289 , -0.571877 , 0
0.559613 , -0.537351 , 0
0.628539 , -0.496587 , 0
0.690937 , -0.450579 , 0
0.746766 , -0.400203 , 0
0.796042 , -0.346239 , 0
0.838827 , -0.289376 , 0
0.87521 , -0.230234 , 0
0.905299 , -0.169369 , 0
0.929215 , -0.107284 , 0
0.947085 , -0.0444405 , 0
0.959041 , 0.0187385 , 0
0.965217 , 0.0818584 , 0
0.965747 , 0.14455 , 0
0.960768 , 0.206462 , 0
0.950412 , 0.267259 , 0
0.934815 , 0.326619 , 0
0.914111 , 0.384225 , 0
0.888438 , 0.439766 , 0
0.857934 , 0.492933 , 0
0.822742 , 0.543417 , 0
0.783008 , 0.590905 , 0
0.73889 , 0.635078 , 0
0.69055 , 0.675607 , 0
0.638167 , 0.712155 , 0
0.581935 , 0.74437 , 0
0.522067 , 0.771883 , 0
0.458804 , 0.794311 , 0
0.392417 , 0.811245 , 0
0.32322 , 0.822258 , 0
0.251573 , 0.826897 , 0
0.1779 , 0.824685 , 0
0.102704 , 0.815121 , 0
0.0265783 , 0.797684 , 0
-0.049762 , 0.77184 , 0
-0.125459 , 0.737054 , 0
-0.199477 , 0.692811 , 0
-0.27057 , 0.638651 , 0
-0.33724 , 0.574222 , 0
-0.397706 , 0.49936 , 0
-0.449889 , 0.4142 , 0
-0.491429 , 0.319322 , 0
-0.519777 , 0.215937 , 0
-0.532384 , 0.106066 , 0
-0.527029 , -0.00734034 , 0
-0.502253 , -0.120443 , 0
-0.45781 , -0.228806 , 0
-0.394942 , -0.327945 , 0
-0.316317 , -0.413998 , 0
-0.225613 , -0.484254 , 0
-0.126904 , -0.537374 , 0
-0.0241003 , -0.573269 , 0
0.0794277 , -0.592785 , 0
0.180993 , -0.597341 , 0
0.278588 , -0.588628 , 0
0.37079 , -0.568395 , 0
0.456641 , -0.538325 , 0
0.53554 , -0.499966 , 0
0.607146 , -0.454713 , 0
0.671301 , -0.403798 , 0
0.727977 , -0.348307 , 0
0.777236 , -0.289191 , 0
0.819198 , -0.227287 , 0
0.854024 , -0.163331 , 0
0.881897 , -0.0979751 , 0
0.903018 , -0.0318003 , 0
0.917593 , 0.0346725 , 0
0.925833 , 0.100972 , 0
0.927948 , 0.166667 , 0
0.92415 , 0.231363 , 0
0.914647 , 0.29469 , 0
0.899645 , 0.356303 , 0
0.879348 , 0.415872 , 0
0.85396 , 0.473085 , 0
0.823685 , 0.527636 , 0
0.788727 , 0.579228 , 0
0.749294 , 0.62757 , 0
0.705598 , 0.67237 , 0
0.657857 , 0.713337 , 0
0.606298 , 0.750177 , 0
0.551162 , 0.782592 , 0
0.492702 , 0.810278 , 0
0.431191 , 0.832923 , 0
0.366927 , 0.850206 , 0
0.300235 , 0.861795 , 0
0.231476 , 0.867349 , 0
0.161053 , 0.866516 , 0
0.0894218 , 0.858936 , 0
0.0171 , 0.844241 , 0
-0.0553187 , 0.822059 , 0
-0.12715 , 0.792025 , 0
-0.197603 , 0.75379 , 0
-0.265755 , 0.707036 , 0
-0.330538 , 0.651504 , 0
-0.390708 , 0.58703 , 0
-0.444834 , 0.513596 , 0
