x , y , z
1 , 0 , 0
0.86293 , 0.523599 , 0
0.495699 , 0.907539 , 0
0.00551913 , 1.06637 , 0
-0.485904 , 0.984003 , 0
-0.876487 , 0.697434 , 0
-1.096 , 0.274743 , 0
-1.10711 , -0.200186 , 0
-0.904989 , -0.636558 , 0
-0.519604 , -0.944027 , 0
-0.0203139 , -1.04456 , 0
0.483865 , -0.893839 , 0
0.861652 , -0.509631 , 0
1.00387 , 0.0139125 , 0
0.874 , 0.533689 , 0
0.520911 , 0.917164 , 0
0.0460714 , 1.08627 , 0
-0.438595 , 1.02355 , 0
-0.836135 , 0.757511 , 0
-1.07399 , 0.34681 , 0
-1.10691 , -0.130063 , 0
-0.920528 , -0.581164 , 0
-0.538442 , -0.908709 , 0
-0.0310289 , -1.02475 , 0
0.484284 , -0.879937 , 0
0.868504 , -0.49693 , 0
1.01495 , 0.0221298 , 0
0.895318 , 0.535394 , 0
0.559371 , 0.919307 , 0
0.100305 , 1.10088 , 0
-0.379124 , 1.05894 , 0
-0.785469 , 0.812875 , 0
-1.04264 , 0.412445 , 0
-1.09695 , -0.0682324 , 0
-0.924615 , -0.534809 , 0
-0.544182 , -0.881013 , 0
-0.0293289 , -1.00959 , 0
0.493331 , -0.869411 , 0
0.880525 , -0.49049 , 0
1.03185 , 0.0198219 , 0
0.925706 , 0.525192 , 0
0.608951 , 0.911081 , 0
0.165274 , 1.10708 , 0
-0.310728 , 1.08658 , 0
-0.727687 , 0.859609 , 0
-1.00494 , 0.467603 , 0
-1.07977 , -0.018584 , 0
-0.919445 , -0.500718 , 0
-0.539362 , -0.863168 , 0
-0.0189783 , -1.00108 , 0
0.506589 , -0.865448 , 0
0.89437 , -0.494422 , 0
1.0523 , 0.00367331 , 0
0.962522 , 0.500906 , 0
0.666087 , 0.890594 , 0
0.236826 , 1.10269 , 0
-0.237719 , 1.10398 , 0
-0.666993 , 0.895 , 0
-0.964722 , 0.509505 , 0
-1.05869 , 0.016399 , 0
-0.908039 , -0.480492 , 0
-0.527681 , -0.855828 , 0
-0.00492294 , -1.0002 , 0
0.519181 , -0.870408 , 0
0.906488 , -0.511279 , 0
1.07322 , -0.0277416 , 0
1.00206 , 0.461946 , 0
0.726295 , 0.857317 , 0
0.310097 , 1.08692 , 0
-0.165008 , 1.11007 , 0
-0.608097 , 0.917805 , 0
-0.926212 , 0.536906 , 0
-1.03729 , 0.0359878 , 0
-0.893917 , -0.473758 , 0
-0.513769 , -0.858015 , 0
0.00726143 , -1.00698 , 0
0.526337 , -0.885475 , 0
0.913328 , -0.541766 , 0
1.09112 , -0.0739666 , 0
1.0401 , 0.409342 , 0
0.784793 , 0.812251 , 0
0.380078 , 1.06053 , 0
-0.0975505 , 1.10536 , 0
-0.5556 , 0.9283 , 0
-0.893303 , 0.550154 , 0
-1.01882 , 0.0413251 , 0
-0.880751 , -0.4782 , 0
-0.502693 , -0.867426 , 0
0.0121874 , -1.02055 , 0
0.523918 , -0.910388 , 0
0.911642 , -0.584753 , 0
1.10254 , -0.132876 , 0
1.07263 , 0.34561 , 0
0.837155 , 0.757859 , 0
0.442213 , 1.02575 , 0
-0.039759 , 1.09177 , 0
-0.513369 , 0.928122 , 0
-0.868969 , 0.55112 , 0
-1.00581 , 0.0353718 , 0
-0.872033 , -0.489898 , 0
-0.499228 , -0.880891 , 0
0.00548923 , -1.03913 , 0
0.508862 , -0.943364 , 0
0.898889 , -0.637482 , 0
1.10468 , -0.200948 , 0
1.09641 , 0.274521 , 0
0.879861 , 0.697836 , 0
0.492909 , 0.985997 , 0
0.00502458 , 1.07226 , 0
-0.483977 , 0.919956 , 0
-0.854795 , 0.543004 , 0
-0.999852 , 0.022636 , 0
-0.870752 , -0.503942 , 0
-0.507108 , -0.894786 , 0
-0.0156131 , -1.06005 , 0
0.479479 , -0.981304 , 0
0.873626 , -0.695971 , 0
1.09582 , -0.273656 , 0
1.10941 , 0.200746 , 0
0.910669 , 0.636721 , 0
0.52987 , 0.945402 , 0
0.0348984 , 1.05037 , 0
-0.468318 , 0.90713 , 0
-0.850803 , 0.530037 , 0
-1.00159 , 0.00860207 , 0
-0.879 , -0.515184 , 0
-0.528441 , -0.905363 , 0
-0.0520593 , -1.07999 , 0
0.435624 , -1.02026 , 0
0.835798 , -0.755581 , 0
1.0757 , -0.346006 , 0
1.11111 , 0.129341 , 0
0.928799 , 0.579339 , 0
0.552279 , 0.908193 , 0
0.0496242 , 1.02962 , 0
-0.465454 , 0.893206 , 0
-0.855582 , 0.51702 , 0
-1.0108 , -0.00112078 , 0
-0.897551 , -0.518965 , 0
-0.563401 , -0.909085 , 0
-0.102929 , -1.09538 , 0
0.378747 , -1.05608 , 0
0.786867 , -0.811658 , 0
1.0456 , -0.413137 , 0
