x , y , z
1 , 0 , 0
0.999788 , 0.0206006 , 0
0.999151 , 0.0411925 , 0
0.998091 , 0.0617669 , 0
0.996607 , 0.082315 , 0
0.9947 , 0.102828 , 0
0.992371 , 0.123298 , 0
0.98962 , 0.143715 , 0
0.98645 , 0.164071 , 0
0.982861 , 0.184358 , 0
0.978855 , 0.204566 , 0
0.974434 , 0.224688 , 0
0.969599 , 0.244714 , 0
0.964352 , 0.264637 , 0
0.958696 , 0.284447 , 0
0.952634 , 0.304136 , 0
0.946167 , 0.323697 , 0
0.939299 , 0.343119 , 0
0.932032 , 0.362397 , 0
0.924369 , 0.38152 , 0
0.916314 , 0.400482 , 0
0.907871 , 0.419274 , 0
0.899042 , 0.437887 , 0
0.889831 , 0.456315 , 0
0.880243 , 0.47455 , 0
0.870282 , 0.492582 , 0
0.859951 , 0.510406 , 0
0.849255 , 0.528014 , 0
0.838199 , 0.545397 , 0
0.826787 , 0.562549 , 0
0.815024 , 0.579462 , 0
0.802915 , 0.596129 , 0
0.790466 , 0.612543 , 0
0.777681 , 0.628697 , 0
0.764566 , 0.644585 , 0
0.751127 , 0.660198 , 0
0.737369 , 0.675532 , 0
0.723298 , 0.690579 , 0
0.70892 , 0.705333 , 0
0.694242 , 0.719788 , 0
0.679269 , 0.733937 , 0
0.664007 , 0.747775 , 0
0.648464 , 0.761296 , 0
0.632646 , 0.774493 , 0
0.616559 , 0.787362 , 0
0.60021 , 0.799897 , 0
0.583607 , 0.812093 , 0
0.566756 , 0.823943 , 0
0.549665 , 0.835445 , 0
0.532341 , 0.846591 , 0
0.51479 , 0.857379 , 0
0.497022 , 0.867803 , 0
0.479042 , 0.877858 , 0
0.460859 , 0.887541 , 0
0.44248 , 0.896848 , 0
0.423914 , 0.905774 , 0
0.405168 , 0.914315 , 0
0.38625 , 0.922469 , 0
0.367168 , 0.930231 , 0
0.347931 , 0.937599 , 0
0.328545 , 0.944569 , 0
0.309021 , 0.951138 , 0
0.289365 , 0.957303 , 0
0.269587 , 0.963063 , 0
0.249694 , 0.968413 , 0
0.229695 , 0.973353 , 0
0.209599 , 0.97788 , 0
0.189413 , 0.981992 , 0
0.169148 , 0.985688 , 0
0.14881 , 0.988965 , 0
0.12841 , 0.991823 , 0
0.107955 , 0.99426 , 0
0.0874544 , 0.996275 , 0
0.0669165 , 0.997868 , 0
0.0463503 , 0.999037 , 0
0.0257644 , 0.999783 , 0
0.00516764 , 1.0001 , 0
-0.0154314 , 1 , 0
-0.0360238 , 0.999474 , 0
-0.056601 , 0.998523 , 0
-0.0771541 , 0.997148 , 0
-0.0976746 , 0.99535 , 0
-0.118154 , 0.99313 , 0
-0.138582 , 0.990489 , 0
-0.158953 , 0.987428 , 0
-0.179255 , 0.983948 , 0
-0.199482 , 0.98005 , 0
-0.219624 , 0.975737 , 0
-0.239673 , 0.97101 , 0
-0.25962 , 0.965871 , 0
-0.279457 , 0.960322 , 0
-0.299176 , 0.954366 , 0
-0.318767 , 0.948006 , 0
-0.338224 , 0.941243 , 0
-0.357537 , 0.934081 , 0
-0.376698 , 0.926523 , 0
-0.3957 , 0.918571 , 0
-0.414533 , 0.910231 , 0
-0.433191 , 0.901504 , 0
-0.451666 , 0.892395 , 0
-0.469948 , 0.882907 , 0
-0.488032 , 0.873045 , 0
-0.505908 , 0.862812 , 0
-0.52357 , 0.852214 , 0
-0.54101 , 0.841254 , 0
-0.55822 , 0.829938 , 0
-0.575194 , 0.81827 , 0
-0.591923 , 0.806254 , 0
-0.608402 , 0.793897 , 0
-0.624623 , 0.781203 , 0
-0.640579 , 0.768178 , 0
-0.656263 , 0.754827 , 0
-0.671669 , 0.741155 , 0
-0.68679 , 0.72717 , 0
-0.701619 , 0.712876 , 0
-0.716152 , 0.69828 , 0
-0.73038 , 0.683388 , 0
-0.744299 , 0.668206 , 0
-0.757903 , 0.652741 , 0
-0.771185 , 0.636999 , 0
-0.78414 , 0.620987 , 0
-0.796762 , 0.604711 , 0
-0.809047 , 0.588179 , 0
-0.820988 , 0.571398 , 0
-0.832582 , 0.554375 , 0
-0.843822 , 0.537116 , 0
-0.854705 , 0.51963 , 0
-0.865225 , 0.501923 , 0
-0.875379 , 0.484004 , 0
-0.885161 , 0.465879 , 0
-0.894568 , 0.447557 , 0
-0.903596 , 0.429045 , 0
-0.91224 , 0.410351 , 0
-0.920498 , 0.391483 , 0
-0.928366 , 0.372449 , 0
-0.93584 , 0.353258 , 0
-0.942918 , 0.333916 , 0
-0.949595 , 0.314433 , 0
-0.95587 , 0.294817 , 0
-0.96174 , 0.275076 , 0
-0.967202 , 0.255218 , 0
-0.972254 , 0.235252 , 0
-0.976894 , 0.215186 , 0
-0.98112 , 0.195029 , 0
-0.98493 , 0.174789 , 0
-0.988322 , 0.154476 , 0
-0.991295 , 0.134096 , 0
-0.993849 , 0.11366 , 0
-0.99598 , 0.0931758 , 0
-0.99769 , 0.072652 , 0
-0.998977 , 0.0520974 , 0
-0.99984 , 0.0315207 , 0
-1.00028 , 0.0109307 , 0
-1.0003 , -0.00966398 , 0
-0.999887 , -0.0302546 , 0
-0.999054 , -0.0508323 , 0
-0.997799 , -0.0713885 , 0
-0.99612 , -0.0919145 , 0
-0.994019 , -0.112401 , 0
-0.991497 , -0.132841 , 0
-0.988554 , -0.153224 , 0
-0.985192 , -0.173542 , 0
-0.981413 , -0.193787 , 0
-0.977218 , -0.213949 , 0
-0.972609 , -0.234021 , 0
-0.967588 , -0.253993 , 0
-0.962156 , -0.273858 , 0
-0.956317 , -0.293607 , 0
-0.950072 , -0.313231 , 0
-0.943424 , -0.332723 , 0
-0.936377 , -0.352074 , 0
-0.928933 , -0.371275 , 0
-0.921095 , -0.390319 , 0
-0.912867 , -0.409198 , 0
-0.904252 , -0.427903 , 0
-0.895254 , -0.446427 , 0
-0.885876 , -0.464761 , 0
-0.876123 , -0.482899 , 0
-0.865999 , -0.500832 , 0
-0.855507 , -0.518553 , 0
-0.844653 , -0.536054 , 0
-0.833441 , -0.553327 , 0
-0.821876 , -0.570367 , 0
-0.809963 , -0.587164 , 0
-0.797706 , -0.603713 , 0
-0.785111 , -0.620006 , 0
-0.772184 , -0.636036 , 0
-0.758929 , -0.651797 , 0
-0.745352 , -0.667281 , 0
-0.73146 , -0.682483 , 0
-0.717258 , -0.697395 , 0
-0.702752 , -0.712012 , 0
-0.687948 , -0.726327 , 0
-0.672852 , -0.740335 , 0
-0.657472 , -0.754028 , 0
-0.641812 , -0.767402 , 0
-0.625881 , -0.780451 , 0
-0.609685 , -0.793169 , 0
-0.59323 , -0.805551 , 0
-0.576524 , -0.817592 , 0
-0.559573 , -0.829286 , 0
-0.542385 , -0.840629 , 0
-0.524968 , -0.851616 , 0
-0.507328 , -0.862241 , 0
-0.489473 , -0.872501 , 0
-0.47141 , -0.882392 , 0
-0.453148 , -0.891909 , 0
-0.434694 , -0.901047 , 0
-0.416056 , -0.909804 , 0
-0.397241 , -0.918175 , 0
-0.378258 , -0.926158 , 0
-0.359115 , -0.933747 , 0
-0.339819 , -0.940942 , 0
-0.32038 , -0.947737 , 0
-0.300805 , -0.954131 , 0
-0.281102 , -0.96012 , 0
-0.26128 , -0.965703 , 0
-0.241347 , -0.970876 , 0
-0.221313 , -0.975638 , 0
-0.201184 , -0.979986 , 0
-0.18097 , -0.98392 , 0
-0.16068 , -0.987436 , 0
-0.140321 , -0.990534 , 0
-0.119903 , -0.993212 , 0
-0.0994339 , -0.995469 , 0
-0.0789229 , -0.997304 , 0
-0.0583784 , -0.998717 , 0
-0.0378092 , -0.999707 , 0
-0.0172239 , -1.00027 , 0
0.00336862 , -1.00041 , 0
0.0239597 , -1.00013 , 0
0.0445407 , -0.999427 , 0
0.0651028 , -0.998298 , 0
0.0856373 , -0.996745 , 0
0.106136 , -0.994771 , 0
0.126589 , -0.992375 , 0
0.146988 , -0.989558 , 0
0.167326 , -0.986322 , 0
0.187592 , -0.982668 , 0
0.207779 , -0.978597 , 0
0.227878 , -0.974112 , 0
0.24788 , -0.969214 , 0
0.267777 , -0.963905 , 0
0.287561 , -0.958188 , 0
0.307223 , -0.952065 , 0
0.326755 , -0.945538 , 0
0.346148 , -0.93861 , 0
0.365394 , -0.931285 , 0
0.384486 , -0.923565 , 0
0.403415 , -0.915454 , 0
0.422173 , -0.906955 , 0
0.440751 , -0.898071 , 0
0.459144 , -0.888807 , 0
0.477341 , -0.879166 , 0
0.495336 , -0.869153 , 0
0.513122 , -0.858771 , 0
0.530689 , -0.848025 , 0
0.548032 , -0.83692 , 0
0.565143 , -0.82546 , 0
0.582014 , -0.81365 , 0
0.598638 , -0.801496 , 0
0.615009 , -0.789001 , 0
0.631119 , -0.776173 , 0
0.646962 , -0.763015 , 0
0.66253 , -0.749534 , 0
0.677818 , -0.735736 , 0
0.692818 , -0.721625 , 0
0.707525 , -0.707209 , 0
0.721932 , -0.692493 , 0
0.736032 , -0.677483 , 0
0.749821 , -0.662186 , 0
0.763292 , -0.646609 , 0
0.77644 , -0.630757 , 0
0.789258 , -0.614639 , 0
0.801742 , -0.598259 , 0
0.813886 , -0.581626 , 0
0.825685 , -0.564747 , 0
0.837134 , -0.547628 , 0
0.848229 , -0.530277 , 0
0.858963 , -0.512701 , 0
0.869334 , -0.494908 , 0
0.879336 , -0.476905 , 0
0.888965 , -0.4587 , 0
0.898218 , -0.440301 , 0
0.90709 , -0.421715 , 0
0.915577 , -0.40295 , 0
0.923676 , -0.384014 , 0
