x , y , z
1 , 0 , 0
0.9927 , 0.166142 , 0
0.971186 , 0.329905 , 0
0.936531 , 0.489204 , 0
0.890285 , 0.642449 , 0
0.834217 , 0.788605 , 0
0.770098 , 0.927151 , 0
0.699557 , 1.05796 , 0
0.62401 , 1.18121 , 0
0.544642 , 1.29722 , 0
0.462418 , 1.40643 , 0
0.378114 , 1.50931 , 0
0.292344 , 1.60634 , 0
0.205594 , 1.69798 , 0
0.118244 , 1.78467 , 0
0.0305922 , 1.86681 , 0
-0.0571283 , 1.94476 , 0
-0.144735 , 2.01885 , 0
-0.232088 , 2.08939 , 0
-0.319076 , 2.15664 , 0
-0.405614 , 2.22085 , 0
-0.491637 , 2.28225 , 0
-0.577096 , 2.34103 , 0
-0.661954 , 2.39737 , 0
-0.746184 , 2.45144 , 0
-0.829767 , 2.50337 , 0
-0.912689 , 2.55332 , 0
-0.994943 , 2.60139 , 0
-1.07652 , 2.64771 , 0
-1.15743 , 2.69237 , 0
-1.23767 , 2.73547 , 0
-1.31724 , 2.7771 , 0
-1.39615 , 2.81733 , 0
-1.4744 , 2.85623 , 0
-1.552 , 2.89388 , 0
-1.62896 , 2.93034 , 0
-1.70529 , 2.96566 , 0
-1.781 , 2.9999 , 0
-1.8561 , 3.0331 , 0
-1.9306 , 3.06533 , 0
-2.0045 , 3.09661 , 0
-2.07782 , 3.12699 , 0
-2.15056 , 3.15651 , 0
-2.22275 , 3.1852 , 0
-2.29438 , 3.2131 , 0
-2.36546 , 3.24023 , 0
-2.43601 , 3.26664 , 0
-2.50603 , 3.29233 , 0
-2.57554 , 3.31735 , 0
-2.64454 , 3.34172 , 0
-2.71304 , 3.36545 , 0
-2.78105 , 3.38858 , 0
-2.84858 , 3.41112 , 0
-2.91563 , 3.43309 , 0
-2.98222 , 3.45452 , 0
-3.04835 , 3.47541 , 0
-3.11403 , 3.49579 , 0
-3.17927 , 3.51567 , 0
-3.24407 , 3.53507 , 0
-3.30844 , 3.554 , 0
-3.37239 , 3.57248 , 0
-3.43593 , 3.59052 , 0
-3.49906 , 3.60813 , 0
-3.56178 , 3.62533 , 0
-3.62411 , 3.64213 , 0
-3.68605 , 3.65853 , 0
-3.7476 , 3.67455 , 0
-3.80877 , 3.6902 , 0
-3.86958 , 3.70549 , 0
-3.93001 , 3.72042 , 0
-3.99009 , 3.73502 , 0
-4.0498 , 3.74928 , 0
-4.10917 , 3.76321 , 0
-4.16818 , 3.77683 , 0
-4.22686 , 3.79014 , 0
-4.2852 , 3.80314 , 0
-4.3432 , 3.81585 , 0
-4.40088 , 3.82827 , 0
-4.45824 , 3.84041 , 0
-4.51527 , 3.85228 , 0
-4.57199 , 3.86387 , 0
-4.6284 , 3.8752 , 0
-4.6845 , 3.88628 , 0
-4.74029 , 3.8971 , 0
-4.79579 , 3.90768 , 0
-4.85099 , 3.91802 , 0
-4.90591 , 3.92812 , 0
-4.96053 , 3.93799 , 0
-5.01486 , 3.94763 , 0
-5.06892 , 3.95705 , 0
-5.12269 , 3.96625 , 0
-5.1762 , 3.97525 , 0
-5.22943 , 3.98403 , 0
-5.28239 , 3.9926 , 0
-5.33508 , 4.00098 , 0
-5.38751 , 4.00916 , 0
-5.43969 , 4.01715 , 0
-5.4916 , 4.02495 , 0
-5.54327 , 4.03256 , 0
-5.59468 , 4.03998 , 0
-5.64584 , 4.04723 , 0
-5.69675 , 4.0543 , 0
-5.74743 , 4.0612 , 0
-5.79786 , 4.06793 , 0
-5.84805 , 4.07449 , 0
-5.89801 , 4.08089 , 0
-5.94774 , 4.08713 , 0
-5.99723 , 4.0932 , 0
-6.0465 , 4.09913 , 0
-6.09553 , 4.10489 , 0
-6.14435 , 4.11051 , 0
-6.19294 , 4.11598 , 0
-6.24131 , 4.1213 , 0
-6.28947 , 4.12648 , 0
-6.33741 , 4.13151 , 0
-6.38513 , 4.13641 , 0
