x , y , z
1 , 0 , 0
0.999853 , 0.021459 , 0
0.999411 , 0.0429116 , 0
0.998674 , 0.0643516 , 0
0.997645 , 0.0857727 , 0
0.996322 , 0.107169 , 0
0.994707 , 0.128533 , 0
0.992802 , 0.14986 , 0
0.990608 , 0.171143 , 0
0.988127 , 0.192377 , 0
0.98536 , 0.213555 , 0
0.982309 , 0.234672 , 0
0.978978 , 0.255722 , 0
0.975368 , 0.276698 , 0
0.971483 , 0.297597 , 0
0.967324 , 0.318412 , 0
0.962895 , 0.339138 , 0
0.9582 , 0.35977 , 0
0.953242 , 0.380303 , 0
0.948023 , 0.400733 , 0
0.942548 , 0.421054 , 0
0.936821 , 0.441263 , 0
0.930845 , 0.461354 , 0
0.924624 , 0.481324 , 0
0.918163 , 0.501169 , 0
0.911466 , 0.520885 , 0
0.904536 , 0.540468 , 0
0.897379 , 0.559915 , 0
0.889997 , 0.579223 , 0
0.882397 , 0.598388 , 0
0.874583 , 0.617407 , 0
0.866558 , 0.636278 , 0
0.858328 , 0.654999 , 0
0.849896 , 0.673566 , 0
0.841269 , 0.691977 , 0
0.832449 , 0.71023 , 0
0.823442 , 0.728324 , 0
0.814253 , 0.746256 , 0
0.804885 , 0.764025 , 0
0.795344 , 0.781629 , 0
0.785634 , 0.799067 , 0
0.775759 , 0.816338 , 0
0.765725 , 0.83344 , 0
0.755534 , 0.850373 , 0
0.745193 , 0.867136 , 0
0.734704 , 0.883727 , 0
0.724073 , 0.900147 , 0
0.713303 , 0.916395 , 0
0.702399 , 0.932471 , 0
0.691365 , 0.948373 , 0
0.680205 , 0.964103 , 0
0.668923 , 0.97966 , 0
0.657523 , 0.995044 , 0
0.646009 , 1.01026 , 0
0.634384 , 1.02529 , 0
0.622652 , 1.04016 , 0
0.610818 , 1.05485 , 0
0.598884 , 1.06938 , 0
0.586854 , 1.08373 , 0
0.574732 , 1.09791 , 0
0.562521 , 1.11192 , 0
0.550224 , 1.12576 , 0
0.537845 , 1.13943 , 0
0.525386 , 1.15294 , 0
0.512852 , 1.16627 , 0
0.500244 , 1.17944 , 0
0.487566 , 1.19245 , 0
0.474821 , 1.20529 , 0
0.462012 , 1.21797 , 0
0.449141 , 1.23049 , 0
0.436211 , 1.24284 , 0
0.423225 , 1.25504 , 0
0.410185 , 1.26707 , 0
0.397094 , 1.27895 , 0
0.383954 , 1.29067 , 0
0.370768 , 1.30223 , 0
0.357538 , 1.31364 , 0
0.344266 , 1.3249 , 0
0.330955 , 1.336 , 0
0.317606 , 1.34695 , 0
0.304222 , 1.35776 , 0
0.290805 , 1.36841 , 0
0.277356 , 1.37892 , 0
0.263878 , 1.38928 , 0
0.250372 , 1.3995 , 0
0.236841 , 1.40957 , 0
0.223286 , 1.4195 , 0
0.209709 , 1.42929 , 0
0.196111 , 1.43894 , 0
0.182494 , 1.44845 , 0
0.16886 , 1.45783 , 0
0.15521 , 1.46707 , 0
0.141546 , 1.47617 , 0
0.12787 , 1.48514 , 0
0.114181 , 1.49398 , 0
0.100483 , 1.50269 , 0
0.0867765 , 1.51126 , 0
0.0730623 , 1.51971 , 0
0.059342 , 1.52804 , 0
0.0456168 , 1.53623 , 0
0.0318879 , 1.5443 , 0
0.0181565 , 1.55225 , 0
0.00442359 , 1.56008 , 0
-0.00930963 , 1.56778 , 0
-0.0230421 , 1.57537 , 0
-0.0367729 , 1.58283 , 0
-0.050501 , 1.59018 , 0
-0.0642253 , 1.59741 , 0
-0.077945 , 1.60453 , 0
-0.0916592 , 1.61153 , 0
-0.105367 , 1.61842 , 0
-0.119067 , 1.6252 , 0
-0.13276 , 1.63187 , 0
-0.146443 , 1.63843 , 0
-0.160117 , 1.64488 , 0
-0.17378 , 1.65122 , 0
-0.187432 , 1.65745 , 0
-0.201073 , 1.66358 , 0
-0.2147 , 1.66961 , 0
-0.228315 , 1.67553 , 0
-0.241915 , 1.68135 , 0
-0.255501 , 1.68707 , 0
-0.269072 , 1.69269 , 0
-0.282627 , 1.69821 , 0
-0.296165 , 1.70364 , 0
-0.309687 , 1.70896 , 0
-0.323191 , 1.71419 , 0
-0.336678 , 1.71933 , 0
-0.350146 , 1.72436 , 0
-0.363595 , 1.72931 , 0
-0.377024 , 1.73417 , 0
-0.390434 , 1.73893 , 0
-0.403823 , 1.7436 , 0
-0.417192 , 1.74818 , 0
-0.43054 , 1.75268 , 0
-0.443865 , 1.75708 , 0
-0.457169 , 1.7614 , 0
-0.470451 , 1.76564 , 0
-0.48371 , 1.76978 , 0
-0.496945 , 1.77385 , 0
-0.510158 , 1.77783 , 0
-0.523346 , 1.78172 , 0
-0.536511 , 1.78554 , 0
-0.549651 , 1.78927 , 0
-0.562766 , 1.79292 , 0
-0.575856 , 1.7965 , 0
-0.588922 , 1.79999 , 0
-0.601961 , 1.80341 , 0
-0.614975 , 1.80675 , 0
-0.627962 , 1.81001 , 0
-0.640924 , 1.8132 , 0
-0.653858 , 1.81631 , 0
-0.666766 , 1.81935 , 0
-0.679647 , 1.82231 , 0
-0.692501 , 1.8252 , 0
-0.705328 , 1.82802 , 0
-0.718126 , 1.83077 , 0
-0.730897 , 1.83344 , 0
-0.74364 , 1.83605 , 0
-0.756355 , 1.83858 , 0
-0.769041 , 1.84105 , 0
-0.781699 , 1.84345 , 0
-0.794328 , 1.84578 , 0
-0.806928 , 1.84804 , 0
-0.819499 , 1.85024 , 0
-0.832041 , 1.85237 , 0
-0.844554 , 1.85444 , 0
-0.857037 , 1.85644 , 0
-0.869491 , 1.85838 , 0
-0.881915 , 1.86025 , 0
-0.894309 , 1.86206 , 0
-0.906674 , 1.86381 , 0
-0.919008 , 1.8655 , 0
-0.931313 , 1.86713 , 0
-0.943587 , 1.86869 , 0
-0.955831 , 1.8702 , 0
-0.968044 , 1.87164 , 0
-0.980227 , 1.87303 , 0
-0.992379 , 1.87436 , 0
-1.0045 , 1.87563 , 0
-1.01659 , 1.87685 , 0
-1.02865 , 1.878 , 0
-1.04068 , 1.8791 , 0
-1.05268 , 1.88015 , 0
-1.06465 , 1.88114 , 0
-1.07658 , 1.88207 , 0
-1.08849 , 1.88295 , 0
-1.10036 , 1.88378 , 0
-1.1122 , 1.88455 , 0
-1.12402 , 1.88527 , 0
-1.1358 , 1.88594 , 0
-1.14754 , 1.88655 , 0
-1.15926 , 1.88711 , 0
-1.17095 , 1.88763 , 0
-1.1826 , 1.88809 , 0
-1.19422 , 1.8885 , 0
-1.20582 , 1.88886 , 0
-1.21738 , 1.88917 , 0
-1.2289 , 1.88943 , 0
-1.2404 , 1.88965 , 0
-1.25187 , 1.88981 , 0
-1.2633 , 1.88993 , 0
-1.2747 , 1.89 , 0
-1.28607 , 1.89002 , 0
-1.29741 , 1.89 , 0
-1.30871 , 1.88993 , 0
-1.31999 , 1.88982 , 0
-1.33123 , 1.88966 , 0
-1.34244 , 1.88945 , 0
-1.35362 , 1.8892 , 0
-1.36477 , 1.8889 , 0
-1.37588 , 1.88857 , 0
-1.38697 , 1.88818 , 0
-1.39802 , 1.88776 , 0
-1.40904 , 1.88729 , 0
-1.42003 , 1.88678 , 0
-1.43099 , 1.88622 , 0
-1.44191 , 1.88563 , 0
-1.4528 , 1.88499 , 0
-1.46367 , 1.88431 , 0
-1.4745 , 1.88359 , 0
-1.48529 , 1.88283 , 0
-1.49606 , 1.88203 , 0
-1.50679 , 1.8812 , 0
-1.5175 , 1.88032 , 0
-1.52817 , 1.8794 , 0
-1.53881 , 1.87844 , 0
-1.54942 , 1.87744 , 0
-1.55999 , 1.87641 , 0
-1.57054 , 1.87534 , 0
-1.58105 , 1.87423 , 0
-1.59153 , 1.87308 , 0
-1.60198 , 1.87189 , 0
-1.6124 , 1.87067 , 0
-1.62278 , 1.86941 , 0
-1.63314 , 1.86812 , 0
-1.64346 , 1.86679 , 0
-1.65375 , 1.86542 , 0
-1.66401 , 1.86402 , 0
-1.67424 , 1.86258 , 0
-1.68444 , 1.86111 , 0
-1.69461 , 1.8596 , 0
-1.70474 , 1.85806 , 0
-1.71485 , 1.85648 , 0
-1.72492 , 1.85487 , 0
-1.73496 , 1.85323 , 0
-1.74497 , 1.85155 , 0
-1.75495 , 1.84985 , 0
-1.76489 , 1.8481 , 0
-1.77481 , 1.84633 , 0
-1.7847 , 1.84452 , 0
-1.79455 , 1.84268 , 0
-1.80437 , 1.84081 , 0
-1.81416 , 1.83891 , 0
-1.82392 , 1.83697 , 0
-1.83365 , 1.835 , 0
-1.84335 , 1.83301 , 0
-1.85302 , 1.83098 , 0
-1.86266 , 1.82892 , 0
-1.87226 , 1.82683 , 0
-1.88184 , 1.82471 , 0
-1.89138 , 1.82257 , 0
-1.9009 , 1.82039 , 0
-1.91038 , 1.81818 , 0
-1.91983 , 1.81594 , 0
-1.92925 , 1.81368 , 0
-1.93865 , 1.81138 , 0
-1.94801 , 1.80906 , 0
-1.95734 , 1.80671 , 0
-1.96664 , 1.80433 , 0
-1.9759 , 1.80192 , 0
-1.98514 , 1.79949 , 0
-1.99435 , 1.79702 , 0
-2.00353 , 1.79453 , 0
-2.01268 , 1.79202 , 0
-2.02179 , 1.78947 , 0
-2.03088 , 1.7869 , 0
-2.03994 , 1.7843 , 0
-2.04896 , 1.78168 , 0
-2.05796 , 1.77903 , 0
-2.06692 , 1.77635 , 0
-2.07586 , 1.77365 , 0
-2.08477 , 1.77092 , 0
-2.09364 , 1.76817 , 0
-2.10249 , 1.76539 , 0
-2.1113 , 1.76258 , 0
-2.12009 , 1.75976 , 0
-2.12885 , 1.7569 , 0
-2.13757 , 1.75402 , 0
-2.14627 , 1.75112 , 0
-2.15494 , 1.74819 , 0
-2.16357 , 1.74524 , 0
-2.17218 , 1.74227 , 0
-2.18076 , 1.73927 , 0
-2.18931 , 1.73624 , 0
-2.19782 , 1.7332 , 0
-2.20631 , 1.73013 , 0
-2.21477 , 1.72704 , 0
-2.2232 , 1.72392 , 0
-2.2316 , 1.72078 , 0
-2.23997 , 1.71762 , 0
-2.24832 , 1.71444 , 0
-2.25663 , 1.71123 , 0
-2.26491 , 1.708 , 0
-2.27317 , 1.70475 , 0
-2.28139 , 1.70148 , 0
-2.28959 , 1.69819 , 0
-2.29775 , 1.69487 , 0
-2.30589 , 1.69154 , 0
-2.314 , 1.68818 , 0
-2.32208 , 1.6848 , 0
-2.33013 , 1.6814 , 0
-2.33815 , 1.67798 , 0
-2.34614 , 1.67454 , 0
-2.3541 , 1.67107 , 0
-2.36204 , 1.66759 , 0
-2.36995 , 1.66409 , 0
-2.37782 , 1.66056 , 0
-2.38567 , 1.65702 , 0
-2.39349 , 1.65346 , 0
-2.40128 , 1.64987 , 0
-2.40904 , 1.64627 , 0
-2.41678 , 1.64265 , 0
-2.42448 , 1.63901 , 0
-2.43216 , 1.63534 , 0
-2.43981 , 1.63166 , 0
-2.44743 , 1.62796 , 0
-2.45502 , 1.62425 , 0
-2.46258 , 1.62051 , 0
-2.47012 , 1.61675 , 0
-2.47763 , 1.61298 , 0
-2.4851 , 1.60919 , 0
-2.49255 , 1.60538 , 0
-2.49998 , 1.60155 , 0
-2.50737 , 1.5977 , 0
-2.51473 , 1.59383 , 0
-2.52207 , 1.58995 , 0
-2.52938 , 1.58605 , 0
-2.53666 , 1.58213 , 0
-2.54392 , 1.5782 , 0
-2.55114 , 1.57425 , 0
-2.55834 , 1.57028 , 0
-2.56551 , 1.56629 , 0
-2.57265 , 1.56228 , 0
-2.57977 , 1.55826 , 0
-2.58685 , 1.55423 , 0
-2.59391 , 1.55017 , 0
-2.60094 , 1.5461 , 0
-2.60795 , 1.54201 , 0
-2.61492 , 1.53791 , 0
-2.62187 , 1.53379 , 0
-2.62879 , 1.52965 , 0
-2.63568 , 1.5255 , 0
-2.64255 , 1.52133 , 0
-2.64939 , 1.51715 , 0
-2.6562 , 1.51295 , 0
-2.66298 , 1.50873 , 0
-2.66974 , 1.5045 , 0
-2.67646 , 1.50026 , 0
-2.68316 , 1.496 , 0
-2.68984 , 1.49172 , 0
-2.69648 , 1.48743 , 0
-2.7031 , 1.48312 , 0
-2.7097 , 1.4788 , 0
-2.71626 , 1.47446 , 0
-2.7228 , 1.47011 , 0
-2.72931 , 1.46574 , 0
-2.73579 , 1.46136 , 0
-2.74225 , 1.45697 , 0
-2.74868 , 1.45256 , 0
-2.75508 , 1.44814 , 0
-2.76146 , 1.4437 , 0
-2.76781 , 1.43925 , 0
-2.77413 , 1.43478 , 0
-2.78043 , 1.4303 , 0
-2.78669 , 1.42581 , 0
-2.79294 , 1.4213 , 0
-2.79915 , 1.41678 , 0
-2.80534 , 1.41225 , 0
-2.8115 , 1.4077 , 0
-2.81764 , 1.40314 , 0
-2.82374 , 1.39857 , 0
-2.82983 , 1.39398 , 0
-2.83588 , 1.38938 , 0
-2.84191 , 1.38476 , 0
-2.84791 , 1.38014 , 0
-2.85389 , 1.3755 , 0
-2.85984 , 1.37085 , 0
-2.86576 , 1.36618 , 0
-2.87165 , 1.36151 , 0
-2.87752 , 1.35682 , 0
-2.88337 , 1.35211 , 0
-2.88919 , 1.3474 , 0
-2.89498 , 1.34267 , 0
-2.90074 , 1.33793 , 0
-2.90648 , 1.33318 , 0
-2.91219 , 1.32842 , 0
-2.91788 , 1.32364 , 0
-2.92354 , 1.31886 , 0
-2.92917 , 1.31406 , 0
-2.93478 , 1.30925 , 0
-2.94036 , 1.30443 , 0
-2.94592 , 1.29959 , 0
-2.95145 , 1.29475 , 0
-2.95695 , 1.28989 , 0
-2.96243 , 1.28503 , 0
-2.96788 , 1.28015 , 0
-2.97331 , 1.27526 , 0
-2.97871 , 1.27036 , 0
-2.98408 , 1.26544 , 0
-2.98943 , 1.26052 , 0
-2.99475 , 1.25559 , 0
-3.00005 , 1.25064 , 0
-3.00532 , 1.24569 , 0
-3.01056 , 1.24072 , 0
-3.01578 , 1.23574 , 0
-3.02098 , 1.23076 , 0
-3.02615 , 1.22576 , 0
-3.03129 , 1.22075 , 0
-3.03641 , 1.21573 , 0
-3.0415 , 1.2107 , 0
-3.04656 , 1.20566 , 0
-3.0516 , 1.20062 , 0
-3.05662 , 1.19556 , 0
-3.06161 , 1.19049 , 0
-3.06657 , 1.18541 , 0
-3.07151 , 1.18032 , 0
-3.07642 , 1.17522 , 0
-3.08131 , 1.17011 , 0
-3.08617 , 1.165 , 0
-3.09101 , 1.15987 , 0
-3.09582 , 1.15473 , 0
-3.10061 , 1.14959 , 0
-3.10537 , 1.14443 , 0
-3.11011 , 1.13926 , 0
-3.11482 , 1.13409 , 0
-3.1195 , 1.12891 , 0
-3.12416 , 1.12371 , 0
-3.1288 , 1.11851 , 0
-3.13341 , 1.1133 , 0
-3.13799 , 1.10808 , 0
-3.14255 , 1.10285 , 0
-3.14709 , 1.09762 , 0
-3.1516 , 1.09237 , 0
-3.15608 , 1.08712 , 0
-3.16054 , 1.08185 , 0
-3.16498 , 1.07658 , 0
-3.16939 , 1.0713 , 0
-3.17377 , 1.06601 , 0
-3.17813 , 1.06072 , 0
-3.18247 , 1.05541 , 0
-3.18678 , 1.0501 , 0
-3.19106 , 1.04478 , 0
-3.19532 , 1.03945 , 0
-3.19956 , 1.03411 , 0
-3.20377 , 1.02876 , 0
-3.20795 , 1.02341 , 0
-3.21212 , 1.01805 , 0
-3.21625 , 1.01268 , 0
-3.22036 , 1.0073 , 0
-3.22445 , 1.00192 , 0
-3.22851 , 0.996523 , 0
-3.23255 , 0.991122 , 0
-3.23656 , 0.985714 , 0
-3.24055 , 0.980299 , 0
-3.24452 , 0.974876 , 0
-3.24846 , 0.969445 , 0
-3.25237 , 0.964008 , 0
-3.25626 , 0.958563 , 0
-3.26013 , 0.953111 , 0
-3.26397 , 0.947651 , 0
-3.26778 , 0.942185 , 0
