x , y , z
0.3075 , 0 , 0
0.305942 , 0.0339891 , 0
0.301292 , 0.0676347 , 0
0.293627 , 0.100603 , 0
0.283067 , 0.13258 , 0
0.269776 , 0.163278 , 0
0.25395 , 0.192441 , 0
0.23581 , 0.219851 , 0
0.215596 , 0.245328 , 0
0.193558 , 0.268729 , 0
0.16995 , 0.289949 , 0
0.145022 , 0.308919 , 0
0.119019 , 0.325598 , 0
0.0921744 , 0.339974 , 0
0.064708 , 0.352057 , 0
0.0368258 , 0.361878 , 0
0.0087181 , 0.369484 , 0
-0.0194405 , 0.374932 , 0
-0.0474908 , 0.378292 , 0
-0.0752886 , 0.379641 , 0
-0.102704 , 0.379059 , 0
-0.129619 , 0.376634 , 0
-0.15593 , 0.372452 , 0
-0.181543 , 0.366602 , 0
-0.206374 , 0.359175 , 0
-0.23035 , 0.350258 , 0
-0.253404 , 0.33994 , 0
-0.275478 , 0.328308 , 0
-0.296521 , 0.315446 , 0
-0.316488 , 0.301439 , 0
-0.335337 , 0.286368 , 0
-0.353033 , 0.270313 , 0
-0.369546 , 0.253351 , 0
-0.384848 , 0.23556 , 0
-0.398916 , 0.217012 , 0
-0.411728 , 0.197782 , 0
-0.423267 , 0.17794 , 0
-0.433517 , 0.157556 , 0
-0.442465 , 0.1367 , 0
-0.4501 , 0.115437 , 0
-0.456414 , 0.0938357 , 0
-0.461397 , 0.0719608 , 0
-0.465046 , 0.0498777 , 0
-0.467354 , 0.0276508 , 0
-0.468321 , 0.00534463 , 0
-0.467944 , -0.0169769 , 0
-0.466224 , -0.0392498 , 0
-0.463162 , -0.0614096 , 0
-0.458762 , -0.0833921 , 0
-0.453028 , -0.105132 , 0
-0.445967 , -0.126564 , 0
-0.437587 , -0.147622 , 0
-0.427897 , -0.168237 , 0
-0.41691 , -0.188343 , 0
-0.40464 , -0.207869 , 0
-0.391103 , -0.226745 , 0
-0.376318 , -0.244897 , 0
-0.360308 , -0.262251 , 0
-0.343098 , -0.278732 , 0
-0.324718 , -0.294263 , 0
-0.3052 , -0.308763 , 0
-0.284584 , -0.32215 , 0
-0.262911 , -0.334343 , 0
-0.240231 , -0.345255 , 0
-0.2166 , -0.354799 , 0
-0.19208 , -0.362888 , 0
-0.166742 , -0.369431 , 0
-0.140666 , -0.37434 , 0
-0.113942 , -0.377523 , 0
-0.0866709 , -0.378892 , 0
-0.0589643 , -0.378359 , 0
-0.0309482 , -0.375841 , 0
-0.00276202 , -0.371257 , 0
0.02544 , -0.364535 , 0
0.0534885 , -0.355611 , 0
0.0811979 , -0.344434 , 0
0.108367 , -0.330966 , 0
0.134781 , -0.315189 , 0
0.160208 , -0.297106 , 0
0.184407 , -0.276746 , 0
0.207129 , -0.254169 , 0
0.228119 , -0.229466 , 0
0.247125 , -0.202767 , 0
0.263901 , -0.174239 , 0
0.278217 , -0.144087 , 0
0.289868 , -0.112554 , 0
0.298677 , -0.0799183 , 0
0.304508 , -0.0464855 , 0
0.307269 , -0.0125839 , 0
0.306916 , 0.0214451 , 0
0.303458 , 0.0552571 , 0
0.296951 , 0.0885142 , 0
0.287504 , 0.120895 , 0
0.275263 , 0.1521 , 0
0.260414 , 0.181865 , 0
0.24317 , 0.209957 , 0
0.223766 , 0.236184 , 0
0.202446 , 0.260389 , 0
0.179463 , 0.282455 , 0
0.15507 , 0.3023 , 0
0.12951 , 0.319874 , 0
0.103023 , 0.335154 , 0
0.0758305 , 0.348142 , 0
0.0481443 , 0.358862 , 0
0.0201592 , 0.367354 , 0
-0.00794521 , 0.373672 , 0
-0.0360048 , 0.377881 , 0
-0.0638703 , 0.380054 , 0
-0.091407 , 0.38027 , 0
-0.118493 , 0.378612 , 0
-0.145021 , 0.375167 , 0
-0.170891 , 0.370024 , 0
-0.196017 , 0.363269 , 0
-0.220322 , 0.354993 , 0
-0.243737 , 0.345282 , 0
-0.266201 , 0.334223 , 0
-0.287658 , 0.321901 , 0
-0.308062 , 0.308401 , 0
-0.32737 , 0.293803 , 0
-0.345544 , 0.278187 , 0
-0.362552 , 0.261633 , 0
-0.378364 , 0.244216 , 0
-0.392955 , 0.22601 , 0
-0.406303 , 0.20709 , 0
-0.418389 , 0.187526 , 0
-0.429195 , 0.167389 , 0
-0.438707 , 0.146747 , 0
-0.446913 , 0.125668 , 0
-0.453803 , 0.104219 , 0
-0.459369 , 0.0824661 , 0
-0.463602 , 0.0604739 , 0
-0.466498 , 0.0383073 , 0
-0.468054 , 0.0160306 , 0
-0.468267 , -0.00629208 , 0
-0.467136 , -0.0285967 , 0
-0.464662 , -0.0508191 , 0
-0.460848 , -0.0728949 , 0
-0.455696 , -0.0947592 , 0
-0.449212 , -0.116347 , 0
-0.441403 , -0.137591 , 0
-0.432278 , -0.158425 , 0
-0.421848 , -0.17878 , 0
-0.410125 , -0.198588 , 0
-0.397125 , -0.217777 , 0
-0.382865 , -0.236275 , 0
-0.367365 , -0.254008 , 0
-0.350651 , -0.270902 , 0
-0.332749 , -0.286878 , 0
-0.31369 , -0.301856 , 0
-0.293511 , -0.315757 , 0
-0.272252 , -0.328496 , 0
-0.24996 , -0.339988 , 0
-0.226688 , -0.350147 , 0
-0.202495 , -0.358884 , 0
-0.17745 , -0.36611 , 0
-0.151627 , -0.371733 , 0
-0.125115 , -0.375664 , 0
-0.0980077 , -0.37781 , 0
-0.0704151 , -0.378085 , 0
-0.0424577 , -0.3764 , 0
-0.0142701 , -0.372674 , 0
0.0139986 , -0.366831 , 0
0.0421839 , -0.358803 , 0
0.0701056 , -0.348532 , 0
0.0975674 , -0.335975 , 0
0.124358 , -0.321106 , 0
0.15025 , -0.303919 , 0
0.175007 , -0.284434 , 0
0.198379 , -0.262698 , 0
0.220111 , -0.238792 , 0
0.23995 , -0.212831 , 0
0.257646 , -0.184969 , 0
0.272962 , -0.155399 , 0
0.285682 , -0.124351 , 0
0.295618 , -0.0920909 , 0
0.302619 , -0.0589167 , 0
0.306577 , -0.02515 , 0
0.307431 , 0.00887139 , 0
0.30517 , 0.0428029 , 0
0.299836 , 0.0763033 , 0
0.291518 , 0.109044 , 0
0.280351 , 0.14072 , 0
0.266507 , 0.171051 , 0
0.25019 , 0.199796 , 0
0.231626 , 0.226746 , 0
0.211058 , 0.251734 , 0
0.188736 , 0.27463 , 0
0.16491 , 0.295338 , 0
0.139828 , 0.313797 , 0
0.11373 , 0.329975 , 0
0.0868439 , 0.343866 , 0
0.0593839 , 0.355486 , 0
0.0315501 , 0.364867 , 0
0.00352697 , 0.37206 , 0
-0.0245163 , 0.377123 , 0
-0.0524258 , 0.380128 , 0
-0.0800617 , 0.38115 , 0
-0.107298 , 0.38027 , 0
-0.134022 , 0.377574 , 0
-0.160132 , 0.373148 , 0
-0.185537 , 0.367079 , 0
-0.210156 , 0.359455 , 0
-0.233917 , 0.350363 , 0
-0.256756 , 0.339891 , 0
-0.278616 , 0.328123 , 0
-0.299447 , 0.315142 , 0
-0.319203 , 0.301031 , 0
-0.337846 , 0.285869 , 0
-0.35534 , 0.269735 , 0
-0.371654 , 0.252706 , 0
-0.386762 , 0.234857 , 0
-0.40064 , 0.216261 , 0
-0.413266 , 0.196989 , 0
-0.424623 , 0.177112 , 0
-0.434695 , 0.156699 , 0
-0.443469 , 0.135819 , 0
-0.450933 , 0.114536 , 0
-0.457077 , 0.0929192 , 0
-0.461893 , 0.0710321 , 0
-0.465376 , 0.0489398 , 0
-0.46752 , 0.0267068 , 0
-0.468323 , 0.0043972 , 0
-0.467782 , -0.0179251 , 0
-0.465897 , -0.0401958 , 0
-0.462669 , -0.0623507 , 0
-0.458101 , -0.0843251 , 0
-0.452198 , -0.106053 , 0
-0.444964 , -0.12747 , 0
-0.436408 , -0.148508 , 0
-0.426539 , -0.169099 , 0
-0.415369 , -0.189173 , 0
-0.402911 , -0.208662 , 0
-0.389182 , -0.227492 , 0
-0.374201 , -0.245591 , 0
-0.35799 , -0.262882 , 0
-0.340575 , -0.279289 , 0
-0.321985 , -0.294733 , 0
-0.302255 , -0.309132 , 0
-0.281422 , -0.322404 , 0
-0.259531 , -0.334464 , 0
-0.236632 , -0.345224 , 0
-0.212781 , -0.354597 , 0
-0.188044 , -0.362493 , 0
-0.162493 , -0.368819 , 0
-0.136211 , -0.373485 , 0
-0.10929 , -0.376399 , 0
-0.0818335 , -0.377471 , 0
-0.0539588 , -0.376612 , 0
-0.0257952 , -0.373738 , 0
0.00251288 , -0.368769 , 0
0.0308062 , -0.361633 , 0
0.0589097 , -0.352267 , 0
0.0866321 , -0.340623 , 0
0.113766 , -0.326667 , 0
0.140091 , -0.310385 , 0
0.165369 , -0.291786 , 0
0.189356 , -0.270908 , 0
0.211798 , -0.247819 , 0
0.232438 , -0.222621 , 0
0.251023 , -0.195456 , 0
0.26731 , -0.166502 , 0
0.281076 , -0.135977 , 0
0.29212 , -0.104136 , 0
0.300278 , -0.0712652 , 0
0.305425 , -0.0376802 , 0
0.307484 , -0.00371421 , 0
0.306426 , 0.0302894 , 0
0.302275 , 0.0639873 , 0
0.295104 , 0.0970459 , 0
0.285032 , 0.12915 , 0
0.272218 , 0.160013 , 0
0.256857 , 0.189377 , 0
0.239166 , 0.217025 , 0
0.219383 , 0.242773 , 0
0.197754 , 0.266479 , 0
0.17453 , 0.288036 , 0
0.14996 , 0.307371 , 0
0.124284 , 0.324441 , 0
0.0977359 , 0.339232 , 0
0.0705328 , 0.35175 , 0
0.0428794 , 0.362023 , 0
0.0149652 , 0.370093 , 0
-0.0130358 , 0.376018 , 0
-0.0409646 , 0.379861 , 0
-0.068677 , 0.381698 , 0
-0.0960424 , 0.381606 , 0
-0.122943 , 0.379668 , 0
-0.149274 , 0.37597 , 0
-0.17494 , 0.370598 , 0
-0.199857 , 0.363639 , 0
-0.22395 , 0.35518 , 0
-0.247151 , 0.345307 , 0
-0.269401 , 0.334105 , 0
-0.290647 , 0.321657 , 0
-0.310841 , 0.308046 , 0
-0.329942 , 0.293352 , 0
-0.347914 , 0.277653 , 0
-0.364722 , 0.261026 , 0
-0.38034 , 0.243547 , 0
-0.39474 , 0.225288 , 0
-0.407902 , 0.206323 , 0
-0.419805 , 0.18672 , 0
-0.430432 , 0.166551 , 0
-0.439769 , 0.145882 , 0
-0.447803 , 0.124781 , 0
-0.454523 , 0.103313 , 0
-0.459921 , 0.0815456 , 0
-0.463988 , 0.0595419 , 0
-0.46672 , 0.0373668 , 0
-0.468111 , 0.0150844 , 0
-0.46816 , -0.0072413 , 0
-0.466865 , -0.0295462 , 0
-0.464225 , -0.051766 , 0
-0.460244 , -0.0738361 , 0
-0.454922 , -0.0956914 , 0
-0.448267 , -0.117266 , 0
-0.440283 , -0.138493 , 0
-0.43098 , -0.159305 , 0
-0.420367 , -0.179633 , 0
-0.408458 , -0.199407 , 0
-0.395266 , -0.218555 , 0
-0.380811 , -0.237004 , 0
-0.365111 , -0.254679 , 0
-0.348192 , -0.271504 , 0
-0.330081 , -0.287398 , 0
-0.31081 , -0.302283 , 0
-0.290414 , -0.316074 , 0
-0.268937 , -0.328687 , 0
-0.246424 , -0.340036 , 0
-0.222931 , -0.350031 , 0
-0.198519 , -0.358584 , 0
-0.173257 , -0.365601 , 0
-0.147223 , -0.370991 , 0
-0.120508 , -0.374662 , 0
-0.0932099 , -0.376522 , 0
-0.0654411 , -0.37648 , 0
-0.0373267 , -0.374449 , 0
-0.00900586 , -0.370348 , 0
0.0193672 , -0.3641 , 0
0.0476225 , -0.355638 , 0
0.075574 , -0.344908 , 0
0.10302 , -0.331868 , 0
0.129742 , -0.316497 , 0
0.155508 , -0.298796 , 0
0.180075 , -0.27879 , 0
0.203191 , -0.256538 , 0
0.224598 , -0.232128 , 0
0.244041 , -0.205687 , 0
0.261272 , -0.177383 , 0
0.276058 , -0.147418 , 0
0.288189 , -0.116036 , 0
0.297488 , -0.0835137 , 0
0.303815 , -0.0501569 , 0
0.307075 , -0.0162938 , 0
0.307223 , 0.0177345 , 0
0.304264 , 0.0515834 , 0
0.298255 , 0.084915 , 0
0.289297 , 0.117407 , 0
0.277539 , 0.148763 , 0
0.26316 , 0.178714 , 0
0.246373 , 0.20703 , 0
0.227407 , 0.233514 , 0
0.206505 , 0.258011 , 0
0.183917 , 0.280402 , 0
0.159892 , 0.300601 , 0
0.134673 , 0.318555 , 0
0.108494 , 0.33424 , 0
0.0815789 , 0.347655 , 0
0.0541356 , 0.35882 , 0
0.0263585 , 0.367772 , 0
-0.00157368 , 0.374562 , 0
-0.029497 , 0.379251 , 0
-0.0572624 , 0.38191 , 0
-0.0847347 , 0.382615 , 0
-0.111792 , 0.381445 , 0
-0.138325 , 0.378486 , 0
-0.164235 , 0.373822 , 0
-0.189434 , 0.36754 , 0
-0.213843 , 0.359726 , 0
-0.237392 , 0.350465 , 0
-0.260019 , 0.339842 , 0
-0.281667 , 0.327941 , 0
-0.302289 , 0.314843 , 0
-0.321838 , 0.30063 , 0
-0.340278 , 0.285379 , 0
-0.357572 , 0.269169 , 0
-0.373691 , 0.252073 , 0
-0.388608 , 0.234166 , 0
-0.402298 , 0.215521 , 0
-0.414741 , 0.196207 , 0
-0.425919 , 0.176295 , 0
-0.435815 , 0.155852 , 0
-0.444416 , 0.134946 , 0
-0.451709 , 0.113643 , 0
-0.457685 , 0.092008 , 0
-0.462335 , 0.070107 , 0
-0.465653 , 0.0480039 , 0
-0.467633 , 0.025763 , 0
-0.468272 , 0.00344805 , 0
-0.467566 , -0.0188767 , 0
-0.465516 , -0.0411472 , 0
-0.462122 , -0.0632989 , 0
-0.457385 , -0.0852668 , 0
-0.45131 , -0.106985 , 0
-0.443903 , -0.128388 , 0
-0.435169 , -0.149406 , 0
-0.425119 , -0.169973 , 0
-0.413763 , -0.190018 , 0
-0.401115 , -0.20947 , 0
-0.387191 , -0.228255 , 0
-0.372011 , -0.2463 , 0
-0.355596 , -0.263527 , 0
-0.337973 , -0.279858 , 0
-0.319171 , -0.295213 , 0
-0.299224 , -0.30951 , 0
-0.278172 , -0.322663 , 0
-0.256059 , -0.334587 , 0
-0.232938 , -0.345192 , 0
-0.208865 , -0.354388 , 0
-0.183909 , -0.362084 , 0
-0.158143 , -0.368186 , 0
-0.131653 , -0.372602 , 0
-0.104535 , -0.375239 , 0
-0.0768948 , -0.376005 , 0
-0.048854 , -0.37481 , 0
-0.0205465 , -0.37157 , 0
0.00787841 , -0.366206 , 0
0.0362561 , -0.358645 , 0
0.0644057 , -0.348827 , 0
0.09213 , -0.336706 , 0
0.119216 , -0.322253 , 0
0.145436 , -0.305458 , 0
0.170549 , -0.286339 , 0
0.194304 , -0.26494 , 0
0.216445 , -0.241339 , 0
0.236713 , -0.215651 , 0
0.254857 , -0.188027 , 0
0.270636 , -0.158659 , 0
0.283832 , -0.127776 , 0
0.294255 , -0.0956452 , 0
0.30175 , -0.0625623 , 0
0.306206 , -0.0288494 , 0
0.30756 , 0.0051558 , 0
0.3058 , 0.0391088 , 0
0.300964 , 0.0726683 , 0
0.29314 , 0.105506 , 0
0.282458 , 0.137316 , 0
0.26909 , 0.16782 , 0
0.253235 , 0.196772 , 0
0.235118 , 0.223967 , 0
0.214977 , 0.249234 , 0
0.193059 , 0.27244 , 0
0.169612 , 0.29349 , 0
0.144883 , 0.31232 , 0
0.119107 , 0.328894 , 0
0.0925104 , 0.343203 , 0
0.0653072 , 0.35526 , 0
0.0376956 , 0.365096 , 0
0.00985932 , 0.372755 , 0
-0.018033 , 0.378296 , 0
-0.0458275 , 0.381784 , 0
-0.0733844 , 0.383294 , 0
-0.100577 , 0.382903 , 0
-0.127293 , 0.380693 , 0
-0.153428 , 0.376748 , 0
-0.178892 , 0.371154 , 0
-0.203602 , 0.363996 , 0
-0.227484 , 0.35536 , 0
-0.250475 , 0.345329 , 0
-0.272514 , 0.333987 , 0
-0.293551 , 0.321417 , 0
-0.313539 , 0.307698 , 0
-0.332436 , 0.292909 , 0
-0.350208 , 0.277128 , 0
-0.366821 , 0.26043 , 0
-0.382246 , 0.242889 , 0
-0.396459 , 0.224577 , 0
-0.409436 , 0.205566 , 0
-0.421159 , 0.185925 , 0
-0.431609 , 0.165722 , 0
-0.440773 , 0.145025 , 0
-0.448636 , 0.1239 , 0
-0.455188 , 0.102413 , 0
-0.460419 , 0.0806287 , 0
-0.464321 , 0.0586118 , 0
-0.466889 , 0.0364264 , 0
-0.468116 , 0.0141365 , 0
-0.468001 , -0.00819403 , 0
-0.466541 , -0.030501 , 0
-0.463735 , -0.05272 , 0
-0.459585 , -0.0747861 , 0
-0.454093 , -0.096634 , 0
-0.447264 , -0.118197 , 0
-0.439104 , -0.139409 , 0
-0.42962 , -0.1602 , 0
-0.418823 , -0.180501 , 0
-0.406725 , -0.200242 , 0
-0.39334 , -0.219349 , 0
-0.378686 , -0.237749 , 0
-0.362783 , -0.255365 , 0
-0.345656 , -0.272119 , 0
-0.327333 , -0.287931 , 0
-0.307845 , -0.302718 , 0
-0.28723 , -0.316398 , 0
-0.26553 , -0.328882 , 0
-0.242794 , -0.340083 , 0
-0.219077 , -0.34991 , 0
-0.194443 , -0.358272 , 0
-0.168963 , -0.365074 , 0
-0.142717 , -0.370224 , 0
-0.115799 , -0.373628 , 0
-0.08831 , -0.375191 , 0
-0.0603666 , -0.374824 , 0
-0.0320982 , -0.372438 , 0
-0.00364869 , -0.36795 , 0
0.0248224 , -0.361287 , 0
0.0531395 , -0.352381 , 0
0.0811105 , -0.341181 , 0
0.108527 , -0.327649 , 0
0.135166 , -0.311769 , 0
0.16079 , -0.293547 , 0
0.18515 , -0.273018 , 0
0.20799 , -0.250247 , 0
0.22905 , -0.225336 , 0
0.248076 , -0.198423 , 0
0.264821 , -0.169685 , 0
0.279058 , -0.139341 , 0
0.290584 , -0.107643 , 0
0.299233 , -0.074879 , 0
0.304876 , -0.0413631 , 0
0.307435 , -0.00742871 , 0
0.306878 , 0.026581 , 0
0.303227 , 0.0603227 , 0
0.296552 , 0.0934627 , 0
0.286969 , 0.125687 , 0
0.274636 , 0.156706 , 0
0.259743 , 0.186264 , 0
0.242505 , 0.214141 , 0
0.223157 , 0.240154 , 0
0.201942 , 0.264159 , 0
0.179108 , 0.286046 , 0
0.154901 , 0.30574 , 0
0.12956 , 0.323196 , 0
0.103315 , 0.338395 , 0
0.0763823 , 0.351343 , 0
0.0489653 , 0.362064 , 0
0.0212524 , 0.370596 , 0
-0.00658295 , 0.376994 , 0
-0.0343821 , 0.381318 , 0
-0.0620007 , 0.38364 , 0
-0.089308 , 0.384036 , 0
-0.116186 , 0.382586 , 0
-0.142528 , 0.379371 , 0
-0.168239 , 0.374477 , 0
-0.193234 , 0.367987 , 0
-0.217435 , 0.359987 , 0
-0.240775 , 0.350561 , 0
-0.263192 , 0.339792 , 0
-0.284633 , 0.327761 , 0
-0.305048 , 0.31455 , 0
-0.324394 , 0.300237 , 0
-0.342634 , 0.284899 , 0
-0.359732 , 0.268612 , 0
-0.375658 , 0.25145 , 0
-0.390386 , 0.233486 , 0
-0.403892 , 0.214791 , 0
-0.416154 , 0.195435 , 0
-0.427154 , 0.175486 , 0
-0.436876 , 0.155012 , 0
-0.445305 , 0.134079 , 0
