x , y , z
1 , 0 , 0
0.993093 , 0.12083 , 0
0.965218 , 0.239056 , 0
0.91659 , 0.352033 , 0
0.847486 , 0.456985 , 0
0.758301 , 0.550891 , 0
0.649634 , 0.630366 , 0
0.522439 , 0.691517 , 0
0.378278 , 0.72977 , 0
0.219749 , 0.739707 , 0
0.0512008 , 0.714962 , 0
-0.120077 , 0.6484 , 0
-0.282089 , 0.533139 , 0
-0.416184 , 0.365562 , 0
-0.497327 , 0.151682 , 0
-0.502062 , -0.0854145 , 0
-0.424732 , -0.308552 , 0
-0.283973 , -0.485721 , 0
-0.108665 , -0.604107 , 0
0.0769863 , -0.666171 , 0
0.257375 , -0.680586 , 0
0.423624 , -0.656868 , 0
0.571029 , -0.603427 , 0
0.697265 , -0.527215 , 0
0.801314 , -0.433889 , 0
0.882866 , -0.328092 , 0
0.941986 , -0.21371 , 0
0.978935 , -0.0940899 , 0
0.994072 , 0.027792 , 0
0.987803 , 0.149196 , 0
0.960567 , 0.267503 , 0
0.912839 , 0.380122 , 0
0.845151 , 0.484388 , 0
0.758143 , 0.577477 , 0
0.652633 , 0.656298 , 0
0.529747 , 0.717385 , 0
0.39111 , 0.756774 , 0
0.239166 , 0.76988 , 0
0.0776923 , 0.751416 , 0
-0.0873821 , 0.695489 , 0
-0.246731 , 0.596144 , 0
-0.386053 , 0.44907 , 0
-0.485118 , 0.255504 , 0
-0.520591 , 0.0286329 , 0
-0.476763 , -0.202505 , 0
-0.35887 , -0.402174 , 0
-0.19144 , -0.546437 , 0
-0.00258244 , -0.629962 , 0
0.186687 , -0.6591 , 0
0.363645 , -0.643946 , 0
0.521443 , -0.594355 , 0
0.656734 , -0.518704 , 0
0.768114 , -0.423819 , 0
0.855227 , -0.315225 , 0
0.91826 , -0.197464 , 0
0.957683 , -0.0743597 , 0
0.974104 , 0.0507726 , 0
0.968202 , 0.174954 , 0
0.9407 , 0.295412 , 0
0.892365 , 0.409465 , 0
0.824035 , 0.514433 , 0
0.736661 , 0.607542 , 0
0.63138 , 0.685843 , 0
0.509628 , 0.746121 , 0
0.373304 , 0.784817 , 0
0.225029 , 0.797953 , 0
0.0685336 , 0.781111 , 0
-0.0907559 , 0.729541 , 0
-0.244877 , 0.638586 , 0
-0.382281 , 0.504792 , 0
-0.487047 , 0.328321 , 0
-0.539861 , 0.117097 , 0
-0.523528 , -0.108951 , 0
-0.433299 , -0.319518 , 0
-0.283114 , -0.485847 , 0
-0.0984906 , -0.593185 , 0
0.0960324 , -0.64161 , 0
0.283124 , -0.639264 , 0
0.452516 , -0.596456 , 0
0.598831 , -0.522848 , 0
0.719623 , -0.426621 , 0
0.814095 , -0.31448 , 0
0.882348 , -0.191914 , 0
0.924953 , -0.0634842 , 0
0.942733 , 0.0669258 , 0
0.936641 , 0.195906 , 0
0.907715 , 0.32036 , 0
0.857068 , 0.437378 , 0
0.785909 , 0.544127 , 0
0.695587 , 0.637767 , 0
0.587664 , 0.715372 , 0
0.464019 , 0.773865 , 0
0.327002 , 0.809967 , 0
0.179647 , 0.820178 , 0
0.0259811 , 0.800817 , 0
-0.128556 , 0.748183 , 0
-0.276559 , 0.658958 , 0
-0.408051 , 0.531075 , 0
-0.510113 , 0.365328 , 0
-0.56754 , 0.167928 , 0
-0.565871 , -0.046728 , 0
-0.497498 , -0.255706 , 0
-0.367793 , -0.433044 , 0
-0.194792 , -0.559356 , 0
-0.00150433 , -0.627517 , 0
0.192006 , -0.640803 , 0
0.371791 , -0.607796 , 0
0.52952 , -0.538396 , 0
0.660849 , -0.441857 , 0
0.763926 , -0.326148 , 0
0.838372 , -0.197942 , 0
0.884648 , -0.0628116 , 0
0.90369 , 0.0745292 , 0
0.896706 , 0.210003 , 0
0.865082 , 0.339989 , 0
0.810345 , 0.461173 , 0
0.734171 , 0.570433 , 0
0.638422 , 0.664745 , 0
0.52522 , 0.74112 , 0
0.397041 , 0.79655 , 0
0.256856 , 0.827997 , 0
0.10831 , 0.83242 , 0
-0.0440477 , 0.806871 , 0
-0.194475 , 0.748711 , 0
-0.335723 , 0.656021 , 0
-0.45878 , 0.528315 , 0
-0.552879 , 0.367664 , 0
-0.606194 , 0.180212 , 0
-0.607799 , -0.0223521 , 0
-0.551142 , -0.222558 , 0
-0.437889 , -0.39973 , 0
-0.279328 , -0.535399 , 0
-0.0934002 , -0.618515 , 0
0.10079 , -0.647011 , 0
0.287285 , -0.625683 , 0
0.45485 , -0.562862 , 0
0.596591 , -0.467846 , 0
0.708865 , -0.349491 , 0
0.790225 , -0.215661 , 0
0.840626 , -0.0731399 , 0
0.860892 , 0.0722561 , 0
0.8524 , 0.215506 , 0
0.816892 , 0.352209 , 0
0.756385 , 0.478435 , 0
0.673146 , 0.590601 , 0
0.569712 , 0.685384 , 0
0.448943 , 0.759658 , 0
0.314101 , 0.810473 , 0
0.168964 , 0.835068 , 0
