x , y , z
5.2 , 0 , 0
5.19998 , 0.0150929 , 0
5.19991 , 0.0301857 , 0
5.19985 , 0.0452784 , 0
5.19978 , 0.0603712 , 0
5.19972 , 0.075464 , 0
5.19965 , 0.0905567 , 0
5.19959 , 0.10565 , 0
5.19952 , 0.120742 , 0
5.19946 , 0.135835 , 0
5.19939 , 0.150928 , 0
5.19932 , 0.166021 , 0
5.19926 , 0.181113 , 0
5.19919 , 0.196206 , 0
5.19913 , 0.211299 , 0
5.19906 , 0.226392 , 0
5.199 , 0.241484 , 0
5.19893 , 0.256577 , 0
5.19887 , 0.27167 , 0
5.1988 , 0.286763 , 0
5.19874 , 0.301856 , 0
5.19867 , 0.316948 , 0
5.1986 , 0.332041 , 0
5.19854 , 0.347134 , 0
5.19847 , 0.362227 , 0
5.19841 , 0.377319 , 0
5.19834 , 0.392412 , 0
5.19828 , 0.407505 , 0
5.19821 , 0.422598 , 0
5.19815 , 0.43769 , 0
5.19808 , 0.452783 , 0
5.19802 , 0.467876 , 0
5.19795 , 0.482969 , 0
5.19789 , 0.498062 , 0
5.19782 , 0.513154 , 0
5.19775 , 0.528247 , 0
5.19769 , 0.54334 , 0
5.19762 , 0.558433 , 0
5.19756 , 0.573525 , 0
5.19749 , 0.588618 , 0
5.19743 , 0.603711 , 0
5.19736 , 0.618804 , 0
5.1973 , 0.633896 , 0
5.19723 , 0.648989 , 0
5.19717 , 0.664082 , 0
5.1971 , 0.679175 , 0
5.19704 , 0.694268 , 0
5.19697 , 0.70936 , 0
5.1969 , 0.724453 , 0
5.19684 , 0.739546 , 0
5.19677 , 0.754639 , 0
5.19671 , 0.769731 , 0
5.19664 , 0.784824 , 0
5.19658 , 0.799917 , 0
5.19651 , 0.81501 , 0
5.19645 , 0.830102 , 0
5.19638 , 0.845195 , 0
5.19632 , 0.860288 , 0
5.19625 , 0.875381 , 0
5.19618 , 0.890474 , 0
5.19612 , 0.905566 , 0
5.19605 , 0.920659 , 0
5.19599 , 0.935752 , 0
5.19592 , 0.950845 , 0
5.19586 , 0.965937 , 0
5.19579 , 0.98103 , 0
5.19573 , 0.996123 , 0
5.19566 , 1.01122 , 0
5.1956 , 1.02631 , 0
5.19553 , 1.0414 , 0
5.19547 , 1.05649 , 0
5.1954 , 1.07159 , 0
5.19533 , 1.08668 , 0
5.19527 , 1.10177 , 0
5.1952 , 1.11687 , 0
5.19514 , 1.13196 , 0
5.19507 , 1.14705 , 0
