x , y , z
1 , 0 , 0
0.970802 , 0.332284 , 0
0.889101 , 0.646597 , 0
0.807383 , 0.960896 , 0
0.725656 , 1.27518 , 0
0.643923 , 1.58946 , 0
0.562188 , 1.90372 , 0
0.480452 , 2.21798 , 0
0.398717 , 2.53223 , 0
0.316981 , 2.84648 , 0
0.235246 , 3.16072 , 0
0.153512 , 3.47496 , 0
0.0717787 , 3.7892 , 0
-0.00995399 , 4.10344 , 0
-0.091686 , 4.41767 , 0
-0.173417 , 4.7319 , 0
-0.255148 , 5.04614 , 0
-0.336878 , 5.36036 , 0
-0.418607 , 5.67459 , 0
-0.500336 , 5.98882 , 0
-0.582064 , 6.30304 , 0
-0.663792 , 6.61727 , 0
-0.745519 , 6.93149 , 0
-0.827246 , 7.24572 , 0
-0.908973 , 7.55994 , 0
-0.990699 , 7.87416 , 0
-1.07242 , 8.18838 , 0
-1.15415 , 8.5026 , 0
-1.23587 , 8.81682 , 0
-1.3176 , 9.13104 , 0
-1.39932 , 9.44525 , 0
-1.48105 , 9.75947 , 0
-1.56277 , 10.0737 , 0
-1.64449 , 10.3879 , 0
-1.72622 , 10.7021 , 0
-1.80794 , 11.0163 , 0
-1.88966 , 11.3306 , 0
-1.97139 , 11.6448 , 0
-2.05311 , 11.959 , 0
-2.13483 , 12.2732 , 0
-2.21655 , 12.5874 , 0
-2.29827 , 12.9016 , 0
-2.38 , 13.2158 , 0
-2.46172 , 13.53 , 0
-2.54344 , 13.8443 , 0
-2.62516 , 14.1585 , 0
-2.70688 , 14.4727 , 0
-2.7886 , 14.7869 , 0
-2.87032 , 15.1011 , 0
-2.95204 , 15.4153 , 0
-3.03376 , 15.7295 , 0
-3.11548 , 16.0437 , 0
-3.1972 , 16.3579 , 0
-3.27892 , 16.6722 , 0
-3.36064 , 16.9864 , 0
-3.44236 , 17.3006 , 0
-3.52408 , 17.6148 , 0
-3.6058 , 17.929 , 0
-3.68752 , 18.2432 , 0
-3.76924 , 18.5574 , 0
-3.85096 , 18.8716 , 0
-3.93268 , 19.1858 , 0
-4.0144 , 19.5 , 0
-4.09612 , 19.8142 , 0
-4.17784 , 20.1285 , 0
-4.25956 , 20.4427 , 0
-4.34128 , 20.7569 , 0
-4.423 , 21.0711 , 0
-4.50471 , 21.3853 , 0
-4.58643 , 21.6995 , 0
-4.66815 , 22.0137 , 0
-4.74987 , 22.3279 , 0
-4.83159 , 22.6421 , 0
-4.91331 , 22.9563 , 0
-4.99503 , 23.2705 , 0
-5.07674 , 23.5847 , 0
-5.15846 , 23.8989 , 0
-5.24018 , 24.2131 , 0
-5.3219 , 24.5274 , 0
-5.40362 , 24.8416 , 0
