x , y , z
0 , 0 , 0
2.78372e-007 , 0 , 0
-8.97768e+007 , 6.18813e-009 , 0
-1.79554e+008 , 1.23763e-008 , 0
-2.6933e+008 , 1.85644e-008 , 0
-3.59107e+008 , 2.47525e-008 , 0
-4.48884e+008 , 3.09407e-008 , 0
-5.38661e+008 , 3.71288e-008 , 0
-6.28438e+008 , 4.33169e-008 , 0
-7.18215e+008 , 4.9505e-008 , 0
-8.07991e+008 , 5.56932e-008 , 0
-8.97768e+008 , 6.18813e-008 , 0
-9.87545e+008 , 6.80694e-008 , 0
-1.07732e+009 , 7.42576e-008 , 0
-1.1671e+009 , 8.04457e-008 , 0
-1.25688e+009 , 8.66338e-008 , 0
-1.34665e+009 , 9.2822e-008 , 0
-1.43643e+009 , 9.90101e-008 , 0
-1.52621e+009 , 1.05198e-007 , 0
-1.61598e+009 , 1.11386e-007 , 0
-1.70576e+009 , 1.17574e-007 , 0
-1.79554e+009 , 1.23763e-007 , 0
-1.88531e+009 , 1.29951e-007 , 0
-1.97509e+009 , 1.36139e-007 , 0
-2.06487e+009 , 1.42327e-007 , 0
-2.15464e+009 , 1.48515e-007 , 0
-2.24442e+009 , 1.54703e-007 , 0
-2.3342e+009 , 1.60891e-007 , 0
-2.42397e+009 , 1.6708e-007 , 0
-2.51375e+009 , 1.73268e-007 , 0
-2.60353e+009 , 1.79456e-007 , 0
-2.6933e+009 , 1.85644e-007 , 0
-2.78308e+009 , 1.91832e-007 , 0
-2.87286e+009 , 1.9802e-007 , 0
-2.96264e+009 , 2.04208e-007 , 0
-3.05241e+009 , 2.10396e-007 , 0
-3.14219e+009 , 2.16585e-007 , 0
-3.23197e+009 , 2.22773e-007 , 0
-3.32174e+009 , 2.28961e-007 , 0
-3.41152e+009 , 2.35149e-007 , 0
-3.5013e+009 , 2.41337e-007 , 0
-3.59107e+009 , 2.47525e-007 , 0
-3.68085e+009 , 2.53713e-007 , 0
-3.77063e+009 , 2.59901e-007 , 0
-3.8604e+009 , 2.6609e-007 , 0
-3.95018e+009 , 2.72278e-007 , 0
