x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.973433 , -1.75648e-005
-0.204459 , 0.970005 , -1.68913e-005
-0.221526 , 0.966278 , -1.62052e-005
-0.238525 , 0.962254 , -1.55068e-005
-0.255451 , 0.957933 , -1.47961e-005
-0.2723 , 0.953317 , -1.40735e-005
-0.289064 , 0.948407 , -1.3339e-005
-0.30574 , 0.943205 , -1.25929e-005
-0.322323 , 0.937713 , -1.18355e-005
-0.338807 , 0.931932 , -1.10669e-005
-0.355186 , 0.925864 , -1.02875e-005
-0.371457 , 0.919512 , -9.49748e-006
-0.387614 , 0.912877 , -8.69714e-006
-0.403652 , 0.905961 , -7.88679e-006
-0.419566 , 0.898767 , -7.06674e-006
-0.435352 , 0.891297 , -6.23733e-006
-0.451004 , 0.883554 , -5.39891e-006
-0.466517 , 0.875539 , -4.55184e-006
-0.481888 , 0.867257 , -3.69651e-006
-0.497111 , 0.858709 , -2.83331e-006
-0.512182 , 0.849898 , -1.96268e-006
-0.527097 , 0.840827 , -1.08506e-006
-0.54185 , 0.8315 , -2.00918e-007
-0.556438 , 0.821918 , 6.89257e-007
-0.570856 , 0.812087 , 1.58494e-006
-0.5851 , 0.802008 , 2.48557e-006
-0.599165 , 0.791685 , 3.39057e-006
-0.613049 , 0.781122 , 4.29929e-006
-0.626747 , 0.770321 , 5.21104e-006
-0.640254 , 0.759288 , 6.12505e-006
-0.653568 , 0.748024 , 7.04045e-006
-0.666684 , 0.736535 , 7.95616e-006
-0.679599 , 0.724824 , 8.87067e-006
-0.692312 , 0.712897 , 9.77672e-006
-0.70482 , 0.700758 , 1.06673e-005
-0.717122 , 0.688413 , 1.15357e-005
-0.729215 , 0.675867 , 1.23754e-005
-0.741098 , 0.663125 , 1.31798e-005
-0.75277 , 0.650191 , 1.39427e-005
-0.764229 , 0.637072 , 1.46581e-005
-0.775474 , 0.623771 , 1.532e-005
-0.786504 , 0.610293 , 1.59225e-005
-0.797317 , 0.596643 , 1.64601e-005
-0.807913 , 0.582827 , 1.69272e-005
-0.818291 , 0.568847 , 1.73185e-005
-0.828449 , 0.55471 , 1.76287e-005
-0.838387 , 0.54042 , 1.78528e-005
-0.848105 , 0.52598 , 1.79859e-005
-0.857601 , 0.511396 , 1.8023e-005
-0.866875 , 0.496672 , 1.79595e-005
-0.875927 , 0.481812 , 1.77907e-005
-0.884756 , 0.46682 , 1.75124e-005
-0.893362 , 0.451701 , 1.712e-005
-0.901744 , 0.436459 , 1.66094e-005
-0.909902 , 0.421097 , 1.59765e-005
-0.917837 , 0.405621 , 1.52173e-005
-0.925547 , 0.390033 , 1.43278e-005
-0.933033 , 0.374338 , 1.33042e-005
-0.940295 , 0.358539 , 1.2143e-005
-0.947332 , 0.342641 , 1.08404e-005
-0.954145 , 0.326648 , 9.39296e-006
-0.960734 , 0.310562 , 7.79729e-006
-0.967099 , 0.294388 , 6.05007e-006
-0.973241 , 0.278129 , 4.14806e-006
-0.979158 , 0.261789 , 2.08813e-006
-0.984853 , 0.245371 , -1.32793e-007
-0.990324 , 0.228879 , -2.51768e-006
-0.995572 , 0.212316 , -5.06943e-006
-1.0006 , 0.195686 , -7.79086e-006
-1.0054 , 0.178992 , -1.06847e-005
-1.00998 , 0.162238 , -1.37537e-005
-1.01435 , 0.145425 , -1.70003e-005
-1.01849 , 0.128559 , -2.04272e-005
-1.02241 , 0.111641 , -2.40368e-005
-1.02611 , 0.0946757 , -2.78314e-005
-1.02959 , 0.0776652 , -3.18135e-005
-1.03285 , 0.0606129 , -3.59852e-005
-1.0359 , 0.0435218 , -4.03489e-005
-1.03872 , 0.0263948 , -4.49066e-005
-1.04133 , 0.00923478 , -4.96604e-005
-1.04373 , -0.00795525 , -5.46125e-005
-1.04591 , -0.0251725 , -5.97647e-005
-1.04787 , -0.0424141 , -6.51189e-005
-1.04962 , -0.0596774 , -7.06772e-005
-1.05116 , -0.0769595 , -7.64412e-005
-1.05248 , -0.0942578 , -8.24128e-005
-1.0536 , -0.11157 , -8.85938e-005
-1.0545 , -0.128892 , -9.49857e-005
-1.05519 , -0.146223 , -0.00010159
-1.05567 , -0.163559 , -0.000108409
-1.05594 , -0.180899 , -0.000115444
-1.05601 , -0.198239 , -0.000122696
-1.05587 , -0.215577 , -0.000130166
-1.05552 , -0.232911 , -0.000137857
-1.05496 , -0.250238 , -0.00014577
-1.05421 , -0.267556 , -0.000153905
-1.05325 , -0.284862 , -0.000162265
-1.05208 , -0.302154 , -0.00017085
-1.05071 , -0.31943 , -0.000179662
-1.04915 , -0.336688 , -0.000188703
-1.04738 , -0.353924 , -0.000197972
-1.04541 , -0.371137 , -0.000207472
-1.04325 , -0.388325 , -0.000217203
-1.04089 , -0.405486 , -0.000227168
-1.03833 , -0.422617 , -0.000237365
-1.03558 , -0.439716 , -0.000247798
-1.03263 , -0.45678 , -0.000258466
-1.02949 , -0.473809 , -0.000269371
-1.02616 , -0.4908 , -0.000280514
-1.02263 , -0.50775 , -0.000291895
-1.01892 , -0.524658 , -0.000303516
-1.01501 , -0.541521 , -0.000315377
-1.01092 , -0.558338 , -0.00032748
-1.00664 , -0.575106 , -0.000339824
-1.00217 , -0.591824 , -0.000352412
-0.997516 , -0.60849 , -0.000365243
-0.992679 , -0.625101 , -0.000378319
-0.987658 , -0.641656 , -0.00039164
-0.982454 , -0.658153 , -0.000405207
-0.977069 , -0.67459 , -0.000419021
-0.971504 , -0.690965 , -0.000433082
-0.96576 , -0.707276 , -0.000447391
-0.959837 , -0.723521 , -0.000461949
-0.953737 , -0.739699 , -0.000476756
-0.947461 , -0.755807 , -0.000491813
-0.94101 , -0.771844 , -0.000507121
