x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00376436 , 0.00733646 , 2.31787e-005
-0.00366896 , 0.00713205 , 2.27723e-005
-0.00351668 , 0.00681708 , 2.20128e-005
-0.0033004 , 0.00637804 , 2.08527e-005
-0.00300797 , 0.00579183 , 1.92115e-005
-0.00261759 , 0.00501705 , 1.69447e-005
-0.00208481 , 0.0039693 , 1.3756e-005
-0.00128976 , 0.00242224 , 8.83691e-006
0.0004552 , -0.000908816 , -2.59063e-006
-0.00977247 , 0.0196637 , 5.41204e-005
-0.0199961 , 0.0402281 , 0.000110809
-0.0302191 , 0.0607913 , 0.000167494
-0.0404419 , 0.081354 , 0.000224178
-0.0506646 , 0.101917 , 0.000280862
-0.0608872 , 0.122479 , 0.000337545
-0.0711098 , 0.143041 , 0.000394228
-0.0813324 , 0.163604 , 0.000450911
-0.091555 , 0.184166 , 0.000507594
-0.101778 , 0.204728 , 0.000564276
-0.112 , 0.22529 , 0.000620959
-0.122223 , 0.245852 , 0.000677641
-0.132445 , 0.266415 , 0.000734324
-0.142668 , 0.286977 , 0.000791007
-0.15289 , 0.307539 , 0.000847689
-0.163113 , 0.328101 , 0.000904372
-0.173335 , 0.348663 , 0.000961054
-0.183558 , 0.369226 , 0.00101774
-0.19378 , 0.389788 , 0.00107442
-0.204003 , 0.41035 , 0.0011311
-0.214225 , 0.430912 , 0.00118778
-0.224448 , 0.451474 , 0.00124447
-0.23467 , 0.472036 , 0.00130115
-0.244893 , 0.492599 , 0.00135783
-0.255115 , 0.513161 , 0.00141451
-0.265338 , 0.533723 , 0.0014712
-0.27556 , 0.554285 , 0.00152788
-0.285783 , 0.574847 , 0.00158456
-0.296006 , 0.595409 , 0.00164124
-0.306228 , 0.615971 , 0.00169792
-0.316451 , 0.636534 , 0.00175461
-0.326673 , 0.657096 , 0.00181129
-0.336896 , 0.677658 , 0.00186797
-0.347118 , 0.69822 , 0.00192465
-0.357341 , 0.718782 , 0.00198133
-0.367564 , 0.739344 , 0.00203802
-0.377786 , 0.759906 , 0.0020947
-0.388009 , 0.780468 , 0.00215138
-0.398231 , 0.80103 , 0.00220806
-0.408454 , 0.821592 , 0.00226474
-0.418677 , 0.842154 , 0.00232143
-0.428899 , 0.862716 , 0.00237811
-0.439122 , 0.883278 , 0.00243479
-0.449344 , 0.90384 , 0.00249147
-0.459567 , 0.924402 , 0.00254816
-0.469789 , 0.944964 , 0.00260484
-0.480012 , 0.965526 , 0.00266152
-0.490234 , 0.986088 , 0.0027182
-0.500457 , 1.00665 , 0.00277488
-0.510679 , 1.02721 , 0.00283157
-0.520902 , 1.04777 , 0.00288825
-0.531124 , 1.06834 , 0.00294493
-0.541347 , 1.0889 , 0.00300161
-0.551569 , 1.10946 , 0.0030583
-0.561792 , 1.13002 , 0.00311498
-0.572014 , 1.15058 , 0.00317166
-0.582237 , 1.17115 , 0.00322834
-0.592459 , 1.19171 , 0.00328502
-0.602681 , 1.21227 , 0.00334171
-0.612904 , 1.23283 , 0.00339839
-0.623126 , 1.25339 , 0.00345507
-0.633349 , 1.27396 , 0.00351175
-0.643571 , 1.29452 , 0.00356844
-0.653794 , 1.31508 , 0.00362512
-0.664016 , 1.33564 , 0.0036818
-0.674239 , 1.3562 , 0.00373848
-0.684461 , 1.37677 , 0.00379517
-0.694684 , 1.39733 , 0.00385185
-0.704906 , 1.41789 , 0.00390853
-0.715129 , 1.43845 , 0.00396521
-0.725351 , 1.45902 , 0.00402189
-0.735574 , 1.47958 , 0.00407858
-0.745796 , 1.50014 , 0.00413526
-0.756019 , 1.5207 , 0.00419194
-0.766241 , 1.54126 , 0.00424862
-0.776464 , 1.56183 , 0.00430531
-0.786686 , 1.58239 , 0.00436199
-0.796909 , 1.60295 , 0.00441867
-0.807131 , 1.62351 , 0.00447535
-0.817354 , 1.64407 , 0.00453203
-0.827576 , 1.66464 , 0.00458872
-0.837799 , 1.6852 , 0.0046454
-0.848021 , 1.70576 , 0.00470208
-0.858244 , 1.72632 , 0.00475876
-0.868466 , 1.74688 , 0.00481545
-0.878689 , 1.76745 , 0.00487213
-0.888911 , 1.78801 , 0.00492881
-0.899133 , 1.80857 , 0.00498549
-0.909356 , 1.82913 , 0.00504218
-0.919578 , 1.84969 , 0.00509886
-0.929801 , 1.87026 , 0.00515554
-0.940023 , 1.89082 , 0.00521222
-0.950246 , 1.91138 , 0.0052689
-0.960468 , 1.93194 , 0.00532559
-0.970691 , 1.9525 , 0.00538227
-0.980913 , 1.97307 , 0.00543895
-0.991136 , 1.99363 , 0.00549563
-1.00136 , 2.01419 , 0.00555232
-1.01158 , 2.03475 , 0.005609
-1.0218 , 2.05531 , 0.00566568
-1.03203 , 2.07588 , 0.00572236
-1.04225 , 2.09644 , 0.00577905
-1.05247 , 2.117 , 0.00583573
-1.06269 , 2.13756 , 0.00589241
-1.07292 , 2.15812 , 0.00594909
-1.08314 , 2.17869 , 0.00600577
-1.09336 , 2.19925 , 0.00606246
-1.10358 , 2.21981 , 0.00611914
-1.11381 , 2.24037 , 0.00617582
-1.12403 , 2.26093 , 0.0062325
-1.13425 , 2.2815 , 0.00628919
-1.14447 , 2.30206 , 0.00634587
-1.1547 , 2.32262 , 0.00640255
-1.16492 , 2.34318 , 0.00645923
-1.17514 , 2.36374 , 0.00651592
-1.18536 , 2.38431 , 0.0065726
-1.19559 , 2.40487 , 0.00662928
-1.20581 , 2.42543 , 0.00668596
-1.21603 , 2.44599 , 0.00674264
-1.22625 , 2.46656 , 0.00679933
-1.23648 , 2.48712 , 0.00685601
-1.2467 , 2.50768 , 0.00691269
-1.25692 , 2.52824 , 0.00696937
-1.26714 , 2.5488 , 0.00702606
-1.27737 , 2.56937 , 0.00708274
-1.28759 , 2.58993 , 0.00713942
-1.29781 , 2.61049 , 0.0071961
-1.30803 , 2.63105 , 0.00725279
-1.31826 , 2.65161 , 0.00730947
-1.32848 , 2.67218 , 0.00736615
-1.3387 , 2.69274 , 0.00742283
-1.34892 , 2.7133 , 0.00747951
-1.35915 , 2.73386 , 0.0075362
-1.36937 , 2.75442 , 0.00759288
-1.37959 , 2.77499 , 0.00764956
-1.38981 , 2.79555 , 0.00770624
-1.40004 , 2.81611 , 0.00776293
-1.41026 , 2.83667 , 0.00781961
-1.42048 , 2.85723 , 0.00787629
-1.4307 , 2.8778 , 0.00793297
-1.44092 , 2.89836 , 0.00798965
-1.45115 , 2.91892 , 0.00804634
-1.46137 , 2.93948 , 0.00810302
-1.47159 , 2.96004 , 0.0081597
-1.48181 , 2.98061 , 0.00821638
-1.49204 , 3.00117 , 0.00827307
-1.50226 , 3.02173 , 0.00832975
-1.51248 , 3.04229 , 0.00838643
-1.5227 , 3.06285 , 0.00844311
-1.53293 , 3.08342 , 0.0084998
-1.54315 , 3.10398 , 0.00855648
-1.55337 , 3.12454 , 0.00861316
-1.56359 , 3.1451 , 0.00866984
-1.57382 , 3.16566 , 0.00872652
-1.58404 , 3.18623 , 0.00878321
-1.59426 , 3.20679 , 0.00883989
-1.60448 , 3.22735 , 0.00889657
-1.61471 , 3.24791 , 0.00895325
-1.62493 , 3.26847 , 0.00900994
-1.63515 , 3.28904 , 0.00906662
-1.64537 , 3.3096 , 0.0091233
-1.6556 , 3.33016 , 0.00917998
-1.66582 , 3.35072 , 0.00923667
-1.67604 , 3.37129 , 0.00929335
-1.68626 , 3.39185 , 0.00935003
-1.69649 , 3.41241 , 0.00940671
-1.70671 , 3.43297 , 0.00946339
-1.71693 , 3.45353 , 0.00952008
-1.72715 , 3.4741 , 0.00957676
-1.73738 , 3.49466 , 0.00963344
-1.7476 , 3.51522 , 0.00969012
-1.75782 , 3.53578 , 0.00974681
-1.76804 , 3.55634 , 0.00980349
-1.77827 , 3.57691 , 0.00986017
-1.78849 , 3.59747 , 0.00991685
-1.79871 , 3.61803 , 0.00997353
-1.80893 , 3.63859 , 0.0100302
-1.81916 , 3.65915 , 0.0100869
-1.82938 , 3.67972 , 0.0101436
-1.8396 , 3.70028 , 0.0102003
-1.84982 , 3.72084 , 0.0102569
-1.86005 , 3.7414 , 0.0103136
-1.87027 , 3.76196 , 0.0103703
-1.88049 , 3.78253 , 0.010427
-1.89071 , 3.80309 , 0.0104837
-1.90094 , 3.82365 , 0.0105404
-1.91116 , 3.84421 , 0.010597
-1.92138 , 3.86477 , 0.0106537
-1.9316 , 3.88534 , 0.0107104
-1.94183 , 3.9059 , 0.0107671
-1.95205 , 3.92646 , 0.0108238
-1.96227 , 3.94702 , 0.0108805
-1.97249 , 3.96758 , 0.0109371
-1.98272 , 3.98815 , 0.0109938
-1.99294 , 4.00871 , 0.0110505
-2.00316 , 4.02927 , 0.0111072
-2.01338 , 4.04983 , 0.0111639
-2.02361 , 4.07039 , 0.0112205
-2.03383 , 4.09096 , 0.0112772
-2.04405 , 4.11152 , 0.0113339
-2.05427 , 4.13208 , 0.0113906
-2.0645 , 4.15264 , 0.0114473
-2.07472 , 4.1732 , 0.011504
-2.08494 , 4.19377 , 0.0115606
-2.09516 , 4.21433 , 0.0116173
