x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.97343 , -1.75647e-005
-0.204458 , 0.969996 , -1.68909e-005
-0.221522 , 0.966258 , -1.6205e-005
-0.238519 , 0.962221 , -1.55089e-005
-0.255442 , 0.957888 , -1.48063e-005
-0.272298 , 0.953318 , -1.41505e-005
-0.289094 , 0.948555 , -1.35702e-005
-0.305835 , 0.943634 , -1.30796e-005
-0.322529 , 0.938582 , -1.2684e-005
-0.339179 , 0.933419 , -1.23836e-005
-0.355791 , 0.928164 , -1.21758e-005
-0.372369 , 0.922829 , -1.20561e-005
-0.388917 , 0.917426 , -1.20194e-005
-0.405437 , 0.911964 , -1.20604e-005
-0.421934 , 0.90645 , -1.21735e-005
-0.438408 , 0.900892 , -1.23535e-005
-0.454862 , 0.895295 , -1.25955e-005
-0.471298 , 0.889663 , -1.28948e-005
-0.487718 , 0.883999 , -1.32471e-005
-0.504124 , 0.878309 , -1.36484e-005
-0.520515 , 0.872593 , -1.40951e-005
-0.536895 , 0.866856 , -1.45838e-005
-0.553263 , 0.861098 , -1.51114e-005
-0.569621 , 0.855323 , -1.56752e-005
-0.585969 , 0.849531 , -1.62726e-005
-0.602309 , 0.843724 , -1.69013e-005
-0.618641 , 0.837903 , -1.7559e-005
-0.634965 , 0.83207 , -1.82439e-005
-0.651282 , 0.826226 , -1.89541e-005
-0.667592 , 0.820371 , -1.9688e-005
-0.683897 , 0.814506 , -2.04441e-005
-0.700196 , 0.808632 , -2.12209e-005
-0.71649 , 0.802751 , -2.20171e-005
-0.732779 , 0.796861 , -2.28317e-005
-0.749064 , 0.790964 , -2.36635e-005
-0.765344 , 0.785061 , -2.45114e-005
-0.78162 , 0.779151 , -2.53746e-005
-0.797893 , 0.773236 , -2.62522e-005
-0.814161 , 0.767315 , -2.71433e-005
-0.830427 , 0.761389 , -2.80473e-005
-0.84669 , 0.755459 , -2.89634e-005
-0.862949 , 0.749524 , -2.9891e-005
-0.879206 , 0.743584 , -3.08295e-005
-0.89546 , 0.737641 , -3.17783e-005
-0.911711 , 0.731695 , -3.27369e-005
-0.927961 , 0.725744 , -3.37049e-005
-0.944207 , 0.719791 , -3.46817e-005
-0.960452 , 0.713834 , -3.56669e-005
-0.976695 , 0.707874 , -3.66601e-005
-0.992936 , 0.701912 , -3.7661e-005
-1.00917 , 0.695946 , -3.86692e-005
-1.02541 , 0.689979 , -3.96843e-005
-1.04165 , 0.684009 , -4.07061e-005
-1.05788 , 0.678036 , -4.17342e-005
-1.07411 , 0.672062 , -4.27685e-005
-1.09035 , 0.666085 , -4.38085e-005
-1.10657 , 0.660107 , -4.48541e-005
-1.1228 , 0.654126 , -4.5905e-005
-1.13903 , 0.648144 , -4.69611e-005
-1.15526 , 0.64216 , -4.8022e-005
-1.17148 , 0.636174 , -4.90877e-005
-1.1877 , 0.630187 , -5.01578e-005
-1.20393 , 0.624199 , -5.12323e-005
-1.22015 , 0.618209 , -5.2311e-005
-1.23637 , 0.612217 , -5.33937e-005
-1.25259 , 0.606224 , -5.44803e-005
-1.26881 , 0.60023 , -5.55705e-005
-1.28502 , 0.594235 , -5.66644e-005
-1.30124 , 0.588239 , -5.77617e-005
-1.31746 , 0.582241 , -5.88623e-005
-1.33367 , 0.576243 , -5.99661e-005
-1.34989 , 0.570243 , -6.1073e-005
-1.3661 , 0.564243 , -6.21829e-005
