x , y , z
1 , 0 , 0
0.999411 , 0.0472097 , 0
0.997645 , 0.0943639 , 0
0.995879 , 0.141518 , 0
0.994113 , 0.188672 , 0
0.992348 , 0.235826 , 0
0.990582 , 0.282981 , 0
0.988816 , 0.330135 , 0
0.987051 , 0.377289 , 0
0.985285 , 0.424443 , 0
0.983519 , 0.471597 , 0
0.981753 , 0.518751 , 0
0.979988 , 0.565905 , 0
0.978222 , 0.61306 , 0
0.976456 , 0.660214 , 0
0.97469 , 0.707368 , 0
0.972925 , 0.754522 , 0
0.971159 , 0.801676 , 0
0.969393 , 0.84883 , 0
0.967628 , 0.895985 , 0
0.965862 , 0.943139 , 0
0.964096 , 0.990293 , 0
0.96233 , 1.03745 , 0
0.960565 , 1.0846 , 0
0.958799 , 1.13176 , 0
0.957033 , 1.17891 , 0
0.955268 , 1.22606 , 0
0.953502 , 1.27322 , 0
0.951736 , 1.32037 , 0
0.94997 , 1.36753 , 0
0.948205 , 1.41468 , 0
0.946439 , 1.46183 , 0
0.944673 , 1.50899 , 0
0.942907 , 1.55614 , 0
0.941142 , 1.6033 , 0
0.939376 , 1.65045 , 0
0.93761 , 1.69761 , 0
0.935845 , 1.74476 , 0
0.934079 , 1.79191 , 0
0.932313 , 1.83907 , 0
0.930547 , 1.88622 , 0
0.928782 , 1.93338 , 0
0.927016 , 1.98053 , 0
0.92525 , 2.02768 , 0
0.923485 , 2.07484 , 0
0.921719 , 2.12199 , 0
0.919953 , 2.16915 , 0
0.918187 , 2.2163 , 0
0.916422 , 2.26346 , 0
0.914656 , 2.31061 , 0
0.91289 , 2.35776 , 0
0.911124 , 2.40492 , 0
0.909359 , 2.45207 , 0
0.907593 , 2.49923 , 0
0.905827 , 2.54638 , 0
0.904062 , 2.59353 , 0
0.902296 , 2.64069 , 0
0.90053 , 2.68784 , 0
0.898764 , 2.735 , 0
0.896999 , 2.78215 , 0
0.895233 , 2.82931 , 0
0.893467 , 2.87646 , 0
0.891702 , 2.92361 , 0
0.889936 , 2.97077 , 0
0.88817 , 3.01792 , 0
0.886404 , 3.06508 , 0
0.884639 , 3.11223 , 0
0.882873 , 3.15938 , 0
0.881107 , 3.20654 , 0
0.879341 , 3.25369 , 0
0.877576 , 3.30085 , 0
0.87581 , 3.348 , 0
0.874044 , 3.39516 , 0
0.872279 , 3.44231 , 0
0.870513 , 3.48946 , 0
0.868747 , 3.53662 , 0
0.866981 , 3.58377 , 0
0.865216 , 3.63093 , 0
0.86345 , 3.67808 , 0
0.861684 , 3.72523 , 0
0.859918 , 3.77239 , 0
0.858153 , 3.81954 , 0
0.856387 , 3.8667 , 0
0.854621 , 3.91385 , 0
0.852856 , 3.96101 , 0
0.85109 , 4.00816 , 0
0.849324 , 4.05531 , 0
0.847558 , 4.10247 , 0
0.845793 , 4.14962 , 0
0.844027 , 4.19678 , 0
0.842261 , 4.24393 , 0
0.840496 , 4.29108 , 0
0.83873 , 4.33824 , 0
0.836964 , 4.38539 , 0
0.835198 , 4.43255 , 0
0.833433 , 4.4797 , 0
0.831667 , 4.52685 , 0
0.829901 , 4.57401 , 0
0.828135 , 4.62116 , 0
0.82637 , 4.66832 , 0
0.824604 , 4.71547 , 0
0.822838 , 4.76263 , 0
0.821073 , 4.80978 , 0
0.819307 , 4.85693 , 0
0.817541 , 4.90409 , 0
0.815775 , 4.95124 , 0
0.81401 , 4.9984 , 0
0.812244 , 5.04555 , 0
0.810478 , 5.0927 , 0
0.808713 , 5.13986 , 0
0.806947 , 5.18701 , 0
0.805181 , 5.23417 , 0
0.803415 , 5.28132 , 0
0.80165 , 5.32848 , 0
0.799884 , 5.37563 , 0
0.798118 , 5.42278 , 0
0.796352 , 5.46994 , 0
0.794587 , 5.51709 , 0
0.792821 , 5.56425 , 0
0.791055 , 5.6114 , 0
0.78929 , 5.65855 , 0
0.787524 , 5.70571 , 0
0.785758 , 5.75286 , 0
0.783992 , 5.80002 , 0
0.782227 , 5.84717 , 0
0.780461 , 5.89433 , 0
0.778695 , 5.94148 , 0
0.77693 , 5.98863 , 0
0.775164 , 6.03579 , 0
0.773398 , 6.08294 , 0
0.771632 , 6.1301 , 0
0.769867 , 6.17725 , 0
0.768101 , 6.2244 , 0
0.766335 , 6.27156 , 0
0.764569 , 6.31871 , 0
0.762804 , 6.36587 , 0
0.761038 , 6.41302 , 0
0.759272 , 6.46018 , 0
0.757507 , 6.50733 , 0
0.755741 , 6.55448 , 0
0.753975 , 6.60164 , 0
0.752209 , 6.64879 , 0
0.750444 , 6.69595 , 0
0.748678 , 6.7431 , 0
0.746912 , 6.79025 , 0
0.745147 , 6.83741 , 0
0.743381 , 6.88456 , 0
0.741615 , 6.93172 , 0
0.739849 , 6.97887 , 0
0.738084 , 7.02603 , 0
0.736318 , 7.07318 , 0
0.734552 , 7.12033 , 0
0.732786 , 7.16749 , 0
0.731021 , 7.21464 , 0
0.729255 , 7.2618 , 0
0.727489 , 7.30895 , 0
0.725724 , 7.3561 , 0
0.723958 , 7.40326 , 0
0.722192 , 7.45041 , 0
0.720426 , 7.49757 , 0
0.718661 , 7.54472 , 0
0.716895 , 7.59188 , 0
0.715129 , 7.63903 , 0
0.713364 , 7.68618 , 0
0.711598 , 7.73334 , 0
0.709832 , 7.78049 , 0
0.708066 , 7.82765 , 0
0.706301 , 7.8748 , 0
0.704535 , 7.92195 , 0
0.702769 , 7.96911 , 0
0.701003 , 8.01626 , 0
0.699238 , 8.06342 , 0
0.697472 , 8.11057 , 0
0.695706 , 8.15773 , 0
0.693941 , 8.20488 , 0
0.692175 , 8.25203 , 0
0.690409 , 8.29919 , 0
0.688643 , 8.34634 , 0
0.686878 , 8.3935 , 0
0.685112 , 8.44065 , 0
0.683346 , 8.4878 , 0
0.681581 , 8.53496 , 0
0.679815 , 8.58211 , 0
0.678049 , 8.62927 , 0
0.676283 , 8.67642 , 0
0.674518 , 8.72358 , 0
0.672752 , 8.77073 , 0
0.670986 , 8.81788 , 0
0.66922 , 8.86504 , 0
0.667455 , 8.91219 , 0
0.665689 , 8.95935 , 0
0.663923 , 9.0065 , 0
0.662158 , 9.05365 , 0
0.660392 , 9.10081 , 0
0.658626 , 9.14796 , 0
0.65686 , 9.19512 , 0
0.655095 , 9.24227 , 0
0.653329 , 9.28943 , 0
0.651563 , 9.33658 , 0
0.649798 , 9.38373 , 0
0.648032 , 9.43089 , 0
0.646266 , 9.47804 , 0
0.6445 , 9.5252 , 0
0.642735 , 9.57235 , 0
0.640969 , 9.6195 , 0
0.639203 , 9.66666 , 0
0.637437 , 9.71381 , 0
0.635672 , 9.76097 , 0
0.633906 , 9.80812 , 0
0.63214 , 9.85528 , 0
0.630375 , 9.90243 , 0
0.628609 , 9.94958 , 0
0.626843 , 9.99674 , 0
0.625077 , 10.0439 , 0
0.623312 , 10.091 , 0
0.621546 , 10.1382 , 0
0.61978 , 10.1854 , 0
0.618015 , 10.2325 , 0
0.616249 , 10.2797 , 0
0.614483 , 10.3268 , 0
0.612717 , 10.374 , 0
0.610952 , 10.4211 , 0
0.609186 , 10.4683 , 0
0.60742 , 10.5154 , 0
0.605654 , 10.5626 , 0
0.603889 , 10.6097 , 0
0.602123 , 10.6569 , 0
0.600357 , 10.704 , 0
0.598592 , 10.7512 , 0
0.596826 , 10.7984 , 0
0.59506 , 10.8455 , 0
0.593294 , 10.8927 , 0
0.591529 , 10.9398 , 0
0.589763 , 10.987 , 0
0.587997 , 11.0341 , 0
0.586232 , 11.0813 , 0
0.584466 , 11.1284 , 0
0.5827 , 11.1756 , 0
0.580934 , 11.2227 , 0
0.579169 , 11.2699 , 0
0.577403 , 11.3171 , 0
0.575637 , 11.3642 , 0
0.573871 , 11.4114 , 0
0.572106 , 11.4585 , 0
0.57034 , 11.5057 , 0
0.568574 , 11.5528 , 0
0.566809 , 11.6 , 0
0.565043 , 11.6471 , 0
0.563277 , 11.6943 , 0
0.561511 , 11.7414 , 0
0.559746 , 11.7886 , 0
0.55798 , 11.8357 , 0
0.556214 , 11.8829 , 0
0.554449 , 11.9301 , 0
0.552683 , 11.9772 , 0
0.550917 , 12.0244 , 0
0.549151 , 12.0715 , 0
0.547386 , 12.1187 , 0
0.54562 , 12.1658 , 0
0.543854 , 12.213 , 0
0.542088 , 12.2601 , 0
0.540323 , 12.3073 , 0
0.538557 , 12.3544 , 0
0.536791 , 12.4016 , 0
0.535026 , 12.4488 , 0
0.53326 , 12.4959 , 0
0.531494 , 12.5431 , 0
0.529728 , 12.5902 , 0
0.527963 , 12.6374 , 0
0.526197 , 12.6845 , 0
0.524431 , 12.7317 , 0
0.522665 , 12.7788 , 0
0.5209 , 12.826 , 0
0.519134 , 12.8731 , 0
0.517368 , 12.9203 , 0
0.515603 , 12.9674 , 0
0.513837 , 13.0146 , 0
0.512071 , 13.0618 , 0
0.510305 , 13.1089 , 0
0.50854 , 13.1561 , 0
0.506774 , 13.2032 , 0
0.505008 , 13.2504 , 0
0.503243 , 13.2975 , 0
0.501477 , 13.3447 , 0
