x , y , z
0 , 0 , 0
1.76827e-009 , 0 , 0
-5.65524e+008 , 8.33482e-011 , 0
-1.13105e+009 , 1.66696e-010 , 0
-1.69657e+009 , 2.50045e-010 , 0
-2.2621e+009 , 3.33393e-010 , 0
-2.82762e+009 , 4.16741e-010 , 0
-3.39315e+009 , 5.00089e-010 , 0
-3.95867e+009 , 5.83438e-010 , 0
-4.52419e+009 , 6.66786e-010 , 0
-5.08972e+009 , 7.50134e-010 , 0
-5.65524e+009 , 8.33482e-010 , 0
-6.22077e+009 , 9.16831e-010 , 0
-6.78629e+009 , 1.00018e-009 , 0
-7.35181e+009 , 1.08353e-009 , 0
-7.91734e+009 , 1.16688e-009 , 0
-8.48286e+009 , 1.25022e-009 , 0
-9.04839e+009 , 1.33357e-009 , 0
-9.61391e+009 , 1.41692e-009 , 0
-1.01794e+010 , 1.50027e-009 , 0
-1.0745e+010 , 1.58362e-009 , 0
-1.13105e+010 , 1.66696e-009 , 0
-1.1876e+010 , 1.75031e-009 , 0
-1.24415e+010 , 1.83366e-009 , 0
-1.30071e+010 , 1.91701e-009 , 0
-1.35726e+010 , 2.00036e-009 , 0
-1.41381e+010 , 2.08371e-009 , 0
-1.47036e+010 , 2.16705e-009 , 0
-1.52692e+010 , 2.2504e-009 , 0
-1.58347e+010 , 2.33375e-009 , 0
-1.64002e+010 , 2.4171e-009 , 0
-1.69657e+010 , 2.50045e-009 , 0
-1.75312e+010 , 2.5838e-009 , 0
-1.80968e+010 , 2.66714e-009 , 0
-1.86623e+010 , 2.75049e-009 , 0
-1.92278e+010 , 2.83384e-009 , 0
-1.97933e+010 , 2.91719e-009 , 0
-2.03589e+010 , 3.00054e-009 , 0
-2.09244e+010 , 3.08389e-009 , 0
-2.14899e+010 , 3.16723e-009 , 0
-2.20554e+010 , 3.25058e-009 , 0
-2.2621e+010 , 3.33393e-009 , 0
-2.31865e+010 , 3.41728e-009 , 0
-2.3752e+010 , 3.50063e-009 , 0
-2.43175e+010 , 3.58397e-009 , 0
-2.48831e+010 , 3.66732e-009 , 0
-2.54486e+010 , 3.75067e-009 , 0
-2.60141e+010 , 3.83402e-009 , 0
-2.65796e+010 , 3.91737e-009 , 0
-2.71452e+010 , 4.00072e-009 , 0
-2.77107e+010 , 4.08406e-009 , 0
-2.82762e+010 , 4.16741e-009 , 0
-2.88417e+010 , 4.25076e-009 , 0
-2.94073e+010 , 4.33411e-009 , 0
-2.99728e+010 , 4.41746e-009 , 0
-3.05383e+010 , 4.50081e-009 , 0
-3.11038e+010 , 4.58415e-009 , 0
-3.16694e+010 , 4.6675e-009 , 0
-3.22349e+010 , 4.75085e-009 , 0
-3.28004e+010 , 4.8342e-009 , 0
-3.33659e+010 , 4.91755e-009 , 0
-3.39315e+010 , 5.00089e-009 , 0
-3.4497e+010 , 5.08424e-009 , 0
-3.50625e+010 , 5.16759e-009 , 0
-3.5628e+010 , 5.25094e-009 , 0
-3.61935e+010 , 5.33429e-009 , 0
-3.67591e+010 , 5.41764e-009 , 0
-3.73246e+010 , 5.50098e-009 , 0
-3.78901e+010 , 5.58433e-009 , 0
-3.84556e+010 , 5.66768e-009 , 0
-3.90212e+010 , 5.75103e-009 , 0
-3.95867e+010 , 5.83438e-009 , 0
-4.01522e+010 , 5.91773e-009 , 0
-4.07177e+010 , 6.00107e-009 , 0
-4.12833e+010 , 6.08442e-009 , 0
-4.18488e+010 , 6.16777e-009 , 0
-4.24143e+010 , 6.25112e-009 , 0
-4.29798e+010 , 6.33447e-009 , 0
-4.35454e+010 , 6.41782e-009 , 0
-4.41109e+010 , 6.50116e-009 , 0
-4.46764e+010 , 6.58451e-009 , 0
-4.52419e+010 , 6.66786e-009 , 0
-4.58075e+010 , 6.75121e-009 , 0
-4.6373e+010 , 6.83456e-009 , 0
-4.69385e+010 , 6.9179e-009 , 0
-4.7504e+010 , 7.00125e-009 , 0
-4.80696e+010 , 7.0846e-009 , 0
-4.86351e+010 , 7.16795e-009 , 0
-4.92006e+010 , 7.2513e-009 , 0
-4.97661e+010 , 7.33465e-009 , 0
-5.03317e+010 , 7.41799e-009 , 0
-5.08972e+010 , 7.50134e-009 , 0
-5.14627e+010 , 7.58469e-009 , 0
-5.20282e+010 , 7.66804e-009 , 0
-5.25937e+010 , 7.75139e-009 , 0
-5.31593e+010 , 7.83474e-009 , 0
-5.37248e+010 , 7.91808e-009 , 0
