x , y , z
1 , 0 , 0
0.999853 , 0.0236049 , 0
0.999411 , 0.0472028 , 0
0.998969 , 0.0708007 , 0
0.998527 , 0.0943986 , 0
0.998085 , 0.117996 , 0
0.997643 , 0.141594 , 0
0.997201 , 0.165192 , 0
0.996759 , 0.18879 , 0
0.996317 , 0.212388 , 0
0.995875 , 0.235986 , 0
0.995434 , 0.259584 , 0
0.994992 , 0.283182 , 0
0.99455 , 0.30678 , 0
0.994108 , 0.330378 , 0
0.993666 , 0.353976 , 0
0.993224 , 0.377573 , 0
0.992782 , 0.401171 , 0
0.99234 , 0.424769 , 0
0.991898 , 0.448367 , 0
0.991456 , 0.471965 , 0
0.991014 , 0.495563 , 0
0.990573 , 0.519161 , 0
0.990131 , 0.542759 , 0
0.989689 , 0.566357 , 0
0.989247 , 0.589955 , 0
0.988805 , 0.613553 , 0
0.988363 , 0.63715 , 0
0.987921 , 0.660748 , 0
0.987479 , 0.684346 , 0
0.987037 , 0.707944 , 0
0.986595 , 0.731542 , 0
0.986153 , 0.75514 , 0
0.985712 , 0.778738 , 0
0.98527 , 0.802336 , 0
0.984828 , 0.825934 , 0
0.984386 , 0.849532 , 0
0.983944 , 0.87313 , 0
0.983502 , 0.896727 , 0
0.98306 , 0.920325 , 0
0.982618 , 0.943923 , 0
0.982176 , 0.967521 , 0
0.981734 , 0.991119 , 0
0.981292 , 1.01472 , 0
0.980851 , 1.03831 , 0
0.980409 , 1.06191 , 0
0.979967 , 1.08551 , 0
0.979525 , 1.10911 , 0
0.979083 , 1.13271 , 0
0.978641 , 1.1563 , 0
0.978199 , 1.1799 , 0
0.977757 , 1.2035 , 0
0.977315 , 1.2271 , 0
0.976873 , 1.2507 , 0
0.976432 , 1.27429 , 0
0.97599 , 1.29789 , 0
0.975548 , 1.32149 , 0
0.975106 , 1.34509 , 0
0.974664 , 1.36869 , 0
0.974222 , 1.39228 , 0
0.97378 , 1.41588 , 0
0.973338 , 1.43948 , 0
0.972896 , 1.46308 , 0
0.972454 , 1.48668 , 0
0.972012 , 1.51027 , 0
0.971571 , 1.53387 , 0
0.971129 , 1.55747 , 0
0.970687 , 1.58107 , 0
0.970245 , 1.60466 , 0
0.969803 , 1.62826 , 0
0.969361 , 1.65186 , 0
0.968919 , 1.67546 , 0
0.968477 , 1.69906 , 0
0.968035 , 1.72265 , 0
0.967593 , 1.74625 , 0
0.967151 , 1.76985 , 0
