x , y , z
1 , 0 , 0
0.999853 , 0.0171672 , 0
0.999411 , 0.0343293 , 0
0.998969 , 0.0514914 , 0
0.998527 , 0.0686535 , 0
0.998085 , 0.0858156 , 0
0.997643 , 0.102978 , 0
0.9972 , 0.12014 , 0
0.996758 , 0.137302 , 0
0.996316 , 0.154464 , 0
0.995874 , 0.171626 , 0
0.995432 , 0.188788 , 0
0.99499 , 0.20595 , 0
0.994548 , 0.223113 , 0
0.994106 , 0.240275 , 0
0.993664 , 0.257437 , 0
0.993222 , 0.274599 , 0
0.99278 , 0.291761 , 0
0.992338 , 0.308923 , 0
0.991896 , 0.326085 , 0
0.991454 , 0.343247 , 0
0.991012 , 0.360409 , 0
0.99057 , 0.377572 , 0
0.990128 , 0.394734 , 0
0.989686 , 0.411896 , 0
0.989244 , 0.429058 , 0
0.988802 , 0.44622 , 0
0.98836 , 0.463382 , 0
0.987918 , 0.480544 , 0
0.987476 , 0.497706 , 0
0.987034 , 0.514868 , 0
0.986592 , 0.532031 , 0
0.98615 , 0.549193 , 0
0.985708 , 0.566355 , 0
0.985266 , 0.583517 , 0
0.984824 , 0.600679 , 0
0.984382 , 0.617841 , 0
0.98394 , 0.635003 , 0
0.983498 , 0.652165 , 0
0.983056 , 0.669327 , 0
0.982614 , 0.68649 , 0
0.982172 , 0.703652 , 0
0.98173 , 0.720814 , 0
0.981288 , 0.737976 , 0
0.980846 , 0.755138 , 0
0.980404 , 0.7723 , 0
0.979962 , 0.789462 , 0
0.97952 , 0.806624 , 0
0.979078 , 0.823787 , 0
0.978635 , 0.840949 , 0
0.978193 , 0.858111 , 0
0.977751 , 0.875273 , 0
0.977309 , 0.892435 , 0
0.976867 , 0.909597 , 0
0.976425 , 0.926759 , 0
0.975983 , 0.943921 , 0
0.975541 , 0.961083 , 0
0.975099 , 0.978246 , 0
0.974657 , 0.995408 , 0
0.974215 , 1.01257 , 0
0.973773 , 1.02973 , 0
0.973331 , 1.04689 , 0
0.972889 , 1.06406 , 0
0.972447 , 1.08122 , 0
0.972005 , 1.09838 , 0
0.971563 , 1.11554 , 0
0.971121 , 1.1327 , 0
0.970679 , 1.14987 , 0
0.970237 , 1.16703 , 0
0.969795 , 1.18419 , 0
0.969353 , 1.20135 , 0
0.968911 , 1.21852 , 0
0.968469 , 1.23568 , 0
0.968027 , 1.25284 , 0
0.967585 , 1.27 , 0
0.967143 , 1.28716 , 0
0.966701 , 1.30433 , 0
0.966259 , 1.32149 , 0
0.965817 , 1.33865 , 0
0.965375 , 1.35581 , 0
0.964933 , 1.37297 , 0
0.964491 , 1.39014 , 0
0.964049 , 1.4073 , 0
0.963607 , 1.42446 , 0
0.963165 , 1.44162 , 0
0.962723 , 1.45878 , 0
0.962281 , 1.47595 , 0
0.961839 , 1.49311 , 0
0.961397 , 1.51027 , 0
0.960955 , 1.52743 , 0
0.960512 , 1.5446 , 0
0.96007 , 1.56176 , 0
0.959628 , 1.57892 , 0
0.959186 , 1.59608 , 0
0.958744 , 1.61324 , 0
0.958302 , 1.63041 , 0
0.95786 , 1.64757 , 0
0.957418 , 1.66473 , 0
0.956976 , 1.68189 , 0
0.956534 , 1.69905 , 0
0.956092 , 1.71622 , 0
0.95565 , 1.73338 , 0
0.955208 , 1.75054 , 0
0.954766 , 1.7677 , 0
0.954324 , 1.78486 , 0
0.953882 , 1.80203 , 0
0.95344 , 1.81919 , 0
0.952998 , 1.83635 , 0
0.952556 , 1.85351 , 0
0.952114 , 1.87068 , 0
0.951672 , 1.88784 , 0
0.95123 , 1.905 , 0
0.950788 , 1.92216 , 0
0.950346 , 1.93932 , 0
0.949904 , 1.95649 , 0
0.949462 , 1.97365 , 0
0.94902 , 1.99081 , 0
0.948578 , 2.00797 , 0
0.948136 , 2.02513 , 0
0.947694 , 2.0423 , 0
0.947252 , 2.05946 , 0
0.94681 , 2.07662 , 0
0.946368 , 2.09378 , 0
0.945926 , 2.11095 , 0
0.945484 , 2.12811 , 0
0.945042 , 2.14527 , 0
0.9446 , 2.16243 , 0
0.944158 , 2.17959 , 0
0.943716 , 2.19676 , 0
0.943274 , 2.21392 , 0
0.942832 , 2.23108 , 0
0.942389 , 2.24824 , 0
0.941947 , 2.2654 , 0
0.941505 , 2.28257 , 0
0.941063 , 2.29973 , 0
0.940621 , 2.31689 , 0
0.940179 , 2.33405 , 0
0.939737 , 2.35121 , 0
0.939295 , 2.36838 , 0
0.938853 , 2.38554 , 0
0.938411 , 2.4027 , 0
0.937969 , 2.41986 , 0
0.937527 , 2.43703 , 0
0.937085 , 2.45419 , 0
0.936643 , 2.47135 , 0
0.936201 , 2.48851 , 0
0.935759 , 2.50567 , 0
0.935317 , 2.52284 , 0
0.934875 , 2.54 , 0
0.934433 , 2.55716 , 0
0.933991 , 2.57432 , 0
0.933549 , 2.59148 , 0
0.933107 , 2.60865 , 0
0.932665 , 2.62581 , 0
0.932223 , 2.64297 , 0
0.931781 , 2.66013 , 0
0.931339 , 2.67729 , 0
0.930897 , 2.69446 , 0
0.930455 , 2.71162 , 0
0.930013 , 2.72878 , 0
0.929571 , 2.74594 , 0
0.929129 , 2.76311 , 0
0.928687 , 2.78027 , 0
0.928245 , 2.79743 , 0
0.927803 , 2.81459 , 0
0.927361 , 2.83175 , 0
0.926919 , 2.84892 , 0
0.926477 , 2.86608 , 0
0.926035 , 2.88324 , 0
0.925593 , 2.9004 , 0
0.925151 , 2.91756 , 0
0.924709 , 2.93473 , 0
0.924266 , 2.95189 , 0
0.923824 , 2.96905 , 0
0.923382 , 2.98621 , 0
0.92294 , 3.00337 , 0
0.922498 , 3.02054 , 0
0.922056 , 3.0377 , 0
0.921614 , 3.05486 , 0
0.921172 , 3.07202 , 0
0.92073 , 3.08919 , 0
0.920288 , 3.10635 , 0
0.919846 , 3.12351 , 0
0.919404 , 3.14067 , 0
0.918962 , 3.15783 , 0
0.91852 , 3.175 , 0
0.918078 , 3.19216 , 0
0.917636 , 3.20932 , 0
0.917194 , 3.22648 , 0
0.916752 , 3.24364 , 0
0.91631 , 3.26081 , 0
0.915868 , 3.27797 , 0
0.915426 , 3.29513 , 0
0.914984 , 3.31229 , 0
0.914542 , 3.32946 , 0
0.9141 , 3.34662 , 0
0.913658 , 3.36378 , 0
0.913216 , 3.38094 , 0
0.912774 , 3.3981 , 0
0.912332 , 3.41527 , 0
0.91189 , 3.43243 , 0
0.911448 , 3.44959 , 0
0.911006 , 3.46675 , 0
0.910564 , 3.48391 , 0
0.910122 , 3.50108 , 0
0.90968 , 3.51824 , 0
0.909238 , 3.5354 , 0
0.908796 , 3.55256 , 0
0.908354 , 3.56972 , 0
0.907912 , 3.58689 , 0
0.90747 , 3.60405 , 0
0.907028 , 3.62121 , 0
0.906586 , 3.63837 , 0
0.906143 , 3.65554 , 0
0.905701 , 3.6727 , 0
0.905259 , 3.68986 , 0
0.904817 , 3.70702 , 0
0.904375 , 3.72418 , 0
0.903933 , 3.74135 , 0
0.903491 , 3.75851 , 0
0.903049 , 3.77567 , 0
0.902607 , 3.79283 , 0
0.902165 , 3.80999 , 0
0.901723 , 3.82716 , 0
0.901281 , 3.84432 , 0
0.900839 , 3.86148 , 0
0.900397 , 3.87864 , 0
0.899955 , 3.8958 , 0
0.899513 , 3.91297 , 0
0.899071 , 3.93013 , 0
0.898629 , 3.94729 , 0
0.898187 , 3.96445 , 0
0.897745 , 3.98162 , 0
0.897303 , 3.99878 , 0
0.896861 , 4.01594 , 0
0.896419 , 4.0331 , 0
0.895977 , 4.05026 , 0
0.895535 , 4.06743 , 0
0.895093 , 4.08459 , 0
0.894651 , 4.10175 , 0
0.894209 , 4.11891 , 0
0.893767 , 4.13607 , 0
0.893325 , 4.15324 , 0
0.892883 , 4.1704 , 0
0.892441 , 4.18756 , 0
0.891999 , 4.20472 , 0
0.891557 , 4.22189 , 0
0.891115 , 4.23905 , 0
0.890673 , 4.25621 , 0
0.890231 , 4.27337 , 0
0.889789 , 4.29053 , 0
0.889347 , 4.3077 , 0
0.888905 , 4.32486 , 0
0.888463 , 4.34202 , 0
0.88802 , 4.35918 , 0
0.887578 , 4.37634 , 0
0.887136 , 4.39351 , 0
0.886694 , 4.41067 , 0
0.886252 , 4.42783 , 0
0.88581 , 4.44499 , 0
0.885368 , 4.46215 , 0
0.884926 , 4.47932 , 0
0.884484 , 4.49648 , 0
0.884042 , 4.51364 , 0
0.8836 , 4.5308 , 0
0.883158 , 4.54797 , 0
0.882716 , 4.56513 , 0
0.882274 , 4.58229 , 0
0.881832 , 4.59945 , 0
0.88139 , 4.61661 , 0
0.880948 , 4.63378 , 0
0.880506 , 4.65094 , 0
0.880064 , 4.6681 , 0
0.879622 , 4.68526 , 0
0.87918 , 4.70242 , 0
0.878738 , 4.71959 , 0
0.878296 , 4.73675 , 0
0.877854 , 4.75391 , 0
0.877412 , 4.77107 , 0
0.87697 , 4.78823 , 0
0.876528 , 4.8054 , 0
0.876086 , 4.82256 , 0
0.875644 , 4.83972 , 0
0.875202 , 4.85688 , 0
0.87476 , 4.87405 , 0
0.874318 , 4.89121 , 0
0.873876 , 4.90837 , 0
0.873434 , 4.92553 , 0
0.872992 , 4.94269 , 0
0.87255 , 4.95986 , 0
0.872108 , 4.97702 , 0
0.871666 , 4.99418 , 0
0.871224 , 5.01134 , 0
0.870782 , 5.0285 , 0
0.87034 , 5.04567 , 0
0.869897 , 5.06283 , 0
0.869455 , 5.07999 , 0
0.869013 , 5.09715 , 0
0.868571 , 5.11431 , 0
0.868129 , 5.13148 , 0
0.867687 , 5.14864 , 0
0.867245 , 5.1658 , 0
0.866803 , 5.18296 , 0
0.866361 , 5.20013 , 0
0.865919 , 5.21729 , 0
0.865477 , 5.23445 , 0
0.865035 , 5.25161 , 0
0.864593 , 5.26877 , 0
0.864151 , 5.28594 , 0
0.863709 , 5.3031 , 0
0.863267 , 5.32026 , 0
0.862825 , 5.33742 , 0
0.862383 , 5.35458 , 0
0.861941 , 5.37175 , 0
0.861499 , 5.38891 , 0
0.861057 , 5.40607 , 0
0.860615 , 5.42323 , 0
0.860173 , 5.4404 , 0
0.859731 , 5.45756 , 0
0.859289 , 5.47472 , 0
0.858847 , 5.49188 , 0
0.858405 , 5.50904 , 0
0.857963 , 5.52621 , 0
0.857521 , 5.54337 , 0
0.857079 , 5.56053 , 0
0.856637 , 5.57769 , 0
0.856195 , 5.59485 , 0
0.855753 , 5.61202 , 0
0.855311 , 5.62918 , 0
0.854869 , 5.64634 , 0
0.854427 , 5.6635 , 0
0.853985 , 5.68066 , 0
0.853543 , 5.69783 , 0
0.853101 , 5.71499 , 0
0.852659 , 5.73215 , 0
0.852217 , 5.74931 , 0
0.851775 , 5.76648 , 0
0.851332 , 5.78364 , 0
0.85089 , 5.8008 , 0
0.850448 , 5.81796 , 0
0.850006 , 5.83512 , 0
0.849564 , 5.85229 , 0
0.849122 , 5.86945 , 0
0.84868 , 5.88661 , 0
0.848238 , 5.90377 , 0
0.847796 , 5.92093 , 0
0.847354 , 5.9381 , 0
0.846912 , 5.95526 , 0
0.84647 , 5.97242 , 0
0.846028 , 5.98958 , 0
0.845586 , 6.00674 , 0
0.845144 , 6.02391 , 0
0.844702 , 6.04107 , 0
0.84426 , 6.05823 , 0
0.843818 , 6.07539 , 0
0.843376 , 6.09256 , 0
0.842934 , 6.10972 , 0
0.842492 , 6.12688 , 0
0.84205 , 6.14404 , 0
0.841608 , 6.1612 , 0
0.841166 , 6.17837 , 0
0.840724 , 6.19553 , 0
0.840282 , 6.21269 , 0
0.83984 , 6.22985 , 0
0.839398 , 6.24701 , 0
0.838956 , 6.26418 , 0
0.838514 , 6.28134 , 0
0.838072 , 6.2985 , 0
0.83763 , 6.31566 , 0
0.837188 , 6.33282 , 0
0.836746 , 6.34999 , 0
0.836304 , 6.36715 , 0
0.835862 , 6.38431 , 0
0.83542 , 6.40147 , 0
0.834978 , 6.41864 , 0
0.834536 , 6.4358 , 0
0.834094 , 6.45296 , 0
0.833652 , 6.47012 , 0
0.833209 , 6.48728 , 0
0.832767 , 6.50445 , 0
0.832325 , 6.52161 , 0
0.831883 , 6.53877 , 0
0.831441 , 6.55593 , 0
0.830999 , 6.57309 , 0
0.830557 , 6.59026 , 0
0.830115 , 6.60742 , 0
0.829673 , 6.62458 , 0
0.829231 , 6.64174 , 0
0.828789 , 6.65891 , 0
0.828347 , 6.67607 , 0
0.827905 , 6.69323 , 0
0.827463 , 6.71039 , 0
0.827021 , 6.72755 , 0
0.826579 , 6.74472 , 0
0.826137 , 6.76188 , 0
0.825695 , 6.77904 , 0
0.825253 , 6.7962 , 0
0.824811 , 6.81336 , 0
0.824369 , 6.83053 , 0
0.823927 , 6.84769 , 0
0.823485 , 6.86485 , 0
0.823043 , 6.88201 , 0
0.822601 , 6.89917 , 0
0.822159 , 6.91634 , 0
0.821717 , 6.9335 , 0
0.821275 , 6.95066 , 0
0.820833 , 6.96782 , 0
0.820391 , 6.98499 , 0
0.819949 , 7.00215 , 0
0.819507 , 7.01931 , 0
0.819065 , 7.03647 , 0
0.818623 , 7.05363 , 0
0.818181 , 7.0708 , 0
0.817739 , 7.08796 , 0
0.817297 , 7.10512 , 0
0.816855 , 7.12228 , 0
0.816413 , 7.13944 , 0
0.815971 , 7.15661 , 0
0.815529 , 7.17377 , 0
0.815086 , 7.19093 , 0
0.814644 , 7.20809 , 0
0.814202 , 7.22525 , 0
0.81376 , 7.24242 , 0
0.813318 , 7.25958 , 0
0.812876 , 7.27674 , 0
0.812434 , 7.2939 , 0
0.811992 , 7.31107 , 0
0.81155 , 7.32823 , 0
0.811108 , 7.34539 , 0
0.810666 , 7.36255 , 0
0.810224 , 7.37971 , 0
0.809782 , 7.39688 , 0
0.80934 , 7.41404 , 0
