x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.402216 , 0.875118 , -6.47863e-006
-0.60756 , 0.71545 , 7.46571e-006
-0.769139 , 0.504436 , 2.30081e-005
-0.871881 , 0.255191 , 3.92988e-005
-0.905654 , -0.0137582 , 5.53252e-005
-0.86759 , -0.281028 , 7.00672e-005
-0.76263 , -0.525953 , 8.26684e-005
-0.602056 , -0.731757 , 9.2556e-005
-0.400821 , -0.887256 , 9.9473e-005
-0.174879 , -0.986945 , 0.000103437
0.0607353 , -1.03004 , 0.000104667
0.292925 , -1.01917 , 0.0001035
0.510849 , -0.959193 , 0.000100342
0.705846 , -0.856299 , 9.5618e-005
0.871165 , -0.717385 , 8.97558e-005
1.00168 , -0.549712 , 8.31717e-005
1.09361 , -0.360715 , 7.62672e-005
1.14432 , -0.157935 , 6.94293e-005
1.15223 , 0.0509808 , 6.30325e-005
1.11669 , 0.258244 , 5.74413e-005
1.03811 , 0.455872 , 5.30121e-005
0.918024 , 0.635651 , 5.00923e-005
0.759303 , 0.789153 , 4.90168e-005
0.566498 , 0.907835 , 5.00973e-005
0.34621 , 0.983307 , 5.36042e-005
0.107511 , 1.00784 , 5.97361e-005
-0.137716 , 0.975234 , 6.85754e-005
-0.374765 , 0.882035 , 8.00315e-005
-0.586728 , 0.729106 , 9.37808e-005
-0.756093 , 0.52307 , 0.000109228
-0.867355 , 0.276956 , 0.00012552
-0.910053 , 0.00928257 , 0.000141638
-0.881048 , -0.258608 , 0.000156561
-0.784962 , -0.506135 , 0.000169429
-0.632631 , -0.716562 , 0.000179666
-0.438482 , -0.878589 , 0.000186999
-0.21796 , -0.986391 , 0.000191423
0.0142876 , -1.0387 , 0.000193128
0.245381 , -1.03758 , 0.000192423
0.464522 , -0.987289 , 0.000189684
0.662934 , -0.893459 , 0.000185315
0.833635 , -0.762503 , 0.000179724
0.971169 , -0.601279 , 0.000173315
1.07137 , -0.416913 , 0.000166482
1.13118 , -0.216727 , 0.000159609
1.14853 , -0.00824148 , 0.000153073
1.12232 , 0.200785 , 0.000147245
1.05247 , 0.402304 , 0.000142492
0.940018 , 0.587932 , 0.000139178
0.787424 , 0.74896 , 0.000137657
0.598848 , 0.876453 , 0.000138266
0.380608 , 0.961524 , 0.000141302
0.141633 , 0.995863 , 0.000146993
-0.106162 , 0.972645 , 0.000155449
-0.347843 , 0.88785 , 0.000166601
-0.566116 , 0.741894 , 0.000180139
-0.743016 , 0.541141 , 0.000195473
-0.862631 , 0.298524 , 0.000211746
-0.91419 , 0.0325261 , 0.000227937
-0.894291 , -0.235587 , 0.000243023
-0.807218 , -0.485349 , 0.000256145
-0.663347 , -0.70008 , 0.000266719
-0.476558 , -0.868369 , 0.000274461
-0.261778 , -0.984082 , 0.000279341
-0.0332549 , -1.04547 , 0.000281522
