x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00385729 , 0.00742599 , 2.46482e-005
-0.00391598 , 0.00741209 , 2.62662e-005
-0.00397468 , 0.00739824 , 2.78842e-005
-0.00403341 , 0.00738442 , 2.95022e-005
-0.00409218 , 0.00737064 , 3.11203e-005
-0.00415097 , 0.0073569 , 3.27383e-005
-0.00420981 , 0.00734319 , 3.43563e-005
-0.00426869 , 0.00732949 , 3.59743e-005
-0.00432761 , 0.00731582 , 3.75924e-005
-0.00438659 , 0.00730215 , 3.92104e-005
-0.00444561 , 0.00728849 , 4.08284e-005
-0.00450468 , 0.00727482 , 4.24464e-005
-0.0045638 , 0.00726115 , 4.40645e-005
-0.00462297 , 0.00724746 , 4.56825e-005
-0.00468218 , 0.00723374 , 4.73005e-005
-0.00474143 , 0.00722 , 4.89186e-005
-0.00480071 , 0.00720623 , 5.05366e-005
-0.00486003 , 0.00719242 , 5.21546e-005
-0.00491937 , 0.00717858 , 5.37727e-005
-0.00497873 , 0.00716469 , 5.53907e-005
-0.0050381 , 0.00715076 , 5.70088e-005
-0.00509748 , 0.00713679 , 5.86268e-005
-0.00515687 , 0.00712277 , 6.02449e-005
-0.00521626 , 0.00710872 , 6.18629e-005
-0.00527563 , 0.00709462 , 6.3481e-005
-0.005335 , 0.00708048 , 6.5099e-005
-0.00539436 , 0.00706631 , 6.67171e-005
-0.00545369 , 0.0070521 , 6.83351e-005
-0.005513 , 0.00703785 , 6.99532e-005
-0.00557229 , 0.00702358 , 7.15712e-005
-0.00563155 , 0.00700928 , 7.31893e-005
-0.00569078 , 0.00699495 , 7.48074e-005
-0.00574997 , 0.00698061 , 7.64254e-005
-0.00580913 , 0.00696625 , 7.80435e-005
-0.00586826 , 0.00695188 , 7.96615e-005
-0.00592734 , 0.0069375 , 8.12796e-005
-0.00598639 , 0.00692311 , 8.28976e-005
-0.00604541 , 0.00690873 , 8.45157e-005
-0.00610438 , 0.00689435 , 8.61338e-005
-0.00616332 , 0.00687997 , 8.77518e-005
-0.00622222 , 0.00686561 , 8.93699e-005
-0.00628108 , 0.00685126 , 9.09879e-005
-0.00633991 , 0.00683693 , 9.2606e-005
-0.00639871 , 0.00682262 , 9.4224e-005
-0.00645748 , 0.00680834 , 9.58421e-005
-0.00651622 , 0.00679409 , 9.74601e-005
-0.00657494 , 0.00677988 , 9.90782e-005
-0.00663364 , 0.0067657 , 0.000100696
-0.00669232 , 0.00675155 , 0.000102314
-0.00675099 , 0.00673745 , 0.000103932
-0.00680965 , 0.0067234 , 0.00010555
-0.00686831 , 0.00670939 , 0.000107168
-0.00692698 , 0.00669542 , 0.000108786
-0.00698566 , 0.0066815 , 0.000110404
-0.00704435 , 0.00666762 , 0.000112022
-0.00710307 , 0.00665378 , 0.00011364
-0.00716181 , 0.00663998 , 0.000115259
-0.00722058 , 0.00662622 , 0.000116877
-0.00727939 , 0.00661249 , 0.000118495
-0.00733825 , 0.00659878 , 0.000120113
-0.00739715 , 0.0065851 , 0.000121731
-0.00745609 , 0.00657143 , 0.000123349
-0.00751508 , 0.00655776 , 0.000124967
-0.00757413 , 0.0065441 , 0.000126585
-0.00763322 , 0.00653043 , 0.000128203
-0.00769236 , 0.00651675 , 0.000129821
-0.00775155 , 0.00650305 , 0.000131439
-0.00781077 , 0.00648933 , 0.000133057
-0.00787004 , 0.00647557 , 0.000134675
-0.00792933 , 0.00646179 , 0.000136293
-0.00798866 , 0.00644796 , 0.000137911
-0.008048 , 0.0064341 , 0.000139529
-0.00810737 , 0.0064202 , 0.000141147
-0.00816675 , 0.00640625 , 0.000142765
-0.00822613 , 0.00639226 , 0.000144383
-0.00828552 , 0.00637823 , 0.000146001
-0.0083449 , 0.00636416 , 0.000147619
-0.00840427 , 0.00635004 , 0.000149237
-0.00846364 , 0.00633589 , 0.000150855
-0.00852298 , 0.0063217 , 0.000152473
-0.00858231 , 0.00630748 , 0.000154091
-0.00864161 , 0.00629322 , 0.000155709
-0.00870089 , 0.00627894 , 0.000157328
-0.00876013 , 0.00626463 , 0.000158946
-0.00881935 , 0.0062503 , 0.000160564
-0.00887853 , 0.00623595 , 0.000162182
-0.00893768 , 0.00622158 , 0.0001638
-0.00899679 , 0.00620721 , 0.000165418
-0.00905586 , 0.00619283 , 0.000167036
