x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.255118 , 0.479911 , 1.27841e-005
0.109179 , -0.862316 , 7.46756e-005
0.427351 , -1.8511 , 0.000121276
0.728472 , -2.76653 , 0.000164829
1.02108 , -3.64975 , 0.000207061
1.30855 , -4.51468 , 0.000248548
1.59258 , -5.36773 , 0.000289553
1.87412 , -6.21243 , 0.00033022
2.15378 , -7.0509 , 0.000370636
2.43196 , -7.88457 , 0.000410858
2.70896 , -8.7144 , 0.000450926
2.98499 , -9.54109 , 0.000490867
3.26019 , -10.3652 , 0.000530703
3.5347 , -11.187 , 0.000570451
3.80861 , -12.007 , 0.000610122
4.082 , -12.8253 , 0.000649727
4.35492 , -13.6422 , 0.000689275
4.62744 , -14.4578 , 0.000728771
4.8996 , -15.2723 , 0.000768223
5.17143 , -16.0858 , 0.000807633
5.44297 , -16.8983 , 0.000847008
5.71424 , -17.7101 , 0.000886349
5.98527 , -18.521 , 0.000925659
6.25608 , -19.3313 , 0.000964943
6.52668 , -20.141 , 0.0010042
6.79709 , -20.95 , 0.00104344
7.06733 , -21.7586 , 0.00108265
7.3374 , -22.5666 , 0.00112184
7.60733 , -23.3742 , 0.00116102
7.87711 , -24.1813 , 0.00120018
8.14677 , -24.9881 , 0.00123932
8.4163 , -25.7945 , 0.00127844
8.68571 , -26.6005 , 0.00131756
8.95502 , -27.4062 , 0.00135666
9.22422 , -28.2115 , 0.00139574
9.49333 , -29.0166 , 0.00143482
9.76235 , -29.8214 , 0.00147388
10.0313 , -30.6259 , 0.00151293
10.3001 , -31.4302 , 0.00155198
10.5689 , -32.2342 , 0.00159101
10.8376 , -33.038 , 0.00163003
11.1062 , -33.8416 , 0.00166905
11.3748 , -34.645 , 0.00170806
11.6433 , -35.4482 , 0.00174706
11.9117 , -36.2512 , 0.00178605
12.1801 , -37.0541 , 0.00182504
12.4484 , -37.8567 , 0.00186401
12.7166 , -38.6592 , 0.00190299
12.9848 , -39.4616 , 0.00194195
13.253 , -40.2637 , 0.00198091
13.5211 , -41.0658 , 0.00201987
13.7892 , -41.8677 , 0.00205881
14.0572 , -42.6695 , 0.00209776
14.3252 , -43.4711 , 0.0021367
14.5931 , -44.2726 , 0.00217563
14.861 , -45.074 , 0.00221456
15.1289 , -45.8753 , 0.00225348
15.3967 , -46.6765 , 0.0022924
15.6645 , -47.4775 , 0.00233131
15.9323 , -48.2785 , 0.00237022
16.2 , -49.0793 , 0.00240913
16.4677 , -49.8801 , 0.00244803
16.7353 , -50.6808 , 0.00248693
17.0029 , -51.4813 , 0.00252583
17.2705 , -52.2818 , 0.00256472
17.5381 , -53.0822 , 0.00260361
17.8057 , -53.8825 , 0.00264249
18.0732 , -54.6828 , 0.00268137
18.3407 , -55.4829 , 0.00272025
18.6081 , -56.283 , 0.00275913
18.8756 , -57.083 , 0.002798
19.143 , -57.883 , 0.00283687
19.4104 , -58.6828 , 0.00287574
19.6777 , -59.4826 , 0.0029146
19.9451 , -60.2823 , 0.00295346
20.2124 , -61.082 , 0.00299232
20.4797 , -61.8816 , 0.00303118
20.747 , -62.6812 , 0.00307003
21.0143 , -63.4806 , 0.00310889
21.2815 , -64.2801 , 0.00314774
21.5487 , -65.0794 , 0.00318658
21.816 , -65.8787 , 0.00322543
22.0832 , -66.678 , 0.00326427
22.3503 , -67.4772 , 0.00330311
22.6175 , -68.2764 , 0.00334195
22.8846 , -69.0755 , 0.00338079
23.1517 , -69.8745 , 0.00341962
23.4189 , -70.6735 , 0.00345845
23.6859 , -71.4725 , 0.00349728
23.953 , -72.2714 , 0.00353611
24.2201 , -73.0703 , 0.00357494
24.4871 , -73.8691 , 0.00361377
24.7542 , -74.6679 , 0.00365259
25.0212 , -75.4666 , 0.00369141
25.2882 , -76.2653 , 0.00373023
25.5552 , -77.064 , 0.00376905
25.8222 , -77.8626 , 0.00380787
26.0891 , -78.6612 , 0.00384668
26.3561 , -79.4597 , 0.0038855
26.623 , -80.2582 , 0.00392431
26.89 , -81.0567 , 0.00396312
27.1569 , -81.8551 , 0.00400193
27.4238 , -82.6535 , 0.00404074
27.6907 , -83.4519 , 0.00407955
27.9576 , -84.2502 , 0.00411835
28.2244 , -85.0485 , 0.00415716
28.4913 , -85.8468 , 0.00419596
28.7581 , -86.645 , 0.00423476
29.025 , -87.4432 , 0.00427356
29.2918 , -88.2414 , 0.00431236
29.5586 , -89.0395 , 0.00435116
29.8255 , -89.8376 , 0.00438996
30.0923 , -90.6357 , 0.00442876
30.359 , -91.4338 , 0.00446755
30.6258 , -92.2318 , 0.00450634
30.8926 , -93.0298 , 0.00454514
31.1594 , -93.8278 , 0.00458393
31.4261 , -94.6257 , 0.00462272
31.6929 , -95.4236 , 0.00466151
