x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00385737 , 0.00742568 , 2.46482e-005
-0.00391614 , 0.00741148 , 2.62662e-005
-0.00397492 , 0.00739731 , 2.78843e-005
-0.00403372 , 0.00738317 , 2.95023e-005
-0.00409254 , 0.00736907 , 3.11203e-005
-0.00415138 , 0.007355 , 3.27384e-005
-0.00421025 , 0.00734095 , 3.43564e-005
-0.00426915 , 0.00732692 , 3.59745e-005
-0.00432807 , 0.0073129 , 3.75925e-005
-0.00438702 , 0.0072989 , 3.92105e-005
-0.00444601 , 0.00728491 , 4.08286e-005
-0.00450502 , 0.00727093 , 4.24466e-005
-0.00456407 , 0.00725694 , 4.40647e-005
-0.00462314 , 0.00724296 , 4.56827e-005
-0.00468224 , 0.00722897 , 4.73007e-005
-0.00474137 , 0.00721497 , 4.89188e-005
-0.00480052 , 0.00720096 , 5.05368e-005
-0.00485969 , 0.00718694 , 5.21549e-005
-0.00491888 , 0.00717291 , 5.37729e-005
-0.00497809 , 0.00715886 , 5.5391e-005
-0.00503731 , 0.0071448 , 5.7009e-005
-0.00509655 , 0.00713071 , 5.86271e-005
-0.00515579 , 0.00711662 , 6.02451e-005
-0.00521504 , 0.0071025 , 6.18632e-005
-0.0052743 , 0.00708837 , 6.34812e-005
-0.00533356 , 0.00707423 , 6.50993e-005
-0.00539282 , 0.00706007 , 6.67173e-005
-0.00545209 , 0.00704589 , 6.83354e-005
-0.00551136 , 0.00703171 , 6.99534e-005
-0.00557062 , 0.00701751 , 7.15715e-005
-0.00562989 , 0.0070033 , 7.31895e-005
-0.00568916 , 0.00698909 , 7.48076e-005
-0.00574843 , 0.00697486 , 7.64256e-005
-0.00580772 , 0.00696063 , 7.80437e-005
-0.00586701 , 0.00694639 , 7.96618e-005
-0.00592632 , 0.00693214 , 8.12798e-005
-0.00598566 , 0.00691787 , 8.28979e-005
-0.00604506 , 0.00690355 , 8.45159e-005
-0.00610451 , 0.0068891 , 8.6134e-005
-0.00616387 , 0.00687439 , 8.77521e-005
-0.00622298 , 0.00685965 , 8.93702e-005
-0.00628196 , 0.00684498 , 9.09882e-005
-0.00634088 , 0.00683038 , 9.26063e-005
-0.00639976 , 0.00681582 , 9.42244e-005
-0.00645862 , 0.00680132 , 9.58424e-005
-0.00651746 , 0.00678685 , 9.74605e-005
-0.00657628 , 0.00677242 , 9.90785e-005
-0.00663509 , 0.00675802 , 0.000100697
-0.00669389 , 0.00674367 , 0.000102315
-0.00675269 , 0.00672934 , 0.000103933
-0.00681148 , 0.00671505 , 0.000105551
-0.00687028 , 0.0067008 , 0.000107169
-0.00692907 , 0.00668657 , 0.000108787
-0.00698788 , 0.00667238 , 0.000110405
-0.00704669 , 0.00665822 , 0.000112023
-0.00710552 , 0.00664409 , 0.000113641
-0.00716436 , 0.00662999 , 0.000115259
-0.00722323 , 0.00661591 , 0.000116877
-0.00728211 , 0.00660186 , 0.000118495
-0.00734102 , 0.00658782 , 0.000120113
-0.00739995 , 0.00657381 , 0.000121731
-0.00745891 , 0.0065598 , 0.000123349
-0.00751789 , 0.00654581 , 0.000124967
-0.00757691 , 0.00653182 , 0.000126585
-0.00763595 , 0.00651784 , 0.000128203
-0.00769502 , 0.00650385 , 0.000129821
-0.00775411 , 0.00648987 , 0.000131439
-0.00781323 , 0.00647587 , 0.000133057
-0.00787237 , 0.00646187 , 0.000134676
-0.00793154 , 0.00644786 , 0.000136294
-0.00799072 , 0.00643383 , 0.000137912
-0.00804991 , 0.00641979 , 0.00013953
-0.00810912 , 0.00640574 , 0.000141148
-0.00816835 , 0.00639167 , 0.000142766
-0.00822758 , 0.00637758 , 0.000144384
-0.00828681 , 0.00636348 , 0.000146002
-0.00834606 , 0.00634937 , 0.00014762
-0.0084053 , 0.00633524 , 0.000149238
-0.00846455 , 0.0063211 , 0.000150856
-0.00852379 , 0.00630694 , 0.000152474
-0.00858304 , 0.00629278 , 0.000154092
-0.00864229 , 0.00627861 , 0.00015571
-0.00870153 , 0.00626443 , 0.000157328
-0.00876077 , 0.00625024 , 0.000158946
-0.00882002 , 0.00623605 , 0.000160564
-0.00887927 , 0.00622186 , 0.000162182
-0.00893852 , 0.00620767 , 0.0001638
-0.0089978 , 0.00619348 , 0.000165418
-0.0090571 , 0.00617928 , 0.000167037
-0.00911646 , 0.00616507 , 0.000168655
-0.0091759 , 0.00615079 , 0.000170273
-0.00923541 , 0.00613627 , 0.000171891
-0.00929468 , 0.00612158 , 0.000173509
-0.00935379 , 0.00610692 , 0.000175127
-0.00941282 , 0.0060923 , 0.000176745
-0.0094718 , 0.00607773 , 0.000178363
-0.00953073 , 0.00606319 , 0.000179981
-0.00958964 , 0.00604869 , 0.000181599
-0.00964852 , 0.00603422 , 0.000183217
-0.00970738 , 0.00601979 , 0.000184835
-0.00976623 , 0.0060054 , 0.000186453
-0.00982507 , 0.00599104 , 0.000188071
-0.00988389 , 0.00597671 , 0.000189689
-0.00994271 , 0.00596241 , 0.000191307
-0.0100015 , 0.00594815 , 0.000192926
-0.0100604 , 0.00593392 , 0.000194544
-0.0101192 , 0.00591972 , 0.000196162
-0.010178 , 0.00590556 , 0.00019778
-0.0102369 , 0.00589142 , 0.000199398
-0.0102957 , 0.00587731 , 0.000201016
-0.0103546 , 0.00586322 , 0.000202634
-0.0104135 , 0.00584916 , 0.000204252
-0.0104724 , 0.00583512 , 0.00020587
-0.0105314 , 0.00582109 , 0.000207488
-0.0105903 , 0.00580707 , 0.000209106
-0.0106493 , 0.00579307 , 0.000210724
-0.0107084 , 0.00577907 , 0.000212342
-0.0107674 , 0.00576508 , 0.00021396
-0.0108265 , 0.00575108 , 0.000215578
-0.0108856 , 0.00573708 , 0.000217196
-0.0109447 , 0.00572308 , 0.000218814
-0.0110038 , 0.00570906 , 0.000220432
-0.011063 , 0.00569504 , 0.00022205
-0.0111221 , 0.00568101 , 0.000223668
-0.0111813 , 0.00566696 , 0.000225286
-0.0112405 , 0.0056529 , 0.000226904
-0.0112997 , 0.00563883 , 0.000228522
-0.0113589 , 0.00562474 , 0.000230141
-0.0114182 , 0.00561064 , 0.000231759
-0.0114774 , 0.00559653 , 0.000233377
-0.0115366 , 0.00558241 , 0.000234995
-0.0115958 , 0.00556828 , 0.000236613
-0.011655 , 0.00555415 , 0.000238231
-0.0117142 , 0.00554001 , 0.000239849
-0.0117735 , 0.00552586 , 0.000241467
-0.0118327 , 0.00551172 , 0.000243085
-0.0118919 , 0.00549758 , 0.000244703
-0.0119511 , 0.00548344 , 0.000246321
-0.0120104 , 0.00546932 , 0.000247939
-0.0120697 , 0.0054552 , 0.000249557
-0.0121291 , 0.00544107 , 0.000251175
-0.0121886 , 0.00542682 , 0.000252793
-0.0122481 , 0.00541227 , 0.000254411
-0.0123074 , 0.00539764 , 0.000256029
-0.0123666 , 0.00538302 , 0.000257647
-0.0124257 , 0.00536842 , 0.000259266
-0.0124847 , 0.00535385 , 0.000260884
-0.0125437 , 0.00533931 , 0.000262502
-0.0126027 , 0.0053248 , 0.00026412
-0.0126616 , 0.00531031 , 0.000265738
-0.0127206 , 0.00529586 , 0.000267356
-0.0127795 , 0.00528143 , 0.000268974
-0.0128383 , 0.00526703 , 0.000270592
-0.0128972 , 0.00525266 , 0.00027221
-0.012956 , 0.00523833 , 0.000273828
-0.0130149 , 0.00522402 , 0.000275446
-0.0130737 , 0.00520975 , 0.000277064
-0.0131326 , 0.00519551 , 0.000278682
