x , y , z
0.522349 , -5.19358 , 0.00985376
0.529747 , -5.19246 , 0.00968356
0.537145 , -5.19133 , 0.00951335
0.544542 , -5.19018 , 0.00934311
0.551937 , -5.18903 , 0.00917286
0.559332 , -5.18786 , 0.00900259
0.566725 , -5.18668 , 0.0088323
0.574117 , -5.18549 , 0.00866199
0.581508 , -5.1843 , 0.00849166
0.588898 , -5.18309 , 0.00832132
0.596286 , -5.18187 , 0.00815096
0.603673 , -5.18064 , 0.00798058
0.611059 , -5.1794 , 0.00781019
0.618444 , -5.17814 , 0.00763978
0.625827 , -5.17688 , 0.00746935
0.633209 , -5.17561 , 0.00729891
0.64059 , -5.17432 , 0.00712845
0.64797 , -5.17303 , 0.00695798
0.655348 , -5.17172 , 0.00678749
0.662724 , -5.17041 , 0.00661699
0.6701 , -5.16908 , 0.00644648
0.677474 , -5.16774 , 0.00627595
0.684846 , -5.16639 , 0.00610541
0.692217 , -5.16503 , 0.00593486
0.699587 , -5.16366 , 0.0057643
0.706955 , -5.16228 , 0.00559372
0.714322 , -5.16089 , 0.00542313
0.721687 , -5.15949 , 0.00525253
0.729051 , -5.15808 , 0.00508192
0.736413 , -5.15665 , 0.0049113
0.743774 , -5.15522 , 0.00474067
0.751133 , -5.15377 , 0.00457003
0.758491 , -5.15232 , 0.00439938
0.765847 , -5.15085 , 0.00422872
0.773201 , -5.14937 , 0.00405805
0.780554 , -5.14789 , 0.00388738
0.787905 , -5.14639 , 0.00371669
0.795254 , -5.14488 , 0.003546
0.802602 , -5.14336 , 0.0033753
0.809949 , -5.14183 , 0.0032046
0.817293 , -5.14029 , 0.00303389
0.824636 , -5.13873 , 0.00286317
0.831977 , -5.13717 , 0.00269244
0.839316 , -5.1356 , 0.00252171
0.846654 , -5.13401 , 0.00235098
0.85399 , -5.13242 , 0.00218024
0.861324 , -5.13081 , 0.00200949
0.868656 , -5.1292 , 0.00183874
0.875986 , -5.12757 , 0.00166799
0.883315 , -5.12593 , 0.00149723
0.890641 , -5.12428 , 0.00132647
0.897966 , -5.12262 , 0.00115571
0.905289 , -5.12095 , 0.000984949
0.91261 , -5.11927 , 0.000814183
0.919929 , -5.11758 , 0.000643415
0.927247 , -5.11588 , 0.000472646
0.934562 , -5.11417 , 0.000301876
0.941875 , -5.11244 , 0.000131105
0.949187 , -5.11071 , -3.96652e-005
0.956496 , -5.10897 , -0.000210436
0.963803 , -5.10721 , -0.000381206
0.971109 , -5.10544 , -0.000551975
0.978412 , -5.10367 , -0.000722743
0.985713 , -5.10188 , -0.000893509
0.993012 , -5.10008 , -0.00106427
1.00031 , -5.09827 , -0.00123504
1.0076 , -5.09645 , -0.00140579
1.0149 , -5.09462 , -0.00157655
1.02219 , -5.09278 , -0.0017473
1.02948 , -5.09093 , -0.00191805
1.03676 , -5.08907 , -0.0020888
1.04405 , -5.0872 , -0.00225954
1.05133 , -5.08531 , -0.00243028
1.05861 , -5.08342 , -0.00260101
1.06589 , -5.08151 , -0.00277173
1.07316 , -5.0796 , -0.00294245
1.08044 , -5.07767 , -0.00311316
1.08771 , -5.07574 , -0.00328387
1.09498 , -5.07379 , -0.00345457
1.10224 , -5.07183 , -0.00362526
1.10951 , -5.06986 , -0.00379595
1.11677 , -5.06788 , -0.00396662
1.12403 , -5.06589 , -0.00413729
1.13128 , -5.06389 , -0.00430795
1.13854 , -5.06188 , -0.0044786
1.14579 , -5.05986 , -0.00464924
1.15304 , -5.05783 , -0.00481987
1.16029 , -5.05578 , -0.00499049
1.16753 , -5.05373 , -0.0051611
1.17477 , -5.05166 , -0.0053317
1.18201 , -5.04959 , -0.00550229
1.18925 , -5.0475 , -0.00567287
1.19649 , -5.04541 , -0.00584343
1.20372 , -5.0433 , -0.00601398
1.21095 , -5.04118 , -0.00618452
1.21818 , -5.03905 , -0.00635505
1.2254 , -5.03691 , -0.00652556
1.23262 , -5.03477 , -0.00669606
1.23984 , -5.0326 , -0.00686654
1.24706 , -5.03043 , -0.00703701
1.25427 , -5.02825 , -0.00720747
1.26148 , -5.02606 , -0.00737791
1.26869 , -5.02386 , -0.00754833
1.2759 , -5.02164 , -0.00771874
1.2831 , -5.01942 , -0.00788913
1.2903 , -5.01719 , -0.0080595
1.2975 , -5.01494 , -0.00822986
1.3047 , -5.01269 , -0.0084002
1.31189 , -5.01042 , -0.00857052
1.31908 , -5.00814 , -0.00874083
1.32627 , -5.00586 , -0.00891111
1.33345 , -5.00356 , -0.00908138
1.34063 , -5.00125 , -0.00925163
1.34781 , -4.99893 , -0.00942186
1.35499 , -4.9966 , -0.00959206
1.36216 , -4.99426 , -0.00976225
1.36933 , -4.99191 , -0.00993242
1.3765 , -4.98955 , -0.0101026
1.38366 , -4.98718 , -0.0102727
1.39082 , -4.98479 , -0.0104428
1.39798 , -4.9824 , -0.0106129
1.40514 , -4.98 , -0.0107829
1.41229 , -4.97758 , -0.010953
1.41944 , -4.97516 , -0.011123
1.42658 , -4.97272 , -0.011293
1.43373 , -4.97028 , -0.0114629
1.44087 , -4.96782 , -0.0116329
1.448 , -4.96535 , -0.0118028
1.45514 , -4.96287 , -0.0119727
1.46227 , -4.96039 , -0.0121425
1.4694 , -4.95789 , -0.0123124
1.47652 , -4.95538 , -0.0124822
1.48364 , -4.95286 , -0.012652
1.49076 , -4.95033 , -0.0128217
1.49788 , -4.94779 , -0.0129915
1.50499 , -4.94524 , -0.0131612
1.5121 , -4.94268 , -0.0133308
1.5192 , -4.9401 , -0.0135005
1.52631 , -4.93752 , -0.0136701
1.5334 , -4.93493 , -0.0138397
1.5405 , -4.93232 , -0.0140092
1.54759 , -4.92971 , -0.0141788
1.55468 , -4.92708 , -0.0143483
1.56177 , -4.92445 , -0.0145177
1.56885 , -4.9218 , -0.0146872
1.57593 , -4.91915 , -0.0148566
1.58301 , -4.91648 , -0.015026
1.59008 , -4.9138 , -0.0151953
1.59715 , -4.91112 , -0.0153646
1.60421 , -4.90842 , -0.0155339
1.61128 , -4.90571 , -0.0157031
1.61833 , -4.90299 , -0.0158723
1.62539 , -4.90026 , -0.0160415
1.63244 , -4.89752 , -0.0162107
1.63949 , -4.89477 , -0.0163798
1.64654 , -4.89201 , -0.0165488
1.65358 , -4.88924 , -0.0167179
1.66061 , -4.88646 , -0.0168869
1.66765 , -4.88366 , -0.0170558
1.67468 , -4.88086 , -0.0172248
1.68171 , -4.87805 , -0.0173937
1.68873 , -4.87522 , -0.0175625
1.69575 , -4.87239 , -0.0177313
1.70277 , -4.86955 , -0.0179001
1.70978 , -4.86669 , -0.0180689
1.71679 , -4.86383 , -0.0182376
1.72379 , -4.86095 , -0.0184062
1.7308 , -4.85806 , -0.0185748
1.73779 , -4.85517 , -0.0187434
1.74479 , -4.85226 , -0.018912
1.75178 , -4.84934 , -0.0190805
1.75877 , -4.84642 , -0.0192489
1.76575 , -4.84348 , -0.0194173
1.77273 , -4.84053 , -0.0195857
1.7797 , -4.83757 , -0.0197541
1.78667 , -4.8346 , -0.0199224
1.79364 , -4.83162 , -0.0200906
1.80061 , -4.82863 , -0.0202588
1.80757 , -4.82563 , -0.020427
1.81452 , -4.82262 , -0.0205951
1.82147 , -4.8196 , -0.0207632
1.82842 , -4.81657 , -0.0209312
1.83537 , -4.81353 , -0.0210992
1.84231 , -4.81048 , -0.0212671
1.84924 , -4.80742 , -0.021435
1.85618 , -4.80434 , -0.0216029
1.8631 , -4.80126 , -0.0217707
1.87003 , -4.79817 , -0.0219384
1.87695 , -4.79506 , -0.0221061
1.88387 , -4.79195 , -0.0222738
1.89078 , -4.78883 , -0.0224414
1.89769 , -4.78569 , -0.022609
1.90459 , -4.78255 , -0.0227765
1.91149 , -4.77939 , -0.022944
1.91839 , -4.77623 , -0.0231114
1.92528 , -4.77305 , -0.0232788
1.93217 , -4.76986 , -0.0234461
1.93905 , -4.76667 , -0.0236133
1.94593 , -4.76346 , -0.0237806
1.9528 , -4.76025 , -0.0239477
1.95967 , -4.75702 , -0.0241148
1.96654 , -4.75378 , -0.0242819
1.9734 , -4.75053 , -0.0244489
1.98026 , -4.74728 , -0.0246159
1.98712 , -4.74401 , -0.0247828
1.99397 , -4.74073 , -0.0249496
2.00081 , -4.73744 , -0.0251164
2.00765 , -4.73414 , -0.0252831
2.01449 , -4.73083 , -0.0254498
2.02132 , -4.72751 , -0.0256165
2.02815 , -4.72419 , -0.025783
2.03497 , -4.72085 , -0.0259495
2.04179 , -4.7175 , -0.026116
