x , y , z
3.79345 , -9.28066 , 0.0103562
3.79108 , -9.27898 , 0.0104215
3.78871 , -9.2773 , 0.0104867
3.78634 , -9.27562 , 0.010552
3.78397 , -9.27394 , 0.0106172
3.7816 , -9.27226 , 0.0106825
3.77923 , -9.27058 , 0.0107477
3.77686 , -9.2689 , 0.010813
3.77449 , -9.26722 , 0.0108782
3.77212 , -9.26554 , 0.0109435
3.76974 , -9.26385 , 0.0110087
3.76737 , -9.26217 , 0.011074
3.765 , -9.26049 , 0.0111392
3.76263 , -9.2588 , 0.0112045
3.76026 , -9.25712 , 0.0112697
3.75788 , -9.25543 , 0.0113349
3.75551 , -9.25374 , 0.0114002
3.75314 , -9.25205 , 0.0114654
3.75076 , -9.25036 , 0.0115307
3.74839 , -9.24867 , 0.0115959
3.74601 , -9.24698 , 0.0116611
3.74364 , -9.24529 , 0.0117264
3.74127 , -9.2436 , 0.0117916
3.73889 , -9.24191 , 0.0118569
3.73652 , -9.24022 , 0.0119221
3.73414 , -9.23852 , 0.0119873
3.73176 , -9.23683 , 0.0120526
3.72939 , -9.23513 , 0.0121178
3.72701 , -9.23344 , 0.012183
3.72463 , -9.23174 , 0.0122483
3.72226 , -9.23005 , 0.0123135
3.71988 , -9.22835 , 0.0123787
3.7175 , -9.22665 , 0.0124439
3.71512 , -9.22495 , 0.0125092
3.71275 , -9.22325 , 0.0125744
3.71037 , -9.22155 , 0.0126396
3.70799 , -9.21985 , 0.0127048
3.70561 , -9.21815 , 0.0127701
3.70323 , -9.21645 , 0.0128353
3.70085 , -9.21474 , 0.0129005
3.69847 , -9.21304 , 0.0129657
3.69609 , -9.21133 , 0.013031
3.69371 , -9.20963 , 0.0130962
3.69133 , -9.20792 , 0.0131614
3.68895 , -9.20622 , 0.0132266
3.68657 , -9.20451 , 0.0132918
3.68419 , -9.2028 , 0.013357
3.68181 , -9.20109 , 0.0134223
3.67942 , -9.19938 , 0.0134875
3.67704 , -9.19767 , 0.0135527
3.67466 , -9.19596 , 0.0136179
3.67228 , -9.19425 , 0.0136831
3.66989 , -9.19254 , 0.0137483
3.66751 , -9.19082 , 0.0138135
3.66512 , -9.18911 , 0.0138787
3.66274 , -9.1874 , 0.0139439
3.66036 , -9.18568 , 0.0140091
3.65797 , -9.18397 , 0.0140743
3.65559 , -9.18225 , 0.0141395
3.6532 , -9.18053 , 0.0142047
3.65082 , -9.17881 , 0.0142699
3.64843 , -9.1771 , 0.0143351
3.64605 , -9.17538 , 0.0144003
3.64366 , -9.17366 , 0.0144655
3.64127 , -9.17194 , 0.0145307
3.63889 , -9.17021 , 0.0145959
3.6365 , -9.16849 , 0.0146611
3.63411 , -9.16677 , 0.0147263
3.63172 , -9.16505 , 0.0147915
3.62934 , -9.16332 , 0.0148567
3.62695 , -9.1616 , 0.0149219
3.62456 , -9.15987 , 0.0149871
3.62217 , -9.15814 , 0.0150523
3.61978 , -9.15642 , 0.0151174
3.61739 , -9.15469 , 0.0151826
3.615 , -9.15296 , 0.0152478
3.61261 , -9.15123 , 0.015313
3.61022 , -9.1495 , 0.0153782
3.60783 , -9.14777 , 0.0154434
3.60544 , -9.14604 , 0.0155085
3.60305 , -9.14431 , 0.0155737
3.60066 , -9.14258 , 0.0156389
3.59827 , -9.14084 , 0.0157041
3.59587 , -9.13911 , 0.0157692
3.59348 , -9.13737 , 0.0158344
3.59109 , -9.13564 , 0.0158996
3.5887 , -9.1339 , 0.0159648
