x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380022 , 0.00744184 , 2.30547e-005
-0.00380182 , 0.00744375 , 2.30792e-005
-0.00380342 , 0.00744566 , 2.31038e-005
-0.00380502 , 0.00744757 , 2.31283e-005
-0.00380662 , 0.00744947 , 2.31528e-005
-0.00380822 , 0.00745137 , 2.31773e-005
-0.00380981 , 0.00745327 , 2.32017e-005
-0.00381141 , 0.00745517 , 2.32262e-005
-0.00381301 , 0.00745706 , 2.32506e-005
-0.0038146 , 0.00745895 , 2.3275e-005
-0.00381619 , 0.00746084 , 2.32993e-005
-0.00381779 , 0.00746272 , 2.33237e-005
-0.00381938 , 0.00746461 , 2.3348e-005
-0.00382097 , 0.00746649 , 2.33723e-005
-0.00382257 , 0.00746837 , 2.33966e-005
-0.00382416 , 0.00747024 , 2.34209e-005
-0.00382575 , 0.00747212 , 2.34451e-005
-0.00382734 , 0.00747399 , 2.34693e-005
-0.00382892 , 0.00747586 , 2.34935e-005
-0.00383051 , 0.00747772 , 2.35176e-005
-0.0038321 , 0.00747959 , 2.35418e-005
-0.00383369 , 0.00748145 , 2.35659e-005
-0.00383527 , 0.00748331 , 2.35899e-005
-0.00383685 , 0.00748516 , 2.36139e-005
-0.00383844 , 0.00748702 , 2.36379e-005
-0.00384002 , 0.00748887 , 2.36619e-005
-0.0038416 , 0.00749072 , 2.36858e-005
-0.00384318 , 0.00749256 , 2.37097e-005
-0.00384476 , 0.00749441 , 2.37335e-005
-0.00384634 , 0.00749625 , 2.37573e-005
-0.00384792 , 0.00749809 , 2.3781e-005
-0.00384949 , 0.00749993 , 2.38047e-005
-0.00385107 , 0.00750176 , 2.38283e-005
-0.00385264 , 0.00750359 , 2.38518e-005
-0.00385421 , 0.00750542 , 2.38752e-005
-0.00385578 , 0.00750725 , 2.38985e-005
-0.00385734 , 0.00750908 , 2.39217e-005
-0.0038589 , 0.0075109 , 2.39446e-005
-0.00386046 , 0.00751272 , 2.39673e-005
-0.00386201 , 0.00751454 , 2.39895e-005
-0.00386353 , 0.00751635 , 2.40105e-005
-0.00386317 , 0.00751747 , 2.39126e-005
-0.00386281 , 0.00751859 , 2.38148e-005
-0.00386245 , 0.0075197 , 2.37169e-005
-0.00386208 , 0.00752081 , 2.3619e-005
-0.00386172 , 0.00752192 , 2.35212e-005
-0.00386136 , 0.00752303 , 2.34233e-005
-0.00386099 , 0.00752413 , 2.33254e-005
-0.00386063 , 0.00752524 , 2.32275e-005
-0.00386027 , 0.00752634 , 2.31296e-005
-0.0038599 , 0.00752743 , 2.30317e-005
-0.00385954 , 0.00752853 , 2.29338e-005
-0.00385917 , 0.00752962 , 2.28359e-005
-0.0038588 , 0.00753071 , 2.27379e-005
-0.00385844 , 0.0075318 , 2.264e-005
-0.00385807 , 0.00753288 , 2.25421e-005
-0.0038577 , 0.00753397 , 2.24442e-005
-0.00385734 , 0.00753505 , 2.23462e-005
-0.00385697 , 0.00753612 , 2.22483e-005
-0.0038566 , 0.0075372 , 2.21503e-005
-0.00385623 , 0.00753827 , 2.20524e-005
-0.00385586 , 0.00753935 , 2.19544e-005
-0.00385549 , 0.00754041 , 2.18564e-005
-0.00385512 , 0.00754148 , 2.17585e-005
-0.00385475 , 0.00754254 , 2.16605e-005
-0.00385438 , 0.00754361 , 2.15625e-005
-0.00385401 , 0.00754467 , 2.14646e-005
-0.00385364 , 0.00754572 , 2.13666e-005
-0.00385326 , 0.00754678 , 2.12686e-005
-0.00385289 , 0.00754783 , 2.11706e-005
-0.00385252 , 0.00754888 , 2.10727e-005
-0.00385215 , 0.00754993 , 2.09747e-005
-0.00385177 , 0.00755098 , 2.08767e-005
-0.0038514 , 0.00755202 , 2.07787e-005
-0.00385102 , 0.00755306 , 2.06807e-005
-0.00385065 , 0.0075541 , 2.05828e-005
-0.00385027 , 0.00755514 , 2.04848e-005
-0.0038499 , 0.00755617 , 2.03868e-005
-0.00384952 , 0.0075572 , 2.02889e-005
-0.00384914 , 0.00755823 , 2.01909e-005
-0.00384877 , 0.00755926 , 2.00929e-005
-0.00384839 , 0.00756029 , 1.9995e-005
-0.00384801 , 0.00756131 , 1.9897e-005
-0.00384764 , 0.00756233 , 1.97991e-005
-0.00384726 , 0.00756335 , 1.97011e-005
-0.00384688 , 0.00756436 , 1.96032e-005
-0.0038465 , 0.00756538 , 1.95053e-005
-0.00384612 , 0.00756639 , 1.94074e-005
-0.00384574 , 0.0075674 , 1.93095e-005
-0.00384536 , 0.00756841 , 1.92116e-005
-0.00384498 , 0.00756941 , 1.91137e-005
-0.0038446 , 0.00757042 , 1.90158e-005
-0.00384422 , 0.00757142 , 1.89179e-005
-0.00384384 , 0.00757241 , 1.88201e-005
-0.00384346 , 0.00757341 , 1.87222e-005
-0.00384308 , 0.0075744 , 1.86244e-005
-0.0038427 , 0.0075754 , 1.85265e-005
-0.00384232 , 0.00757638 , 1.84287e-005
-0.00384193 , 0.00757737 , 1.83309e-005
-0.00384155 , 0.00757836 , 1.82331e-005
-0.00384117 , 0.00757934 , 1.81353e-005
-0.00384079 , 0.00758032 , 1.80375e-005
-0.0038404 , 0.0075813 , 1.79398e-005
-0.00384002 , 0.00758227 , 1.7842e-005
-0.00383964 , 0.00758325 , 1.77443e-005
-0.00383925 , 0.00758422 , 1.76465e-005
-0.00383887 , 0.00758519 , 1.75488e-005
-0.00383849 , 0.00758615 , 1.74511e-005
-0.0038381 , 0.00758712 , 1.73534e-005
-0.00383772 , 0.00758808 , 1.72557e-005
-0.00383733 , 0.00758904 , 1.7158e-005
-0.00383695 , 0.00758999 , 1.70603e-005
-0.00383656 , 0.00759095 , 1.69627e-005
-0.00383618 , 0.0075919 , 1.6865e-005
-0.00383579 , 0.00759285 , 1.67674e-005
-0.00383541 , 0.0075938 , 1.66698e-005
-0.00383502 , 0.00759475 , 1.65721e-005
-0.00383463 , 0.00759569 , 1.64745e-005
-0.00383425 , 0.00759663 , 1.63769e-005
-0.00383386 , 0.00759757 , 1.62793e-005
-0.00383347 , 0.00759851 , 1.61818e-005
-0.00383309 , 0.00759944 , 1.60842e-005
-0.0038327 , 0.00760037 , 1.59866e-005
-0.00383231 , 0.0076013 , 1.58891e-005
-0.00383193 , 0.00760223 , 1.57916e-005
-0.00383154 , 0.00760315 , 1.5694e-005
-0.00383115 , 0.00760408 , 1.55965e-005
-0.00383076 , 0.007605 , 1.5499e-005
-0.00383038 , 0.00760591 , 1.54015e-005
-0.00382999 , 0.00760683 , 1.53041e-005
-0.0038296 , 0.00760774 , 1.52066e-005
-0.00382921 , 0.00760865 , 1.51091e-005
-0.00382882 , 0.00760956 , 1.50117e-005
-0.00382843 , 0.00761047 , 1.49142e-005
-0.00382804 , 0.00761137 , 1.48168e-005
-0.00382765 , 0.00761227 , 1.47194e-005
-0.00382727 , 0.00761317 , 1.4622e-005
-0.00382688 , 0.00761407 , 1.45246e-005
-0.00382649 , 0.00761496 , 1.44272e-005
-0.0038261 , 0.00761585 , 1.43298e-005
-0.00382571 , 0.00761674 , 1.42324e-005
-0.00382532 , 0.00761763 , 1.41351e-005
-0.00382493 , 0.00761852 , 1.40377e-005
-0.00382454 , 0.0076194 , 1.39404e-005
-0.00382415 , 0.00762028 , 1.38431e-005
-0.00382375 , 0.00762116 , 1.37457e-005
-0.00382336 , 0.00762203 , 1.36484e-005
-0.00382297 , 0.00762291 , 1.35511e-005
-0.00382258 , 0.00762378 , 1.34539e-005
-0.00382219 , 0.00762465 , 1.33566e-005
-0.0038218 , 0.00762551 , 1.32593e-005
-0.00382141 , 0.00762638 , 1.31621e-005
-0.00382102 , 0.00762724 , 1.30648e-005
-0.00382062 , 0.0076281 , 1.29676e-005
-0.00382023 , 0.00762895 , 1.28704e-005
-0.00381984 , 0.00762981 , 1.27732e-005
-0.00381945 , 0.00763066 , 1.2676e-005
-0.00381906 , 0.00763151 , 1.25788e-005
-0.00381866 , 0.00763236 , 1.24816e-005
-0.00381827 , 0.00763321 , 1.23845e-005
-0.00381788 , 0.00763405 , 1.22873e-005
-0.00381748 , 0.00763489 , 1.21902e-005
-0.00381709 , 0.00763573 , 1.2093e-005
-0.0038167 , 0.00763656 , 1.19959e-005
-0.0038163 , 0.0076374 , 1.18988e-005
-0.00381591 , 0.00763823 , 1.18017e-005
-0.00381552 , 0.00763906 , 1.17046e-005
-0.00381512 , 0.00763989 , 1.16075e-005
-0.00381473 , 0.00764071 , 1.15105e-005
-0.00381433 , 0.00764153 , 1.14134e-005
-0.00381394 , 0.00764235 , 1.13163e-005
-0.00381354 , 0.00764317 , 1.12193e-005
-0.00381314 , 0.00764398 , 1.11222e-005
-0.00381275 , 0.0076448 , 1.10252e-005
-0.00381235 , 0.00764561 , 1.09282e-005
-0.00381196 , 0.00764642 , 1.08311e-005
-0.00381156 , 0.00764722 , 1.07341e-005
-0.00381116 , 0.00764802 , 1.06371e-005
-0.00381076 , 0.00764882 , 1.05401e-005
-0.00381037 , 0.00764962 , 1.04431e-005
-0.00380997 , 0.00765042 , 1.03461e-005
-0.00380957 , 0.00765121 , 1.02491e-005
-0.00380917 , 0.007652 , 1.01522e-005
-0.00380877 , 0.00765279 , 1.00552e-005
-0.00380837 , 0.00765358 , 9.95821e-006
-0.00380797 , 0.00765436 , 9.86124e-006
-0.00380758 , 0.00765514 , 9.76428e-006
-0.00380718 , 0.00765592 , 9.66733e-006
-0.00380678 , 0.0076567 , 9.57038e-006
-0.00380637 , 0.00765747 , 9.47343e-006
-0.00380597 , 0.00765824 , 9.3765e-006
-0.00380557 , 0.00765901 , 9.27956e-006
-0.00380517 , 0.00765977 , 9.18263e-006
-0.00380477 , 0.00766054 , 9.08571e-006
-0.00380437 , 0.0076613 , 8.98878e-006
-0.00380397 , 0.00766206 , 8.89187e-006
-0.00380356 , 0.00766281 , 8.79496e-006
-0.00380316 , 0.00766356 , 8.69805e-006
-0.00380276 , 0.00766432 , 8.60115e-006
-0.00380236 , 0.00766506 , 8.50425e-006
-0.00380195 , 0.00766581 , 8.40735e-006
-0.00380155 , 0.00766655 , 8.31046e-006
-0.00380114 , 0.00766729 , 8.21358e-006
-0.00380074 , 0.00766803 , 8.11669e-006
