x , y , z
5.2 , 0 , 0
5.18986 , 0.230167 , 0
5.16957 , 0.459883 , 0
5.13915 , 0.688698 , 0
5.09861 , 0.916158 , 0
5.04803 , 1.14181 , 0
4.98745 , 1.36521 , 0
4.91699 , 1.58589 , 0
4.83675 , 1.80343 , 0
4.74687 , 2.01737 , 0
4.64751 , 2.22728 , 0
4.53883 , 2.43272 , 0
4.42104 , 2.63328 , 0
4.29435 , 2.82854 , 0
4.15901 , 3.0181 , 0
4.01525 , 3.20155 , 0
3.86337 , 3.37852 , 0
3.70364 , 3.54864 , 0
3.5364 , 3.71154 , 0
3.36195 , 3.86688 , 0
3.18065 , 4.01433 , 0
2.99285 , 4.15359 , 0
2.79894 , 4.28435 , 0
2.5993 , 4.40635 , 0
2.39434 , 4.51931 , 0
2.18447 , 4.623 , 0
1.97012 , 4.71719 , 0
1.75173 , 4.8017 , 0
1.52974 , 4.87634 , 0
1.30462 , 4.94095 , 0
1.07681 , 4.9954 , 0
0.846804 , 5.03957 , 0
0.61506 , 5.07338 , 0
0.38206 , 5.09675 , 0
0.148283 , 5.10965 , 0
-0.085788 , 5.11205 , 0
-0.319673 , 5.10395 , 0
-0.55289 , 5.08537 , 0
-0.784962 , 5.05638 , 0
-1.01541 , 5.01702 , 0
-1.24377 , 4.9674 , 0
-1.46958 , 4.90764 , 0
-1.69237 , 4.83786 , 0
-1.9117 , 4.75823 , 0
-2.12712 , 4.66892 , 0
-2.3382 , 4.57014 , 0
-2.54453 , 4.46209 , 0
-2.74569 , 4.34503 , 0
-2.94129 , 4.21919 , 0
-3.13094 , 4.08487 , 0
-3.31428 , 3.94234 , 0
-3.49095 , 3.79191 , 0
-3.66061 , 3.63391 , 0
-3.82295 , 3.46866 , 0
-3.97765 , 3.29652 , 0
-4.12443 , 3.11785 , 0
-4.26301 , 2.93301 , 0
-4.39316 , 2.7424 , 0
-4.51463 , 2.5464 , 0
-4.62721 , 2.34542 , 0
-4.7307 , 2.13986 , 0
-4.82493 , 1.93015 , 0
-4.90974 , 1.71669 , 0
-4.98499 , 1.49993 , 0
-5.05057 , 1.28028 , 0
-5.10637 , 1.05819 , 0
-5.15233 , 0.834082 , 0
-5.18837 , 0.608401 , 0
-5.21447 , 0.381583 , 0
-5.23059 , 0.154064 , 0
-5.23674 , -0.0737186 , 0
-5.23294 , -0.301332 , 0
-5.21922 , -0.528346 , 0
-5.19563 , -0.754331 , 0
-5.16225 , -0.978866 , 0
-5.11917 , -1.20153 , 0
-5.06649 , -1.42192 , 0
-5.00434 , -1.63961 , 0
-4.93285 , -1.85423 , 0
-4.85219 , -2.06536 , 0
-4.76252 , -2.27263 , 0
-4.66404 , -2.47567 , 0
-4.55694 , -2.6741 , 0
-4.44145 , -2.86758 , 0
-4.31778 , -3.05576 , 0
-4.18619 , -3.2383 , 0
-4.04693 , -3.41489 , 0
-3.90027 , -3.5852 , 0
-3.74649 , -3.74894 , 0
-3.58589 , -3.90582 , 0
-3.41875 , -4.05557 , 0
-3.24541 , -4.19792 , 0
-3.06617 , -4.33263 , 0
-2.88138 , -4.45946 , 0
-2.69137 , -4.57819 , 0
-2.49649 , -4.68861 , 0
-2.29709 , -4.79054 , 0
-2.09355 , -4.88379 , 0
-1.88622 , -4.96821 , 0
-1.67549 , -5.04364 , 0
-1.46173 , -5.10995 , 0
-1.24533 , -5.16702 , 0
-1.02668 , -5.21476 , 0
-0.806179 , -5.25307 , 0
-0.584217 , -5.28189 , 0
-0.361193 , -5.30117 , 0
-0.137511 , -5.31086 , 0
0.0864282 , -5.31095 , 0
0.310221 , -5.30142 , 0
0.533463 , -5.28229 , 0
0.755751 , -5.25359 , 0
0.976684 , -5.21535 , 0
1.19586 , -5.16764 , 0
1.41288 , -5.11053 , 0
1.62735 , -5.04412 , 0
1.83887 , -4.9685 , 0
2.04707 , -4.88381 , 0
2.25154 , -4.79018 , 0
2.45192 , -4.68777 , 0
2.64783 , -4.57675 , 0
