x , y , z
1 , 0 , 0
0.998821 , 0.0472097 , 0
0.996465 , 0.0943638 , 0
0.992937 , 0.141407 , 0
0.988249 , 0.188285 , 0
0.982417 , 0.234945 , 0
0.975461 , 0.281336 , 0
0.967407 , 0.32741 , 0
0.958282 , 0.373122 , 0
0.948118 , 0.418429 , 0
0.93695 , 0.463294 , 0
0.924815 , 0.50768 , 0
0.911752 , 0.551556 , 0
0.8978 , 0.594895 , 0
0.883002 , 0.637673 , 0
0.867397 , 0.679868 , 0
0.851029 , 0.721465 , 0
0.833939 , 0.76245 , 0
0.816167 , 0.802812 , 0
0.797754 , 0.842542 , 0
0.778739 , 0.881637 , 0
0.75916 , 0.920094 , 0
0.739054 , 0.957911 , 0
0.718456 , 0.995091 , 0
0.6974 , 1.03164 , 0
0.675918 , 1.06755 , 0
0.654041 , 1.10284 , 0
0.631799 , 1.13752 , 0
0.609219 , 1.17158 , 0
0.586326 , 1.20505 , 0
0.563147 , 1.23793 , 0
0.539704 , 1.27022 , 0
0.516019 , 1.30195 , 0
0.492112 , 1.33312 , 0
0.468003 , 1.36374 , 0
0.44371 , 1.39382 , 0
0.419251 , 1.42338 , 0
0.39464 , 1.45242 , 0
0.369892 , 1.48096 , 0
0.345022 , 1.50902 , 0
0.320043 , 1.53659 , 0
0.294965 , 1.56369 , 0
0.269802 , 1.59034 , 0
0.244563 , 1.61654 , 0
0.219258 , 1.6423 , 0
0.193896 , 1.66764 , 0
0.168486 , 1.69256 , 0
0.143036 , 1.71708 , 0
0.117553 , 1.7412 , 0
0.0920434 , 1.76493 , 0
0.0665146 , 1.78829 , 0
0.0409721 , 1.81128 , 0
0.0154216 , 1.83391 , 0
-0.0101319 , 1.85619 , 0
-0.0356834 , 1.87813 , 0
-0.0612286 , 1.89973 , 0
-0.0867631 , 1.92101 , 0
-0.112283 , 1.94197 , 0
-0.137785 , 1.96262 , 0
-0.163266 , 1.98297 , 0
-0.188722 , 2.00301 , 0
-0.214151 , 2.02277 , 0
-0.23955 , 2.04225 , 0
-0.264916 , 2.06145 , 0
-0.290248 , 2.08037 , 0
-0.315542 , 2.09903 , 0
-0.340798 , 2.11744 , 0
-0.366013 , 2.13559 , 0
-0.391185 , 2.15349 , 0
-0.416313 , 2.17115 , 0
-0.441396 , 2.18858 , 0
-0.466432 , 2.20577 , 0
-0.49142 , 2.22274 , 0
-0.516359 , 2.23948 , 0
-0.541248 , 2.25601 , 0
-0.566085 , 2.27232 , 0
-0.590871 , 2.28842 , 0
-0.615603 , 2.30432 , 0
-0.640283 , 2.32002 , 0
-0.664908 , 2.33553 , 0
-0.689478 , 2.35084 , 0
-0.713993 , 2.36596 , 0
-0.738452 , 2.3809 , 0
-0.762855 , 2.39566 , 0
-0.787201 , 2.41023 , 0
-0.81149 , 2.42464 , 0
-0.835722 , 2.43887 , 0
-0.859897 , 2.45294 , 0
-0.884013 , 2.46684 , 0
-0.908072 , 2.48058 , 0
-0.932073 , 2.49416 , 0
-0.956015 , 2.50759 , 0
-0.979899 , 2.52086 , 0
-1.00372 , 2.53398 , 0
-1.02749 , 2.54696 , 0
-1.0512 , 2.55979 , 0
-1.07485 , 2.57247 , 0
-1.09844 , 2.58502 , 0
-1.12198 , 2.59743 , 0
-1.14545 , 2.60971 , 0
-1.16887 , 2.62185 , 0
-1.19222 , 2.63386 , 0
-1.21552 , 2.64574 , 0
-1.23877 , 2.6575 , 0
-1.26195 , 2.66913 , 0
-1.28508 , 2.68064 , 0
-1.30814 , 2.69203 , 0
-1.33115 , 2.7033 , 0
-1.35411 , 2.71446 , 0
-1.377 , 2.7255 , 0
-1.39984 , 2.73642 , 0
-1.42263 , 2.74724 , 0
-1.44535 , 2.75795 , 0
-1.46802 , 2.76855 , 0
-1.49063 , 2.77904 , 0
-1.51319 , 2.78943 , 0
-1.53569 , 2.79971 , 0
-1.55814 , 2.8099 , 0
-1.58053 , 2.81998 , 0
-1.60286 , 2.82997 , 0
-1.62514 , 2.83986 , 0
-1.64737 , 2.84965 , 0
-1.66954 , 2.85935 , 0
-1.69165 , 2.86896 , 0
-1.71371 , 2.87847 , 0
-1.73572 , 2.8879 , 0
-1.75768 , 2.89723 , 0
-1.77958 , 2.90648 , 0
-1.80143 , 2.91564 , 0
-1.82322 , 2.92472 , 0
-1.84497 , 2.93371 , 0
-1.86666 , 2.94262 , 0
-1.8883 , 2.95145 , 0
-1.90988 , 2.96019 , 0
-1.93142 , 2.96886 , 0
-1.9529 , 2.97745 , 0
-1.97434 , 2.98596 , 0
-1.99572 , 2.99439 , 0
-2.01705 , 3.00275 , 0
-2.03834 , 3.01103 , 0
-2.05957 , 3.01924 , 0
-2.08075 , 3.02737 , 0
