x , y , z
0 , 0 , 0
1.12383e-008 , 0 , 0
3.37147e-008 , 3.58973e-011 , 0
6.7428e-008 , 1.43552e-010 , 0
1.12376e-007 , 3.58733e-010 , 0
1.68556e-007 , 7.17062e-010 , 0
2.35963e-007 , 1.25396e-009 , 0
3.14593e-007 , 2.00459e-009 , 0
4.04439e-007 , 3.00383e-009 , 0
5.05496e-007 , 4.28619e-009 , 0
6.17754e-007 , 5.88579e-009 , 0
7.41206e-007 , 7.8363e-009 , 0
8.75843e-007 , 1.01709e-008 , 0
1.02165e-006 , 1.29224e-008 , 0
1.17863e-006 , 1.61227e-008 , 0
1.34676e-006 , 1.98036e-008 , 0
1.52602e-006 , 2.39959e-008 , 0
1.71642e-006 , 2.87299e-008 , 0
1.91793e-006 , 3.40354e-008 , 0
2.13054e-006 , 3.99413e-008 , 0
2.35423e-006 , 4.64759e-008 , 0
2.589e-006 , 5.36669e-008 , 0
2.83483e-006 , 6.15413e-008 , 0
3.0917e-006 , 7.01252e-008 , 0
3.3596e-006 , 7.94443e-008 , 0
3.6385e-006 , 8.95234e-008 , 0
3.92841e-006 , 1.00387e-007 , 0
4.22929e-006 , 1.12058e-007 , 0
4.54114e-006 , 1.24559e-007 , 0
4.86393e-006 , 1.37914e-007 , 0
5.19765e-006 , 1.52142e-007 , 0
5.54229e-006 , 1.67266e-007 , 0
5.89783e-006 , 1.83305e-007 , 0
6.26425e-006 , 2.0028e-007 , 0
6.64154e-006 , 2.18209e-007 , 0
7.02968e-006 , 2.3711e-007 , 0
7.42866e-006 , 2.57004e-007 , 0
7.83845e-006 , 2.77905e-007 , 0
8.25905e-006 , 2.99833e-007 , 0
8.69044e-006 , 3.22803e-007 , 0
9.1326e-006 , 3.46831e-007 , 0
9.58552e-006 , 3.71934e-007 , 0
1.00492e-005 , 3.98126e-007 , 0
1.05236e-005 , 4.25423e-007 , 0
1.10087e-005 , 4.5384e-007 , 0
1.15045e-005 , 4.83389e-007 , 0
1.2011e-005 , 5.14087e-007 , 0
1.25282e-005 , 5.45946e-007 , 0
1.3056e-005 , 5.78979e-007 , 0
1.35945e-005 , 6.132e-007 , 0
1.41436e-005 , 6.48622e-007 , 0
1.47034e-005 , 6.85257e-007 , 0
1.52737e-005 , 7.23118e-007 , 0
1.58547e-005 , 7.62218e-007 , 0
1.64463e-005 , 8.02567e-007 , 0
1.70484e-005 , 8.44178e-007 , 0
1.76611e-005 , 8.87063e-007 , 0
1.82843e-005 , 9.31234e-007 , 0
1.89181e-005 , 9.76702e-007 , 0
1.95624e-005 , 1.02348e-006 , 0
2.02173e-005 , 1.07157e-006 , 0
2.08827e-005 , 1.121e-006 , 0
2.15585e-005 , 1.17177e-006 , 0
2.22449e-005 , 1.22389e-006 , 0
2.29418e-005 , 1.27738e-006 , 0
2.36491e-005 , 1.33224e-006 , 0
2.43669e-005 , 1.38849e-006 , 0
2.50952e-005 , 1.44613e-006 , 0
2.58339e-005 , 1.50518e-006 , 0
2.6583e-005 , 1.56565e-006 , 0
2.73426e-005 , 1.62755e-006 , 0
2.81127e-005 , 1.69089e-006 , 0
2.88931e-005 , 1.75568e-006 , 0
2.9684e-005 , 1.82194e-006 , 0
3.04853e-005 , 1.88966e-006 , 0
3.12969e-005 , 1.95887e-006 , 0
3.2119e-005 , 2.02957e-006 , 0
3.29514e-005 , 2.10177e-006 , 0
3.37943e-005 , 2.17549e-006 , 0
3.46475e-005 , 2.25074e-006 , 0
3.5511e-005 , 2.32752e-006 , 0
3.6385e-005 , 2.40586e-006 , 0
3.72693e-005 , 2.48575e-006 , 0
3.81639e-005 , 2.56721e-006 , 0
3.90689e-005 , 2.65025e-006 , 0
3.99842e-005 , 2.73488e-006 , 0
4.09099e-005 , 2.82111e-006 , 0
4.18458e-005 , 2.90896e-006 , 0
4.27921e-005 , 2.99843e-006 , 0
4.37487e-005 , 3.08954e-006 , 0
4.47157e-005 , 3.18229e-006 , 0
4.56929e-005 , 3.27671e-006 , 0
4.66804e-005 , 3.37279e-006 , 0
4.76783e-005 , 3.47055e-006 , 0
4.86864e-005 , 3.57e-006 , 0
4.97048e-005 , 3.67116e-006 , 0
5.07335e-005 , 3.77403e-006 , 0
5.17724e-005 , 3.87863e-006 , 0
5.28217e-005 , 3.98496e-006 , 0
5.38812e-005 , 4.09304e-006 , 0
5.4951e-005 , 4.20288e-006 , 0
5.6031e-005 , 4.3145e-006 , 0
5.71213e-005 , 4.42789e-006 , 0
5.82218e-005 , 4.54309e-006 , 0
5.93326e-005 , 4.66008e-006 , 0
6.04536e-005 , 4.7789e-006 , 0
6.15849e-005 , 4.89955e-006 , 0
6.27264e-005 , 5.02204e-006 , 0
6.38781e-005 , 5.14638e-006 , 0
6.504e-005 , 5.27259e-006 , 0
6.62122e-005 , 5.40067e-006 , 0
6.73946e-005 , 5.53065e-006 , 0
6.85872e-005 , 5.66252e-006 , 0
6.979e-005 , 5.79631e-006 , 0
7.10031e-005 , 5.93203e-006 , 0
7.22263e-005 , 6.06968e-006 , 0
7.34597e-005 , 6.20928e-006 , 0
7.47033e-005 , 6.35085e-006 , 0
7.59571e-005 , 6.49439e-006 , 0
7.72212e-005 , 6.63991e-006 , 0
7.84953e-005 , 6.78743e-006 , 0
7.97797e-005 , 6.93697e-006 , 0
8.10743e-005 , 7.08853e-006 , 0
8.2379e-005 , 7.24212e-006 , 0
8.36939e-005 , 7.39776e-006 , 0
8.50189e-005 , 7.55546e-006 , 0
8.63541e-005 , 7.71523e-006 , 0
8.76995e-005 , 7.87709e-006 , 0
8.9055e-005 , 8.04105e-006 , 0
9.04207e-005 , 8.20712e-006 , 0
9.17965e-005 , 8.37531e-006 , 0
9.31825e-005 , 8.54564e-006 , 0
9.45786e-005 , 8.71811e-006 , 0
9.59849e-005 , 8.89275e-006 , 0
9.74013e-005 , 9.06956e-006 , 0
9.88278e-005 , 9.24855e-006 , 0
0.000100264 , 9.42975e-006 , 0
0.000101711 , 9.61315e-006 , 0
0.000103168 , 9.79878e-006 , 0
0.000104635 , 9.98665e-006 , 0
0.000106112 , 1.01768e-005 , 0
0.000107599 , 1.03692e-005 , 0
0.000109097 , 1.05638e-005 , 0
0.000110604 , 1.07608e-005 , 0
0.000112122 , 1.096e-005 , 0
0.000113649 , 1.11616e-005 , 0
0.000115187 , 1.13655e-005 , 0
0.000116735 , 1.15717e-005 , 0
0.000118293 , 1.17803e-005 , 0
0.000119861 , 1.19912e-005 , 0
0.000121439 , 1.22046e-005 , 0
0.000123027 , 1.24203e-005 , 0
0.000124625 , 1.26384e-005 , 0
0.000126233 , 1.2859e-005 , 0
0.000127852 , 1.30819e-005 , 0
0.00012948 , 1.33074e-005 , 0
0.000131119 , 1.35353e-005 , 0
0.000132767 , 1.37656e-005 , 0
0.000134426 , 1.39984e-005 , 0
0.000136094 , 1.42338e-005 , 0
0.000137773 , 1.44716e-005 , 0
0.000139462 , 1.4712e-005 , 0
0.00014116 , 1.49549e-005 , 0
0.000142869 , 1.52004e-005 , 0
0.000144588 , 1.54484e-005 , 0
0.000146317 , 1.5699e-005 , 0
0.000148055 , 1.59522e-005 , 0
0.000149804 , 1.6208e-005 , 0
0.000151563 , 1.64664e-005 , 0
0.000153332 , 1.67275e-005 , 0
0.000155111 , 1.69912e-005 , 0
0.0001569 , 1.72575e-005 , 0
0.000158698 , 1.75265e-005 , 0
0.000160507 , 1.77982e-005 , 0
0.000162326 , 1.80726e-005 , 0
0.000164155 , 1.83498e-005 , 0
0.000165994 , 1.86296e-005 , 0
0.000167842 , 1.89122e-005 , 0
0.000169701 , 1.91975e-005 , 0
0.00017157 , 1.94856e-005 , 0
0.000173449 , 1.97765e-005 , 0
0.000175337 , 2.00701e-005 , 0
0.000177236 , 2.03666e-005 , 0
0.000179144 , 2.06659e-005 , 0
0.000181063 , 2.0968e-005 , 0
0.000182991 , 2.12729e-005 , 0
0.00018493 , 2.15808e-005 , 0
0.000186878 , 2.18914e-005 , 0
0.000188836 , 2.2205e-005 , 0
0.000190804 , 2.25215e-005 , 0
0.000192783 , 2.28409e-005 , 0
0.000194771 , 2.31632e-005 , 0
0.000196769 , 2.34885e-005 , 0
0.000198776 , 2.38167e-005 , 0
0.000200794 , 2.41479e-005 , 0
0.000202822 , 2.4482e-005 , 0
0.000204859 , 2.48192e-005 , 0
0.000206907 , 2.51593e-005 , 0
0.000208964 , 2.55025e-005 , 0
0.000211032 , 2.58487e-005 , 0
0.000213109 , 2.6198e-005 , 0
0.000215196 , 2.65503e-005 , 0
0.000217293 , 2.69057e-005 , 0
0.000219399 , 2.72642e-005 , 0
0.000221516 , 2.76258e-005 , 0
0.000223643 , 2.79905e-005 , 0
0.000225779 , 2.83583e-005 , 0
0.000227925 , 2.87293e-005 , 0
0.000230081 , 2.91035e-005 , 0
0.000232247 , 2.94808e-005 , 0
0.000234423 , 2.98613e-005 , 0
0.000236608 , 3.0245e-005 , 0
0.000238804 , 3.06319e-005 , 0
0.000241009 , 3.1022e-005 , 0
0.000243224 , 3.14154e-005 , 0
0.000245449 , 3.1812e-005 , 0
0.000247684 , 3.22119e-005 , 0
0.000249928 , 3.2615e-005 , 0
0.000252182 , 3.30215e-005 , 0
0.000254447 , 3.34313e-005 , 0
0.00025672 , 3.38443e-005 , 0
0.000259004 , 3.42608e-005 , 0
0.000261298 , 3.46805e-005 , 0
0.000263601 , 3.51037e-005 , 0
0.000265914 , 3.55302e-005 , 0
0.000268237 , 3.59601e-005 , 0
0.000270569 , 3.63934e-005 , 0
0.000272912 , 3.68301e-005 , 0
0.000275264 , 3.72702e-005 , 0
0.000277625 , 3.77138e-005 , 0
0.000279997 , 3.81608e-005 , 0
0.000282378 , 3.86113e-005 , 0
0.000284769 , 3.90653e-005 , 0
0.00028717 , 3.95228e-005 , 0
0.000289581 , 3.99838e-005 , 0
0.000292001 , 4.04483e-005 , 0
0.000294431 , 4.09164e-005 , 0
0.000296871 , 4.1388e-005 , 0
0.00029932 , 4.18632e-005 , 0
0.000301779 , 4.2342e-005 , 0
0.000304248 , 4.28243e-005 , 0
0.000306726 , 4.33103e-005 , 0
0.000309214 , 4.37999e-005 , 0
0.000311712 , 4.42931e-005 , 0
0.00031422 , 4.47899e-005 , 0
0.000316737 , 4.52905e-005 , 0
0.000319264 , 4.57946e-005 , 0
0.0003218 , 4.63025e-005 , 0
0.000324347 , 4.68141e-005 , 0
0.000326902 , 4.73294e-005 , 0
0.000329468 , 4.78484e-005 , 0
0.000332043 , 4.83712e-005 , 0
0.000334628 , 4.88977e-005 , 0
0.000337222 , 4.9428e-005 , 0
0.000339826 , 4.99621e-005 , 0
0.00034244 , 5.05e-005 , 0
0.000345063 , 5.10417e-005 , 0
0.000347696 , 5.15872e-005 , 0
0.000350338 , 5.21365e-005 , 0
0.00035299 , 5.26897e-005 , 0
0.000355652 , 5.32468e-005 , 0
0.000358323 , 5.38077e-005 , 0
0.000361004 , 5.43725e-005 , 0
0.000363694 , 5.49413e-005 , 0
0.000366394 , 5.55139e-005 , 0
0.000369104 , 5.60905e-005 , 0
0.000371823 , 5.6671e-005 , 0
0.000374552 , 5.72555e-005 , 0
0.00037729 , 5.7844e-005 , 0
0.000380038 , 5.84364e-005 , 0
0.000382795 , 5.90329e-005 , 0
0.000385562 , 5.96333e-005 , 0
0.000388338 , 6.02378e-005 , 0
0.000391124 , 6.08463e-005 , 0
0.000393919 , 6.14589e-005 , 0
0.000396724 , 6.20755e-005 , 0
0.000399538 , 6.26963e-005 , 0
0.000402362 , 6.33211e-005 , 0
0.000405196 , 6.395e-005 , 0
0.000408039 , 6.45831e-005 , 0
0.000410891 , 6.52202e-005 , 0
0.000413753 , 6.58616e-005 , 0
0.000416624 , 6.65071e-005 , 0
0.000419505 , 6.71567e-005 , 0
0.000422395 , 6.78106e-005 , 0
0.000425295 , 6.84686e-005 , 0
0.000428204 , 6.91309e-005 , 0
0.000431122 , 6.97974e-005 , 0
0.00043405 , 7.04681e-005 , 0
0.000436987 , 7.11431e-005 , 0
0.000439934 , 7.18224e-005 , 0
0.00044289 , 7.25059e-005 , 0
0.000445856 , 7.31938e-005 , 0
0.000448831 , 7.38859e-005 , 0
0.000451816 , 7.45824e-005 , 0
0.000454809 , 7.52832e-005 , 0
0.000457813 , 7.59883e-005 , 0
0.000460825 , 7.66979e-005 , 0
0.000463847 , 7.74117e-005 , 0
0.000466878 , 7.813e-005 , 0
0.000469919 , 7.88527e-005 , 0
0.000472969 , 7.95798e-005 , 0
0.000476028 , 8.03113e-005 , 0
0.000479097 , 8.10473e-005 , 0
0.000482175 , 8.17877e-005 , 0
0.000485262 , 8.25326e-005 , 0
0.000488359 , 8.3282e-005 , 0
0.000491465 , 8.40358e-005 , 0
0.00049458 , 8.47942e-005 , 0
0.000497705 , 8.55571e-005 , 0
0.000500839 , 8.63246e-005 , 0
0.000503982 , 8.70965e-005 , 0
0.000507135 , 8.78731e-005 , 0
0.000510296 , 8.86542e-005 , 0
0.000513467 , 8.94399e-005 , 0
0.000516648 , 9.02302e-005 , 0
0.000519837 , 9.10251e-005 , 0
0.000523036 , 9.18247e-005 , 0
0.000526244 , 9.26289e-005 , 0
0.000529461 , 9.34377e-005 , 0
0.000532688 , 9.42512e-005 , 0
0.000535924 , 9.50694e-005 , 0
0.000539168 , 9.58923e-005 , 0
0.000542423 , 9.67199e-005 , 0
0.000545686 , 9.75522e-005 , 0
0.000548959 , 9.83892e-005 , 0
0.00055224 , 9.9231e-005 , 0
0.000555531 , 0.000100078 , 0
0.000558831 , 0.000100929 , 0
0.00056214 , 0.000101785 , 0
0.000565459 , 0.000102646 , 0
0.000568786 , 0.000103512 , 0
0.000572123 , 0.000104382 , 0
0.000575469 , 0.000105258 , 0
0.000578824 , 0.000106138 , 0
0.000582188 , 0.000107023 , 0
0.000585561 , 0.000107913 , 0
0.000588944 , 0.000108808 , 0
0.000592335 , 0.000109707 , 0
0.000595736 , 0.000110612 , 0
0.000599146 , 0.000111522 , 0
0.000602564 , 0.000112436 , 0
0.000605992 , 0.000113356 , 0
0.000609429 , 0.00011428 , 0
0.000612875 , 0.00011521 , 0
0.00061633 , 0.000116144 , 0
0.000619794 , 0.000117084 , 0
0.000623267 , 0.000118028 , 0
0.000626749 , 0.000118978 , 0
0.00063024 , 0.000119932 , 0
0.000633741 , 0.000120892 , 0
0.00063725 , 0.000121857 , 0
0.000640768 , 0.000122826 , 0
0.000644295 , 0.000123801 , 0
0.000647831 , 0.000124781 , 0
0.000651377 , 0.000125766 , 0
0.000654931 , 0.000126757 , 0
0.000658494 , 0.000127752 , 0
0.000662066 , 0.000128752 , 0
0.000665647 , 0.000129758 , 0
0.000669237 , 0.000130769 , 0
0.000672836 , 0.000131785 , 0
0.000676444 , 0.000132807 , 0
0.000680061 , 0.000133833 , 0
0.000683686 , 0.000134865 , 0
0.000687321 , 0.000135902 , 0
0.000690965 , 0.000136944 , 0
0.000694617 , 0.000137992 , 0
0.000698278 , 0.000139045 , 0
0.000701949 , 0.000140103 , 0
0.000705628 , 0.000141166 , 0
0.000709316 , 0.000142235 , 0
0.000713012 , 0.000143309 , 0
0.000716718 , 0.000144389 , 0
0.000720432 , 0.000145474 , 0
0.000724156 , 0.000146564 , 0
0.000727888 , 0.00014766 , 0
0.000731629 , 0.000148761 , 0
0.000735379 , 0.000149867 , 0
0.000739137 , 0.000150979 , 0
0.000742905 , 0.000152096 , 0
0.000746681 , 0.000153219 , 0
0.000750466 , 0.000154348 , 0
0.000754259 , 0.000155481 , 0
0.000758062 , 0.000156621 , 0
0.000761873 , 0.000157765 , 0
0.000765693 , 0.000158916 , 0
0.000769522 , 0.000160071 , 0
0.000773359 , 0.000161233 , 0
0.000777205 , 0.0001624 , 0
0.00078106 , 0.000163572 , 0
0.000784924 , 0.00016475 , 0
0.000788796 , 0.000165934 , 0
0.000792677 , 0.000167123 , 0
0.000796567 , 0.000168318 , 0
0.000800465 , 0.000169518 , 0
0.000804372 , 0.000170724 , 0
0.000808288 , 0.000171936 , 0
0.000812212 , 0.000173154 , 0
0.000816145 , 0.000174377 , 0
0.000820087 , 0.000175606 , 0
0.000824037 , 0.00017684 , 0
0.000827996 , 0.00017808 , 0
0.000831963 , 0.000179326 , 0
0.000835939 , 0.000180578 , 0
0.000839924 , 0.000181836 , 0
0.000843917 , 0.000183099 , 0
0.000847919 , 0.000184368 , 0
0.000851929 , 0.000185643 , 0
0.000855948 , 0.000186923 , 0
0.000859976 , 0.00018821 , 0
0.000864012 , 0.000189502 , 0
0.000868057 , 0.0001908 , 0
0.00087211 , 0.000192104 , 0
0.000876171 , 0.000193414 , 0
0.000880241 , 0.00019473 , 0
0.00088432 , 0.000196051 , 0
0.000888407 , 0.000197379 , 0
0.000892503 , 0.000198712 , 0
0.000896607 , 0.000200052 , 0
0.000900719 , 0.000201397 , 0
0.000904841 , 0.000202748 , 0
0.00090897 , 0.000204105 , 0
0.000913108 , 0.000205468 , 0
0.000917254 , 0.000206838 , 0
0.000921409 , 0.000208213 , 0
0.000925572 , 0.000209594 , 0
0.000929744 , 0.000210981 , 0
0.000933924 , 0.000212374 , 0
0.000938112 , 0.000213773 , 0
0.000942309 , 0.000215179 , 0
0.000946514 , 0.00021659 , 0
0.000950728 , 0.000218008 , 0
0.000954949 , 0.000219431 , 0
0.00095918 , 0.000220861 , 0
0.000963418 , 0.000222297 , 0
0.000967665 , 0.000223739 , 0
0.00097192 , 0.000225187 , 0
0.000976184 , 0.000226641 , 0
0.000980456 , 0.000228101 , 0
0.000984736 , 0.000229568 , 0
0.000989024 , 0.000231041 , 0
0.000993321 , 0.00023252 , 0
0.000997626 , 0.000234005 , 0
0.00100194 , 0.000235496 , 0
0.00100626 , 0.000236994 , 0
0.00101059 , 0.000238498 , 0
0.00101493 , 0.000240008 , 0
0.00101927 , 0.000241525 , 0
0.00102363 , 0.000243047 , 0
0.00102799 , 0.000244576 , 0
0.00103236 , 0.000246112 , 0
0.00103674 , 0.000247653 , 0
0.00104113 , 0.000249201 , 0
0.00104552 , 0.000250756 , 0
0.00104993 , 0.000252316 , 0
0.00105434 , 0.000253883 , 0
0.00105876 , 0.000255457 , 0
0.00106319 , 0.000257037 , 0
0.00106762 , 0.000258623 , 0
0.00107207 , 0.000260216 , 0
0.00107652 , 0.000261815 , 0
0.00108098 , 0.00026342 , 0
0.00108545 , 0.000265032 , 0
0.00108992 , 0.000266651 , 0
0.00109441 , 0.000268276 , 0
0.0010989 , 0.000269907 , 0
0.0011034 , 0.000271545 , 0
0.00110791 , 0.000273189 , 0
0.00111243 , 0.00027484 , 0
0.00111695 , 0.000276498 , 0
0.00112148 , 0.000278162 , 0
0.00112602 , 0.000279832 , 0
0.00113057 , 0.000281509 , 0
0.00113513 , 0.000283193 , 0
0.00113969 , 0.000284883 , 0
0.00114427 , 0.00028658 , 0
0.00114885 , 0.000288284 , 0
0.00115343 , 0.000289994 , 0
0.00115803 , 0.000291711 , 0
0.00116264 , 0.000293434 , 0
0.00116725 , 0.000295164 , 0
0.00117187 , 0.000296901 , 0
0.0011765 , 0.000298644 , 0
0.00118113 , 0.000300394 , 0
0.00118578 , 0.000302151 , 0
0.00119043 , 0.000303915 , 0
0.00119509 , 0.000305685 , 0
0.00119975 , 0.000307462 , 0
0.00120443 , 0.000309246 , 0
0.00120911 , 0.000311036 , 0
0.0012138 , 0.000312834 , 0
0.0012185 , 0.000314638 , 0
0.00122321 , 0.000316448 , 0
0.00122792 , 0.000318266 , 0
0.00123264 , 0.000320091 , 0
0.00123737 , 0.000321922 , 0
0.00124211 , 0.00032376 , 0
0.00124686 , 0.000325605 , 0
0.00125161 , 0.000327457 , 0
0.00125637 , 0.000329316 , 0
0.00126114 , 0.000331181 , 0
0.00126591 , 0.000333054 , 0
0.0012707 , 0.000334933 , 0
0.00127549 , 0.000336819 , 0
0.00128029 , 0.000338713 , 0
0.0012851 , 0.000340613 , 0
0.00128991 , 0.00034252 , 0
0.00129473 , 0.000344434 , 0
0.00129956 , 0.000346355 , 0
0.0013044 , 0.000348283 , 0
0.00130925 , 0.000350218 , 0
0.0013141 , 0.00035216 , 0
0.00131896 , 0.000354109 , 0
0.00132383 , 0.000356065 , 0
0.0013287 , 0.000358028 , 0
0.00133358 , 0.000359999 , 0
0.00133848 , 0.000361976 , 0
0.00134337 , 0.00036396 , 0
0.00134828 , 0.000365952 , 0
0.00135319 , 0.00036795 , 0
0.00135811 , 0.000369956 , 0
0.00136304 , 0.000371968 , 0
0.00136798 , 0.000373988 , 0
0.00137292 , 0.000376015 , 0
0.00137787 , 0.000378049 , 0
0.00138283 , 0.00038009 , 0
0.00138779 , 0.000382139 , 0
0.00139277 , 0.000384194 , 0
0.00139775 , 0.000386257 , 0
0.00140274 , 0.000388327 , 0
0.00140773 , 0.000390404 , 0
0.00141273 , 0.000392489 , 0
0.00141774 , 0.00039458 , 0
0.00142276 , 0.000396679 , 0
0.00142779 , 0.000398785 , 0
0.00143282 , 0.000400899 , 0
0.00143786 , 0.000403019 , 0
0.0014429 , 0.000405147 , 0
0.00144796 , 0.000407283 , 0
0.00145302 , 0.000409425 , 0
0.00145809 , 0.000411575 , 0
0.00146316 , 0.000413732 , 0
0.00146825 , 0.000415897 , 0
0.00147334 , 0.000418069 , 0
0.00147844 , 0.000420248 , 0
0.00148354 , 0.000422434 , 0
0.00148865 , 0.000424628 , 0
0.00149377 , 0.00042683 , 0
0.0014989 , 0.000429039 , 0
0.00150403 , 0.000431255 , 0
0.00150918 , 0.000433478 , 0
0.00151432 , 0.000435709 , 0
0.00151948 , 0.000437948 , 0
0.00152464 , 0.000440194 , 0
0.00152981 , 0.000442447 , 0
0.00153499 , 0.000444708 , 0
0.00154017 , 0.000446976 , 0
0.00154537 , 0.000449252 , 0
0.00155056 , 0.000451535 , 0
0.00155577 , 0.000453826 , 0
0.00156098 , 0.000456125 , 0
0.0015662 , 0.000458431 , 0
0.00157143 , 0.000460744 , 0
0.00157666 , 0.000463065 , 0
0.0015819 , 0.000465394 , 0
