x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187304 , 0.97328 , -1.75583e-005
-0.204406 , 0.969696 , -1.68782e-005
-0.221446 , 0.965811 , -1.61853e-005
-0.238417 , 0.961625 , -1.548e-005
-0.255314 , 0.95714 , -1.47623e-005
-0.272133 , 0.952356 , -1.40323e-005
-0.288867 , 0.947275 , -1.32902e-005
-0.305511 , 0.941899 , -1.25363e-005
-0.322061 , 0.936229 , -1.17705e-005
-0.33851 , 0.930266 , -1.09932e-005
-0.354854 , 0.924012 , -1.02044e-005
-0.371088 , 0.91747 , -9.40433e-006
-0.387205 , 0.91064 , -8.59316e-006
-0.403202 , 0.903526 , -7.77107e-006
-0.419072 , 0.896129 , -6.93824e-006
-0.434811 , 0.88845 , -6.09485e-006
-0.450415 , 0.880494 , -5.2411e-006
-0.465877 , 0.872261 , -4.37717e-006
-0.481192 , 0.863755 , -3.50326e-006
-0.496357 , 0.854977 , -2.61957e-006
-0.511366 , 0.845932 , -1.7263e-006
-0.526214 , 0.83662 , -8.23658e-007
-0.540897 , 0.827046 , 8.81489e-008
-0.555409 , 0.817211 , 1.00891e-006
-0.569746 , 0.80712 , 1.93841e-006
-0.583904 , 0.796775 , 2.87642e-006
-0.597878 , 0.786179 , 3.82273e-006
-0.611663 , 0.775336 , 4.77712e-006
-0.625255 , 0.764249 , 5.73935e-006
-0.638649 , 0.752921 , 6.7092e-006
-0.651842 , 0.741357 , 7.68643e-006
-0.664828 , 0.729558 , 8.67082e-006
-0.677604 , 0.71753 , 9.66211e-006
-0.690166 , 0.705275 , 1.06601e-005
-0.702509 , 0.692799 , 1.16645e-005
-0.71463 , 0.680104 , 1.26751e-005
-0.726524 , 0.667194 , 1.36916e-005
-0.738188 , 0.654074 , 1.47138e-005
-0.749617 , 0.640748 , 1.57414e-005
-0.760809 , 0.62722 , 1.67743e-005
-0.77176 , 0.613494 , 1.7812e-005
-0.782465 , 0.599575 , 1.88545e-005
-0.792922 , 0.585466 , 1.99013e-005
-0.803127 , 0.571173 , 2.09523e-005
-0.813077 , 0.5567 , 2.20072e-005
-0.822768 , 0.542051 , 2.30657e-005
-0.832198 , 0.527231 , 2.41277e-005
-0.841363 , 0.512246 , 2.51927e-005
-0.850261 , 0.497098 , 2.62605e-005
-0.858888 , 0.481794 , 2.73309e-005
-0.867241 , 0.466339 , 2.84036e-005
-0.875319 , 0.450736 , 2.94784e-005
