x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00381529 , 0.00743596 , 2.34899e-005
-0.00382363 , 0.00743397 , 2.37198e-005
-0.00383196 , 0.00743199 , 2.39497e-005
-0.0038403 , 0.00743001 , 2.41795e-005
-0.00384863 , 0.00742802 , 2.44094e-005
-0.00385697 , 0.00742604 , 2.46393e-005
-0.00386531 , 0.00742406 , 2.48692e-005
-0.00387364 , 0.00742208 , 2.50991e-005
-0.00388198 , 0.00742011 , 2.5329e-005
-0.00389032 , 0.00741813 , 2.55588e-005
-0.00389866 , 0.00741615 , 2.57887e-005
-0.00390699 , 0.00741418 , 2.60186e-005
-0.00391533 , 0.0074122 , 2.62485e-005
-0.00392367 , 0.00741023 , 2.64784e-005
-0.00393201 , 0.00740826 , 2.67083e-005
-0.00394035 , 0.00740629 , 2.69382e-005
-0.00394869 , 0.00740431 , 2.7168e-005
-0.00395703 , 0.00740234 , 2.73979e-005
-0.00396537 , 0.00740037 , 2.76278e-005
-0.00397371 , 0.00739841 , 2.78577e-005
-0.00398206 , 0.00739644 , 2.80876e-005
-0.0039904 , 0.00739447 , 2.83175e-005
-0.00399874 , 0.0073925 , 2.85473e-005
-0.00400709 , 0.00739054 , 2.87772e-005
-0.00401543 , 0.00738857 , 2.90071e-005
-0.00402377 , 0.00738661 , 2.9237e-005
-0.00403212 , 0.00738465 , 2.94669e-005
-0.00404047 , 0.00738268 , 2.96968e-005
-0.00404881 , 0.00738072 , 2.99266e-005
-0.00405716 , 0.00737876 , 3.01565e-005
-0.00406551 , 0.0073768 , 3.03864e-005
-0.00407386 , 0.00737484 , 3.06163e-005
-0.0040822 , 0.00737288 , 3.08462e-005
-0.00409055 , 0.00737093 , 3.10761e-005
-0.0040989 , 0.00736897 , 3.13059e-005
-0.00410726 , 0.00736701 , 3.15358e-005
-0.00411561 , 0.00736505 , 3.17657e-005
-0.00412396 , 0.0073631 , 3.19956e-005
-0.00413231 , 0.00736114 , 3.22255e-005
-0.00414067 , 0.00735919 , 3.24554e-005
-0.00414902 , 0.00735724 , 3.26852e-005
-0.00415738 , 0.00735528 , 3.29151e-005
-0.00416573 , 0.00735333 , 3.3145e-005
-0.00417409 , 0.00735138 , 3.33749e-005
-0.00418245 , 0.00734943 , 3.36048e-005
-0.00419081 , 0.00734747 , 3.38347e-005
-0.00419917 , 0.00734552 , 3.40645e-005
-0.00420753 , 0.00734357 , 3.42944e-005
-0.00421589 , 0.00734162 , 3.45243e-005
-0.00422425 , 0.00733968 , 3.47542e-005
-0.00423261 , 0.00733773 , 3.49841e-005
-0.00424098 , 0.00733578 , 3.5214e-005
-0.00424934 , 0.00733383 , 3.54438e-005
-0.00425771 , 0.00733188 , 3.56737e-005
-0.00426607 , 0.00732994 , 3.59036e-005
-0.00427444 , 0.00732799 , 3.61335e-005
-0.00428281 , 0.00732604 , 3.63634e-005
-0.00429118 , 0.0073241 , 3.65933e-005
-0.00429955 , 0.00732215 , 3.68231e-005
-0.00430792 , 0.00732021 , 3.7053e-005
-0.00431629 , 0.00731826 , 3.72829e-005
-0.00432466 , 0.00731632 , 3.75128e-005
-0.00433303 , 0.00731437 , 3.77427e-005
-0.00434141 , 0.00731243 , 3.79726e-005
-0.00434978 , 0.00731048 , 3.82024e-005
-0.00435816 , 0.00730854 , 3.84323e-005
-0.00436654 , 0.0073066 , 3.86622e-005
-0.00437491 , 0.00730465 , 3.88921e-005
-0.00438329 , 0.00730271 , 3.9122e-005
-0.00439167 , 0.00730076 , 3.93519e-005
-0.00440005 , 0.00729882 , 3.95817e-005
-0.00440844 , 0.00729688 , 3.98116e-005
-0.00441682 , 0.00729494 , 4.00415e-005
-0.0044252 , 0.00729299 , 4.02714e-005
-0.00443359 , 0.00729105 , 4.05013e-005
-0.00444197 , 0.00728911 , 4.07312e-005
-0.00445036 , 0.00728716 , 4.0961e-005
-0.00445875 , 0.00728522 , 4.11909e-005
-0.00446714 , 0.00728328 , 4.14208e-005
-0.00447553 , 0.00728134 , 4.16507e-005
-0.00448392 , 0.00727939 , 4.18806e-005
-0.00449231 , 0.00727745 , 4.21105e-005
-0.0045007 , 0.00727551 , 4.23403e-005
-0.0045091 , 0.00727356 , 4.25702e-005
-0.00451749 , 0.00727162 , 4.28001e-005
-0.00452589 , 0.00726968 , 4.303e-005
-0.00453428 , 0.00726773 , 4.32599e-005
-0.00454268 , 0.00726579 , 4.34898e-005
-0.00455108 , 0.00726385 , 4.37197e-005
-0.00455948 , 0.0072619 , 4.39495e-005
-0.00456788 , 0.00725996 , 4.41794e-005
-0.00457628 , 0.00725801 , 4.44093e-005
-0.00458468 , 0.00725607 , 4.46392e-005
-0.00459308 , 0.00725412 , 4.48691e-005
-0.00460149 , 0.00725218 , 4.5099e-005
-0.00460989 , 0.00725023 , 4.53288e-005
-0.0046183 , 0.00724828 , 4.55587e-005
-0.00462671 , 0.00724634 , 4.57886e-005
-0.00463511 , 0.00724439 , 4.60185e-005
-0.00464352 , 0.00724244 , 4.62484e-005
-0.00465193 , 0.0072405 , 4.64783e-005
-0.00466034 , 0.00723855 , 4.67081e-005
-0.00466875 , 0.0072366 , 4.6938e-005
-0.00467717 , 0.00723465 , 4.71679e-005
-0.00468558 , 0.0072327 , 4.73978e-005
-0.00469399 , 0.00723075 , 4.76277e-005
-0.00470241 , 0.0072288 , 4.78576e-005
-0.00471082 , 0.00722685 , 4.80874e-005
-0.00471924 , 0.0072249 , 4.83173e-005
-0.00472766 , 0.00722295 , 4.85472e-005
-0.00473607 , 0.00722099 , 4.87771e-005
-0.00474449 , 0.00721904 , 4.9007e-005
-0.00475291 , 0.00721709 , 4.92369e-005
-0.00476133 , 0.00721513 , 4.94668e-005
-0.00476975 , 0.00721318 , 4.96966e-005
-0.00477818 , 0.00721122 , 4.99265e-005
-0.0047866 , 0.00720926 , 5.01564e-005
-0.00479502 , 0.00720731 , 5.03863e-005
-0.00480345 , 0.00720535 , 5.06162e-005
-0.00481187 , 0.00720339 , 5.08461e-005
-0.0048203 , 0.00720143 , 5.10759e-005
-0.00482872 , 0.00719947 , 5.13058e-005
-0.00483715 , 0.00719751 , 5.15357e-005
-0.00484558 , 0.00719555 , 5.17656e-005
-0.00485401 , 0.00719359 , 5.19955e-005
-0.00486243 , 0.00719162 , 5.22254e-005
-0.00487086 , 0.00718966 , 5.24553e-005
-0.00487929 , 0.0071877 , 5.26851e-005
-0.00488772 , 0.00718573 , 5.2915e-005
-0.00489615 , 0.00718376 , 5.31449e-005
-0.00490459 , 0.0071818 , 5.33748e-005
-0.00491302 , 0.00717983 , 5.36047e-005
-0.00492145 , 0.00717786 , 5.38346e-005
-0.00492988 , 0.00717589 , 5.40645e-005
-0.00493832 , 0.00717392 , 5.42943e-005
-0.00494675 , 0.00717195 , 5.45242e-005
-0.00495519 , 0.00716998 , 5.47541e-005
-0.00496362 , 0.00716801 , 5.4984e-005
-0.00497206 , 0.00716603 , 5.52139e-005
-0.00498049 , 0.00716406 , 5.54438e-005
-0.00498893 , 0.00716208 , 5.56737e-005
-0.00499737 , 0.0071601 , 5.59035e-005
-0.0050058 , 0.00715813 , 5.61334e-005
-0.00501424 , 0.00715615 , 5.63633e-005
-0.00502268 , 0.00715417 , 5.65932e-005
-0.00503112 , 0.00715219 , 5.68231e-005
-0.00503956 , 0.00715021 , 5.7053e-005
-0.00504799 , 0.00714822 , 5.72829e-005
-0.00505643 , 0.00714624 , 5.75127e-005
-0.00506487 , 0.00714426 , 5.77426e-005
-0.00507331 , 0.00714227 , 5.79725e-005
-0.00508175 , 0.00714028 , 5.82024e-005
-0.00509019 , 0.0071383 , 5.84323e-005
-0.00509863 , 0.00713631 , 5.86622e-005
-0.00510707 , 0.00713432 , 5.88921e-005
-0.00511551 , 0.00713233 , 5.9122e-005
-0.00512395 , 0.00713034 , 5.93518e-005
-0.00513239 , 0.00712835 , 5.95817e-005
-0.00514083 , 0.00712635 , 5.98116e-005
-0.00514927 , 0.00712436 , 6.00415e-005
-0.00515771 , 0.00712236 , 6.02714e-005
-0.00516615 , 0.00712037 , 6.05013e-005
-0.00517459 , 0.00711837 , 6.07312e-005
-0.00518303 , 0.00711637 , 6.0961e-005
-0.00519148 , 0.00711437 , 6.11909e-005
-0.00519992 , 0.00711237 , 6.14208e-005
-0.00520836 , 0.00711037 , 6.16507e-005
-0.0052168 , 0.00710837 , 6.18806e-005
-0.00522524 , 0.00710636 , 6.21105e-005
-0.00523368 , 0.00710436 , 6.23404e-005
-0.00524212 , 0.00710235 , 6.25703e-005
-0.00525056 , 0.00710035 , 6.28001e-005
-0.00525899 , 0.00709834 , 6.303e-005
-0.00526743 , 0.00709633 , 6.32599e-005
-0.00527587 , 0.00709432 , 6.34898e-005
-0.00528431 , 0.00709231 , 6.37197e-005
-0.00529275 , 0.0070903 , 6.39496e-005
-0.00530119 , 0.00708829 , 6.41795e-005
-0.00530963 , 0.00708627 , 6.44094e-005
-0.00531806 , 0.00708426 , 6.46392e-005
-0.0053265 , 0.00708224 , 6.48691e-005
