x , y , z
0 , 0 , 0
8.84135e-010 , 0 , 0
2.65232e-009 , 1.89763e-011 , 0
5.30375e-009 , 7.58881e-011 , 0
8.83696e-009 , 1.89643e-010 , 0
1.32497e-008 , 3.79066e-010 , 0
1.85393e-008 , 6.62862e-010 , 0
2.47019e-008 , 1.05959e-009 , 0
3.17335e-008 , 1.58761e-009 , 0
3.96292e-008 , 2.2651e-009 , 0
4.83835e-008 , 3.10996e-009 , 0
5.79902e-008 , 4.13984e-009 , 0
6.84425e-008 , 5.37209e-009 , 0
7.97331e-008 , 6.82371e-009 , 0
9.18542e-008 , 8.51139e-009 , 0
1.04797e-007 , 1.04514e-008 , 0
1.18553e-007 , 1.26596e-008 , 0
1.33113e-007 , 1.51516e-008 , 0
1.48466e-007 , 1.79423e-008 , 0
1.64603e-007 , 2.10463e-008 , 0
1.81511e-007 , 2.44779e-008 , 0
1.99182e-007 , 2.82505e-008 , 0
2.17601e-007 , 3.23775e-008 , 0
2.36759e-007 , 3.68714e-008 , 0
2.56642e-007 , 4.17444e-008 , 0
2.77238e-007 , 4.70082e-008 , 0
2.98534e-007 , 5.26738e-008 , 0
3.20518e-007 , 5.8752e-008 , 0
3.43176e-007 , 6.52527e-008 , 0
3.66495e-007 , 7.21856e-008 , 0
3.90462e-007 , 7.95597e-008 , 0
4.15062e-007 , 8.73836e-008 , 0
4.40282e-007 , 9.56652e-008 , 0
4.66109e-007 , 1.04412e-007 , 0
4.92528e-007 , 1.13632e-007 , 0
5.19526e-007 , 1.2333e-007 , 0
5.47089e-007 , 1.33513e-007 , 0
5.75202e-007 , 1.44187e-007 , 0
6.03853e-007 , 1.55356e-007 , 0
6.33027e-007 , 1.67026e-007 , 0
6.62711e-007 , 1.792e-007 , 0
6.9289e-007 , 1.91883e-007 , 0
7.23552e-007 , 2.05078e-007 , 0
7.54683e-007 , 2.18787e-007 , 0
7.8627e-007 , 2.33014e-007 , 0
8.18299e-007 , 2.4776e-007 , 0
8.50758e-007 , 2.63028e-007 , 0
