x , y , z
1 , 0 , 0
0.999705 , 0.0257508 , 0
0.999116 , 0.0514939 , 0
0.998233 , 0.0772219 , 0
0.997056 , 0.102927 , 0
0.995588 , 0.128603 , 0
0.99383 , 0.15424 , 0
0.991783 , 0.179833 , 0
0.989452 , 0.205375 , 0
0.986837 , 0.230857 , 0
0.983944 , 0.256275 , 0
0.980774 , 0.28162 , 0
0.977333 , 0.306887 , 0
0.973623 , 0.332071 , 0
0.96965 , 0.357164 , 0
0.965418 , 0.382162 , 0
0.960932 , 0.407059 , 0
0.956197 , 0.431851 , 0
0.951217 , 0.456532 , 0
0.945999 , 0.481099 , 0
0.940548 , 0.505548 , 0
0.934869 , 0.529874 , 0
0.928968 , 0.554074 , 0
0.922851 , 0.578145 , 0
0.916523 , 0.602084 , 0
0.90999 , 0.625889 , 0
0.903258 , 0.649557 , 0
0.896333 , 0.673085 , 0
0.88922 , 0.696473 , 0
0.881926 , 0.719719 , 0
0.874455 , 0.74282 , 0
0.866814 , 0.765777 , 0
0.859007 , 0.788588 , 0
0.851041 , 0.811252 , 0
0.842921 , 0.833769 , 0
0.834651 , 0.856139 , 0
0.826238 , 0.878361 , 0
0.817686 , 0.900436 , 0
0.808999 , 0.922363 , 0
0.800184 , 0.944142 , 0
0.791244 , 0.965775 , 0
0.782185 , 0.987262 , 0
0.77301 , 1.0086 , 0
0.763724 , 1.0298 , 0
0.754332 , 1.05085 , 0
0.744836 , 1.07176 , 0
0.735242 , 1.09253 , 0
0.725553 , 1.11315 , 0
0.715773 , 1.13364 , 0
0.705905 , 1.15399 , 0
0.695953 , 1.1742 , 0
0.685921 , 1.19427 , 0
0.675811 , 1.21421 , 0
0.665627 , 1.23402 , 0
0.655372 , 1.25369 , 0
0.645049 , 1.27324 , 0
0.63466 , 1.29265 , 0
0.624209 , 1.31194 , 0
0.613697 , 1.3311 , 0
0.603128 , 1.35014 , 0
0.592505 , 1.36905 , 0
0.581828 , 1.38784 , 0
0.571102 , 1.40651 , 0
0.560327 , 1.42507 , 0
0.549506 , 1.4435 , 0
0.538641 , 1.46182 , 0
0.527735 , 1.48003 , 0
0.516788 , 1.49813 , 0
0.505803 , 1.51611 , 0
0.494781 , 1.53398 , 0
0.483725 , 1.55175 , 0
0.472635 , 1.56941 , 0
0.461514 , 1.58696 , 0
0.450362 , 1.60441 , 0
0.439182 , 1.62176 , 0
0.427975 , 1.63901 , 0
0.416742 , 1.65616 , 0
0.405484 , 1.67321 , 0
0.394202 , 1.69017 , 0
0.382899 , 1.70702 , 0
0.371574 , 1.72379 , 0
0.360229 , 1.74046 , 0
0.348866 , 1.75704 , 0
0.337484 , 1.77353 , 0
0.326086 , 1.78994 , 0
0.314672 , 1.80625 , 0
0.303242 , 1.82248 , 0
0.291799 , 1.83862 , 0
0.280342 , 1.85468 , 0
0.268873 , 1.87066 , 0
0.257391 , 1.88655 , 0
0.245899 , 1.90236 , 0
0.234397 , 1.9181 , 0
0.222885 , 1.93375 , 0
0.211364 , 1.94933 , 0
0.199835 , 1.96483 , 0
0.188298 , 1.98026 , 0
0.176754 , 1.99562 , 0
0.165204 , 2.0109 , 0
0.153648 , 2.0261 , 0
0.142086 , 2.04124 , 0
0.13052 , 2.05631 , 0
0.118949 , 2.0713 , 0
0.107374 , 2.08623 , 0
0.0957958 , 2.10109 , 0
0.0842145 , 2.11589 , 0
0.0726306 , 2.13062 , 0
0.0610444 , 2.14528 , 0
0.0494564 , 2.15988 , 0
0.037867 , 2.17442 , 0
0.0262765 , 2.1889 , 0
0.0146853 , 2.20331 , 0
0.00309365 , 2.21766 , 0
-0.00849808 , 2.23195 , 0
-0.0200896 , 2.24619 , 0
-0.0316806 , 2.26036 , 0
-0.0432707 , 2.27448 , 0
-0.0548598 , 2.28854 , 0
-0.0664476 , 2.30255 , 0
-0.0780337 , 2.3165 , 0
-0.089618 , 2.33039 , 0
-0.1012 , 2.34423 , 0
-0.11278 , 2.35802 , 0
-0.124357 , 2.37175 , 0
-0.135932 , 2.38543 , 0
-0.147504 , 2.39906 , 0
-0.159072 , 2.41264 , 0
-0.170638 , 2.42617 , 0
-0.182199 , 2.43965 , 0
-0.193757 , 2.45308 , 0
-0.205312 , 2.46646 , 0
-0.216862 , 2.47979 , 0
-0.228408 , 2.49308 , 0
-0.23995 , 2.50632 , 0
-0.251487 , 2.51951 , 0
-0.26302 , 2.53266 , 0
-0.274548 , 2.54576 , 0
-0.286072 , 2.55882 , 0
-0.29759 , 2.57183 , 0
-0.309103 , 2.5848 , 0
-0.320612 , 2.59773 , 0
-0.332114 , 2.61061 , 0
-0.343612 , 2.62345 , 0
-0.355104 , 2.63625 , 0
-0.36659 , 2.64901 , 0
-0.378071 , 2.66173 , 0
-0.389546 , 2.67441 , 0
-0.401016 , 2.68704 , 0
-0.412479 , 2.69964 , 0
-0.423937 , 2.7122 , 0
-0.435388 , 2.72472 , 0
-0.446833 , 2.7372 , 0
-0.458272 , 2.74965 , 0
-0.469705 , 2.76205 , 0
-0.481132 , 2.77442 , 0
-0.492552 , 2.78676 , 0
-0.503966 , 2.79905 , 0
-0.515373 , 2.81131 , 0
-0.526774 , 2.82354 , 0
-0.538168 , 2.83573 , 0
-0.549556 , 2.84788 , 0
-0.560937 , 2.86001 , 0
-0.572312 , 2.87209 , 0
-0.583679 , 2.88415 , 0
-0.59504 , 2.89617 , 0
-0.606394 , 2.90815 , 0
-0.617742 , 2.92011 , 0
-0.629082 , 2.93203 , 0
-0.640416 , 2.94392 , 0
-0.651743 , 2.95578 , 0
-0.663062 , 2.96761 , 0
-0.674375 , 2.9794 , 0
-0.685681 , 2.99117 , 0
-0.69698 , 3.0029 , 0
-0.708272 , 3.0146 , 0
-0.719557 , 3.02628 , 0
-0.730834 , 3.03792 , 0
-0.742105 , 3.04954 , 0
-0.753369 , 3.06112 , 0
-0.764625 , 3.07268 , 0
-0.775875 , 3.08421 , 0
-0.787117 , 3.09571 , 0
-0.798352 , 3.10718 , 0
-0.80958 , 3.11863 , 0
-0.820801 , 3.13005 , 0
-0.832015 , 3.14144 , 0
-0.843222 , 3.1528 , 0
-0.854422 , 3.16414 , 0
-0.865614 , 3.17545 , 0
-0.876799 , 3.18673 , 0
-0.887977 , 3.19799 , 0
-0.899148 , 3.20922 , 0
-0.910312 , 3.22043 , 0
-0.921469 , 3.23161 , 0
-0.932618 , 3.24276 , 0
-0.94376 , 3.25389 , 0
-0.954895 , 3.265 , 0
-0.966023 , 3.27608 , 0
-0.977144 , 3.28714 , 0
-0.988258 , 3.29817 , 0
-0.999365 , 3.30918 , 0
-1.01046 , 3.32017 , 0
-1.02156 , 3.33113 , 0
-1.03264 , 3.34207 , 0
-1.04372 , 3.35299 , 0
-1.05479 , 3.36388 , 0
-1.06585 , 3.37476 , 0
-1.07691 , 3.3856 , 0
-1.08796 , 3.39643 , 0
-1.099 , 3.40724 , 0
-1.11004 , 3.41802 , 0
-1.12107 , 3.42878 , 0
-1.13209 , 3.43952 , 0
-1.1431 , 3.45024 , 0
-1.15411 , 3.46093 , 0
-1.16511 , 3.47161 , 0
-1.17611 , 3.48226 , 0
-1.18709 , 3.4929 , 0
-1.19807 , 3.50351 , 0
-1.20904 , 3.51411 , 0
-1.22001 , 3.52468 , 0
-1.23097 , 3.53523 , 0
-1.24192 , 3.54577 , 0
-1.25286 , 3.55628 , 0
-1.2638 , 3.56677 , 0
-1.27473 , 3.57725 , 0
-1.28566 , 3.5877 , 0
-1.29658 , 3.59814 , 0
-1.30749 , 3.60856 , 0
-1.31839 , 3.61896 , 0
-1.32929 , 3.62934 , 0
-1.34018 , 3.6397 , 0
-1.35106 , 3.65004 , 0
-1.36194 , 3.66037 , 0
-1.37281 , 3.67067 , 0
-1.38367 , 3.68096 , 0
-1.39453 , 3.69123 , 0
-1.40538 , 3.70149 , 0
-1.41622 , 3.71172 , 0
-1.42706 , 3.72194 , 0
-1.43789 , 3.73214 , 0
-1.44871 , 3.74233 , 0
-1.45953 , 3.75249 , 0
-1.47034 , 3.76264 , 0
-1.48114 , 3.77277 , 0
-1.49194 , 3.78289 , 0
-1.50273 , 3.79299 , 0
-1.51351 , 3.80307 , 0
-1.52429 , 3.81314 , 0
-1.53506 , 3.82319 , 0
-1.54582 , 3.83323 , 0
-1.55658 , 3.84324 , 0
-1.56733 , 3.85325 , 0
-1.57808 , 3.86323 , 0
-1.58882 , 3.8732 , 0
-1.59955 , 3.88316 , 0
-1.61027 , 3.8931 , 0
-1.62099 , 3.90302 , 0
-1.63171 , 3.91293 , 0
-1.64241 , 3.92283 , 0
-1.65311 , 3.93271 , 0
-1.66381 , 3.94257 , 0
-1.6745 , 3.95242 , 0
-1.68518 , 3.96226 , 0
-1.69585 , 3.97208 , 0
-1.70652 , 3.98188 , 0
-1.71719 , 3.99167 , 0
-1.72784 , 4.00145 , 0
-1.7385 , 4.01121 , 0
-1.74914 , 4.02096 , 0
-1.75978 , 4.0307 , 0
-1.77041 , 4.04042 , 0
-1.78104 , 4.05012 , 0
-1.79166 , 4.05982 , 0
-1.80227 , 4.0695 , 0
-1.81288 , 4.07916 , 0
-1.82348 , 4.08881 , 0
-1.83408 , 4.09845 , 0
-1.84467 , 4.10808 , 0
-1.85525 , 4.11769 , 0
-1.86583 , 4.12729 , 0
-1.87641 , 4.13688 , 0
-1.88697 , 4.14645 , 0
-1.89753 , 4.15601 , 0
-1.90809 , 4.16555 , 0
-1.91864 , 4.17509 , 0
-1.92918 , 4.18461 , 0
-1.93972 , 4.19412 , 0
-1.95025 , 4.20362 , 0
-1.96078 , 4.2131 , 0
-1.9713 , 4.22257 , 0
-1.98181 , 4.23203 , 0
-1.99232 , 4.24148 , 0
-2.00282 , 4.25091 , 0
-2.01332 , 4.26034 , 0
-2.02381 , 4.26975 , 0
-2.0343 , 4.27915 , 0
-2.04478 , 4.28853 , 0
-2.05525 , 4.29791 , 0
-2.06572 , 4.30727 , 0
-2.07618 , 4.31662 , 0
-2.08664 , 4.32596 , 0
-2.09709 , 4.33529 , 0
-2.10754 , 4.34461 , 0
-2.11798 , 4.35392 , 0
