x , y , z
0 , 0 , 0
8.84135e-010 , 0 , 0
2.65049e-009 , 3.78741e-011 , 0
5.29283e-009 , 1.50995e-010 , 0
8.80076e-009 , 3.75717e-010 , 0
1.316e-008 , 7.46901e-010 , 0
1.83525e-008 , 1.29749e-009 , 0
2.43572e-008 , 2.05816e-009 , 0
3.11502e-008 , 3.05704e-009 , 0
3.87052e-008 , 4.31951e-009 , 0
4.69941e-008 , 5.86808e-009 , 0
5.59874e-008 , 7.72237e-009 , 0
6.56546e-008 , 9.89909e-009 , 0
7.59646e-008 , 1.24121e-008 , 0
8.68864e-008 , 1.52728e-008 , 0
9.83888e-008 , 1.84896e-008 , 0
1.10441e-007 , 2.20691e-008 , 0
1.23014e-007 , 2.60154e-008 , 0
1.36077e-007 , 3.03307e-008 , 0
1.49604e-007 , 3.50158e-008 , 0
1.63566e-007 , 4.00695e-008 , 0
1.77938e-007 , 4.54896e-008 , 0
1.92696e-007 , 5.12727e-008 , 0
2.07815e-007 , 5.74144e-008 , 0
2.23274e-007 , 6.39096e-008 , 0
2.39053e-007 , 7.07523e-008 , 0
2.5513e-007 , 7.79363e-008 , 0
2.71488e-007 , 8.54546e-008 , 0
2.8811e-007 , 9.33002e-008 , 0
3.04978e-007 , 1.01466e-007 , 0
3.22079e-007 , 1.09944e-007 , 0
3.39397e-007 , 1.18726e-007 , 0
3.56919e-007 , 1.27806e-007 , 0
3.74632e-007 , 1.37175e-007 , 0
3.92526e-007 , 1.46826e-007 , 0
4.10588e-007 , 1.56751e-007 , 0
4.28809e-007 , 1.66943e-007 , 0
4.4718e-007 , 1.77395e-007 , 0
4.65691e-007 , 1.88099e-007 , 0
4.84335e-007 , 1.99048e-007 , 0
5.03102e-007 , 2.10236e-007 , 0
5.21987e-007 , 2.21655e-007 , 0
5.40982e-007 , 2.333e-007 , 0
5.60082e-007 , 2.45164e-007 , 0
5.79279e-007 , 2.57241e-007 , 0
5.98569e-007 , 2.69524e-007 , 0
6.17947e-007 , 2.82009e-007 , 0
