x , y , z
1 , 0 , 0
0.998175 , 0.083071 , 0
0.992723 , 0.16584 , 0
0.987269 , 0.248609 , 0
0.981814 , 0.331377 , 0
0.976357 , 0.414145 , 0
0.970899 , 0.496912 , 0
0.96544 , 0.579679 , 0
0.95998 , 0.662445 , 0
0.954518 , 0.74521 , 0
0.949056 , 0.827974 , 0
0.943593 , 0.910738 , 0
0.93813 , 0.993501 , 0
0.932666 , 1.07626 , 0
0.927202 , 1.15902 , 0
0.921737 , 1.24179 , 0
0.916271 , 1.32455 , 0
0.910806 , 1.40731 , 0
0.90534 , 1.49007 , 0
0.899874 , 1.57282 , 0
0.894408 , 1.65558 , 0
0.888942 , 1.73834 , 0
0.883475 , 1.8211 , 0
0.878009 , 1.90385 , 0
0.872542 , 1.98661 , 0
0.867076 , 2.06937 , 0
0.861609 , 2.15212 , 0
0.856142 , 2.23488 , 0
0.850675 , 2.31763 , 0
0.845209 , 2.40039 , 0
0.839742 , 2.48314 , 0
0.834275 , 2.5659 , 0
0.828808 , 2.64865 , 0
0.823341 , 2.73141 , 0
0.817874 , 2.81416 , 0
0.812408 , 2.89691 , 0
0.806941 , 2.97967 , 0
0.801474 , 3.06242 , 0
0.796007 , 3.14517 , 0
0.790541 , 3.22793 , 0
0.785074 , 3.31068 , 0
0.779607 , 3.39343 , 0
0.774141 , 3.47618 , 0
0.768674 , 3.55893 , 0
0.763207 , 3.64169 , 0
0.757741 , 3.72444 , 0
0.752274 , 3.80719 , 0
0.746808 , 3.88994 , 0
0.741341 , 3.97269 , 0
0.735875 , 4.05544 , 0
0.730409 , 4.13819 , 0
0.724942 , 4.22094 , 0
0.719476 , 4.30369 , 0
0.71401 , 4.38645 , 0
0.708544 , 4.4692 , 0
0.703077 , 4.55195 , 0
0.697611 , 4.6347 , 0
0.692145 , 4.71745 , 0
0.686679 , 4.8002 , 0
0.681213 , 4.88295 , 0
0.675747 , 4.9657 , 0
0.670281 , 5.04845 , 0
0.664815 , 5.1312 , 0
0.659349 , 5.21394 , 0
0.653883 , 5.29669 , 0
0.648418 , 5.37944 , 0
0.642952 , 5.46219 , 0
0.637486 , 5.54494 , 0
0.63202 , 5.62769 , 0
0.626554 , 5.71044 , 0
0.621089 , 5.79319 , 0
0.615623 , 5.87594 , 0
0.610158 , 5.95869 , 0
0.604692 , 6.04143 , 0
0.599226 , 6.12418 , 0
0.593761 , 6.20693 , 0
0.588295 , 6.28968 , 0
0.58283 , 6.37243 , 0
0.577364 , 6.45518 , 0
0.571899 , 6.53792 , 0
0.566434 , 6.62067 , 0
0.560968 , 6.70342 , 0
0.555503 , 6.78617 , 0
0.550038 , 6.86892 , 0
0.544572 , 6.95166 , 0
0.539107 , 7.03441 , 0
0.533642 , 7.11716 , 0
0.528177 , 7.19991 , 0
0.522711 , 7.28266 , 0
0.517246 , 7.3654 , 0
0.511781 , 7.44815 , 0
0.506316 , 7.5309 , 0
0.500851 , 7.61364 , 0
0.495386 , 7.69639 , 0
0.489921 , 7.77914 , 0
0.484456 , 7.86189 , 0
0.478991 , 7.94463 , 0
0.473526 , 8.02738 , 0
0.468061 , 8.11013 , 0
0.462596 , 8.19287 , 0
0.457131 , 8.27562 , 0
0.451666 , 8.35837 , 0
0.446201 , 8.44112 , 0
0.440736 , 8.52386 , 0
0.435271 , 8.60661 , 0
0.429806 , 8.68936 , 0
0.424342 , 8.7721 , 0
0.418877 , 8.85485 , 0
0.413412 , 8.9376 , 0
0.407947 , 9.02034 , 0
0.402483 , 9.10309 , 0
0.397018 , 9.18583 , 0
0.391553 , 9.26858 , 0
0.386088 , 9.35133 , 0
0.380624 , 9.43407 , 0
0.375159 , 9.51682 , 0
0.369694 , 9.59957 , 0
0.36423 , 9.68231 , 0
0.358765 , 9.76506 , 0
0.3533 , 9.8478 , 0
0.347836 , 9.93055 , 0
0.342371 , 10.0133 , 0
0.336907 , 10.096 , 0
0.331442 , 10.1788 , 0
0.325978 , 10.2615 , 0
0.320513 , 10.3443 , 0
0.315049 , 10.427 , 0
0.309584 , 10.5098 , 0
0.30412 , 10.5925 , 0
0.298655 , 10.6753 , 0
0.293191 , 10.758 , 0
0.287726 , 10.8408 , 0
0.282262 , 10.9235 , 0
0.276797 , 11.0062 , 0
0.271333 , 11.089 , 0
0.265868 , 11.1717 , 0
0.260404 , 11.2545 , 0
0.25494 , 11.3372 , 0
0.249475 , 11.42 , 0
0.244011 , 11.5027 , 0
0.238547 , 11.5855 , 0
0.233082 , 11.6682 , 0
0.227618 , 11.751 , 0
0.222154 , 11.8337 , 0
0.216689 , 11.9164 , 0
0.211225 , 11.9992 , 0
0.205761 , 12.0819 , 0
0.200296 , 12.1647 , 0
0.194832 , 12.2474 , 0
0.189368 , 12.3302 , 0
0.183904 , 12.4129 , 0
0.178439 , 12.4957 , 0
0.172975 , 12.5784 , 0
0.167511 , 12.6612 , 0
0.162047 , 12.7439 , 0
0.156582 , 12.8266 , 0
0.151118 , 12.9094 , 0
0.145654 , 12.9921 , 0
0.14019 , 13.0749 , 0
0.134726 , 13.1576 , 0
0.129261 , 13.2404 , 0
0.123797 , 13.3231 , 0
0.118333 , 13.4059 , 0
0.112869 , 13.4886 , 0
0.107405 , 13.5713 , 0
0.101941 , 13.6541 , 0
0.0964766 , 13.7368 , 0
0.0910124 , 13.8196 , 0
0.0855483 , 13.9023 , 0
0.0800842 , 13.9851 , 0
0.0746201 , 14.0678 , 0
0.069156 , 14.1506 , 0
0.063692 , 14.2333 , 0
0.0582279 , 14.316 , 0
0.0527638 , 14.3988 , 0
0.0472997 , 14.4815 , 0
0.0418357 , 14.5643 , 0
0.0363716 , 14.647 , 0
0.0309076 , 14.7298 , 0
0.0254435 , 14.8125 , 0
0.0199795 , 14.8953 , 0
0.0145155 , 14.978 , 0
0.00905147 , 15.0607 , 0
0.00358745 , 15.1435 , 0
-0.00187656 , 15.2262 , 0
-0.00734056 , 15.309 , 0
-0.0128046 , 15.3917 , 0
-0.0182686 , 15.4745 , 0
-0.0237325 , 15.5572 , 0
-0.0291965 , 15.64 , 0
-0.0346605 , 15.7227 , 0
-0.0401245 , 15.8054 , 0
-0.0455884 , 15.8882 , 0
-0.0510524 , 15.9709 , 0
-0.0565163 , 16.0537 , 0
-0.0619803 , 16.1364 , 0
-0.0674442 , 16.2192 , 0
-0.0729082 , 16.3019 , 0
-0.0783721 , 16.3847 , 0
-0.083836 , 16.4674 , 0
-0.0893 , 16.5501 , 0
-0.0947639 , 16.6329 , 0
-0.100228 , 16.7156 , 0
-0.105692 , 16.7984 , 0
-0.111156 , 16.8811 , 0
-0.11662 , 16.9639 , 0
-0.122083 , 17.0466 , 0
-0.127547 , 17.1293 , 0
-0.133011 , 17.2121 , 0
-0.138475 , 17.2948 , 0
-0.143939 , 17.3776 , 0
-0.149403 , 17.4603 , 0
-0.154867 , 17.5431 , 0
-0.160331 , 17.6258 , 0
-0.165794 , 17.7086 , 0
-0.171258 , 17.7913 , 0
-0.176722 , 17.874 , 0
-0.182186 , 17.9568 , 0
-0.18765 , 18.0395 , 0
-0.193114 , 18.1223 , 0
-0.198578 , 18.205 , 0
-0.204041 , 18.2878 , 0
-0.209505 , 18.3705 , 0
-0.214969 , 18.4532 , 0
-0.220433 , 18.536 , 0
-0.225897 , 18.6187 , 0
-0.23136 , 18.7015 , 0
-0.236824 , 18.7842 , 0
-0.242288 , 18.867 , 0
-0.247752 , 18.9497 , 0
-0.253216 , 19.0325 , 0
-0.258679 , 19.1152 , 0
-0.264143 , 19.1979 , 0
-0.269607 , 19.2807 , 0
-0.275071 , 19.3634 , 0
-0.280535 , 19.4462 , 0
-0.285998 , 19.5289 , 0
-0.291462 , 19.6117 , 0
-0.296926 , 19.6944 , 0
