x , y , z
5.2 , 0 , 0
5.19993 , 0.0265577 , 0
5.19973 , 0.0531147 , 0
5.19953 , 0.0796717 , 0
5.19933 , 0.106229 , 0
5.19912 , 0.132786 , 0
5.19892 , 0.159343 , 0
5.19872 , 0.1859 , 0
5.19852 , 0.212457 , 0
5.19831 , 0.239014 , 0
5.19811 , 0.265571 , 0
5.19791 , 0.292128 , 0
5.19771 , 0.318685 , 0
5.1975 , 0.345242 , 0
5.1973 , 0.371799 , 0
5.1971 , 0.398356 , 0
5.1969 , 0.424913 , 0
5.19669 , 0.45147 , 0
5.19649 , 0.478027 , 0
5.19629 , 0.504584 , 0
5.19609 , 0.531141 , 0
5.19588 , 0.557698 , 0
5.19568 , 0.584255 , 0
5.19548 , 0.610812 , 0
5.19528 , 0.637369 , 0
5.19507 , 0.663926 , 0
5.19487 , 0.690483 , 0
5.19467 , 0.71704 , 0
5.19447 , 0.743597 , 0
5.19426 , 0.770154 , 0
5.19406 , 0.796711 , 0
5.19386 , 0.823268 , 0
5.19366 , 0.849825 , 0
5.19345 , 0.876382 , 0
5.19325 , 0.902939 , 0
5.19305 , 0.929496 , 0
5.19285 , 0.956053 , 0
5.19264 , 0.98261 , 0
5.19244 , 1.00917 , 0
5.19224 , 1.03572 , 0
5.19204 , 1.06228 , 0
5.19183 , 1.08884 , 0
5.19163 , 1.11539 , 0
5.19143 , 1.14195 , 0
5.19123 , 1.16851 , 0
5.19102 , 1.19507 , 0
5.19082 , 1.22162 , 0
5.19062 , 1.24818 , 0
5.19042 , 1.27474 , 0
5.19021 , 1.30129 , 0
5.19001 , 1.32785 , 0
5.18981 , 1.35441 , 0
5.18961 , 1.38096 , 0
5.1894 , 1.40752 , 0
5.1892 , 1.43408 , 0
5.189 , 1.46064 , 0
5.1888 , 1.48719 , 0
5.18859 , 1.51375 , 0
5.18839 , 1.54031 , 0
5.18819 , 1.56686 , 0
5.18799 , 1.59342 , 0
5.18778 , 1.61998 , 0
5.18758 , 1.64654 , 0
5.18738 , 1.67309 , 0
5.18718 , 1.69965 , 0
5.18697 , 1.72621 , 0
5.18677 , 1.75276 , 0
5.18657 , 1.77932 , 0
5.18637 , 1.80588 , 0
5.18616 , 1.83243 , 0
5.18596 , 1.85899 , 0
5.18576 , 1.88555 , 0
5.18556 , 1.91211 , 0
5.18535 , 1.93866 , 0
5.18515 , 1.96522 , 0
5.18495 , 1.99178 , 0
5.18475 , 2.01833 , 0
5.18454 , 2.04489 , 0
5.18434 , 2.07145 , 0
5.18414 , 2.098 , 0
5.18394 , 2.12456 , 0
5.18373 , 2.15112 , 0
5.18353 , 2.17768 , 0
5.18333 , 2.20423 , 0
5.18313 , 2.23079 , 0
5.18292 , 2.25735 , 0
5.18272 , 2.2839 , 0
5.18252 , 2.31046 , 0
5.18232 , 2.33702 , 0
5.18211 , 2.36357 , 0
5.18191 , 2.39013 , 0
5.18171 , 2.41669 , 0
5.18151 , 2.44325 , 0
5.1813 , 2.4698 , 0
5.1811 , 2.49636 , 0
5.1809 , 2.52292 , 0
5.1807 , 2.54947 , 0
5.18049 , 2.57603 , 0
5.18029 , 2.60259 , 0
5.18009 , 2.62914 , 0
5.17989 , 2.6557 , 0
5.17968 , 2.68226 , 0
5.17948 , 2.70882 , 0
5.17928 , 2.73537 , 0
5.17908 , 2.76193 , 0
5.17887 , 2.78849 , 0
5.17867 , 2.81504 , 0
5.17847 , 2.8416 , 0
5.17827 , 2.86816 , 0
5.17806 , 2.89471 , 0
5.17786 , 2.92127 , 0
5.17766 , 2.94783 , 0
5.17745 , 2.97439 , 0
5.17725 , 3.00094 , 0
5.17705 , 3.0275 , 0
5.17685 , 3.05406 , 0
5.17664 , 3.08061 , 0
5.17644 , 3.10717 , 0
5.17624 , 3.13373 , 0
5.17604 , 3.16029 , 0
5.17583 , 3.18684 , 0
5.17563 , 3.2134 , 0
5.17543 , 3.23996 , 0
5.17523 , 3.26651 , 0
