x , y , z
0 , 0 , 0
5.61915e-009 , 0 , 0
-4.44754e+009 , 1.7944e-011 , 0
-8.89508e+009 , 3.58881e-011 , 0
-1.33426e+010 , 5.38321e-011 , 0
-1.77902e+010 , 7.17761e-011 , 0
-2.22377e+010 , 8.97202e-011 , 0
-2.66852e+010 , 1.07664e-010 , 0
-3.11328e+010 , 1.25608e-010 , 0
-3.55803e+010 , 1.43552e-010 , 0
-4.00278e+010 , 1.61496e-010 , 0
-4.44754e+010 , 1.7944e-010 , 0
-4.89229e+010 , 1.97384e-010 , 0
-5.33705e+010 , 2.15328e-010 , 0
-5.7818e+010 , 2.33272e-010 , 0
-6.22655e+010 , 2.51216e-010 , 0
-6.67131e+010 , 2.6916e-010 , 0
-7.11606e+010 , 2.87104e-010 , 0
-7.56082e+010 , 3.05049e-010 , 0
-8.00557e+010 , 3.22993e-010 , 0
-8.45032e+010 , 3.40937e-010 , 0
-8.89508e+010 , 3.58881e-010 , 0
-9.33983e+010 , 3.76825e-010 , 0
-9.78459e+010 , 3.94769e-010 , 0
-1.02293e+011 , 4.12713e-010 , 0
-1.06741e+011 , 4.30657e-010 , 0
-1.11188e+011 , 4.48601e-010 , 0
-1.15636e+011 , 4.66545e-010 , 0
-1.20084e+011 , 4.84489e-010 , 0
-1.24531e+011 , 5.02433e-010 , 0
-1.28979e+011 , 5.20377e-010 , 0
-1.33426e+011 , 5.38321e-010 , 0
-1.37874e+011 , 5.56265e-010 , 0
-1.42321e+011 , 5.74209e-010 , 0
-1.46769e+011 , 5.92153e-010 , 0
-1.51216e+011 , 6.10097e-010 , 0
-1.55664e+011 , 6.28041e-010 , 0
-1.60111e+011 , 6.45985e-010 , 0
-1.64559e+011 , 6.63929e-010 , 0
-1.69006e+011 , 6.81873e-010 , 0
-1.73454e+011 , 6.99817e-010 , 0
-1.77902e+011 , 7.17761e-010 , 0
-1.82349e+011 , 7.35705e-010 , 0
-1.86797e+011 , 7.53649e-010 , 0
-1.91244e+011 , 7.71593e-010 , 0
-1.95692e+011 , 7.89537e-010 , 0
-2.00139e+011 , 8.07481e-010 , 0
-2.04587e+011 , 8.25425e-010 , 0
-2.09034e+011 , 8.43369e-010 , 0
-2.13482e+011 , 8.61313e-010 , 0
-2.17929e+011 , 8.79258e-010 , 0
-2.22377e+011 , 8.97202e-010 , 0
-2.26824e+011 , 9.15146e-010 , 0
-2.31272e+011 , 9.3309e-010 , 0
-2.3572e+011 , 9.51034e-010 , 0
-2.40167e+011 , 9.68978e-010 , 0
-2.44615e+011 , 9.86922e-010 , 0
-2.49062e+011 , 1.00487e-009 , 0
-2.5351e+011 , 1.02281e-009 , 0
-2.57957e+011 , 1.04075e-009 , 0
-2.62405e+011 , 1.0587e-009 , 0
-2.66852e+011 , 1.07664e-009 , 0
-2.713e+011 , 1.09459e-009 , 0
-2.75747e+011 , 1.11253e-009 , 0
-2.80195e+011 , 1.13047e-009 , 0
-2.84642e+011 , 1.14842e-009 , 0
-2.8909e+011 , 1.16636e-009 , 0
-2.93538e+011 , 1.18431e-009 , 0
-2.97985e+011 , 1.20225e-009 , 0
-3.02433e+011 , 1.22019e-009 , 0
-3.0688e+011 , 1.23814e-009 , 0
-3.11328e+011 , 1.25608e-009 , 0
-3.15775e+011 , 1.27403e-009 , 0
-3.20223e+011 , 1.29197e-009 , 0
-3.2467e+011 , 1.30991e-009 , 0
-3.29118e+011 , 1.32786e-009 , 0
-3.33565e+011 , 1.3458e-009 , 0
-3.38013e+011 , 1.36375e-009 , 0
-3.4246e+011 , 1.38169e-009 , 0
-3.46908e+011 , 1.39963e-009 , 0
-3.51356e+011 , 1.41758e-009 , 0
-3.55803e+011 , 1.43552e-009 , 0
-3.60251e+011 , 1.45347e-009 , 0
-3.64698e+011 , 1.47141e-009 , 0
-3.69146e+011 , 1.48935e-009 , 0
-3.73593e+011 , 1.5073e-009 , 0
-3.78041e+011 , 1.52524e-009 , 0
-3.82488e+011 , 1.54319e-009 , 0
-3.86936e+011 , 1.56113e-009 , 0
-3.91383e+011 , 1.57907e-009 , 0
-3.95831e+011 , 1.59702e-009 , 0
-4.00278e+011 , 1.61496e-009 , 0
-4.04726e+011 , 1.63291e-009 , 0
-4.09174e+011 , 1.65085e-009 , 0
-4.13621e+011 , 1.66879e-009 , 0
-4.18069e+011 , 1.68674e-009 , 0
-4.22516e+011 , 1.70468e-009 , 0
-4.26964e+011 , 1.72263e-009 , 0
-4.31411e+011 , 1.74057e-009 , 0
-4.35859e+011 , 1.75852e-009 , 0
-4.40306e+011 , 1.77646e-009 , 0
-4.44754e+011 , 1.7944e-009 , 0
-4.49201e+011 , 1.81235e-009 , 0
-4.53649e+011 , 1.83029e-009 , 0
-4.58096e+011 , 1.84824e-009 , 0
-4.62544e+011 , 1.86618e-009 , 0
-4.66992e+011 , 1.88412e-009 , 0
-4.71439e+011 , 1.90207e-009 , 0
-4.75887e+011 , 1.92001e-009 , 0
-4.80334e+011 , 1.93796e-009 , 0
-4.84782e+011 , 1.9559e-009 , 0
-4.89229e+011 , 1.97384e-009 , 0
-4.93677e+011 , 1.99179e-009 , 0
-4.98124e+011 , 2.00973e-009 , 0
