x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00379573 , 0.00739774 , 2.33704e-005
-0.00376468 , 0.0073189 , 2.33587e-005
-0.00371327 , 0.00720047 , 2.32206e-005
-0.00364066 , 0.00704095 , 2.29501e-005
-0.00354569 , 0.00683817 , 2.25385e-005
-0.00342669 , 0.00658905 , 2.19742e-005
-0.00328141 , 0.00628941 , 2.12414e-005
-0.00310672 , 0.00593339 , 2.03182e-005
-0.00289817 , 0.0055127 , 1.91736e-005
-0.00264919 , 0.0050151 , 1.77614e-005
-0.00234939 , 0.00442131 , 1.60086e-005
-0.00198074 , 0.00369794 , 1.37866e-005
-0.00150616 , 0.00277681 , 1.08273e-005
-0.00082028 , 0.00146612 , 6.34905e-006
0.000850504 , -0.00160493 , -5.75248e-006
0.00173809 , -0.00319806 , -1.25568e-005
0.00247506 , -0.00451407 , -1.82729e-005
0.00314605 , -0.00570972 , -2.35019e-005
0.00377944 , -0.00683716 , -2.84502e-005
0.00438844 , -0.00792045 , -3.32147e-005
0.00498028 , -0.00897277 , -3.78494e-005
0.00555939 , -0.0100022 , -4.23874e-005
0.00612871 , -0.011014 , -4.68506e-005
0.00669024 , -0.0120117 , -5.12544e-005
0.00724545 , -0.0129982 , -5.56097e-005
0.00779542 , -0.0139752 , -5.99249e-005
0.00834101 , -0.0149444 , -6.42063e-005
0.00888284 , -0.0159069 , -6.84589e-005
0.00942146 , -0.0168635 , -7.26866e-005
0.00995727 , -0.0178152 , -7.68928e-005
0.0104906 , -0.0187625 , -8.10799e-005
0.0110218 , -0.0197059 , -8.52503e-005
0.0115511 , -0.0206459 , -8.94058e-005
0.0120786 , -0.0215827 , -9.3548e-005
0.0126046 , -0.0225168 , -9.76781e-005
0.0131292 , -0.0234484 , -0.000101797
0.0136525 , -0.0243778 , -0.000105907
0.0141746 , -0.025305 , -0.000110007
0.0146957 , -0.0262304 , -0.0001141
0.0152159 , -0.027154 , -0.000118184
0.0157351 , -0.0280761 , -0.000122262
0.0162535 , -0.0289967 , -0.000126333
0.0167712 , -0.0299159 , -0.000130399
0.0172881 , -0.0308338 , -0.000134459
0.0178044 , -0.0317506 , -0.000138513
0.01832 , -0.0326663 , -0.000142563
0.0188351 , -0.0335809 , -0.000146609
0.0193497 , -0.0344946 , -0.00015065
0.0198637 , -0.0354074 , -0.000154688
0.0203773 , -0.0363194 , -0.000158722
0.0208904 , -0.0372305 , -0.000162752
0.0214031 , -0.0381409 , -0.000166779
0.0219154 , -0.0390507 , -0.000170803
0.0224274 , -0.0399597 , -0.000174824
0.0229389 , -0.0408681 , -0.000178842
0.0234502 , -0.0417759 , -0.000182858
0.0239611 , -0.0426832 , -0.000186871
0.0244718 , -0.0435899 , -0.000190882
0.0249821 , -0.0444961 , -0.000194891
0.0254922 , -0.0454018 , -0.000198897
0.026002 , -0.0463071 , -0.000202901
0.0265115 , -0.0472119 , -0.000206904
0.0270208 , -0.0481163 , -0.000210905
0.0275299 , -0.0490203 , -0.000214903
0.0280388 , -0.0499239 , -0.000218901
0.0285475 , -0.0508271 , -0.000222896
0.029056 , -0.05173 , -0.00022689
0.0295642 , -0.0526325 , -0.000230883
0.0300723 , -0.0535347 , -0.000234874
0.0305803 , -0.0544366 , -0.000238864
0.031088 , -0.0553382 , -0.000242852
0.0315956 , -0.0562395 , -0.000246839
0.032103 , -0.0571406 , -0.000250825
0.0326103 , -0.0580413 , -0.00025481
0.0331175 , -0.0589418 , -0.000258794
0.0336245 , -0.0598421 , -0.000262776
0.0341313 , -0.0607421 , -0.000266758
0.0346381 , -0.0616419 , -0.000270738
0.0351447 , -0.0625415 , -0.000274718
0.0356512 , -0.0634408 , -0.000278696
0.0361575 , -0.06434 , -0.000282674
0.0366638 , -0.0652389 , -0.000286651
0.0371699 , -0.0661377 , -0.000290627
0.037676 , -0.0670362 , -0.000294602
0.0381819 , -0.0679346 , -0.000298576
0.0386878 , -0.0688328 , -0.00030255
0.0391935 , -0.0697309 , -0.000306522
0.0396992 , -0.0706287 , -0.000310495
0.0402047 , -0.0715265 , -0.000314466
0.0407102 , -0.072424 , -0.000318437
0.0412156 , -0.0733214 , -0.000322407
0.0417209 , -0.0742187 , -0.000326376
0.0422261 , -0.0751158 , -0.000330345
0.0427313 , -0.0760128 , -0.000334313
0.0432363 , -0.0769096 , -0.00033828
0.0437413 , -0.0778063 , -0.000342247
0.0442462 , -0.0787029 , -0.000346214
0.0447511 , -0.0795994 , -0.000350179
0.0452559 , -0.0804957 , -0.000354145
0.0457606 , -0.0813919 , -0.00035811
0.0462653 , -0.082288 , -0.000362074
0.0467699 , -0.083184 , -0.000366038
0.0472744 , -0.0840799 , -0.000370001
0.0477789 , -0.0849757 , -0.000373964
0.0482833 , -0.0858714 , -0.000377926
0.0487876 , -0.086767 , -0.000381888
0.0492919 , -0.0876625 , -0.00038585
0.0497962 , -0.0885578 , -0.000389811
0.0503004 , -0.0894531 , -0.000393772
0.0508045 , -0.0903483 , -0.000397732
0.0513086 , -0.0912435 , -0.000401692
0.0518127 , -0.0921385 , -0.000405652
0.0523167 , -0.0930334 , -0.000409611
0.0528206 , -0.0939283 , -0.00041357
0.0533245 , -0.0948231 , -0.000417528
0.0538284 , -0.0957178 , -0.000421486
0.0543322 , -0.0966124 , -0.000425444
0.054836 , -0.097507 , -0.000429401
0.0553397 , -0.0984014 , -0.000433358
0.0558434 , -0.0992958 , -0.000437315
0.056347 , -0.10019 , -0.000441272
0.0568506 , -0.101084 , -0.000445228
0.0573542 , -0.101979 , -0.000449184
0.0578578 , -0.102873 , -0.000453139
0.0583613 , -0.103767 , -0.000457095
0.0588647 , -0.104661 , -0.00046105
0.0593681 , -0.105555 , -0.000465004
0.0598715 , -0.106449 , -0.000468959
0.0603749 , -0.107342 , -0.000472913
0.0608782 , -0.108236 , -0.000476867
0.0613815 , -0.10913 , -0.000480821
0.0618848 , -0.110024 , -0.000484774
0.062388 , -0.110917 , -0.000488727
0.0628912 , -0.111811 , -0.00049268
0.0633944 , -0.112704 , -0.000496633
0.0638975 , -0.113598 , -0.000500585
0.0644006 , -0.114491 , -0.000504538
0.0649037 , -0.115384 , -0.00050849
0.0654067 , -0.116278 , -0.000512442
0.0659098 , -0.117171 , -0.000516393
0.0664128 , -0.118064 , -0.000520345
0.0669157 , -0.118957 , -0.000524296
0.0674187 , -0.11985 , -0.000528247
0.0679216 , -0.120743 , -0.000532198
0.0684245 , -0.121636 , -0.000536148
0.0689274 , -0.122529 , -0.000540099
0.0694302 , -0.123422 , -0.000544049
0.069933 , -0.124315 , -0.000547999
0.0704358 , -0.125208 , -0.000551949
0.0709386 , -0.126101 , -0.000555898
0.0714414 , -0.126994 , -0.000559848
0.0719441 , -0.127886 , -0.000563797
0.0724468 , -0.128779 , -0.000567746
0.0729495 , -0.129672 , -0.000571695
0.0734522 , -0.130564 , -0.000575644
0.0739548 , -0.131457 , -0.000579593
0.0744574 , -0.132349 , -0.000583541
0.07496 , -0.133242 , -0.00058749
0.0754626 , -0.134134 , -0.000591438
0.0759652 , -0.135027 , -0.000595386
0.0764677 , -0.135919 , -0.000599334
0.0769703 , -0.136811 , -0.000603282
0.0774728 , -0.137704 , -0.000607229
0.0779753 , -0.138596 , -0.000611177
0.0784777 , -0.139488 , -0.000615124
0.0789802 , -0.140381 , -0.000619071
0.0794826 , -0.141273 , -0.000623018
0.079985 , -0.142165 , -0.000626965
0.0804874 , -0.143057 , -0.000630912
0.0809898 , -0.143949 , -0.000634858
0.0814922 , -0.144841 , -0.000638805
0.0819946 , -0.145733 , -0.000642751
0.0824969 , -0.146625 , -0.000646698
0.0829992 , -0.147517 , -0.000650644
0.0835015 , -0.148409 , -0.00065459
0.0840038 , -0.149301 , -0.000658536
0.0845061 , -0.150193 , -0.000662482
0.0850083 , -0.151085 , -0.000666427
0.0855106 , -0.151977 , -0.000670373
0.0860128 , -0.152869 , -0.000674318
0.086515 , -0.153761 , -0.000678264
0.0870172 , -0.154652 , -0.000682209
0.0875194 , -0.155544 , -0.000686154
0.0880216 , -0.156436 , -0.000690099
0.0885238 , -0.157328 , -0.000694044
0.0890259 , -0.158219 , -0.000697989
0.0895281 , -0.159111 , -0.000701933
0.0900302 , -0.160003 , -0.000705878
0.0905323 , -0.160894 , -0.000709822
0.0910344 , -0.161786 , -0.000713767
0.0915365 , -0.162678 , -0.000717711
0.0920386 , -0.163569 , -0.000721655
0.0925406 , -0.164461 , -0.0007256
0.0930427 , -0.165352 , -0.000729544
0.0935447 , -0.166244 , -0.000733487
0.0940467 , -0.167135 , -0.000737431
0.0945488 , -0.168027 , -0.000741375
0.0950508 , -0.168918 , -0.000745319
0.0955527 , -0.16981 , -0.000749262
0.0960547 , -0.170701 , -0.000753206
0.0965567 , -0.171592 , -0.000757149
0.0970587 , -0.172484 , -0.000761093
0.0975606 , -0.173375 , -0.000765036
0.0980626 , -0.174266 , -0.000768979
0.0985645 , -0.175158 , -0.000772922
0.0990664 , -0.176049 , -0.000776865
0.0995683 , -0.17694 , -0.000780808
