x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.973432 , -1.75648e-005
-0.204459 , 0.970001 , -1.68911e-005
-0.221524 , 0.966269 , -1.62049e-005
-0.238522 , 0.962238 , -1.55064e-005
-0.255446 , 0.957908 , -1.47959e-005
-0.272292 , 0.953282 , -1.40739e-005
-0.289054 , 0.948361 , -1.33408e-005
-0.305727 , 0.943146 , -1.25974e-005
-0.322306 , 0.937641 , -1.18442e-005
-0.338786 , 0.931847 , -1.10822e-005
-0.355163 , 0.925767 , -1.03123e-005
-0.37143 , 0.919403 , -9.53598e-006
-0.387585 , 0.912759 , -8.75529e-006
-0.403624 , 0.905844 , -7.98019e-006
-0.419545 , 0.898666 , -7.21997e-006
-0.435347 , 0.891232 , -6.48331e-006
-0.451027 , 0.88355 , -5.77833e-006
-0.466584 , 0.875629 , -5.11263e-006
-0.482017 , 0.867475 , -4.49328e-006
-0.497325 , 0.859095 , -3.92691e-006
-0.512506 , 0.850497 , -3.41969e-006
-0.527561 , 0.841686 , -2.97736e-006
-0.542489 , 0.832671 , -2.60526e-006
-0.557289 , 0.823456 , -2.30835e-006
-0.571961 , 0.814049 , -2.09123e-006
-0.586505 , 0.804455 , -1.95818e-006
-0.60092 , 0.794679 , -1.91313e-006
-0.615208 , 0.784729 , -1.95972e-006
-0.629368 , 0.774608 , -2.10133e-006
-0.643401 , 0.764322 , -2.34103e-006
-0.657306 , 0.753877 , -2.68167e-006
-0.671085 , 0.743277 , -3.12585e-006
-0.684738 , 0.732527 , -3.67594e-006
-0.698266 , 0.721632 , -4.33412e-006
-0.711668 , 0.710596 , -5.10235e-006
-0.724947 , 0.699423 , -5.98241e-006
-0.738102 , 0.688118 , -6.97591e-006
-0.751135 , 0.676685 , -8.08429e-006
-0.764046 , 0.665128 , -9.30884e-006
-0.776836 , 0.65345 , -1.06507e-005
-0.789506 , 0.641656 , -1.21109e-005
-0.802057 , 0.629748 , -1.36902e-005
-0.814491 , 0.617731 , -1.53896e-005
-0.826807 , 0.605607 , -1.72095e-005
-0.839008 , 0.59338 , -1.91505e-005
-0.851094 , 0.581053 , -2.12131e-005
-0.863065 , 0.568629 , -2.33977e-005
-0.874924 , 0.556111 , -2.57044e-005
-0.886671 , 0.543502 , -2.81335e-005
-0.898308 , 0.530805 , -3.0685e-005
-0.909835 , 0.518022 , -3.33591e-005
-0.921253 , 0.505155 , -3.61556e-005
-0.932564 , 0.492208 , -3.90745e-005
-0.943769 , 0.479183 , -4.21156e-005
-0.954868 , 0.466082 , -4.52788e-005
-0.965864 , 0.452908 , -4.85637e-005
-0.976756 , 0.439662 , -5.197e-005
-0.987546 , 0.426346 , -5.54975e-005
-0.998236 , 0.412964 , -5.91457e-005
-1.00883 , 0.399516 , -6.29142e-005
-1.01932 , 0.386005 , -6.68025e-005
-1.02971 , 0.372433 , -7.08102e-005
-1.04001 , 0.358801 , -7.49367e-005
-1.05021 , 0.345112 , -7.91815e-005
-1.06032 , 0.331366 , -8.35441e-005
-1.07033 , 0.317566 , -8.80237e-005
-1.08025 , 0.303714 , -9.26199e-005
-1.09008 , 0.28981 , -9.7332e-005
-1.09982 , 0.275856 , -0.000102159
-1.10947 , 0.261854 , -0.000107101
-1.11903 , 0.247806 , -0.000112157
-1.12851 , 0.233712 , -0.000117326
-1.13789 , 0.219573 , -0.000122607
-1.1472 , 0.205392 , -0.000128
-1.15642 , 0.19117 , -0.000133504
-1.16555 , 0.176907 , -0.000139118
-1.1746 , 0.162605 , -0.000144842
-1.18358 , 0.148266 , -0.000150675
-1.19247 , 0.133889 , -0.000156616
-1.20128 , 0.119476 , -0.000162663
-1.21001 , 0.105029 , -0.000168818
-1.21866 , 0.0905486 , -0.000175078
-1.22724 , 0.0760351 , -0.000181443
-1.23574 , 0.06149 , -0.000187912
-1.24417 , 0.046914 , -0.000194485
-1.25252 , 0.0323083 , -0.00020116
-1.26079 , 0.0176735 , -0.000207937
