x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.18733 , 0.973433 , -1.75649e-005
-0.20446 , 0.970006 , -1.68913e-005
-0.221527 , 0.96628 , -1.62053e-005
-0.238526 , 0.962258 , -1.55069e-005
-0.255453 , 0.957939 , -1.47963e-005
-0.272301 , 0.953326 , -1.40737e-005
-0.289067 , 0.948419 , -1.33393e-005
-0.305744 , 0.943221 , -1.25932e-005
-0.322327 , 0.937733 , -1.18356e-005
-0.338812 , 0.931956 , -1.10668e-005
-0.355193 , 0.925893 , -1.0287e-005
-0.371466 , 0.919546 , -9.49638e-006
-0.387624 , 0.912917 , -8.69524e-006
-0.403664 , 0.906007 , -7.88381e-006
-0.41958 , 0.898819 , -7.06235e-006
-0.435367 , 0.891355 , -6.23113e-006
-0.451021 , 0.883618 , -5.39044e-006
-0.466537 , 0.87561 , -4.54058e-006
-0.48191 , 0.867334 , -3.68184e-006
-0.497135 , 0.858793 , -2.81454e-006
-0.512208 , 0.849988 , -1.93901e-006
-0.527125 , 0.840924 , -1.05559e-006
-0.54188 , 0.831603 , -1.64621e-007
-0.556469 , 0.822028 , 7.33527e-007
-0.570889 , 0.812202 , 1.63848e-006
-0.585134 , 0.802128 , 2.54986e-006
-0.599201 , 0.79181 , 3.46725e-006
-0.613085 , 0.781251 , 4.39025e-006
-0.626782 , 0.770455 , 5.31843e-006
-0.640288 , 0.759424 , 6.25133e-006
-0.653599 , 0.748162 , 7.18849e-006
-0.666712 , 0.736674 , 8.12943e-006
-0.679622 , 0.724963 , 9.07366e-006
-0.692327 , 0.713032 , 1.00206e-005
-0.704821 , 0.700885 , 1.09698e-005
-0.717102 , 0.688527 , 1.19206e-005
-0.729166 , 0.675961 , 1.28723e-005
-0.741011 , 0.663192 , 1.38244e-005
-0.752632 , 0.650223 , 1.4776e-005
-0.764026 , 0.637058 , 1.57264e-005
-0.775192 , 0.623702 , 1.66744e-005
-0.786125 , 0.61016 , 1.76189e-005
-0.796823 , 0.596436 , 1.85545e-005
-0.807286 , 0.582534 , 1.94765e-005
-0.817511 , 0.56846 , 2.03801e-005
-0.827496 , 0.554218 , 2.12608e-005
-0.83724 , 0.539814 , 2.21141e-005
-0.846741 , 0.525251 , 2.29353e-005
-0.855997 , 0.510535 , 2.37203e-005
-0.865008 , 0.49567 , 2.44646e-005
-0.873772 , 0.48066 , 2.51641e-005
-0.882287 , 0.465511 , 2.58144e-005
-0.890553 , 0.450227 , 2.64116e-005
-0.898568 , 0.434813 , 2.69516e-005
-0.906331 , 0.419272 , 2.74303e-005
-0.913842 , 0.403611 , 2.7844e-005
-0.921099 , 0.387832 , 2.81886e-005
-0.928102 , 0.371941 , 2.84604e-005
-0.93485 , 0.355942 , 2.86557e-005
-0.941342 , 0.339839 , 2.87709e-005
-0.947578 , 0.323638 , 2.88022e-005
-0.953557 , 0.307341 , 2.87463e-005
-0.959279 , 0.290954 , 2.85994e-005
-0.964742 , 0.274481 , 2.83583e-005
-0.969948 , 0.257926 , 2.80196e-005
-0.974895 , 0.241294 , 2.75799e-005
-0.979584 , 0.224588 , 2.70359e-005
-0.984013 , 0.207813 , 2.63846e-005
-0.988184 , 0.190973 , 2.56226e-005
-0.992095 , 0.174072 , 2.4747e-005
-0.995747 , 0.157114 , 2.37546e-005
-0.99914 , 0.140103 , 2.26424e-005
-1.00227 , 0.123044 , 2.14076e-005
-1.00515 , 0.10594 , 2.00473e-005
-1.00776 , 0.0887956 , 1.85585e-005
-1.01012 , 0.0716144 , 1.69385e-005
-1.01222 , 0.0544004 , 1.51845e-005
-1.01406 , 0.0371575 , 1.3294e-005
-1.01564 , 0.0198896 , 1.12641e-005
-1.01697 , 0.00260066 , 9.0923e-006
-1.01804 , -0.0147056 , 6.77607e-006
-1.01885 , -0.0320255 , 4.31288e-006
-1.01941 , -0.049355 , 1.70025e-006
-1.01971 , -0.0666906 , -1.06422e-006
-1.01975 , -0.0840285 , -3.98293e-006
-1.01954 , -0.101365 , -7.05821e-006
-1.01908 , -0.118697 , -1.02923e-005
-1.01837 , -0.136019 , -1.36876e-005
-1.0174 , -0.15333 , -1.72462e-005
-1.01618 , -0.170625 , -2.09702e-005
-1.01471 , -0.1879 , -2.48619e-005
-1.01299 , -0.205152 , -2.89234e-005
-1.01102 , -0.222378 , -3.31565e-005
-1.00881 , -0.239574 , -3.75635e-005
-1.00634 , -0.256737 , -4.21462e-005
-1.00363 , -0.273863 , -4.69067e-005
-1.00068 , -0.290948 , -5.18467e-005
-0.997477 , -0.30799 , -5.69682e-005
-0.994034 , -0.324986 , -6.22731e-005
-0.990349 , -0.34193 , -6.7763e-005
-0.986423 , -0.358822 , -7.34398e-005
-0.982257 , -0.375656 , -7.93051e-005
-0.977852 , -0.39243 , -8.53608e-005
-0.97321 , -0.409141 , -9.16083e-005
-0.968331 , -0.425786 , -9.80495e-005
-0.963217 , -0.44236 , -0.000104686
-0.95787 , -0.458862 , -0.000111519
-0.95229 , -0.475287 , -0.00011855
-0.946479 , -0.491633 , -0.000125781
-0.940438 , -0.507897 , -0.000133213
-0.934168 , -0.524075 , -0.000140848
-0.927671 , -0.540165 , -0.000148687
-0.920949 , -0.556163 , -0.000156731
-0.914003 , -0.572066 , -0.000164982
-0.906834 , -0.587872 , -0.000173441
-0.899444 , -0.603577 , -0.000182109
-0.891834 , -0.619178 , -0.000190988
-0.884006 , -0.634673 , -0.000200079
-0.875962 , -0.650058 , -0.000209383
-0.867703 , -0.665331 , -0.000218901
-0.859231 , -0.680488 , -0.000228634
-0.850547 , -0.695527 , -0.000238584
-0.841654 , -0.710445 , -0.000248751
-0.832552 , -0.725238 , -0.000259136
-0.823244 , -0.739905 , -0.000269741
-0.813732 , -0.754442 , -0.000280567
-0.804016 , -0.768847 , -0.000291614
-0.7941 , -0.783117 , -0.000302884
-0.783985 , -0.797248 , -0.000314377
-0.773672 , -0.811238 , -0.000326094
-0.763164 , -0.825086 , -0.000338036
-0.752463 , -0.838786 , -0.000350204
-0.741571 , -0.852338 , -0.000362598
-0.730489 , -0.865738 , -0.00037522
-0.719219 , -0.878984 , -0.000388071
-0.707765 , -0.892073 , -0.00040115
-0.696126 , -0.905002 , -0.000414458
-0.684307 , -0.917769 , -0.000427997
-0.672309 , -0.930371 , -0.000441766
-0.660134 , -0.942806 , -0.000455767
-0.647784 , -0.95507 , -0.00047
-0.635262 , -0.967162 , -0.000484465
