x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00347003 , 0.00676138 , 2.13804e-005
-0.00267326 , 0.00518884 , 1.66675e-005
-0.000858453 , 0.00164025 , 5.60721e-006
0.0332619 , -0.0636347 , -0.000216465
0.0673817 , -0.128909 , -0.000438534
0.101501 , -0.194182 , -0.000660602
0.135621 , -0.259456 , -0.00088267
0.169741 , -0.32473 , -0.00110474
0.203861 , -0.390003 , -0.00132681
0.23798 , -0.455277 , -0.00154887
0.2721 , -0.520551 , -0.00177094
0.30622 , -0.585824 , -0.00199301
0.340339 , -0.651098 , -0.00221508
0.374459 , -0.716372 , -0.00243715
0.408579 , -0.781645 , -0.00265921
0.442698 , -0.846919 , -0.00288128
0.476818 , -0.912193 , -0.00310335
0.510938 , -0.977466 , -0.00332542
0.545057 , -1.04274 , -0.00354749
0.579177 , -1.10801 , -0.00376955
0.613297 , -1.17329 , -0.00399162
0.647416 , -1.23856 , -0.00421369
0.681536 , -1.30383 , -0.00443576
0.715656 , -1.36911 , -0.00465783
0.749776 , -1.43438 , -0.00487989
0.783895 , -1.49966 , -0.00510196
0.818015 , -1.56493 , -0.00532403
0.852135 , -1.6302 , -0.0055461
0.886254 , -1.69548 , -0.00576817
0.920374 , -1.76075 , -0.00599023
0.954494 , -1.82602 , -0.0062123
0.988613 , -1.8913 , -0.00643437
1.02273 , -1.95657 , -0.00665644
1.05685 , -2.02184 , -0.00687851
1.09097 , -2.08712 , -0.00710057
1.12509 , -2.15239 , -0.00732264
1.15921 , -2.21767 , -0.00754471
1.19333 , -2.28294 , -0.00776678
1.22745 , -2.34821 , -0.00798885
1.26157 , -2.41349 , -0.00821091
1.29569 , -2.47876 , -0.00843298
1.32981 , -2.54403 , -0.00865505
1.36393 , -2.60931 , -0.00887712
1.39805 , -2.67458 , -0.00909919
1.43217 , -2.73985 , -0.00932125
1.46629 , -2.80513 , -0.00954332
1.50041 , -2.8704 , -0.00976539
1.53453 , -2.93568 , -0.00998746
1.56865 , -3.00095 , -0.0102095
1.60277 , -3.06622 , -0.0104316
1.63689 , -3.1315 , -0.0106537
1.67101 , -3.19677 , -0.0108757
1.70513 , -3.26204 , -0.0110978
1.73925 , -3.32732 , -0.0113199
1.77337 , -3.39259 , -0.0115419
1.80749 , -3.45787 , -0.011764
1.84161 , -3.52314 , -0.0119861
1.87573 , -3.58841 , -0.0122081
1.90984 , -3.65369 , -0.0124302
1.94396 , -3.71896 , -0.0126523
1.97808 , -3.78423 , -0.0128743
2.0122 , -3.84951 , -0.0130964
2.04632 , -3.91478 , -0.0133185
2.08044 , -3.98005 , -0.0135405
2.11456 , -4.04533 , -0.0137626
2.14868 , -4.1106 , -0.0139847
2.1828 , -4.17588 , -0.0142067
2.21692 , -4.24115 , -0.0144288
2.25104 , -4.30642 , -0.0146509
2.28516 , -4.3717 , -0.014873
2.31928 , -4.43697 , -0.015095
2.3534 , -4.50224 , -0.0153171
2.38752 , -4.56752 , -0.0155392
2.42164 , -4.63279 , -0.0157612
2.45576 , -4.69806 , -0.0159833
2.48988 , -4.76334 , -0.0162054
2.524 , -4.82861 , -0.0164274
2.55812 , -4.89389 , -0.0166495
2.59224 , -4.95916 , -0.0168716
2.62636 , -5.02443 , -0.0170936
2.66048 , -5.08971 , -0.0173157
2.6946 , -5.15498 , -0.0175378
2.72872 , -5.22025 , -0.0177598
2.76284 , -5.28553 , -0.0179819
2.79696 , -5.3508 , -0.018204
2.83108 , -5.41607 , -0.018426
2.8652 , -5.48135 , -0.0186481
2.89932 , -5.54662 , -0.0188702
2.93344 , -5.6119 , -0.0190922
2.96756 , -5.67717 , -0.0193143
3.00167 , -5.74244 , -0.0195364
3.03579 , -5.80772 , -0.0197584
3.06991 , -5.87299 , -0.0199805
3.10403 , -5.93826 , -0.0202026
3.13815 , -6.00354 , -0.0204247
3.17227 , -6.06881 , -0.0206467
3.20639 , -6.13408 , -0.0208688
3.24051 , -6.19936 , -0.0210909
3.27463 , -6.26463 , -0.0213129
3.30875 , -6.32991 , -0.021535
3.34287 , -6.39518 , -0.0217571
3.37699 , -6.46045 , -0.0219791
3.41111 , -6.52573 , -0.0222012
3.44523 , -6.591 , -0.0224233
3.47935 , -6.65627 , -0.0226453
3.51347 , -6.72155 , -0.0228674
3.54759 , -6.78682 , -0.0230895
3.58171 , -6.85209 , -0.0233115
3.61583 , -6.91737 , -0.0235336
3.64995 , -6.98264 , -0.0237557
3.68407 , -7.04792 , -0.0239777
3.71819 , -7.11319 , -0.0241998
3.75231 , -7.17846 , -0.0244219
3.78643 , -7.24374 , -0.0246439
3.82055 , -7.30901 , -0.024866
3.85467 , -7.37428 , -0.0250881
3.88879 , -7.43956 , -0.0253101
3.92291 , -7.50483 , -0.0255322
3.95703 , -7.57011 , -0.0257543
3.99115 , -7.63538 , -0.0259764
4.02527 , -7.70065 , -0.0261984
4.05938 , -7.76593 , -0.0264205
4.0935 , -7.8312 , -0.0266426
4.12762 , -7.89647 , -0.0268646
4.16174 , -7.96175 , -0.0270867
4.19586 , -8.02702 , -0.0273088
4.22998 , -8.09229 , -0.0275308
4.2641 , -8.15757 , -0.0277529
4.29822 , -8.22284 , -0.027975
4.33234 , -8.28812 , -0.028197
4.36646 , -8.35339 , -0.0284191
4.40058 , -8.41866 , -0.0286412
4.4347 , -8.48394 , -0.0288632
4.46882 , -8.54921 , -0.0290853
4.50294 , -8.61448 , -0.0293074
4.53706 , -8.67976 , -0.0295294
4.57118 , -8.74503 , -0.0297515
4.6053 , -8.8103 , -0.0299736
4.63942 , -8.87558 , -0.0301956
4.67354 , -8.94085 , -0.0304177
4.70766 , -9.00613 , -0.0306398
4.74178 , -9.0714 , -0.0308618
4.7759 , -9.13667 , -0.0310839
4.81002 , -9.20195 , -0.031306
4.84414 , -9.26722 , -0.031528
4.87826 , -9.33249 , -0.0317501
4.91238 , -9.39777 , -0.0319722
4.9465 , -9.46304 , -0.0321943
4.98062 , -9.52831 , -0.0324163
5.01474 , -9.59359 , -0.0326384
5.04886 , -9.65886 , -0.0328605
5.08298 , -9.72414 , -0.0330825
5.1171 , -9.78941 , -0.0333046
5.15121 , -9.85468 , -0.0335267
5.18533 , -9.91996 , -0.0337487
5.21945 , -9.98523 , -0.0339708
5.25357 , -10.0505 , -0.0341929
5.28769 , -10.1158 , -0.0344149
5.32181 , -10.1811 , -0.034637
5.35593 , -10.2463 , -0.0348591
5.39005 , -10.3116 , -0.0350811
5.42417 , -10.3769 , -0.0353032
5.45829 , -10.4421 , -0.0355253
5.49241 , -10.5074 , -0.0357473
5.52653 , -10.5727 , -0.0359694
5.56065 , -10.638 , -0.0361915
5.59477 , -10.7032 , -0.0364135
5.62889 , -10.7685 , -0.0366356
5.66301 , -10.8338 , -0.0368577
5.69713 , -10.8991 , -0.0370797
5.73125 , -10.9643 , -0.0373018
5.76537 , -11.0296 , -0.0375239
5.79949 , -11.0949 , -0.037746
5.83361 , -11.1602 , -0.037968
5.86773 , -11.2254 , -0.0381901
5.90185 , -11.2907 , -0.0384122
5.93597 , -11.356 , -0.0386342
5.97009 , -11.4213 , -0.0388563
6.00421 , -11.4865 , -0.0390784
6.03833 , -11.5518 , -0.0393004
6.07245 , -11.6171 , -0.0395225
6.10657 , -11.6823 , -0.0397446
6.14069 , -11.7476 , -0.0399666
6.17481 , -11.8129 , -0.0401887
6.20893 , -11.8782 , -0.0404108
6.24304 , -11.9434 , -0.0406328
6.27716 , -12.0087 , -0.0408549
6.31128 , -12.074 , -0.041077
6.3454 , -12.1393 , -0.041299
6.37952 , -12.2045 , -0.0415211
6.41364 , -12.2698 , -0.0417432
6.44776 , -12.3351 , -0.0419652
6.48188 , -12.4004 , -0.0421873
6.516 , -12.4656 , -0.0424094
6.55012 , -12.5309 , -0.0426314
6.58424 , -12.5962 , -0.0428535
6.61836 , -12.6614 , -0.0430756
6.65248 , -12.7267 , -0.0432977
6.6866 , -12.792 , -0.0435197
6.72072 , -12.8573 , -0.0437418
6.75484 , -12.9225 , -0.0439639
6.78896 , -12.9878 , -0.0441859
6.82308 , -13.0531 , -0.044408
6.8572 , -13.1184 , -0.0446301
6.89132 , -13.1836 , -0.0448521
6.92544 , -13.2489 , -0.0450742
6.95956 , -13.3142 , -0.0452963
6.99368 , -13.3795 , -0.0455183
7.0278 , -13.4447 , -0.0457404
7.06192 , -13.51 , -0.0459625
7.09604 , -13.5753 , -0.0461845
7.13016 , -13.6406 , -0.0464066
7.16428 , -13.7058 , -0.0466287
7.1984 , -13.7711 , -0.0468507
7.23252 , -13.8364 , -0.0470728
7.26664 , -13.9016 , -0.0472949
7.30076 , -13.9669 , -0.0475169
7.33487 , -14.0322 , -0.047739
7.36899 , -14.0975 , -0.0479611
7.40311 , -14.1627 , -0.0481831
7.43723 , -14.228 , -0.0484052
7.47135 , -14.2933 , -0.0486273
7.50547 , -14.3586 , -0.0488494
7.53959 , -14.4238 , -0.0490714
7.57371 , -14.4891 , -0.0492935
7.60783 , -14.5544 , -0.0495156
7.64195 , -14.6197 , -0.0497376
