x , y , z
0 , 0 , 0
4.42068e-010 , 0 , 0
-2.2621e+009 , 3.79579e-012 , 0
-4.52419e+009 , 7.59157e-012 , 0
-6.78629e+009 , 1.13874e-011 , 0
-9.04839e+009 , 1.51831e-011 , 0
-1.13105e+010 , 1.89789e-011 , 0
-1.35726e+010 , 2.27747e-011 , 0
-1.58347e+010 , 2.65705e-011 , 0
-1.80968e+010 , 3.03663e-011 , 0
-2.03589e+010 , 3.41621e-011 , 0
-2.2621e+010 , 3.79579e-011 , 0
-2.48831e+010 , 4.17536e-011 , 0
-2.71452e+010 , 4.55494e-011 , 0
-2.94073e+010 , 4.93452e-011 , 0
-3.16694e+010 , 5.3141e-011 , 0
-3.39315e+010 , 5.69368e-011 , 0
-3.61935e+010 , 6.07326e-011 , 0
-3.84556e+010 , 6.45283e-011 , 0
-4.07177e+010 , 6.83241e-011 , 0
-4.29798e+010 , 7.21199e-011 , 0
-4.52419e+010 , 7.59157e-011 , 0
-4.7504e+010 , 7.97115e-011 , 0
-4.97661e+010 , 8.35073e-011 , 0
-5.20282e+010 , 8.73031e-011 , 0
-5.42903e+010 , 9.10988e-011 , 0
-5.65524e+010 , 9.48946e-011 , 0
-5.88145e+010 , 9.86904e-011 , 0
-6.10766e+010 , 1.02486e-010 , 0
-6.33387e+010 , 1.06282e-010 , 0
-6.56008e+010 , 1.10078e-010 , 0
-6.78629e+010 , 1.13874e-010 , 0
-7.0125e+010 , 1.17669e-010 , 0
-7.23871e+010 , 1.21465e-010 , 0
-7.46492e+010 , 1.25261e-010 , 0
-7.69113e+010 , 1.29057e-010 , 0
-7.91734e+010 , 1.32852e-010 , 0
-8.14355e+010 , 1.36648e-010 , 0
-8.36976e+010 , 1.40444e-010 , 0
-8.59597e+010 , 1.4424e-010 , 0
-8.82218e+010 , 1.48036e-010 , 0
-9.04839e+010 , 1.51831e-010 , 0
-9.2746e+010 , 1.55627e-010 , 0
-9.50081e+010 , 1.59423e-010 , 0
-9.72702e+010 , 1.63219e-010 , 0
-9.95323e+010 , 1.67015e-010 , 0
-1.01794e+011 , 1.7081e-010 , 0
-1.04056e+011 , 1.74606e-010 , 0
-1.06319e+011 , 1.78402e-010 , 0
-1.08581e+011 , 1.82198e-010 , 0
-1.10843e+011 , 1.85993e-010 , 0
-1.13105e+011 , 1.89789e-010 , 0
-1.15367e+011 , 1.93585e-010 , 0
-1.17629e+011 , 1.97381e-010 , 0
-1.19891e+011 , 2.01177e-010 , 0
-1.22153e+011 , 2.04972e-010 , 0
-1.24415e+011 , 2.08768e-010 , 0
-1.26677e+011 , 2.12564e-010 , 0
-1.2894e+011 , 2.1636e-010 , 0
-1.31202e+011 , 2.20156e-010 , 0
-1.33464e+011 , 2.23951e-010 , 0
-1.35726e+011 , 2.27747e-010 , 0
-1.37988e+011 , 2.31543e-010 , 0
-1.4025e+011 , 2.35339e-010 , 0
-1.42512e+011 , 2.39134e-010 , 0
-1.44774e+011 , 2.4293e-010 , 0
-1.47036e+011 , 2.46726e-010 , 0
-1.49298e+011 , 2.50522e-010 , 0
-1.5156e+011 , 2.54318e-010 , 0
-1.53823e+011 , 2.58113e-010 , 0
-1.56085e+011 , 2.61909e-010 , 0
-1.58347e+011 , 2.65705e-010 , 0
-1.60609e+011 , 2.69501e-010 , 0
-1.62871e+011 , 2.73297e-010 , 0
-1.65133e+011 , 2.77092e-010 , 0
-1.67395e+011 , 2.80888e-010 , 0
-1.69657e+011 , 2.84684e-010 , 0
-1.71919e+011 , 2.8848e-010 , 0
-1.74181e+011 , 2.92275e-010 , 0
-1.76444e+011 , 2.96071e-010 , 0
-1.78706e+011 , 2.99867e-010 , 0
-1.80968e+011 , 3.03663e-010 , 0
-1.8323e+011 , 3.07459e-010 , 0
-1.85492e+011 , 3.11254e-010 , 0
-1.87754e+011 , 3.1505e-010 , 0
-1.90016e+011 , 3.18846e-010 , 0
-1.92278e+011 , 3.22642e-010 , 0
-1.9454e+011 , 3.26438e-010 , 0
-1.96802e+011 , 3.30233e-010 , 0
-1.99065e+011 , 3.34029e-010 , 0
-2.01327e+011 , 3.37825e-010 , 0
-2.03589e+011 , 3.41621e-010 , 0
-2.05851e+011 , 3.45416e-010 , 0
-2.08113e+011 , 3.49212e-010 , 0
-2.10375e+011 , 3.53008e-010 , 0
-2.12637e+011 , 3.56804e-010 , 0
-2.14899e+011 , 3.606e-010 , 0
-2.17161e+011 , 3.64395e-010 , 0
-2.19423e+011 , 3.68191e-010 , 0
-2.21685e+011 , 3.71987e-010 , 0
-2.23948e+011 , 3.75783e-010 , 0
-2.2621e+011 , 3.79579e-010 , 0
-2.28472e+011 , 3.83374e-010 , 0
-2.30734e+011 , 3.8717e-010 , 0
-2.32996e+011 , 3.90966e-010 , 0
-2.35258e+011 , 3.94762e-010 , 0
-2.3752e+011 , 3.98557e-010 , 0
-2.39782e+011 , 4.02353e-010 , 0
-2.42044e+011 , 4.06149e-010 , 0
-2.44306e+011 , 4.09945e-010 , 0
