x , y , z
0 , 0 , 0
4.42068e-010 , 0 , 0
-2.2621e+009 , 1.04308e-011 , 0
-4.52419e+009 , 2.08617e-011 , 0
-6.78629e+009 , 3.12925e-011 , 0
-9.04839e+009 , 4.17234e-011 , 0
-1.13105e+010 , 5.21542e-011 , 0
-1.35726e+010 , 6.2585e-011 , 0
-1.58347e+010 , 7.30159e-011 , 0
-1.80968e+010 , 8.34467e-011 , 0
-2.03589e+010 , 9.38776e-011 , 0
-2.2621e+010 , 1.04308e-010 , 0
-2.48831e+010 , 1.14739e-010 , 0
-2.71452e+010 , 1.2517e-010 , 0
-2.94073e+010 , 1.35601e-010 , 0
-3.16694e+010 , 1.46032e-010 , 0
-3.39315e+010 , 1.56463e-010 , 0
-3.61935e+010 , 1.66893e-010 , 0
-3.84556e+010 , 1.77324e-010 , 0
-4.07177e+010 , 1.87755e-010 , 0
-4.29798e+010 , 1.98186e-010 , 0
-4.52419e+010 , 2.08617e-010 , 0
-4.7504e+010 , 2.19048e-010 , 0
-4.97661e+010 , 2.29479e-010 , 0
-5.20282e+010 , 2.39909e-010 , 0
-5.42903e+010 , 2.5034e-010 , 0
-5.65524e+010 , 2.60771e-010 , 0
-5.88145e+010 , 2.71202e-010 , 0
-6.10766e+010 , 2.81633e-010 , 0
-6.33387e+010 , 2.92064e-010 , 0
-6.56008e+010 , 3.02494e-010 , 0
-6.78629e+010 , 3.12925e-010 , 0
-7.0125e+010 , 3.23356e-010 , 0
-7.23871e+010 , 3.33787e-010 , 0
-7.46492e+010 , 3.44218e-010 , 0
-7.69113e+010 , 3.54649e-010 , 0
-7.91734e+010 , 3.65079e-010 , 0
-8.14355e+010 , 3.7551e-010 , 0
-8.36976e+010 , 3.85941e-010 , 0
-8.59597e+010 , 3.96372e-010 , 0
-8.82218e+010 , 4.06803e-010 , 0
-9.04839e+010 , 4.17234e-010 , 0
-9.2746e+010 , 4.27664e-010 , 0
-9.50081e+010 , 4.38095e-010 , 0
-9.72702e+010 , 4.48526e-010 , 0
-9.95323e+010 , 4.58957e-010 , 0
-1.01794e+011 , 4.69388e-010 , 0
-1.04056e+011 , 4.79819e-010 , 0
-1.06319e+011 , 4.9025e-010 , 0
-1.08581e+011 , 5.0068e-010 , 0
-1.10843e+011 , 5.11111e-010 , 0
-1.13105e+011 , 5.21542e-010 , 0
-1.15367e+011 , 5.31973e-010 , 0
-1.17629e+011 , 5.42404e-010 , 0
-1.19891e+011 , 5.52835e-010 , 0
-1.22153e+011 , 5.63265e-010 , 0
-1.24415e+011 , 5.73696e-010 , 0
-1.26677e+011 , 5.84127e-010 , 0
-1.2894e+011 , 5.94558e-010 , 0
-1.31202e+011 , 6.04989e-010 , 0
-1.33464e+011 , 6.1542e-010 , 0
-1.35726e+011 , 6.2585e-010 , 0
-1.37988e+011 , 6.36281e-010 , 0
-1.4025e+011 , 6.46712e-010 , 0
-1.42512e+011 , 6.57143e-010 , 0
-1.44774e+011 , 6.67574e-010 , 0
-1.47036e+011 , 6.78005e-010 , 0
-1.49298e+011 , 6.88436e-010 , 0
-1.5156e+011 , 6.98866e-010 , 0
-1.53823e+011 , 7.09297e-010 , 0
-1.56085e+011 , 7.19728e-010 , 0
-1.58347e+011 , 7.30159e-010 , 0
-1.60609e+011 , 7.4059e-010 , 0
-1.62871e+011 , 7.51021e-010 , 0
-1.65133e+011 , 7.61451e-010 , 0
-1.67395e+011 , 7.71882e-010 , 0
-1.69657e+011 , 7.82313e-010 , 0
-1.71919e+011 , 7.92744e-010 , 0
-1.74181e+011 , 8.03175e-010 , 0
-1.76444e+011 , 8.13606e-010 , 0
-1.78706e+011 , 8.24036e-010 , 0
-1.80968e+011 , 8.34467e-010 , 0
-1.8323e+011 , 8.44898e-010 , 0
-1.85492e+011 , 8.55329e-010 , 0
-1.87754e+011 , 8.6576e-010 , 0
-1.90016e+011 , 8.76191e-010 , 0
-1.92278e+011 , 8.86621e-010 , 0
-1.9454e+011 , 8.97052e-010 , 0
-1.96802e+011 , 9.07483e-010 , 0
-1.99065e+011 , 9.17914e-010 , 0
-2.01327e+011 , 9.28345e-010 , 0
-2.03589e+011 , 9.38776e-010 , 0
-2.05851e+011 , 9.49207e-010 , 0
-2.08113e+011 , 9.59637e-010 , 0
-2.10375e+011 , 9.70068e-010 , 0
-2.12637e+011 , 9.80499e-010 , 0
-2.14899e+011 , 9.9093e-010 , 0
-2.17161e+011 , 1.00136e-009 , 0
-2.19423e+011 , 1.01179e-009 , 0
-2.21685e+011 , 1.02222e-009 , 0
-2.23948e+011 , 1.03265e-009 , 0
-2.2621e+011 , 1.04308e-009 , 0
-2.28472e+011 , 1.05351e-009 , 0
-2.30734e+011 , 1.06395e-009 , 0
-2.32996e+011 , 1.07438e-009 , 0
-2.35258e+011 , 1.08481e-009 , 0
-2.3752e+011 , 1.09524e-009 , 0
-2.39782e+011 , 1.10567e-009 , 0
-2.42044e+011 , 1.1161e-009 , 0
-2.44306e+011 , 1.12653e-009 , 0
