rx , ry , rz
1 , 0 , 0
1 , 0 , 0
0.999705 , 0.0171672 , 0
0.999116 , 0.0343293 , 0
0.998232 , 0.0514813 , 0
0.997053 , 0.0686181 , 0
0.99558 , 0.0857346 , 0
0.993813 , 0.102826 , 0
0.991752 , 0.119887 , 0
0.989398 , 0.136912 , 0
0.986751 , 0.153897 , 0
0.983812 , 0.170836 , 0
0.980583 , 0.187725 , 0
0.977062 , 0.204558 , 0
0.973253 , 0.221331 , 0
0.969155 , 0.238038 , 0
0.964769 , 0.254674 , 0
0.960097 , 0.271235 , 0
0.955141 , 0.287715 , 0
0.9499 , 0.30411 , 0
0.944378 , 0.320415 , 0
0.938575 , 0.336624 , 0
0.932493 , 0.352734 , 0
0.926134 , 0.368738 , 0
0.919499 , 0.384633 , 0
0.91259 , 0.400413 , 0
0.90541 , 0.416074 , 0
0.89796 , 0.431611 , 0
0.890242 , 0.44702 , 0
0.882259 , 0.462295 , 0
0.874013 , 0.477432 , 0
0.865506 , 0.492427 , 0
0.856741 , 0.507275 , 0
0.84772 , 0.521971 , 0
0.838445 , 0.536512 , 0
0.82892 , 0.550892 , 0
0.819148 , 0.565107 , 0
0.80913 , 0.579154 , 0
0.798871 , 0.593027 , 0
0.788372 , 0.606723 , 0
0.777637 , 0.620237 , 0
0.76667 , 0.633566 , 0
0.755473 , 0.646704 , 0
0.744049 , 0.659649 , 0
0.732403 , 0.672396 , 0
0.720536 , 0.684942 , 0
0.708454 , 0.697282 , 0
0.696159 , 0.709413 , 0
0.683655 , 0.721331 , 0
0.670946 , 0.733032 , 0
0.658036 , 0.744513 , 0
0.644927 , 0.755771 , 0
0.631625 , 0.766801 , 0
0.618133 , 0.777601 , 0
0.604455 , 0.788168 , 0
0.590596 , 0.798497 , 0
0.576559 , 0.808586 , 0
0.562348 , 0.818431 , 0
0.547968 , 0.82803 , 0
0.533423 , 0.83738 , 0
0.518717 , 0.846478 , 0
0.503855 , 0.855321 , 0
0.488842 , 0.863906 , 0
0.473681 , 0.872231 , 0
0.458377 , 0.880293 , 0
0.442935 , 0.88809 , 0
0.42736 , 0.895619 , 0
0.411656 , 0.902877 , 0
0.395827 , 0.909864 , 0
0.379879 , 0.916576 , 0
0.363817 , 0.923011 , 0
0.347644 , 0.929168 , 0
0.331367 , 0.935044 , 0
0.31499 , 0.940638 , 0
0.298517 , 0.945948 , 0
0.281955 , 0.950973 , 0
0.265307 , 0.95571 , 0
0.248579 , 0.960159 , 0
0.231777 , 0.964317 , 0
0.214904 , 0.968185 , 0
0.197966 , 0.971759 , 0
0.180968 , 0.97504 , 0
0.163916 , 0.978027 , 0
0.146814 , 0.980718 , 0
0.129668 , 0.983112 , 0
0.112482 , 0.98521 , 0
0.0952628 , 0.987009 , 0
0.0780146 , 0.98851 , 0
0.0607428 , 0.989713 , 0
0.0434526 , 0.990616 , 0
0.0261493 , 0.99122 , 0
0.0088381 , 0.991524 , 0
-0.00847579 , 0.991528 , 0
-0.0257871 , 0.991233 , 0
-0.0430906 , 0.990638 , 0
-0.0603811 , 0.989744 , 0
-0.0776534 , 0.98855 , 0
-0.0949022 , 0.987058 , 0
-0.112122 , 0.985267 , 0
-0.129308 , 0.983178 , 0
-0.146456 , 0.980793 , 0
-0.163558 , 0.978111 , 0
-0.180612 , 0.975133 , 0
-0.197611 , 0.971861 , 0
-0.21455 , 0.968295 , 0
-0.231424 , 0.964436 , 0
-0.248229 , 0.960287 , 0
-0.264958 , 0.955847 , 0
-0.281608 , 0.951118 , 0
-0.298172 , 0.946103 , 0
-0.314646 , 0.940801 , 0
-0.331026 , 0.935216 , 0
-0.347305 , 0.929348 , 0
-0.36348 , 0.9232 , 0
-0.379545 , 0.916774 , 0
-0.395496 , 0.91007 , 0
-0.411327 , 0.903093 , 0
-0.427034 , 0.895843 , 0
-0.442612 , 0.888322 , 0
-0.458057 , 0.880535 , 0
-0.473364 , 0.872481 , 0
-0.488528 , 0.864165 , 0
-0.503546 , 0.855588 , 0
-0.518411 , 0.846754 , 0
-0.53312 , 0.837665 , 0
-0.547669 , 0.828323 , 0
-0.562053 , 0.818732 , 0
-0.576268 , 0.808895 , 0
-0.590309 , 0.798815 , 0
-0.604173 , 0.788494 , 0
-0.617856 , 0.777936 , 0
-0.631352 , 0.767144 , 0
-0.644659 , 0.756122 , 0
-0.657772 , 0.744873 , 0
-0.670688 , 0.7334 , 0
-0.683402 , 0.721707 , 0
-0.695911 , 0.709797 , 0
-0.708212 , 0.697674 , 0
-0.7203 , 0.685342 , 0
-0.732172 , 0.672804 , 0
-0.743824 , 0.660065 , 0
-0.755254 , 0.647128 , 0
-0.766457 , 0.633997 , 0
-0.777431 , 0.620676 , 0
-0.788172 , 0.60717 , 0
-0.798677 , 0.593481 , 0
-0.808944 , 0.579615 , 0
-0.818968 , 0.565576 , 0
-0.828748 , 0.551368 , 0
-0.83828 , 0.536995 , 0
-0.847561 , 0.522462 , 0
-0.85659 , 0.507772 , 0
-0.865362 , 0.492931 , 0
-0.873877 , 0.477943 , 0
-0.882131 , 0.462813 , 0
-0.890122 , 0.447544 , 0
-0.897848 , 0.432143 , 0
-0.905306 , 0.416612 , 0
-0.912495 , 0.400957 , 0
-0.919412 , 0.385183 , 0
-0.926056 , 0.369295 , 0
-0.932424 , 0.353296 , 0
-0.938515 , 0.337193 , 0
-0.944327 , 0.320989 , 0
-0.949858 , 0.30469 , 0
-0.955108 , 0.288301 , 0
-0.960074 , 0.271826 , 0
-0.964755 , 0.25527 , 0
-0.969151 , 0.238639 , 0
-0.973259 , 0.221936 , 0
-0.977078 , 0.205169 , 0
-0.980608 , 0.18834 , 0
-0.983848 , 0.171456 , 0
-0.986797 , 0.15452 , 0
-0.989454 , 0.13754 , 0
-0.991819 , 0.120518 , 0
-0.99389 , 0.103461 , 0
-0.995668 , 0.0863735 , 0
-0.997152 , 0.0692604 , 0
-0.998342 , 0.0521268 , 0
-0.999237 , 0.0349779 , 0
-0.999838 , 0.0178186 , 0
-1.00014 , 0.000654114 , 0
-1.00015 , -0.0165106 , 0
-0.999872 , -0.0336704 , 0
-0.999294 , -0.0508204 , 0
-0.998423 , -0.0679553 , 0
-0.997257 , -0.0850703 , 0
-0.995799 , -0.10216 , 0
-0.994048 , -0.11922 , 0
-0.992006 , -0.136245 , 0
-0.989672 , -0.15323 , 0
-0.987047 , -0.17017 , 0
-0.984134 , -0.18706 , 0
-0.980931 , -0.203896 , 0
-0.977441 , -0.220671 , 0
-0.973665 , -0.237382 , 0
-0.969604 , -0.254023 , 0
-0.965259 , -0.27059 , 0
-0.960632 , -0.287078 , 0
-0.955724 , -0.303482 , 0
-0.950536 , -0.319797 , 0
-0.945071 , -0.336019 , 0
-0.939329 , -0.352143 , 0
-0.933314 , -0.368164 , 0
-0.927026 , -0.384077 , 0
-0.920468 , -0.399878 , 0
-0.913641 , -0.415563 , 0
-0.906548 , -0.431127 , 0
-0.899191 , -0.446565 , 0
-0.891572 , -0.461873 , 0
-0.883694 , -0.477046 , 0
-0.875558 , -0.492081 , 0
-0.867168 , -0.506973 , 0
-0.858525 , -0.521717 , 0
-0.849633 , -0.53631 , 0
-0.840494 , -0.550746 , 0
-0.831111 , -0.565023 , 0
-0.821487 , -0.579136 , 0
-0.811624 , -0.59308 , 0
-0.801526 , -0.606853 , 0
-0.791195 , -0.620449 , 0
-0.780635 , -0.633866 , 0
-0.769849 , -0.647099 , 0
-0.758839 , -0.660144 , 0
-0.74761 , -0.672998 , 0
-0.736165 , -0.685658 , 0
-0.724506 , -0.698119 , 0
-0.712637 , -0.710377 , 0
-0.700563 , -0.722431 , 0
-0.688286 , -0.734275 , 0
-0.675809 , -0.745907 , 0
-0.663138 , -0.757324 , 0
-0.650275 , -0.768522 , 0
-0.637224 , -0.779497 , 0
-0.623989 , -0.790248 , 0
-0.610574 , -0.800771 , 0
-0.596983 , -0.811062 , 0
-0.583219 , -0.821119 , 0
-0.569287 , -0.83094 , 0
-0.555191 , -0.840521 , 0
-0.540935 , -0.849859 , 0
-0.526523 , -0.858953 , 0
-0.51196 , -0.867799 , 0
-0.497249 , -0.876395 , 0
-0.482394 , -0.884739 , 0
-0.467401 , -0.892827 , 0
-0.452273 , -0.900659 , 0
-0.437015 , -0.908231 , 0
-0.421631 , -0.915542 , 0
-0.406125 , -0.92259 , 0
-0.390503 , -0.929372 , 0
-0.374769 , -0.935886 , 0
-0.358926 , -0.942132 , 0
-0.342981 , -0.948106 , 0
-0.326937 , -0.953808 , 0
-0.310799 , -0.959236 , 0
-0.294571 , -0.964388 , 0
-0.278259 , -0.969262 , 0
-0.261867 , -0.973859 , 0
-0.2454 , -0.978175 , 0
-0.228862 , -0.98221 , 0
-0.212258 , -0.985963 , 0
-0.195594 , -0.989433 , 0
-0.178873 , -0.992618 , 0
-0.162101 , -0.995519 , 0
-0.145282 , -0.998133 , 0
-0.128421 , -1.00046 , 0
-0.111524 , -1.0025 , 0
-0.0945947 , -1.00425 , 0
-0.0776382 , -1.00572 , 0
-0.0606594 , -1.00689 , 0
-0.0436632 , -1.00778 , 0
-0.0266544 , -1.00838 , 0
-0.00963798 , -1.00869 , 0
0.00738121 , -1.0087 , 0
0.0243983 , -1.00843 , 0
0.0414083 , -1.00787 , 0
0.0584065 , -1.00702 , 0
0.0753879 , -1.00588 , 0
0.0923477 , -1.00445 , 0
0.109281 , -1.00273 , 0
0.126183 , -1.00073 , 0
0.143048 , -0.998436 , 0
0.159873 , -0.995857 , 0
0.176651 , -0.992992 , 0
0.193379 , -0.989841 , 0
0.210052 , -0.986406 , 0
0.226664 , -0.982688 , 0
0.24321 , -0.978687 , 0
0.259687 , -0.974405 , 0
0.27609 , -0.969844 , 0
0.292413 , -0.965003 , 0
0.308652 , -0.959885 , 0
0.324802 , -0.954491 , 0
0.340858 , -0.948822 , 0
0.356817 , -0.942881 , 0
0.372673 , -0.936668 , 0
0.388422 , -0.930186 , 0
0.404059 , -0.923437 , 0
0.41958 , -0.916421 , 0
0.43498 , -0.909142 , 0
0.450255 , -0.901601 , 0
0.4654 , -0.893801 , 0
0.480412 , -0.885743 , 0
0.495284 , -0.877429 , 0
0.510014 , -0.868864 , 0
0.524598 , -0.860047 , 0
0.539029 , -0.850983 , 0
0.553306 , -0.841674 , 0
0.567423 , -0.832121 , 0
0.581376 , -0.822329 , 0
0.595162 , -0.812299 , 0
0.608775 , -0.802035 , 0
0.622213 , -0.79154 , 0
0.635472 , -0.780816 , 0
0.648546 , -0.769866 , 0
0.661434 , -0.758694 , 0
0.67413 , -0.747302 , 0
0.686631 , -0.735695 , 0
0.698934 , -0.723875 , 0
0.711035 , -0.711845 , 0
0.722929 , -0.69961 , 0
0.734615 , -0.687172 , 0
0.746088 , -0.674535 , 0
0.757345 , -0.661702 , 0
0.768382 , -0.648678 , 0
0.779197 , -0.635466 , 0
0.789785 , -0.62207 , 0
0.800145 , -0.608493 , 0
0.810273 , -0.59474 , 0
0.820165 , -0.580814 , 0
0.829819 , -0.566719 , 0
0.839232 , -0.55246 , 0
0.848402 , -0.53804 , 0
0.857325 , -0.523464 , 0
0.865998 , -0.508736 , 0
0.87442 , -0.49386 , 0
0.882587 , -0.47884 , 0
0.890497 , -0.46368 , 0
0.898148 , -0.448386 , 0
0.905537 , -0.432961 , 0
0.912662 , -0.41741 , 0
0.919522 , -0.401737 , 0
0.926113 , -0.385947 , 0
0.932433 , -0.370044 , 0
0.938482 , -0.354033 , 0
0.944257 , -0.337919 , 0
0.949755 , -0.321706 , 0
0.954976 , -0.3054 , 0
0.959918 , -0.289003 , 0
0.964579 , -0.272523 , 0
0.968958 , -0.255962 , 0
0.973053 , -0.239327 , 0
0.976863 , -0.222621 , 0
0.980386 , -0.205851 , 0
0.983623 , -0.189019 , 0
0.986571 , -0.172133 , 0
0.989229 , -0.155196 , 0
0.991597 , -0.138213 , 0
0.993674 , -0.12119 , 0
0.995459 , -0.104131 , 0
0.996951 , -0.0870419 , 0
0.99815 , -0.0699269 , 0
0.999055 , -0.0527914 , 0
0.999667 , -0.0356403 , 0
0.999984 , -0.0184787 , 0
1.00001 , -0.00131166 , 0
0.999734 , 0.0158558 , 0
0.999167 , 0.0330185 , 0
0.998306 , 0.0501715 , 0
0.997149 , 0.0673097 , 0
0.995699 , 0.084428 , 0
0.993954 , 0.101521 , 0
0.991916 , 0.118585 , 0
0.989584 , 0.135613 , 0
