x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.178737 , 0.974997 , -1.78953e-005
-0.187317 , 0.973358 , -1.75617e-005
-0.195882 , 0.971644 , -1.72249e-005
-0.204432 , 0.969856 , -1.6885e-005
-0.212967 , 0.967993 , -1.65419e-005
-0.221486 , 0.966055 , -1.61958e-005
-0.229988 , 0.964043 , -1.58465e-005
-0.238472 , 0.961957 , -1.54942e-005
-0.246938 , 0.959797 , -1.51388e-005
-0.255385 , 0.957563 , -1.47804e-005
-0.263812 , 0.955255 , -1.44189e-005
-0.27222 , 0.952874 , -1.40544e-005
-0.280606 , 0.950419 , -1.3687e-005
-0.288971 , 0.947891 , -1.33166e-005
-0.297314 , 0.94529 , -1.29432e-005
-0.305634 , 0.942617 , -1.2567e-005
-0.313931 , 0.93987 , -1.21878e-005
-0.322204 , 0.937051 , -1.18057e-005
-0.330452 , 0.93416 , -1.14208e-005
-0.338674 , 0.931197 , -1.1033e-005
-0.346871 , 0.928163 , -1.06424e-005
-0.355041 , 0.925057 , -1.0249e-005
-0.363183 , 0.921879 , -9.85283e-006
-0.371298 , 0.918631 , -9.45389e-006
-0.379384 , 0.915311 , -9.05222e-006
-0.387441 , 0.911921 , -8.64783e-006
-0.395468 , 0.908461 , -8.24075e-006
-0.403465 , 0.904931 , -7.831e-006
-0.411431 , 0.901331 , -7.41861e-006
-0.419365 , 0.897662 , -7.0036e-006
-0.427267 , 0.893923 , -6.58598e-006
-0.435136 , 0.890116 , -6.16579e-006
-0.442971 , 0.88624 , -5.74304e-006
-0.450772 , 0.882296 , -5.31777e-006
-0.458539 , 0.878283 , -4.89e-006
-0.46627 , 0.874203 , -4.45974e-006
-0.473966 , 0.870056 , -4.02703e-006
-0.481624 , 0.865842 , -3.59188e-006
-0.489246 , 0.861561 , -3.15434e-006
-0.49683 , 0.857213 , -2.71441e-006
-0.504375 , 0.8528 , -2.27213e-006
-0.511882 , 0.84832 , -1.82751e-006
-0.51935 , 0.843776 , -1.3806e-006
-0.526777 , 0.839166 , -9.31401e-007
-0.534163 , 0.834492 , -4.79954e-007
-0.541509 , 0.829754 , -2.62816e-008
-0.548812 , 0.824951 , 4.2959e-007
-0.556074 , 0.820085 , 8.87633e-007
-0.563292 , 0.815156 , 1.34782e-006
-0.570467 , 0.810165 , 1.81013e-006
-0.577598 , 0.80511 , 2.27453e-006
-0.584684 , 0.799994 , 2.74099e-006
-0.591726 , 0.794817 , 3.20949e-006
-0.598721 , 0.789578 , 3.68e-006
-0.605671 , 0.784278 , 4.15249e-006
-0.612574 , 0.778918 , 4.62694e-006
-0.619429 , 0.773498 , 5.10331e-006
-0.626237 , 0.768019 , 5.58157e-006
-0.632996 , 0.762481 , 6.06171e-006
-0.639707 , 0.756884 , 6.54368e-006
-0.646368 , 0.751229 , 7.02747e-006
-0.65298 , 0.745516 , 7.51303e-006
-0.659541 , 0.739746 , 8.00035e-006
-0.666051 , 0.733918 , 8.4894e-006
-0.67251 , 0.728035 , 8.98014e-006
-0.678916 , 0.722096 , 9.47254e-006
-0.685271 , 0.716101 , 9.96658e-006
-0.691573 , 0.710051 , 1.04622e-005
-0.697821 , 0.703947 , 1.09595e-005
-0.704016 , 0.697789 , 1.14582e-005
-0.710156 , 0.691577 , 1.19585e-005
-0.716242 , 0.685312 , 1.24603e-005
-0.722272 , 0.678995 , 1.29635e-005
-0.728247 , 0.672625 , 1.34682e-005
-0.734166 , 0.666204 , 1.39742e-005
-0.740028 , 0.659732 , 1.44816e-005
-0.745833 , 0.65321 , 1.49904e-005
-0.751581 , 0.646637 , 1.55004e-005
-0.75727 , 0.640015 , 1.60118e-005
-0.762902 , 0.633344 , 1.65243e-005
-0.768475 , 0.626625 , 1.70381e-005
-0.773988 , 0.619857 , 1.75531e-005
-0.779442 , 0.613042 , 1.80692e-005
-0.784836 , 0.606181 , 1.85864e-005
-0.79017 , 0.599272 , 1.91047e-005
-0.795443 , 0.592319 , 1.96241e-005
-0.800654 , 0.58532 , 2.01445e-005
-0.805804 , 0.578276 , 2.06658e-005
-0.810893 , 0.571188 , 2.11882e-005
-0.815918 , 0.564057 , 2.17115e-005
-0.820881 , 0.556882 , 2.22356e-005
-0.825781 , 0.549665 , 2.27606e-005
-0.830618 , 0.542406 , 2.32865e-005
-0.835391 , 0.535106 , 2.38132e-005
-0.840099 , 0.527765 , 2.43406e-005
-0.844743 , 0.520384 , 2.48688e-005
-0.849322 , 0.512964 , 2.53977e-005
-0.853836 , 0.505504 , 2.59272e-005
-0.858285 , 0.498006 , 2.64574e-005
-0.862668 , 0.49047 , 2.69882e-005
