x , y , z
0.522349 , -5.19358 , 0.00985376
0.526048 , -5.19302 , 0.00976866
0.529748 , -5.19246 , 0.00968357
0.533447 , -5.1919 , 0.00959847
0.537146 , -5.19133 , 0.00951336
0.540844 , -5.19076 , 0.00942825
0.544543 , -5.19019 , 0.00934313
0.548241 , -5.18961 , 0.00925801
0.551939 , -5.18904 , 0.00917288
0.555636 , -5.18846 , 0.00908775
0.559333 , -5.18787 , 0.00900261
0.56303 , -5.18729 , 0.00891747
0.566727 , -5.1867 , 0.00883233
0.570423 , -5.18611 , 0.00874718
0.574119 , -5.18551 , 0.00866203
0.577815 , -5.18492 , 0.00857687
0.58151 , -5.18432 , 0.0084917
0.585205 , -5.18372 , 0.00840654
0.5889 , -5.18311 , 0.00832137
0.592595 , -5.1825 , 0.00823619
0.596289 , -5.18189 , 0.00815101
0.599983 , -5.18128 , 0.00806582
0.603676 , -5.18067 , 0.00798064
0.607369 , -5.18005 , 0.00789544
0.611062 , -5.17943 , 0.00781025
0.614755 , -5.1788 , 0.00772505
0.618447 , -5.17818 , 0.00763984
0.622139 , -5.17755 , 0.00755463
0.625831 , -5.17692 , 0.00746942
0.629522 , -5.17628 , 0.0073842
0.633213 , -5.17565 , 0.00729898
0.636904 , -5.17501 , 0.00721376
0.640594 , -5.17437 , 0.00712853
0.644284 , -5.17372 , 0.0070433
0.647974 , -5.17307 , 0.00695807
0.651663 , -5.17242 , 0.00687283
0.655352 , -5.17177 , 0.00678759
0.659041 , -5.17111 , 0.00670234
0.662729 , -5.17046 , 0.00661709
0.666417 , -5.1698 , 0.00653184
0.670105 , -5.16913 , 0.00644658
0.673792 , -5.16847 , 0.00636132
0.677479 , -5.1678 , 0.00627606
0.681166 , -5.16713 , 0.00619079
0.684852 , -5.16645 , 0.00610553
0.688538 , -5.16577 , 0.00602025
0.692224 , -5.16509 , 0.00593498
0.695909 , -5.16441 , 0.0058497
0.699593 , -5.16373 , 0.00576442
0.703278 , -5.16304 , 0.00567913
0.706962 , -5.16235 , 0.00559385
0.710646 , -5.16166 , 0.00550856
0.714329 , -5.16096 , 0.00542326
0.718012 , -5.16026 , 0.00533797
0.721694 , -5.15956 , 0.00525267
0.725377 , -5.15886 , 0.00516737
0.729058 , -5.15815 , 0.00508207
0.73274 , -5.15744 , 0.00499676
0.736421 , -5.15673 , 0.00491145
0.740102 , -5.15602 , 0.00482614
0.743782 , -5.1553 , 0.00474083
0.747462 , -5.15458 , 0.00465551
0.751141 , -5.15386 , 0.00457019
0.754821 , -5.15313 , 0.00448487
0.758499 , -5.1524 , 0.00439955
0.762178 , -5.15167 , 0.00431422
0.765855 , -5.15094 , 0.00422889
0.769533 , -5.1502 , 0.00414356
0.77321 , -5.14947 , 0.00405823
0.776887 , -5.14872 , 0.00397289
0.780563 , -5.14798 , 0.00388756
0.784239 , -5.14723 , 0.00380222
0.787915 , -5.14648 , 0.00371688
0.79159 , -5.14573 , 0.00363154
0.795264 , -5.14498 , 0.00354619
0.798939 , -5.14422 , 0.00346085
0.802613 , -5.14346 , 0.0033755
0.806286 , -5.1427 , 0.00329015
0.809959 , -5.14193 , 0.0032048
0.813632 , -5.14116 , 0.00311944
0.817304 , -5.14039 , 0.00303409
0.820976 , -5.13962 , 0.00294873
0.824647 , -5.13884 , 0.00286338
0.828318 , -5.13807 , 0.00277802
0.831988 , -5.13728 , 0.00269266
0.835658 , -5.1365 , 0.00260729
0.839328 , -5.13571 , 0.00252193
0.842997 , -5.13492 , 0.00243657
0.846666 , -5.13413 , 0.0023512
0.850334 , -5.13334 , 0.00226583
0.854002 , -5.13254 , 0.00218047
0.857669 , -5.13174 , 0.0020951
0.861336 , -5.13094 , 0.00200973
0.865002 , -5.13013 , 0.00192436
0.868668 , -5.12932 , 0.00183898
0.872334 , -5.12851 , 0.00175361
0.875999 , -5.1277 , 0.00166824
0.879664 , -5.12688 , 0.00158286
0.883328 , -5.12606 , 0.00149748
0.886992 , -5.12524 , 0.00141211
0.890655 , -5.12442 , 0.00132673
0.894318 , -5.12359 , 0.00124135
0.89798 , -5.12276 , 0.00115597
0.901642 , -5.12193 , 0.00107059
0.905303 , -5.12109 , 0.000985215
