x , y , z
-1.32391 , -0.878318 , 0.0138521
-1.31973 , -0.883503 , 0.0136411
-1.31554 , -0.888672 , 0.0134299
-1.31132 , -0.893824 , 0.0132184
-1.30707 , -0.89896 , 0.0130067
-1.30281 , -0.90408 , 0.0127947
-1.29851 , -0.909182 , 0.0125825
-1.2942 , -0.914268 , 0.0123701
-1.28986 , -0.919336 , 0.0121575
-1.28549 , -0.924388 , 0.0119446
-1.28111 , -0.929422 , 0.0117315
-1.2767 , -0.934439 , 0.0115182
-1.27226 , -0.939438 , 0.0113046
-1.2678 , -0.94442 , 0.0110909
-1.26332 , -0.949384 , 0.0108769
-1.25882 , -0.95433 , 0.0106628
-1.25429 , -0.959258 , 0.0104484
-1.24974 , -0.964168 , 0.0102339
-1.24516 , -0.96906 , 0.0100192
-1.24056 , -0.973934 , 0.00980425
-1.23594 , -0.97879 , 0.00958915
-1.2313 , -0.983627 , 0.00937387
-1.22663 , -0.988445 , 0.00915841
-1.22194 , -0.993245 , 0.00894278
-1.21722 , -0.998026 , 0.00872699
-1.21249 , -1.00279 , 0.00851103
-1.20773 , -1.00753 , 0.00829491
-1.20295 , -1.01225 , 0.00807863
-1.19814 , -1.01696 , 0.0078622
-1.19331 , -1.02164 , 0.00764563
-1.18846 , -1.02631 , 0.00742891
-1.18359 , -1.03096 , 0.00721205
-1.1787 , -1.03558 , 0.00699505
-1.17378 , -1.04019 , 0.00677792
-1.16884 , -1.04478 , 0.00656066
-1.16388 , -1.04934 , 0.00634328
-1.1589 , -1.05389 , 0.00612577
-1.15389 , -1.05841 , 0.00590816
-1.14886 , -1.06292 , 0.00569042
-1.14381 , -1.06741 , 0.00547258
-1.13874 , -1.07187 , 0.00525464
-1.13365 , -1.07631 , 0.00503659
-1.12854 , -1.08074 , 0.00481845
-1.1234 , -1.08514 , 0.00460022
-1.11824 , -1.08952 , 0.0043819
-1.11306 , -1.09388 , 0.00416349
-1.10786 , -1.09822 , 0.00394501
-1.10264 , -1.10254 , 0.00372645
-1.0974 , -1.10683 , 0.00350782
-1.09213 , -1.11111 , 0.00328912
-1.08685 , -1.11536 , 0.00307035
-1.08154 , -1.11959 , 0.00285153
-1.07621 , -1.1238 , 0.00263266
-1.07086 , -1.12799 , 0.00241373
-1.06549 , -1.13215 , 0.00219475
-1.0601 , -1.1363 , 0.00197574
-1.05469 , -1.14042 , 0.00175669
-1.04926 , -1.14451 , 0.0015376
-1.04381 , -1.14859 , 0.00131848
-1.03834 , -1.15264 , 0.00109934
-1.03285 , -1.15667 , 0.000880174
-1.02733 , -1.16068 , 0.000660994
-1.0218 , -1.16466 , 0.000441801
-1.01625 , -1.16862 , 0.000222601
-1.01068 , -1.17256 , 3.39622e-006
-1.00508 , -1.17648 , -0.000215808
-0.999471 , -1.18037 , -0.000435007
-0.993839 , -1.18424 , -0.000654197
-0.988187 , -1.18808 , -0.000873373
-0.982516 , -1.1919 , -0.00109253
-0.976825 , -1.1957 , -0.00131167
-0.971115 , -1.19947 , -0.00153078
-0.965386 , -1.20322 , -0.00174985
-0.959637 , -1.20694 , -0.0019689
-0.95387 , -1.21064 , -0.0021879
-0.948083 , -1.21432 , -0.00240686
-0.942278 , -1.21797 , -0.00262577
-0.936454 , -1.2216 , -0.00284462
-0.930611 , -1.2252 , -0.00306342
-0.924749 , -1.22877 , -0.00328216
-0.918869 , -1.23233 , -0.00350083
-0.912971 , -1.23585 , -0.00371943
-0.907054 , -1.23936 , -0.00393795
-0.901119 , -1.24283 , -0.00415639
-0.895165 , -1.24629 , -0.00437475
-0.889194 , -1.24971 , -0.00459302
-0.883205 , -1.25311 , -0.00481119
-0.877198 , -1.25649 , -0.00502927
-0.871173 , -1.25984 , -0.00524724
-0.86513 , -1.26316 , -0.00546511
-0.85907 , -1.26646 , -0.00568286
-0.852993 , -1.26973 , -0.0059005
-0.846898 , -1.27298 , -0.00611802
-0.840786 , -1.2762 , -0.00633541
-0.834657 , -1.27939 , -0.00655266
-0.828511 , -1.28256 , -0.00676979
-0.822347 , -1.2857 , -0.00698677
-0.816167 , -1.28881 , -0.00720361
-0.809971 , -1.2919 , -0.00742031
-0.803757 , -1.29496 , -0.00763684
-0.797527 , -1.298 , -0.00785322
-0.791281 , -1.301 , -0.00806944
-0.785019 , -1.30398 , -0.00828549
-0.77874 , -1.30694 , -0.00850136
-0.772445 , -1.30986 , -0.00871706
-0.766134 , -1.31276 , -0.00893258
-0.759808 , -1.31563 , -0.00914791
-0.753465 , -1.31847 , -0.00936305
-0.747107 , -1.32129 , -0.00957799
-0.740734 , -1.32407 , -0.00979273
-0.734345 , -1.32683 , -0.0100073
-0.727941 , -1.32957 , -0.0102216
-0.721521 , -1.33227 , -0.0104357
-0.715087 , -1.33494 , -0.0106496
-0.708637 , -1.33759 , -0.0108633
-0.702173 , -1.34021 , -0.0110767
-0.695694 , -1.3428 , -0.0112899
-0.689201 , -1.34536 , -0.0115029
-0.682693 , -1.3479 , -0.0117156
-0.67617 , -1.3504 , -0.0119281
-0.669634 , -1.35288 , -0.0121403
-0.663083 , -1.35533 , -0.0123522
-0.656518 , -1.35774 , -0.0125639
-0.64994 , -1.36013 , -0.0127754
-0.643347 , -1.36249 , -0.0129865
-0.636741 , -1.36482 , -0.0131974
-0.630122 , -1.36713 , -0.013408
