x , y , z
-0.0671335 , -0.453405 , -0.0318246
-0.0560006 , -0.454269 , -0.0329166
-0.0448296 , -0.454796 , -0.0339846
-0.0336286 , -0.454985 , -0.0350278
-0.0224057 , -0.454834 , -0.0360452
-0.0111691 , -0.454343 , -0.037036
7.29458e-005 , -0.453509 , -0.0379993
0.0113121 , -0.452332 , -0.0389344
0.0225399 , -0.450811 , -0.0398403
0.0337478 , -0.448945 , -0.0407161
0.0449273 , -0.446733 , -0.0415611
0.0560695 , -0.444173 , -0.0423743
0.0671656 , -0.441267 , -0.0431548
0.0782066 , -0.438012 , -0.0439019
0.0891835 , -0.43441 , -0.0446147
0.100087 , -0.430459 , -0.0452922
0.110908 , -0.426159 , -0.0459337
0.121636 , -0.42151 , -0.0465382
0.132263 , -0.416514 , -0.0471049
0.142778 , -0.411169 , -0.047633
0.153171 , -0.405477 , -0.0481214
0.163432 , -0.399438 , -0.0485695
0.173551 , -0.393054 , -0.0489762
0.183517 , -0.386325 , -0.0493408
0.19332 , -0.379252 , -0.0496623
0.202949 , -0.371838 , -0.04994
0.212392 , -0.364084 , -0.0501729
0.221639 , -0.355993 , -0.0503601
0.230678 , -0.347567 , -0.0505009
0.239497 , -0.338808 , -0.0505944
0.248085 , -0.329719 , -0.0506397
0.256428 , -0.320305 , -0.050636
0.264516 , -0.310568 , -0.0505825
0.272336 , -0.300514 , -0.0504783
0.279874 , -0.290146 , -0.0503228
0.287118 , -0.279469 , -0.0501151
0.294055 , -0.26849 , -0.0498545
0.300671 , -0.257214 , -0.0495402
0.306953 , -0.245648 , -0.0491716
0.312888 , -0.233799 , -0.0487479
0.318461 , -0.221675 , -0.0482686
0.323658 , -0.209284 , -0.047733
0.328466 , -0.196635 , -0.0471407
0.33287 , -0.183738 , -0.046491
0.336856 , -0.170604 , -0.0457836
0.340409 , -0.157245 , -0.0450181
0.343516 , -0.143671 , -0.0441941
0.346161 , -0.129898 , -0.0433114
0.348331 , -0.115937 , -0.0423699
0.350012 , -0.101806 , -0.0413695
0.351189 , -0.087519 , -0.0403102
0.351849 , -0.073094 , -0.0391922
0.351978 , -0.058549 , -0.0380157
0.351563 , -0.0439032 , -0.036781
0.350592 , -0.0291773 , -0.0354888
0.349053 , -0.0143927 , -0.0341397
0.346935 , 0.000427522 , -0.0327345
0.344226 , 0.0152595 , -0.0312742
0.340918 , 0.0300779 , -0.02976
0.337001 , 0.0448562 , -0.0281933
0.332469 , 0.0595669 , -0.0265756
0.327314 , 0.074181 , -0.0249087
0.321532 , 0.0886688 , -0.0231947
0.315121 , 0.102999 , -0.0214357
0.308077 , 0.11714 , -0.0196341
0.300402 , 0.131059 , -0.0177928
0.292097 , 0.144723 , -0.0159147
0.283168 , 0.158096 , -0.0140029
0.273621 , 0.171146 , -0.012061
0.263464 , 0.183835 , -0.0100925
0.252709 , 0.196131 , -0.00810133
0.241371 , 0.207997 , -0.00609171
0.229465 , 0.2194 , -0.00406795
0.217011 , 0.230305 , -0.00203456
0.204031 , 0.24068 , 3.74484e-006
0.190549 , 0.250492 , 0.00204211
0.176593 , 0.259711 , 0.00407558
0.162191 , 0.268309 , 0.00609909
0.147376 , 0.276258 , 0.00810752
0.132182 , 0.283534 , 0.0100957
0.116645 , 0.290114 , 0.0120586
0.100802 , 0.29598 , 0.0139911
0.0846935 , 0.301114 , 0.0158881
0.0683591 , 0.305501 , 0.0177449
0.0518408 , 0.309133 , 0.0195568
0.0351807 , 0.312 , 0.0213192
0.0184214 , 0.314098 , 0.0230279
0.0016053 , 0.315426 , 0.0246789
-0.0152251 , 0.315985 , 0.0262684
-0.0320282 , 0.315781 , 0.0277929
-0.048763 , 0.314821 , 0.0292495
-0.0653896 , 0.313115 , 0.0306352
-0.0818697 , 0.310677 , 0.0319476
-0.0981662 , 0.307522 , 0.0331846
-0.114244 , 0.303669 , 0.0343444
-0.130069 , 0.299136 , 0.0354256
-0.145611 , 0.293946 , 0.036427
-0.16084 , 0.288121 , 0.0373479
-0.175728 , 0.281686 , 0.0381877
-0.190251 , 0.274666 , 0.0389462
-0.204386 , 0.267089 , 0.0396234
-0.218111 , 0.25898 , 0.0402198
-0.231408 , 0.250368 , 0.0407357
-0.244261 , 0.241281 , 0.0411721
-0.256655 , 0.231746 , 0.0415297
-0.268577 , 0.221791 , 0.0418097
-0.280016 , 0.211445 , 0.0420134
-0.290963 , 0.200734 , 0.0421423
-0.30141 , 0.189687 , 0.0421978
-0.311353 , 0.178329 , 0.0421816
-0.320785 , 0.166687 , 0.0420954
-0.329704 , 0.154787 , 0.041941
-0.338108 , 0.142654 , 0.0417203
-0.345996 , 0.130312 , 0.0414352
-0.353369 , 0.117784 , 0.0410877
-0.360227 , 0.105093 , 0.0406797
-0.366574 , 0.0922615 , 0.0402132
-0.372411 , 0.0793108 , 0.0396903
-0.377743 , 0.0662612 , 0.0391129
-0.382574 , 0.0531325 , 0.0384831
-0.386909 , 0.0399437 , 0.0378029
-0.390753 , 0.026713 , 0.0370743
-0.394113 , 0.013458 , 0.0362991
-0.396994 , 0.000195431 , 0.0354795
-0.399403 , -0.0130586 , 0.0346173
-0.401347 , -0.0262887 , 0.0337144
-0.402834 , -0.0394801 , 0.0327727
-0.403871 , -0.0526187 , 0.0317941
-0.404465 , -0.065691 , 0.0307802
-0.404625 , -0.078684 , 0.0297331
-0.404359 , -0.0915854 , 0.0286542
-0.403674 , -0.104384 , 0.0275455
-0.40258 , -0.117067 , 0.0264085
-0.401084 , -0.129625 , 0.0252449
-0.399194 , -0.142047 , 0.0240564
-0.39692 , -0.154324 , 0.0228444
-0.39427 , -0.166446 , 0.0216106
-0.391251 , -0.178404 , 0.0203564
-0.387873 , -0.190189 , 0.0190833
-0.384144 , -0.201794 , 0.0177928
-0.380072 , -0.21321 , 0.0164863
-0.375666 , -0.22443 , 0.0151651
-0.370935 , -0.235446 , 0.0138307
-0.365886 , -0.246253 , 0.0124844
-0.360528 , -0.256842 , 0.0111274
-0.354869 , -0.267209 , 0.009761
-0.348918 , -0.277347 , 0.00838652
-0.342683 , -0.28725 , 0.00700516
-0.336171 , -0.296912 , 0.00561811
-0.329392 , -0.306329 , 0.00422656
-0.322352 , -0.315494 , 0.00283166
-0.315061 , -0.324405 , 0.00143454
-0.307525 , -0.333054 , 3.63335e-005
-0.299754 , -0.341439 , -0.00136187
-0.291755 , -0.349555 , -0.002759
-0.283535 , -0.357397 , -0.00415397
-0.275103 , -0.364961 , -0.00554576
-0.266467 , -0.372245 , -0.00693332
-0.257634 , -0.379243 , -0.00831565
-0.248612 , -0.385953 , -0.00969174
-0.239408 , -0.392371 , -0.0110606
-0.230031 , -0.398494 , -0.0124213
-0.220488 , -0.404318 , -0.0137727
-0.210787 , -0.409841 , -0.0151141
-0.200935 , -0.415059 , -0.0164444
-0.19094 , -0.419969 , -0.0177627
-0.18081 , -0.42457 , -0.0190681
-0.170552 , -0.428858 , -0.0203596
-0.160174 , -0.43283 , -0.0216364
-0.149684 , -0.436485 , -0.0228976
-0.139088 , -0.43982 , -0.0241421
-0.128396 , -0.442832 , -0.0253693
-0.117615 , -0.44552 , -0.0265781
-0.106751 , -0.447881 , -0.0277677
-0.0958145 , -0.449914 , -0.0289373
-0.0848115 , -0.451616 , -0.0300859
-0.0737503 , -0.452986 , -0.0312126
-0.0626389 , -0.454021 , -0.0323167
-0.0514852 , -0.454721 , -0.0333972
-0.0402971 , -0.455083 , -0.0344533
-0.0290829 , -0.455107 , -0.0354841
-0.0178506 , -0.45479 , -0.0364887
-0.00660851 , -0.454132 , -0.0374664
0.00463514 , -0.453131 , -0.0384162
0.0158719 , -0.451787 , -0.0393372
0.0270934 , -0.450097 , -0.0402287
0.0382909 , -0.448061 , -0.0410897
0.0494558 , -0.44568 , -0.0419194
0.0605792 , -0.44295 , -0.0427169
0.0716524 , -0.439873 , -0.0434814
0.0826661 , -0.436448 , -0.044212
0.0936113 , -0.432674 , -0.0449078
0.104479 , -0.428551 , -0.045568
0.115259 , -0.42408 , -0.0461916
0.125942 , -0.41926 , -0.0467779
0.136518 , -0.414091 , -0.0473259
0.146978 , -0.408575 , -0.0478348
0.157312 , -0.402711 , -0.0483037
0.167508 , -0.3965 , -0.0487317
0.177557 , -0.389945 , -0.049118
0.187448 , -0.383045 , -0.0494617
0.197171 , -0.375802 , -0.0497619
0.206714 , -0.368218 , -0.0500177
