x , y , z
29.239 , -6.35975 , -0.542876
29.2393 , -6.35821 , -0.542915
29.2397 , -6.35667 , -0.542954
29.24 , -6.35513 , -0.542993
29.2403 , -6.35359 , -0.543033
29.2406 , -6.35205 , -0.543072
29.2409 , -6.35051 , -0.543111
29.2413 , -6.34897 , -0.54315
29.2416 , -6.34743 , -0.54319
29.2419 , -6.34589 , -0.543229
29.2422 , -6.34435 , -0.543268
29.2426 , -6.34281 , -0.543307
29.2429 , -6.34127 , -0.543347
29.2432 , -6.33973 , -0.543386
29.2435 , -6.33819 , -0.543425
29.2438 , -6.33665 , -0.543464
29.2442 , -6.33511 , -0.543504
29.2445 , -6.33357 , -0.543543
29.2448 , -6.33203 , -0.543582
29.2451 , -6.33049 , -0.543621
29.2454 , -6.32895 , -0.543661
29.2458 , -6.32741 , -0.5437
29.2461 , -6.32587 , -0.543739
29.2464 , -6.32433 , -0.543778
29.2467 , -6.32279 , -0.543818
29.247 , -6.32125 , -0.543857
29.2474 , -6.31971 , -0.543896
29.2477 , -6.31817 , -0.543935
29.248 , -6.31663 , -0.543975
29.2483 , -6.31509 , -0.544014
29.2486 , -6.31355 , -0.544053
29.249 , -6.31201 , -0.544092
29.2493 , -6.31047 , -0.544131
29.2496 , -6.30893 , -0.544171
29.2499 , -6.30739 , -0.54421
29.2502 , -6.30585 , -0.544249
29.2506 , -6.30431 , -0.544288
29.2509 , -6.30277 , -0.544327
29.2512 , -6.30123 , -0.544367
29.2515 , -6.29969 , -0.544406
29.2518 , -6.29815 , -0.544445
29.2522 , -6.29661 , -0.544484
29.2525 , -6.29507 , -0.544524
29.2528 , -6.29353 , -0.544563
29.2531 , -6.29199 , -0.544602
29.2534 , -6.29045 , -0.544641
29.2538 , -6.28891 , -0.54468
29.2541 , -6.28737 , -0.54472
29.2544 , -6.28583 , -0.544759
29.2547 , -6.28429 , -0.544798
29.255 , -6.28275 , -0.544837
29.2554 , -6.28121 , -0.544876
29.2557 , -6.27967 , -0.544915
29.256 , -6.27813 , -0.544955
29.2563 , -6.27658 , -0.544994
29.2566 , -6.27504 , -0.545033
29.2569 , -6.2735 , -0.545072
29.2573 , -6.27196 , -0.545111
29.2576 , -6.27042 , -0.545151
29.2579 , -6.26888 , -0.54519
29.2582 , -6.26734 , -0.545229
29.2585 , -6.2658 , -0.545268
29.2588 , -6.26426 , -0.545307
29.2592 , -6.26272 , -0.545346
29.2595 , -6.26118 , -0.545386
29.2598 , -6.25964 , -0.545425
29.2601 , -6.2581 , -0.545464
29.2604 , -6.25656 , -0.545503
29.2607 , -6.25502 , -0.545542
29.2611 , -6.25347 , -0.545581
29.2614 , -6.25193 , -0.545621
29.2617 , -6.25039 , -0.54566
29.262 , -6.24885 , -0.545699
29.2623 , -6.24731 , -0.545738
29.2626 , -6.24577 , -0.545777
29.263 , -6.24423 , -0.545816
29.2633 , -6.24269 , -0.545856
29.2636 , -6.24115 , -0.545895
29.2639 , -6.23961 , -0.545934
29.2642 , -6.23807 , -0.545973
29.2645 , -6.23652 , -0.546012
29.2649 , -6.23498 , -0.546051
29.2652 , -6.23344 , -0.54609
29.2655 , -6.2319 , -0.54613
29.2658 , -6.23036 , -0.546169
29.2661 , -6.22882 , -0.546208
29.2664 , -6.22728 , -0.546247
29.2668 , -6.22574 , -0.546286
29.2671 , -6.2242 , -0.546325
29.2674 , -6.22265 , -0.546364
29.2677 , -6.22111 , -0.546404
29.268 , -6.21957 , -0.546443
29.2683 , -6.21803 , -0.546482
29.2686 , -6.21649 , -0.546521
29.269 , -6.21495 , -0.54656
29.2693 , -6.21341 , -0.546599
29.2696 , -6.21187 , -0.546638
29.2699 , -6.21032 , -0.546677
29.2702 , -6.20878 , -0.546717
29.2705 , -6.20724 , -0.546756
29.2708 , -6.2057 , -0.546795
29.2712 , -6.20416 , -0.546834
29.2715 , -6.20262 , -0.546873
29.2718 , -6.20108 , -0.546912
29.2721 , -6.19953 , -0.546951
29.2724 , -6.19799 , -0.54699
29.2727 , -6.19645 , -0.547029
29.273 , -6.19491 , -0.547069
29.2734 , -6.19337 , -0.547108
29.2737 , -6.19183 , -0.547147
29.274 , -6.19029 , -0.547186
29.2743 , -6.18874 , -0.547225
29.2746 , -6.1872 , -0.547264
29.2749 , -6.18566 , -0.547303
29.2752 , -6.18412 , -0.547342
29.2756 , -6.18258 , -0.547381
29.2759 , -6.18104 , -0.54742
29.2762 , -6.17949 , -0.54746
29.2765 , -6.17795 , -0.547499
29.2768 , -6.17641 , -0.547538
29.2771 , -6.17487 , -0.547577
29.2774 , -6.17333 , -0.547616
29.2777 , -6.17179 , -0.547655
29.2781 , -6.17024 , -0.547694
29.2784 , -6.1687 , -0.547733
29.2787 , -6.16716 , -0.547772
29.279 , -6.16562 , -0.547811
29.2793 , -6.16408 , -0.54785
29.2796 , -6.16254 , -0.547889
29.2799 , -6.16099 , -0.547929
29.2802 , -6.15945 , -0.547968
29.2806 , -6.15791 , -0.548007
29.2809 , -6.15637 , -0.548046
29.2812 , -6.15483 , -0.548085
29.2815 , -6.15328 , -0.548124
29.2818 , -6.15174 , -0.548163
29.2821 , -6.1502 , -0.548202
29.2824 , -6.14866 , -0.548241
29.2827 , -6.14712 , -0.54828
29.283 , -6.14557 , -0.548319
29.2834 , -6.14403 , -0.548358
29.2837 , -6.14249 , -0.548397
29.284 , -6.14095 , -0.548436
29.2843 , -6.13941 , -0.548475
29.2846 , -6.13786 , -0.548514
29.2849 , -6.13632 , -0.548553
29.2852 , -6.13478 , -0.548593
29.2855 , -6.13324 , -0.548632
29.2858 , -6.1317 , -0.548671
29.2862 , -6.13015 , -0.54871
29.2865 , -6.12861 , -0.548749
29.2868 , -6.12707 , -0.548788
29.2871 , -6.12553 , -0.548827
29.2874 , -6.12398 , -0.548866
29.2877 , -6.12244 , -0.548905
29.288 , -6.1209 , -0.548944
29.2883 , -6.11936 , -0.548983
29.2886 , -6.11782 , -0.549022
29.2889 , -6.11627 , -0.549061
29.2893 , -6.11473 , -0.5491
29.2896 , -6.11319 , -0.549139
29.2899 , -6.11165 , -0.549178
29.2902 , -6.1101 , -0.549217
29.2905 , -6.10856 , -0.549256
29.2908 , -6.10702 , -0.549295
29.2911 , -6.10548 , -0.549334
29.2914 , -6.10393 , -0.549373
29.2917 , -6.10239 , -0.549412
29.292 , -6.10085 , -0.549451
29.2923 , -6.09931 , -0.54949
29.2927 , -6.09776 , -0.549529
29.293 , -6.09622 , -0.549568
29.2933 , -6.09468 , -0.549607
29.2936 , -6.09314 , -0.549646
29.2939 , -6.09159 , -0.549685
29.2942 , -6.09005 , -0.549724
29.2945 , -6.08851 , -0.549763
29.2948 , -6.08697 , -0.549802
29.2951 , -6.08542 , -0.549841
29.2954 , -6.08388 , -0.54988
29.2957 , -6.08234 , -0.549919
29.296 , -6.08079 , -0.549958
29.2964 , -6.07925 , -0.549997
29.2967 , -6.07771 , -0.550036
29.297 , -6.07617 , -0.550075
29.2973 , -6.07462 , -0.550114
29.2976 , -6.07308 , -0.550153
29.2979 , -6.07154 , -0.550192
29.2982 , -6.07 , -0.550231
29.2985 , -6.06845 , -0.55027
29.2988 , -6.06691 , -0.550309
29.2991 , -6.06537 , -0.550348
29.2994 , -6.06382 , -0.550387
29.2997 , -6.06228 , -0.550426
29.3 , -6.06074 , -0.550465
29.3003 , -6.05919 , -0.550504
29.3007 , -6.05765 , -0.550543
29.301 , -6.05611 , -0.550582
29.3013 , -6.05457 , -0.550621
29.3016 , -6.05302 , -0.55066
29.3019 , -6.05148 , -0.550699
29.3022 , -6.04994 , -0.550738
29.3025 , -6.04839 , -0.550777
29.3028 , -6.04685 , -0.550816
29.3031 , -6.04531 , -0.550855
29.3034 , -6.04376 , -0.550894
29.3037 , -6.04222 , -0.550933
29.304 , -6.04068 , -0.550972
29.3043 , -6.03913 , -0.551011
29.3046 , -6.03759 , -0.55105
29.3049 , -6.03605 , -0.551088
29.3052 , -6.03451 , -0.551127
29.3055 , -6.03296 , -0.551166
29.3059 , -6.03142 , -0.551205
29.3062 , -6.02988 , -0.551244
29.3065 , -6.02833 , -0.551283
29.3068 , -6.02679 , -0.551322
29.3071 , -6.02525 , -0.551361
29.3074 , -6.0237 , -0.5514
29.3077 , -6.02216 , -0.551439
29.308 , -6.02062 , -0.551478
29.3083 , -6.01907 , -0.551517
29.3086 , -6.01753 , -0.551556
29.3089 , -6.01599 , -0.551595
29.3092 , -6.01444 , -0.551634
29.3095 , -6.0129 , -0.551673
29.3098 , -6.01135 , -0.551711
29.3101 , -6.00981 , -0.55175
29.3104 , -6.00827 , -0.551789
29.3107 , -6.00672 , -0.551828
29.311 , -6.00518 , -0.551867
29.3113 , -6.00364 , -0.551906
29.3116 , -6.00209 , -0.551945
29.3119 , -6.00055 , -0.551984
29.3122 , -5.99901 , -0.552023
29.3125 , -5.99746 , -0.552062
29.3129 , -5.99592 , -0.552101
