x , y , z
12.9729 , -31.3627 , -0.396537
12.9744 , -31.3625 , -0.396988
12.9759 , -31.3622 , -0.397439
12.9774 , -31.3619 , -0.39789
12.9788 , -31.3617 , -0.398341
12.9803 , -31.3614 , -0.398792
12.9818 , -31.3611 , -0.399243
12.9833 , -31.3609 , -0.399694
12.9848 , -31.3606 , -0.400145
12.9862 , -31.3603 , -0.400596
12.9877 , -31.3601 , -0.401046
12.9892 , -31.3598 , -0.401497
12.9907 , -31.3595 , -0.401948
12.9922 , -31.3593 , -0.402399
12.9936 , -31.359 , -0.40285
12.9951 , -31.3587 , -0.403301
12.9966 , -31.3584 , -0.403752
12.9981 , -31.3582 , -0.404203
12.9996 , -31.3579 , -0.404654
13.001 , -31.3576 , -0.405104
13.0025 , -31.3574 , -0.405555
13.004 , -31.3571 , -0.406006
13.0055 , -31.3568 , -0.406457
13.007 , -31.3566 , -0.406908
13.0084 , -31.3563 , -0.407359
13.0099 , -31.356 , -0.40781
13.0114 , -31.3558 , -0.408261
13.0129 , -31.3555 , -0.408711
13.0144 , -31.3552 , -0.409162
13.0159 , -31.355 , -0.409613
13.0173 , -31.3547 , -0.410064
13.0188 , -31.3544 , -0.410515
13.0203 , -31.3541 , -0.410966
13.0218 , -31.3539 , -0.411417
13.0233 , -31.3536 , -0.411868
13.0247 , -31.3533 , -0.412318
13.0262 , -31.3531 , -0.412769
13.0277 , -31.3528 , -0.41322
13.0292 , -31.3525 , -0.413671
13.0307 , -31.3523 , -0.414122
13.0321 , -31.352 , -0.414573
13.0336 , -31.3517 , -0.415024
13.0351 , -31.3515 , -0.415475
13.0366 , -31.3512 , -0.415925
13.0381 , -31.3509 , -0.416376
13.0395 , -31.3506 , -0.416827
13.041 , -31.3504 , -0.417278
13.0425 , -31.3501 , -0.417729
13.044 , -31.3498 , -0.41818
13.0455 , -31.3496 , -0.418631
13.0469 , -31.3493 , -0.419081
13.0484 , -31.349 , -0.419532
13.0499 , -31.3488 , -0.419983
13.0514 , -31.3485 , -0.420434
13.0529 , -31.3482 , -0.420885
13.0543 , -31.3479 , -0.421336
13.0558 , -31.3477 , -0.421787
13.0573 , -31.3474 , -0.422237
13.0588 , -31.3471 , -0.422688
13.0603 , -31.3469 , -0.423139
13.0617 , -31.3466 , -0.42359
13.0632 , -31.3463 , -0.424041
13.0647 , -31.346 , -0.424492
13.0662 , -31.3458 , -0.424943
13.0676 , -31.3455 , -0.425393
13.0691 , -31.3452 , -0.425844
13.0706 , -31.345 , -0.426295
13.0721 , -31.3447 , -0.426746
13.0736 , -31.3444 , -0.427197
13.075 , -31.3441 , -0.427648
13.0765 , -31.3439 , -0.428099
13.078 , -31.3436 , -0.428549
13.0795 , -31.3433 , -0.429
13.081 , -31.3431 , -0.429451
13.0824 , -31.3428 , -0.429902
13.0839 , -31.3425 , -0.430353
13.0854 , -31.3422 , -0.430804
13.0869 , -31.342 , -0.431254
13.0884 , -31.3417 , -0.431705
13.0898 , -31.3414 , -0.432156
13.0913 , -31.3412 , -0.432607
13.0928 , -31.3409 , -0.433058
13.0943 , -31.3406 , -0.433509
13.0958 , -31.3403 , -0.433959
13.0972 , -31.3401 , -0.43441
13.0987 , -31.3398 , -0.434861
13.1002 , -31.3395 , -0.435312
13.1017 , -31.3393 , -0.435763
13.1031 , -31.339 , -0.436214
13.1046 , -31.3387 , -0.436664
13.1061 , -31.3384 , -0.437115
13.1076 , -31.3382 , -0.437566
13.1091 , -31.3379 , -0.438017
13.1105 , -31.3376 , -0.438468
13.112 , -31.3373 , -0.438919
13.1135 , -31.3371 , -0.439369
13.115 , -31.3368 , -0.43982
13.1165 , -31.3365 , -0.440271
13.1179 , -31.3363 , -0.440722
13.1194 , -31.336 , -0.441173
13.1209 , -31.3357 , -0.441624
13.1224 , -31.3354 , -0.442074
13.1238 , -31.3352 , -0.442525
13.1253 , -31.3349 , -0.442976
13.1268 , -31.3346 , -0.443427
13.1283 , -31.3343 , -0.443878
13.1298 , -31.3341 , -0.444328
13.1312 , -31.3338 , -0.444779
13.1327 , -31.3335 , -0.44523
13.1342 , -31.3332 , -0.445681
13.1357 , -31.333 , -0.446132
13.1372 , -31.3327 , -0.446582
13.1386 , -31.3324 , -0.447033
13.1401 , -31.3321 , -0.447484
13.1416 , -31.3319 , -0.447935
13.1431 , -31.3316 , -0.448386
13.1445 , -31.3313 , -0.448837
13.146 , -31.3311 , -0.449287
13.1475 , -31.3308 , -0.449738
13.149 , -31.3305 , -0.450189
13.1505 , -31.3302 , -0.45064
13.1519 , -31.33 , -0.451091
13.1534 , -31.3297 , -0.451541
13.1549 , -31.3294 , -0.451992
13.1564 , -31.3291 , -0.452443
13.1578 , -31.3289 , -0.452894
13.1593 , -31.3286 , -0.453345
13.1608 , -31.3283 , -0.453795
13.1623 , -31.328 , -0.454246
13.1638 , -31.3278 , -0.454697
13.1652 , -31.3275 , -0.455148
13.1667 , -31.3272 , -0.455599
13.1682 , -31.3269 , -0.456049
13.1697 , -31.3267 , -0.4565
13.1712 , -31.3264 , -0.456951
13.1726 , -31.3261 , -0.457402
13.1741 , -31.3258 , -0.457853
13.1756 , -31.3256 , -0.458303
13.1771 , -31.3253 , -0.458754
13.1785 , -31.325 , -0.459205
13.18 , -31.3247 , -0.459656
13.1815 , -31.3245 , -0.460106
13.183 , -31.3242 , -0.460557
13.1844 , -31.3239 , -0.461008
13.1859 , -31.3236 , -0.461459
13.1874 , -31.3234 , -0.46191
13.1889 , -31.3231 , -0.46236
13.1904 , -31.3228 , -0.462811
13.1918 , -31.3225 , -0.463262
13.1933 , -31.3222 , -0.463713
13.1948 , -31.322 , -0.464163
13.1963 , -31.3217 , -0.464614
13.1977 , -31.3214 , -0.465065
13.1992 , -31.3211 , -0.465516
13.2007 , -31.3209 , -0.465967
13.2022 , -31.3206 , -0.466417
13.2037 , -31.3203 , -0.466868
13.2051 , -31.32 , -0.467319
13.2066 , -31.3198 , -0.46777
13.2081 , -31.3195 , -0.46822
13.2096 , -31.3192 , -0.468671
13.211 , -31.3189 , -0.469122
13.2125 , -31.3187 , -0.469573
13.214 , -31.3184 , -0.470024
13.2155 , -31.3181 , -0.470474
13.2169 , -31.3178 , -0.470925
13.2184 , -31.3175 , -0.471376
13.2199 , -31.3173 , -0.471827
13.2214 , -31.317 , -0.472277
13.2229 , -31.3167 , -0.472728
13.2243 , -31.3164 , -0.473179
13.2258 , -31.3162 , -0.47363
13.2273 , -31.3159 , -0.47408
13.2288 , -31.3156 , -0.474531
13.2302 , -31.3153 , -0.474982
13.2317 , -31.315 , -0.475433
13.2332 , -31.3148 , -0.475883
13.2347 , -31.3145 , -0.476334
13.2361 , -31.3142 , -0.476785
13.2376 , -31.3139 , -0.477236
13.2391 , -31.3137 , -0.477686
13.2406 , -31.3134 , -0.478137
13.2421 , -31.3131 , -0.478588
13.2435 , -31.3128 , -0.479039
13.245 , -31.3125 , -0.479489
13.2465 , -31.3123 , -0.47994
13.248 , -31.312 , -0.480391
13.2494 , -31.3117 , -0.480842
13.2509 , -31.3114 , -0.481292
13.2524 , -31.3112 , -0.481743
13.2539 , -31.3109 , -0.482194
13.2553 , -31.3106 , -0.482645
13.2568 , -31.3103 , -0.483095
13.2583 , -31.31 , -0.483546
13.2598 , -31.3098 , -0.483997
13.2612 , -31.3095 , -0.484448
13.2627 , -31.3092 , -0.484898
13.2642 , -31.3089 , -0.485349
13.2657 , -31.3086 , -0.4858
13.2672 , -31.3084 , -0.486251
13.2686 , -31.3081 , -0.486701
13.2701 , -31.3078 , -0.487152
13.2716 , -31.3075 , -0.487603
13.2731 , -31.3073 , -0.488053
13.2745 , -31.307 , -0.488504
13.276 , -31.3067 , -0.488955
13.2775 , -31.3064 , -0.489406
13.279 , -31.3061 , -0.489856
13.2804 , -31.3059 , -0.490307
13.2819 , -31.3056 , -0.490758
13.2834 , -31.3053 , -0.491209
13.2849 , -31.305 , -0.491659
13.2863 , -31.3047 , -0.49211
13.2878 , -31.3045 , -0.492561
13.2893 , -31.3042 , -0.493011
13.2908 , -31.3039 , -0.493462
13.2922 , -31.3036 , -0.493913
13.2937 , -31.3033 , -0.494364
13.2952 , -31.3031 , -0.494814
13.2967 , -31.3028 , -0.495265
13.2981 , -31.3025 , -0.495716
13.2996 , -31.3022 , -0.496166
13.3011 , -31.3019 , -0.496617
13.3026 , -31.3017 , -0.497068
13.304 , -31.3014 , -0.497519
13.3055 , -31.3011 , -0.497969
13.307 , -31.3008 , -0.49842
13.3085 , -31.3005 , -0.498871
13.3099 , -31.3003 , -0.499321
13.3114 , -31.3 , -0.499772
13.3129 , -31.2997 , -0.500223
13.3144 , -31.2994 , -0.500674
13.3158 , -31.2991 , -0.501124
13.3173 , -31.2988 , -0.501575
13.3188 , -31.2986 , -0.502026
13.3203 , -31.2983 , -0.502476
13.3218 , -31.298 , -0.502927
13.3232 , -31.2977 , -0.503378
13.3247 , -31.2974 , -0.503828
13.3262 , -31.2972 , -0.504279
13.3277 , -31.2969 , -0.50473
13.3291 , -31.2966 , -0.505181
13.3306 , -31.2963 , -0.505631
13.3321 , -31.296 , -0.506082
13.3336 , -31.2958 , -0.506533
13.335 , -31.2955 , -0.506983
13.3365 , -31.2952 , -0.507434
13.338 , -31.2949 , -0.507885
13.3395 , -31.2946 , -0.508335
13.3409 , -31.2943 , -0.508786
13.3424 , -31.2941 , -0.509237
13.3439 , -31.2938 , -0.509687
13.3454 , -31.2935 , -0.510138
13.3468 , -31.2932 , -0.510589
13.3483 , -31.2929 , -0.51104
13.3498 , -31.2926 , -0.51149
13.3512 , -31.2924 , -0.511941
13.3527 , -31.2921 , -0.512392
13.3542 , -31.2918 , -0.512842
13.3557 , -31.2915 , -0.513293
13.3571 , -31.2912 , -0.513744
13.3586 , -31.291 , -0.514194
13.3601 , -31.2907 , -0.514645
13.3616 , -31.2904 , -0.515096
13.363 , -31.2901 , -0.515546
13.3645 , -31.2898 , -0.515997
13.366 , -31.2895 , -0.516448
13.3675 , -31.2893 , -0.516898
13.3689 , -31.289 , -0.517349
13.3704 , -31.2887 , -0.5178
13.3719 , -31.2884 , -0.51825
13.3734 , -31.2881 , -0.518701
13.3748 , -31.2878 , -0.519152
13.3763 , -31.2876 , -0.519602
13.3778 , -31.2873 , -0.520053
13.3793 , -31.287 , -0.520504
13.3807 , -31.2867 , -0.520954
