x , y , z
3.79345 , -9.28066 , 0.0103562
3.79829 , -9.27856 , 0.0101266
3.80313 , -9.27647 , 0.009897
3.80797 , -9.27437 , 0.00966739
3.81282 , -9.27227 , 0.00943778
3.81766 , -9.27016 , 0.00920816
3.82249 , -9.26805 , 0.00897855
3.82733 , -9.26594 , 0.00874893
3.83217 , -9.26383 , 0.00851931
3.837 , -9.26172 , 0.00828969
3.84184 , -9.2596 , 0.00806006
3.84667 , -9.25748 , 0.00783043
3.8515 , -9.25535 , 0.0076008
3.85633 , -9.25323 , 0.00737117
3.86116 , -9.2511 , 0.00714153
3.86599 , -9.24897 , 0.0069119
3.87082 , -9.24683 , 0.00668226
3.87564 , -9.2447 , 0.00645262
3.88047 , -9.24256 , 0.00622297
3.88529 , -9.24041 , 0.00599333
3.89011 , -9.23827 , 0.00576368
3.89493 , -9.23612 , 0.00553404
3.89975 , -9.23397 , 0.00530439
3.90457 , -9.23182 , 0.00507473
3.90939 , -9.22966 , 0.00484508
3.91421 , -9.2275 , 0.00461543
3.91902 , -9.22534 , 0.00438577
3.92384 , -9.22318 , 0.00415612
3.92865 , -9.22101 , 0.00392646
3.93346 , -9.21884 , 0.0036968
3.93827 , -9.21667 , 0.00346714
3.94308 , -9.21449 , 0.00323748
3.94789 , -9.21232 , 0.00300782
3.9527 , -9.21014 , 0.00277815
3.95751 , -9.20795 , 0.00254849
3.96231 , -9.20577 , 0.00231883
3.96712 , -9.20358 , 0.00208916
3.97192 , -9.20139 , 0.00185949
3.97672 , -9.19919 , 0.00162983
3.98152 , -9.197 , 0.00140016
3.98632 , -9.1948 , 0.00117049
3.99112 , -9.1926 , 0.000940827
3.99592 , -9.19039 , 0.00071116
4.00071 , -9.18819 , 0.000481492
4.00551 , -9.18598 , 0.000251824
4.0103 , -9.18376 , 2.21559e-005
4.01509 , -9.18155 , -0.000207512
4.01988 , -9.17933 , -0.00043718
4.02467 , -9.17711 , -0.000666848
4.02946 , -9.17489 , -0.000896515
4.03425 , -9.17266 , -0.00112618
4.03904 , -9.17043 , -0.00135585
4.04382 , -9.1682 , -0.00158552
4.04861 , -9.16596 , -0.00181518
4.05339 , -9.16373 , -0.00204485
4.05817 , -9.16149 , -0.00227451
4.06295 , -9.15925 , -0.00250418
4.06773 , -9.157 , -0.00273384
4.07251 , -9.15475 , -0.0029635
4.07729 , -9.1525 , -0.00319316
4.08206 , -9.15025 , -0.00342283
4.08684 , -9.14799 , -0.00365249
4.09161 , -9.14574 , -0.00388214
4.09638 , -9.14348 , -0.0041118
4.10115 , -9.14121 , -0.00434146
4.10592 , -9.13895 , -0.00457111
4.11069 , -9.13668 , -0.00480077
4.11546 , -9.1344 , -0.00503042
4.12022 , -9.13213 , -0.00526007
4.12499 , -9.12985 , -0.00548972
4.12975 , -9.12757 , -0.00571937
4.13451 , -9.12529 , -0.00594901
4.13928 , -9.12301 , -0.00617866
4.14404 , -9.12072 , -0.0064083
4.14879 , -9.11843 , -0.00663794
4.15355 , -9.11613 , -0.00686758
4.15831 , -9.11384 , -0.00709721
4.16306 , -9.11154 , -0.00732685
4.16782 , -9.10924 , -0.00755648
4.17257 , -9.10693 , -0.00778611
4.17732 , -9.10463 , -0.00801574
4.18207 , -9.10232 , -0.00824536
4.18682 , -9.10001 , -0.00847499
4.19157 , -9.09769 , -0.00870461
4.19631 , -9.09537 , -0.00893423
4.20106 , -9.09305 , -0.00916384
4.2058 , -9.09073 , -0.00939345
4.21055 , -9.08841 , -0.00962306
4.21529 , -9.08608 , -0.00985267
4.22003 , -9.08375 , -0.0100823
4.22477 , -9.08142 , -0.0103119
4.22951 , -9.07908 , -0.0105415
4.23424 , -9.07674 , -0.0107711
4.23898 , -9.0744 , -0.0110007
4.24371 , -9.07206 , -0.0112302
4.24844 , -9.06971 , -0.0114598
4.25318 , -9.06736 , -0.0116894
4.25791 , -9.06501 , -0.011919
4.26264 , -9.06265 , -0.0121486
4.26736 , -9.0603 , -0.0123781
4.27209 , -9.05794 , -0.0126077
4.27681 , -9.05557 , -0.0128373
4.28154 , -9.05321 , -0.0130668
4.28626 , -9.05084 , -0.0132964
4.29098 , -9.04847 , -0.0135259
4.2957 , -9.0461 , -0.0137555
4.30042 , -9.04372 , -0.013985
4.30514 , -9.04134 , -0.0142146
4.30986 , -9.03896 , -0.0144441
4.31457 , -9.03658 , -0.0146736
4.31929 , -9.03419 , -0.0149032
4.324 , -9.0318 , -0.0151327
4.32871 , -9.02941 , -0.0153622
4.33342 , -9.02701 , -0.0155917
4.33813 , -9.02462 , -0.0158212
4.34284 , -9.02222 , -0.0160507
4.34754 , -9.01982 , -0.0162802
4.35225 , -9.01741 , -0.0165097
4.35695 , -9.015 , -0.0167392
4.36165 , -9.01259 , -0.0169687
4.36635 , -9.01018 , -0.0171982
4.37105 , -9.00776 , -0.0174277
4.37575 , -9.00535 , -0.0176571
4.38045 , -9.00292 , -0.0178866
4.38515 , -9.0005 , -0.0181161
4.38984 , -8.99807 , -0.0183455
4.39453 , -8.99565 , -0.018575
4.39923 , -8.99321 , -0.0188044
4.40392 , -8.99078 , -0.0190338
4.40861 , -8.98834 , -0.0192633
4.41329 , -8.9859 , -0.0194927
4.41798 , -8.98346 , -0.0197221
4.42267 , -8.98102 , -0.0199515
4.42735 , -8.97857 , -0.0201809
4.43203 , -8.97612 , -0.0204104
4.43672 , -8.97367 , -0.0206397
4.4414 , -8.97121 , -0.0208691
4.44608 , -8.96875 , -0.0210985
4.45075 , -8.96629 , -0.0213279
4.45543 , -8.96383 , -0.0215573
4.4601 , -8.96136 , -0.0217866
4.46478 , -8.95889 , -0.022016
4.46945 , -8.95642 , -0.0222454
4.47412 , -8.95395 , -0.0224747
4.47879 , -8.95147 , -0.022704
4.48346 , -8.94899 , -0.0229334
4.48813 , -8.94651 , -0.0231627
4.49279 , -8.94403 , -0.023392
4.49746 , -8.94154 , -0.0236213
4.50212 , -8.93905 , -0.0238506
4.50678 , -8.93656 , -0.0240799
4.51144 , -8.93406 , -0.0243092
4.5161 , -8.93157 , -0.0245385
4.52076 , -8.92907 , -0.0247678
4.52542 , -8.92656 , -0.0249971
4.53007 , -8.92406 , -0.0252263
4.53473 , -8.92155 , -0.0254556
4.53938 , -8.91904 , -0.0256848
4.54403 , -8.91653 , -0.0259141
4.54868 , -8.91401 , -0.0261433
4.55333 , -8.91149 , -0.0263725
4.55798 , -8.90897 , -0.0266017
4.56262 , -8.90645 , -0.026831
4.56727 , -8.90392 , -0.0270602
4.57191 , -8.90139 , -0.0272894
4.57655 , -8.89886 , -0.0275185
4.58119 , -8.89632 , -0.0277477
4.58583 , -8.89379 , -0.0279769
4.59047 , -8.89125 , -0.028206
4.5951 , -8.88871 , -0.0284352
4.59974 , -8.88616 , -0.0286643
4.60437 , -8.88361 , -0.0288935
4.60901 , -8.88106 , -0.0291226
4.61364 , -8.87851 , -0.0293517
4.61827 , -8.87596 , -0.0295808
4.62289 , -8.8734 , -0.0298099
4.62752 , -8.87084 , -0.030039
4.63215 , -8.86827 , -0.0302681
4.63677 , -8.86571 , -0.0304972
4.64139 , -8.86314 , -0.0307263
4.64602 , -8.86057 , -0.0309553
4.65064 , -8.858 , -0.0311844
4.65525 , -8.85542 , -0.0314134
4.65987 , -8.85284 , -0.0316424
4.66449 , -8.85026 , -0.0318714
4.6691 , -8.84768 , -0.0321005
4.67371 , -8.84509 , -0.0323295
4.67833 , -8.8425 , -0.0325584
4.68294 , -8.83991 , -0.0327874
4.68755 , -8.83731 , -0.0330164
4.69215 , -8.83472 , -0.0332454
4.69676 , -8.83212 , -0.0334743
4.70136 , -8.82951 , -0.0337033
4.70597 , -8.82691 , -0.0339322
4.71057 , -8.8243 , -0.0341611
4.71517 , -8.82169 , -0.03439
4.71977 , -8.81908 , -0.0346189
4.72437 , -8.81646 , -0.0348478
4.72896 , -8.81385 , -0.0350767
4.73356 , -8.81123 , -0.0353056
4.73815 , -8.8086 , -0.0355344
4.74275 , -8.80598 , -0.0357633
4.74734 , -8.80335 , -0.0359921
4.75193 , -8.80072 , -0.036221
4.75651 , -8.79808 , -0.0364498
4.7611 , -8.79545 , -0.0366786
4.76569 , -8.79281 , -0.0369074
4.77027 , -8.79017 , -0.0371362
4.77485 , -8.78752 , -0.0373649
4.77943 , -8.78488 , -0.0375937
4.78401 , -8.78223 , -0.0378225
4.78859 , -8.77958 , -0.0380512
4.79317 , -8.77692 , -0.0382799
4.79774 , -8.77427 , -0.0385087
4.80232 , -8.77161 , -0.0387374
4.80689 , -8.76894 , -0.0389661
4.81146 , -8.76628 , -0.0391947
4.81603 , -8.76361 , -0.0394234
4.8206 , -8.76094 , -0.0396521
4.82517 , -8.75827 , -0.0398807
4.82973 , -8.7556 , -0.0401094
4.83429 , -8.75292 , -0.040338
4.83886 , -8.75024 , -0.0405666
4.84342 , -8.74756 , -0.0407952
4.84798 , -8.74487 , -0.0410238
4.85254 , -8.74218 , -0.0412524
4.85709 , -8.73949 , -0.0414809
