x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380279 , 0.00743893 , 2.3145e-005
-0.00380695 , 0.00743793 , 2.32599e-005
-0.00381112 , 0.00743693 , 2.33748e-005
-0.00381528 , 0.00743593 , 2.34897e-005
-0.00381945 , 0.00743492 , 2.36046e-005
-0.00382361 , 0.00743391 , 2.37194e-005
-0.00382777 , 0.0074329 , 2.38342e-005
-0.00383194 , 0.00743189 , 2.3949e-005
-0.0038361 , 0.00743087 , 2.40638e-005
-0.00384026 , 0.00742985 , 2.41785e-005
-0.00384442 , 0.00742883 , 2.42933e-005
-0.00384858 , 0.00742781 , 2.4408e-005
-0.00385274 , 0.00742678 , 2.45227e-005
-0.0038569 , 0.00742575 , 2.46374e-005
-0.00386106 , 0.00742472 , 2.4752e-005
-0.00386521 , 0.00742369 , 2.48667e-005
-0.00386937 , 0.00742265 , 2.49813e-005
-0.00387353 , 0.00742161 , 2.50959e-005
-0.00387768 , 0.00742057 , 2.52105e-005
-0.00388184 , 0.00741953 , 2.5325e-005
-0.00388599 , 0.00741848 , 2.54396e-005
-0.00389014 , 0.00741743 , 2.55541e-005
-0.0038943 , 0.00741638 , 2.56686e-005
-0.00389845 , 0.00741533 , 2.57831e-005
-0.0039026 , 0.00741427 , 2.58975e-005
-0.00390675 , 0.00741322 , 2.6012e-005
-0.0039109 , 0.00741216 , 2.61264e-005
-0.00391505 , 0.00741109 , 2.62408e-005
-0.0039192 , 0.00741003 , 2.63552e-005
-0.00392335 , 0.00740896 , 2.64696e-005
-0.00392749 , 0.00740789 , 2.65839e-005
-0.00393164 , 0.00740682 , 2.66982e-005
-0.00393579 , 0.00740574 , 2.68125e-005
-0.00393993 , 0.00740466 , 2.69268e-005
-0.00394408 , 0.00740358 , 2.70411e-005
-0.00394822 , 0.0074025 , 2.71553e-005
-0.00395237 , 0.00740142 , 2.72696e-005
-0.00395651 , 0.00740033 , 2.73838e-005
-0.00396065 , 0.00739924 , 2.7498e-005
-0.00396479 , 0.00739815 , 2.76121e-005
-0.00396894 , 0.00739705 , 2.77263e-005
-0.00397308 , 0.00739596 , 2.78404e-005
-0.00397722 , 0.00739486 , 2.79545e-005
-0.00398136 , 0.00739376 , 2.80686e-005
-0.00398549 , 0.00739265 , 2.81827e-005
-0.00398963 , 0.00739155 , 2.82967e-005
-0.00399377 , 0.00739044 , 2.84107e-005
-0.00399791 , 0.00738933 , 2.85248e-005
-0.00400204 , 0.00738821 , 2.86388e-005
-0.00400618 , 0.0073871 , 2.87527e-005
-0.00401031 , 0.00738598 , 2.88667e-005
-0.00401445 , 0.00738486 , 2.89806e-005
-0.00401858 , 0.00738374 , 2.90946e-005
-0.00402271 , 0.00738261 , 2.92085e-005
-0.00402685 , 0.00738148 , 2.93224e-005
-0.00403098 , 0.00738036 , 2.94362e-005
-0.00403511 , 0.00737922 , 2.95501e-005
-0.00403924 , 0.00737809 , 2.96639e-005
-0.00404337 , 0.00737695 , 2.97778e-005
-0.0040475 , 0.00737581 , 2.98916e-005
-0.00405163 , 0.00737467 , 3.00054e-005
-0.00405575 , 0.00737353 , 3.01191e-005
-0.00405988 , 0.00737239 , 3.02329e-005
-0.00406401 , 0.00737124 , 3.03467e-005
-0.00406813 , 0.00737009 , 3.04604e-005
-0.00407226 , 0.00736894 , 3.05741e-005
-0.00407639 , 0.00736778 , 3.06879e-005
-0.00408051 , 0.00736663 , 3.08016e-005
-0.00408463 , 0.00736547 , 3.09153e-005
-0.00408876 , 0.00736431 , 3.1029e-005
-0.00409288 , 0.00736314 , 3.11427e-005
-0.004097 , 0.00736198 , 3.12564e-005
-0.00410112 , 0.00736081 , 3.137e-005
-0.00410524 , 0.00735964 , 3.14837e-005
-0.00410936 , 0.00735847 , 3.15974e-005
-0.00411348 , 0.00735729 , 3.1711e-005
-0.0041176 , 0.00735612 , 3.18247e-005
-0.00412172 , 0.00735494 , 3.19384e-005
-0.00412584 , 0.00735376 , 3.2052e-005
-0.00412996 , 0.00735258 , 3.21657e-005
-0.00413407 , 0.00735139 , 3.22794e-005
-0.00413819 , 0.00735021 , 3.23931e-005
-0.00414231 , 0.00734902 , 3.25068e-005
-0.00414642 , 0.00734783 , 3.26204e-005
-0.00415054 , 0.00734663 , 3.27341e-005
-0.00415465 , 0.00734544 , 3.28479e-005
-0.00415877 , 0.00734424 , 3.29616e-005
-0.00416288 , 0.00734304 , 3.30753e-005
-0.004167 , 0.00734184 , 3.3189e-005
-0.00417111 , 0.00734063 , 3.33028e-005
-0.00417522 , 0.00733943 , 3.34165e-005
-0.00417933 , 0.00733822 , 3.35303e-005
-0.00418345 , 0.00733701 , 3.36441e-005
-0.00418756 , 0.0073358 , 3.37579e-005
-0.00419167 , 0.00733458 , 3.38717e-005
-0.00419578 , 0.00733336 , 3.39856e-005
-0.00419989 , 0.00733215 , 3.40994e-005
-0.004204 , 0.00733092 , 3.42133e-005
-0.00420811 , 0.0073297 , 3.43272e-005
-0.00421222 , 0.00732848 , 3.44411e-005
-0.00421633 , 0.00732725 , 3.4555e-005
-0.00422044 , 0.00732602 , 3.46689e-005
-0.00422455 , 0.00732479 , 3.47829e-005
-0.00422866 , 0.00732355 , 3.48968e-005
-0.00423277 , 0.00732232 , 3.50108e-005
-0.00423687 , 0.00732108 , 3.51248e-005
-0.00424098 , 0.00731984 , 3.52388e-005
-0.00424509 , 0.00731859 , 3.53529e-005
-0.0042492 , 0.00731735 , 3.54669e-005
-0.0042533 , 0.0073161 , 3.5581e-005
-0.00425741 , 0.00731485 , 3.56951e-005
-0.00426152 , 0.0073136 , 3.58092e-005
-0.00426562 , 0.00731234 , 3.59233e-005
-0.00426973 , 0.00731109 , 3.60374e-005
-0.00427384 , 0.00730983 , 3.61516e-005
-0.00427794 , 0.00730857 , 3.62657e-005
-0.00428205 , 0.0073073 , 3.63799e-005
-0.00428615 , 0.00730604 , 3.64941e-005
-0.00429026 , 0.00730477 , 3.66084e-005
-0.00429436 , 0.0073035 , 3.67226e-005
-0.00429847 , 0.00730223 , 3.68368e-005
-0.00430257 , 0.00730095 , 3.69511e-005
-0.00430668 , 0.00729968 , 3.70654e-005
-0.00431078 , 0.0072984 , 3.71797e-005
-0.00431488 , 0.00729711 , 3.7294e-005
-0.00431899 , 0.00729583 , 3.74083e-005
-0.00432309 , 0.00729454 , 3.75227e-005
-0.0043272 , 0.00729326 , 3.76371e-005
-0.0043313 , 0.00729196 , 3.77514e-005
-0.0043354 , 0.00729067 , 3.78658e-005
-0.0043395 , 0.00728938 , 3.79802e-005
-0.00434361 , 0.00728808 , 3.80947e-005
-0.00434771 , 0.00728678 , 3.82091e-005
-0.00435181 , 0.00728547 , 3.83236e-005
-0.00435591 , 0.00728417 , 3.8438e-005
-0.00436002 , 0.00728286 , 3.85525e-005
-0.00436412 , 0.00728155 , 3.8667e-005
-0.00436822 , 0.00728024 , 3.87815e-005
-0.00437232 , 0.00727892 , 3.88961e-005
-0.00437642 , 0.00727761 , 3.90106e-005
-0.00438052 , 0.00727629 , 3.91252e-005
-0.00438462 , 0.00727496 , 3.92397e-005
-0.00438872 , 0.00727364 , 3.93543e-005
-0.00439282 , 0.00727231 , 3.94689e-005
-0.00439692 , 0.00727098 , 3.95835e-005
-0.00440103 , 0.00726965 , 3.96982e-005
-0.00440513 , 0.00726832 , 3.98128e-005
-0.00440923 , 0.00726698 , 3.99275e-005
-0.00441332 , 0.00726564 , 4.00422e-005
-0.00441742 , 0.0072643 , 4.01568e-005
-0.00442152 , 0.00726296 , 4.02715e-005
-0.00442562 , 0.00726161 , 4.03863e-005
-0.00442972 , 0.00726026 , 4.0501e-005
