x , y , z
16.2217 , 11.3865 , -0.167864
16.2206 , 11.388 , -0.167844
16.2194 , 11.3895 , -0.167823
16.2183 , 11.391 , -0.167803
16.2171 , 11.3925 , -0.167783
16.216 , 11.394 , -0.167762
16.2148 , 11.3956 , -0.167742
16.2137 , 11.3971 , -0.167721
16.2126 , 11.3986 , -0.167701
16.2114 , 11.4001 , -0.16768
16.2103 , 11.4016 , -0.16766
16.2091 , 11.4031 , -0.167639
16.208 , 11.4046 , -0.167619
16.2068 , 11.4062 , -0.167598
16.2057 , 11.4077 , -0.167578
16.2046 , 11.4092 , -0.167557
16.2034 , 11.4107 , -0.167537
16.2023 , 11.4122 , -0.167517
16.2011 , 11.4137 , -0.167496
16.2 , 11.4152 , -0.167476
16.1988 , 11.4167 , -0.167455
16.1977 , 11.4183 , -0.167435
16.1965 , 11.4198 , -0.167414
16.1954 , 11.4213 , -0.167394
16.1942 , 11.4228 , -0.167373
16.1931 , 11.4243 , -0.167353
16.192 , 11.4258 , -0.167332
16.1908 , 11.4273 , -0.167312
16.1897 , 11.4288 , -0.167291
16.1885 , 11.4304 , -0.167271
16.1874 , 11.4319 , -0.16725
16.1862 , 11.4334 , -0.16723
16.1851 , 11.4349 , -0.167209
16.1839 , 11.4364 , -0.167189
16.1828 , 11.4379 , -0.167168
16.1816 , 11.4394 , -0.167148
16.1805 , 11.4409 , -0.167127
16.1793 , 11.4424 , -0.167107
16.1782 , 11.444 , -0.167086
16.177 , 11.4455 , -0.167066
16.1759 , 11.447 , -0.167045
16.1748 , 11.4485 , -0.167025
16.1736 , 11.45 , -0.167004
16.1725 , 11.4515 , -0.166984
16.1713 , 11.453 , -0.166963
16.1702 , 11.4545 , -0.166943
16.169 , 11.456 , -0.166922
16.1679 , 11.4575 , -0.166902
16.1667 , 11.4591 , -0.166881
16.1656 , 11.4606 , -0.166861
16.1644 , 11.4621 , -0.16684
16.1633 , 11.4636 , -0.166819
16.1621 , 11.4651 , -0.166799
16.161 , 11.4666 , -0.166778
16.1598 , 11.4681 , -0.166758
16.1587 , 11.4696 , -0.166737
16.1575 , 11.4711 , -0.166717
16.1564 , 11.4726 , -0.166696
16.1552 , 11.4741 , -0.166676
16.1541 , 11.4757 , -0.166655
16.1529 , 11.4772 , -0.166635
16.1518 , 11.4787 , -0.166614
16.1506 , 11.4802 , -0.166594
16.1495 , 11.4817 , -0.166573
16.1483 , 11.4832 , -0.166552
16.1471 , 11.4847 , -0.166532
16.146 , 11.4862 , -0.166511
16.1448 , 11.4877 , -0.166491
16.1437 , 11.4892 , -0.16647
16.1425 , 11.4907 , -0.16645
16.1414 , 11.4922 , -0.166429
16.1402 , 11.4938 , -0.166409
16.1391 , 11.4953 , -0.166388
16.1379 , 11.4968 , -0.166367
16.1368 , 11.4983 , -0.166347
16.1356 , 11.4998 , -0.166326
16.1345 , 11.5013 , -0.166306
16.1333 , 11.5028 , -0.166285
16.1322 , 11.5043 , -0.166265
16.131 , 11.5058 , -0.166244
16.1299 , 11.5073 , -0.166223
16.1287 , 11.5088 , -0.166203
16.1275 , 11.5103 , -0.166182
16.1264 , 11.5118 , -0.166162
16.1252 , 11.5133 , -0.166141
16.1241 , 11.5148 , -0.166121
16.1229 , 11.5163 , -0.1661
16.1218 , 11.5178 , -0.166079
16.1206 , 11.5194 , -0.166059
16.1195 , 11.5209 , -0.166038
16.1183 , 11.5224 , -0.166018
16.1171 , 11.5239 , -0.165997
16.116 , 11.5254 , -0.165976
16.1148 , 11.5269 , -0.165956
16.1137 , 11.5284 , -0.165935
16.1125 , 11.5299 , -0.165915
16.1114 , 11.5314 , -0.165894
16.1102 , 11.5329 , -0.165874
16.1091 , 11.5344 , -0.165853
16.1079 , 11.5359 , -0.165832
16.1067 , 11.5374 , -0.165812
16.1056 , 11.5389 , -0.165791
16.1044 , 11.5404 , -0.16577
16.1033 , 11.5419 , -0.16575
16.1021 , 11.5434 , -0.165729
16.101 , 11.5449 , -0.165709
16.0998 , 11.5464 , -0.165688
16.0986 , 11.5479 , -0.165667
16.0975 , 11.5494 , -0.165647
16.0963 , 11.5509 , -0.165626
16.0952 , 11.5524 , -0.165606
16.094 , 11.5539 , -0.165585
16.0928 , 11.5554 , -0.165564
16.0917 , 11.557 , -0.165544
16.0905 , 11.5585 , -0.165523
16.0894 , 11.56 , -0.165502
16.0882 , 11.5615 , -0.165482
16.087 , 11.563 , -0.165461
16.0859 , 11.5645 , -0.165441
16.0847 , 11.566 , -0.16542
16.0836 , 11.5675 , -0.165399
16.0824 , 11.569 , -0.165379
16.0812 , 11.5705 , -0.165358
16.0801 , 11.572 , -0.165337
16.0789 , 11.5735 , -0.165317
16.0778 , 11.575 , -0.165296
16.0766 , 11.5765 , -0.165275
16.0754 , 11.578 , -0.165255
16.0743 , 11.5795 , -0.165234
16.0731 , 11.581 , -0.165213
16.072 , 11.5825 , -0.165193
16.0708 , 11.584 , -0.165172
16.0696 , 11.5855 , -0.165152
16.0685 , 11.587 , -0.165131
16.0673 , 11.5885 , -0.16511
16.0661 , 11.59 , -0.16509
16.065 , 11.5915 , -0.165069
16.0638 , 11.593 , -0.165048
16.0627 , 11.5945 , -0.165028
16.0615 , 11.596 , -0.165007
16.0603 , 11.5975 , -0.164986
16.0592 , 11.599 , -0.164966
16.058 , 11.6005 , -0.164945
16.0568 , 11.602 , -0.164924
16.0557 , 11.6035 , -0.164904
16.0545 , 11.605 , -0.164883
16.0533 , 11.6065 , -0.164862
16.0522 , 11.608 , -0.164842
16.051 , 11.6095 , -0.164821
16.0498 , 11.611 , -0.1648
16.0487 , 11.6125 , -0.164779
16.0475 , 11.614 , -0.164759
16.0464 , 11.6155 , -0.164738
16.0452 , 11.617 , -0.164717
16.044 , 11.6185 , -0.164697
16.0429 , 11.62 , -0.164676
16.0417 , 11.6215 , -0.164655
16.0405 , 11.623 , -0.164635
16.0394 , 11.6245 , -0.164614
16.0382 , 11.6259 , -0.164593
16.037 , 11.6274 , -0.164573
16.0359 , 11.6289 , -0.164552
16.0347 , 11.6304 , -0.164531
16.0335 , 11.6319 , -0.16451
16.0324 , 11.6334 , -0.16449
16.0312 , 11.6349 , -0.164469
16.03 , 11.6364 , -0.164448
16.0289 , 11.6379 , -0.164428
16.0277 , 11.6394 , -0.164407
16.0265 , 11.6409 , -0.164386
16.0254 , 11.6424 , -0.164365
16.0242 , 11.6439 , -0.164345
16.023 , 11.6454 , -0.164324
16.0219 , 11.6469 , -0.164303
16.0207 , 11.6484 , -0.164283
16.0195 , 11.6499 , -0.164262
16.0183 , 11.6514 , -0.164241
16.0172 , 11.6529 , -0.16422
16.016 , 11.6544 , -0.1642
16.0148 , 11.6559 , -0.164179
16.0137 , 11.6574 , -0.164158
16.0125 , 11.6589 , -0.164138
16.0113 , 11.6604 , -0.164117
16.0102 , 11.6619 , -0.164096
16.009 , 11.6633 , -0.164075
16.0078 , 11.6648 , -0.164055
16.0067 , 11.6663 , -0.164034
16.0055 , 11.6678 , -0.164013
16.0043 , 11.6693 , -0.163992
16.0031 , 11.6708 , -0.163972
16.002 , 11.6723 , -0.163951
16.0008 , 11.6738 , -0.16393
15.9996 , 11.6753 , -0.163909
15.9985 , 11.6768 , -0.163889
15.9973 , 11.6783 , -0.163868
15.9961 , 11.6798 , -0.163847
15.9949 , 11.6813 , -0.163826
15.9938 , 11.6828 , -0.163806
15.9926 , 11.6843 , -0.163785
15.9914 , 11.6858 , -0.163764
15.9903 , 11.6872 , -0.163743
15.9891 , 11.6887 , -0.163723
15.9879 , 11.6902 , -0.163702
15.9867 , 11.6917 , -0.163681
15.9856 , 11.6932 , -0.16366
15.9844 , 11.6947 , -0.163639
15.9832 , 11.6962 , -0.163619
15.982 , 11.6977 , -0.163598
15.9809 , 11.6992 , -0.163577
15.9797 , 11.7007 , -0.163556
15.9785 , 11.7022 , -0.163536
15.9773 , 11.7037 , -0.163515
15.9762 , 11.7052 , -0.163494
15.975 , 11.7066 , -0.163473
15.9738 , 11.7081 , -0.163452
15.9726 , 11.7096 , -0.163432
15.9715 , 11.7111 , -0.163411
15.9703 , 11.7126 , -0.16339
15.9691 , 11.7141 , -0.163369
15.9679 , 11.7156 , -0.163349
15.9668 , 11.7171 , -0.163328
15.9656 , 11.7186 , -0.163307
15.9644 , 11.7201 , -0.163286
15.9632 , 11.7216 , -0.163265
15.9621 , 11.723 , -0.163245
15.9609 , 11.7245 , -0.163224
15.9597 , 11.726 , -0.163203
15.9585 , 11.7275 , -0.163182
15.9574 , 11.729 , -0.163161
15.9562 , 11.7305 , -0.163141
15.955 , 11.732 , -0.16312
15.9538 , 11.7335 , -0.163099
15.9527 , 11.735 , -0.163078
15.9515 , 11.7365 , -0.163057
15.9503 , 11.7379 , -0.163037
15.9491 , 11.7394 , -0.163016
15.9479 , 11.7409 , -0.162995
15.9468 , 11.7424 , -0.162974
15.9456 , 11.7439 , -0.162953
15.9444 , 11.7454 , -0.162932
15.9432 , 11.7469 , -0.162912
15.9421 , 11.7484 , -0.162891
15.9409 , 11.7499 , -0.16287
15.9397 , 11.7513 , -0.162849
15.9385 , 11.7528 , -0.162828
15.9373 , 11.7543 , -0.162807
15.9362 , 11.7558 , -0.162787
15.935 , 11.7573 , -0.162766
15.9338 , 11.7588 , -0.162745
15.9326 , 11.7603 , -0.162724
15.9314 , 11.7618 , -0.162703
15.9303 , 11.7632 , -0.162682
15.9291 , 11.7647 , -0.162662
15.9279 , 11.7662 , -0.162641
15.9267 , 11.7677 , -0.16262
15.9255 , 11.7692 , -0.162599
15.9244 , 11.7707 , -0.162578
15.9232 , 11.7722 , -0.162557
15.922 , 11.7736 , -0.162537
15.9208 , 11.7751 , -0.162516
15.9196 , 11.7766 , -0.162495
15.9184 , 11.7781 , -0.162474
15.9173 , 11.7796 , -0.162453
15.9161 , 11.7811 , -0.162432
15.9149 , 11.7826 , -0.162411
15.9137 , 11.7841 , -0.162391
15.9125 , 11.7855 , -0.16237
15.9114 , 11.787 , -0.162349
15.9102 , 11.7885 , -0.162328
15.909 , 11.79 , -0.162307
15.9078 , 11.7915 , -0.162286
15.9066 , 11.793 , -0.162265
15.9054 , 11.7944 , -0.162244
15.9043 , 11.7959 , -0.162224
15.9031 , 11.7974 , -0.162203
15.9019 , 11.7989 , -0.162182
15.9007 , 11.8004 , -0.162161
15.8995 , 11.8019 , -0.16214
15.8983 , 11.8034 , -0.162119
15.8972 , 11.8048 , -0.162098
15.896 , 11.8063 , -0.162077
15.8948 , 11.8078 , -0.162057
15.8936 , 11.8093 , -0.162036
15.8924 , 11.8108 , -0.162015
15.8912 , 11.8123 , -0.161994
15.89 , 11.8137 , -0.161973
15.8889 , 11.8152 , -0.161952
15.8877 , 11.8167 , -0.161931
15.8865 , 11.8182 , -0.16191
15.8853 , 11.8197 , -0.161889
15.8841 , 11.8212 , -0.161868
15.8829 , 11.8226 , -0.161848
15.8817 , 11.8241 , -0.161827
15.8806 , 11.8256 , -0.161806
15.8794 , 11.8271 , -0.161785
15.8782 , 11.8286 , -0.161764
15.877 , 11.8301 , -0.161743
15.8758 , 11.8315 , -0.161722
15.8746 , 11.833 , -0.161701
15.8734 , 11.8345 , -0.16168
15.8722 , 11.836 , -0.161659
15.8711 , 11.8375 , -0.161638
15.8699 , 11.8389 , -0.161618
15.8687 , 11.8404 , -0.161597
15.8675 , 11.8419 , -0.161576
15.8663 , 11.8434 , -0.161555
15.8651 , 11.8449 , -0.161534
15.8639 , 11.8463 , -0.161513
15.8627 , 11.8478 , -0.161492
15.8616 , 11.8493 , -0.161471
15.8604 , 11.8508 , -0.16145
15.8592 , 11.8523 , -0.161429
15.858 , 11.8538 , -0.161408
15.8568 , 11.8552 , -0.161387
15.8556 , 11.8567 , -0.161366
15.8544 , 11.8582 , -0.161345
15.8532 , 11.8597 , -0.161325
15.852 , 11.8612 , -0.161304
15.8508 , 11.8626 , -0.161283
15.8497 , 11.8641 , -0.161262
15.8485 , 11.8656 , -0.161241
15.8473 , 11.8671 , -0.16122
15.8461 , 11.8685 , -0.161199
15.8449 , 11.87 , -0.161178
15.8437 , 11.8715 , -0.161157
15.8425 , 11.873 , -0.161136
15.8413 , 11.8745 , -0.161115
15.8401 , 11.8759 , -0.161094
15.8389 , 11.8774 , -0.161073
15.8377 , 11.8789 , -0.161052
15.8365 , 11.8804 , -0.161031
15.8354 , 11.8819 , -0.16101
15.8342 , 11.8833 , -0.160989
15.833 , 11.8848 , -0.160968
15.8318 , 11.8863 , -0.160947
15.8306 , 11.8878 , -0.160926
15.8294 , 11.8892 , -0.160905
15.8282 , 11.8907 , -0.160884
15.827 , 11.8922 , -0.160863
15.8258 , 11.8937 , -0.160842
15.8246 , 11.8952 , -0.160822
15.8234 , 11.8966 , -0.160801
15.8222 , 11.8981 , -0.16078
15.821 , 11.8996 , -0.160759
15.8198 , 11.9011 , -0.160738
15.8187 , 11.9025 , -0.160717
15.8175 , 11.904 , -0.160696
15.8163 , 11.9055 , -0.160675
15.8151 , 11.907 , -0.160654
15.8139 , 11.9084 , -0.160633
15.8127 , 11.9099 , -0.160612
15.8115 , 11.9114 , -0.160591
15.8103 , 11.9129 , -0.16057
