x , y , z
0.719402 , 0.0599883 , -0.0409897
0.718486 , 0.0699971 , -0.0407997
0.717432 , 0.0799938 , -0.0406018
0.716239 , 0.0899766 , -0.0403961
0.714907 , 0.0999434 , -0.0401826
0.713437 , 0.109892 , -0.0399613
0.711828 , 0.119822 , -0.0397324
0.710081 , 0.129729 , -0.0394957
0.708197 , 0.139613 , -0.0392515
0.706175 , 0.149472 , -0.0389996
0.704015 , 0.159303 , -0.0387402
0.701719 , 0.169104 , -0.0384733
0.699287 , 0.178875 , -0.038199
0.696718 , 0.188612 , -0.0379173
0.694014 , 0.198314 , -0.0376282
0.691174 , 0.207979 , -0.0373318
0.6882 , 0.217605 , -0.0370282
0.685091 , 0.227191 , -0.0367174
0.681849 , 0.236733 , -0.0363995
0.678474 , 0.246232 , -0.0360745
0.674966 , 0.255684 , -0.0357425
0.671326 , 0.265087 , -0.0354035
0.667554 , 0.274441 , -0.0350576
0.663652 , 0.283742 , -0.0347049
0.659621 , 0.29299 , -0.0343455
0.655459 , 0.302182 , -0.0339793
0.65117 , 0.311317 , -0.0336066
0.646752 , 0.320392 , -0.0332272
0.642208 , 0.329406 , -0.0328414
0.637538 , 0.338358 , -0.0324492
0.632742 , 0.347244 , -0.0320506
0.627822 , 0.356065 , -0.0316458
0.622778 , 0.364817 , -0.0312347
0.617611 , 0.373499 , -0.0308176
0.612323 , 0.38211 , -0.0303944
0.606915 , 0.390647 , -0.0299652
0.601386 , 0.399109 , -0.0295302
0.595739 , 0.407494 , -0.0290893
0.589974 , 0.415801 , -0.0286428
0.584093 , 0.424028 , -0.0281906
0.578096 , 0.432173 , -0.0277329
0.571985 , 0.440234 , -0.0272698
0.565761 , 0.44821 , -0.0268012
0.559424 , 0.4561 , -0.0263274
0.552977 , 0.463901 , -0.0258484
0.54642 , 0.471612 , -0.0253644
0.539754 , 0.479232 , -0.0248753
0.532982 , 0.486759 , -0.0243813
0.526103 , 0.494191 , -0.0238824
0.51912 , 0.501528 , -0.0233789
0.512034 , 0.508766 , -0.0228708
0.504845 , 0.515906 , -0.0223581
0.497556 , 0.522945 , -0.021841
0.490168 , 0.529883 , -0.0213196
0.482683 , 0.536717 , -0.0207939
0.4751 , 0.543446 , -0.0202642
0.467423 , 0.550069 , -0.0197304
0.459653 , 0.556584 , -0.0191927
0.451791 , 0.562991 , -0.0186512
0.443838 , 0.569287 , -0.0181059
0.435797 , 0.575472 , -0.0175571
0.427668 , 0.581545 , -0.0170048
0.419453 , 0.587503 , -0.0164491
0.411154 , 0.593346 , -0.0158902
0.402773 , 0.599072 , -0.0153281
0.394311 , 0.604681 , -0.0147629
0.38577 , 0.610171 , -0.0141948
0.377151 , 0.615541 , -0.0136238
0.368456 , 0.62079 , -0.0130501
0.359687 , 0.625917 , -0.0124739
0.350845 , 0.63092 , -0.0118951
0.341933 , 0.635799 , -0.011314
0.332951 , 0.640553 , -0.0107305
0.323903 , 0.645181 , -0.010145
0.314789 , 0.649681 , -0.0095574
0.305611 , 0.654052 , -0.00896789
0.296371 , 0.658295 , -0.00837659
0.287071 , 0.662407 , -0.00778361
0.277713 , 0.666389 , -0.00718906
0.268299 , 0.670238 , -0.00659307
0.25883 , 0.673955 , -0.00599575
0.249308 , 0.677539 , -0.00539723
0.239736 , 0.680988 , -0.00479762
0.230115 , 0.684302 , -0.00419704
0.220447 , 0.687481 , -0.00359561
0.210734 , 0.690523 , -0.00299346
0.200977 , 0.693428 , -0.0023907
0.19118 , 0.696196 , -0.00178745
0.181343 , 0.698825 , -0.00118384
0.17147 , 0.701315 , -0.000579984
0.16156 , 0.703666 , 2.39961e-005
0.151618 , 0.705877 , 0.000627978
0.141644 , 0.707948 , 0.00123184
0.131641 , 0.709878 , 0.00183546
0.121611 , 0.711667 , 0.00243872
0.111555 , 0.713314 , 0.0030415
0.101476 , 0.714819 , 0.00364367
0.0913759 , 0.716181 , 0.00424511
0.0812564 , 0.717401 , 0.0048457
0.0711197 , 0.718477 , 0.00544533
0.0609678 , 0.719411 , 0.00604387
0.0508028 , 0.720201 , 0.00664119
0.0406267 , 0.720847 , 0.00723719
0.0304416 , 0.72135 , 0.00783173
0.0202494 , 0.721708 , 0.0084247
0.0100524 , 0.721923 , 0.00901598
-0.00014756 , 0.721993 , 0.00960544
-0.0103483 , 0.721919 , 0.010193
-0.0205479 , 0.721701 , 0.0107785
-0.0307441 , 0.721338 , 0.0113618
-0.040935 , 0.720832 , 0.0119428
-0.0511185 , 0.720181 , 0.0125214
-0.0612925 , 0.719386 , 0.0130975
-0.071455 , 0.718448 , 0.013671
-0.0816039 , 0.717366 , 0.0142417
-0.0917372 , 0.71614 , 0.0148096
-0.101853 , 0.714771 , 0.0153744
-0.111949 , 0.713259 , 0.0159362
-0.122023 , 0.711605 , 0.0164947
-0.132073 , 0.709807 , 0.0170499
-0.142098 , 0.707868 , 0.0176017
-0.152094 , 0.705788 , 0.0181499
-0.162061 , 0.703565 , 0.0186944
-0.171996 , 0.701202 , 0.0192352
-0.181897 , 0.698699 , 0.0197721
-0.191762 , 0.696056 , 0.020305
-0.201589 , 0.693273 , 0.0208338
-0.211376 , 0.690352 , 0.0213584
-0.221121 , 0.687292 , 0.0218787
-0.230822 , 0.684095 , 0.0223946
-0.240478 , 0.680761 , 0.0229059
-0.250086 , 0.677291 , 0.0234126
-0.259644 , 0.673684 , 0.0239146
-0.26915 , 0.669943 , 0.0244117
-0.278603 , 0.666068 , 0.0249039
-0.288 , 0.66206 , 0.0253911
-0.29734 , 0.657919 , 0.0258732
-0.30662 , 0.653646 , 0.02635
-0.315839 , 0.649243 , 0.0268215
-0.324996 , 0.64471 , 0.0272875
-0.334087 , 0.640047 , 0.0277481
-0.343112 , 0.635257 , 0.0282031
-0.352068 , 0.630339 , 0.0286523
-0.360954 , 0.625296 , 0.0290958
-0.369767 , 0.620127 , 0.0295333
-0.378507 , 0.614834 , 0.029965
-0.387171 , 0.609419 , 0.0303905
-0.395758 , 0.603881 , 0.0308099
-0.404265 , 0.598223 , 0.0312231
-0.412692 , 0.592446 , 0.03163
-0.421036 , 0.58655 , 0.0320305
-0.429295 , 0.580537 , 0.0324246
-0.437469 , 0.574408 , 0.0328121
-0.445556 , 0.568164 , 0.0331929
-0.453553 , 0.561808 , 0.0335671
-0.461459 , 0.555339 , 0.0339345
-0.469273 , 0.548759 , 0.034295
-0.476994 , 0.54207 , 0.0346486
-0.484618 , 0.535272 , 0.0349953
-0.492146 , 0.528369 , 0.0353348
-0.499575 , 0.52136 , 0.0356673
-0.506905 , 0.514247 , 0.0359925
-0.514133 , 0.507032 , 0.0363105
-0.521258 , 0.499716 , 0.0366212
-0.528279 , 0.4923 , 0.0369245
-0.535194 , 0.484787 , 0.0372204
-0.542002 , 0.477178 , 0.0375087
-0.548702 , 0.469474 , 0.0377895
-0.555292 , 0.461676 , 0.0380627
-0.561771 , 0.453787 , 0.0383283
-0.568138 , 0.445808 , 0.0385861
-0.574391 , 0.437741 , 0.0388362
-0.58053 , 0.429587 , 0.0390784
-0.586553 , 0.421348 , 0.0393128
-0.592458 , 0.413026 , 0.0395393
-0.598245 , 0.404622 , 0.0397579
-0.603913 , 0.396138 , 0.0399684
-0.609461 , 0.387576 , 0.040171
-0.614886 , 0.378938 , 0.0403654
-0.62019 , 0.370225 , 0.0405518
-0.625369 , 0.361439 , 0.04073
-0.630424 , 0.352582 , 0.0409001
-0.635353 , 0.343655 , 0.041062
-0.640156 , 0.334661 , 0.0412156
-0.644831 , 0.325601 , 0.041361
-0.649378 , 0.316478 , 0.0414981
-0.653795 , 0.307292 , 0.0416268
-0.658083 , 0.298047 , 0.0417473
-0.662239 , 0.288743 , 0.0418594
-0.666264 , 0.279383 , 0.0419631
-0.670157 , 0.269968 , 0.0420585
-0.673916 , 0.260501 , 0.0421454
-0.677542 , 0.250983 , 0.0422239
-0.681033 , 0.241416 , 0.042294
-0.684388 , 0.231802 , 0.0423556
-0.687608 , 0.222144 , 0.0424088
-0.690692 , 0.212443 , 0.0424535
-0.693639 , 0.202701 , 0.0424898
-0.696448 , 0.192919 , 0.0425176
-0.699119 , 0.183101 , 0.0425369
-0.701652 , 0.173248 , 0.0425478
-0.704046 , 0.163361 , 0.0425502
-0.706301 , 0.153444 , 0.0425441
-0.708416 , 0.143497 , 0.0425296
-0.710391 , 0.133523 , 0.0425066
-0.712226 , 0.123525 , 0.0424752
-0.71392 , 0.113503 , 0.0424353
-0.715474 , 0.103459 , 0.0423871
-0.716886 , 0.0933972 , 0.0423304
-0.718156 , 0.0833178 , 0.0422653
-0.719285 , 0.0732234 , 0.0421918
-0.720273 , 0.0631158 , 0.04211
-0.721118 , 0.0529971 , 0.0420199
-0.721822 , 0.0428694 , 0.0419214
-0.722383 , 0.0327346 , 0.0418146
-0.722803 , 0.0225947 , 0.0416996
-0.723081 , 0.0124518 , 0.0415764
-0.723216 , 0.00230778 , 0.0414449
-0.723209 , -0.00783524 , 0.0413052
-0.723061 , -0.0179753 , 0.0411574
-0.722771 , -0.0281104 , 0.0410015
-0.722339 , -0.0382386 , 0.0408375
-0.721765 , -0.0483577 , 0.0406655
-0.721051 , -0.058466 , 0.0404854
-0.720195 , -0.0685613 , 0.0402974
-0.719198 , -0.0786418 , 0.0401014
-0.71806 , -0.0887053 , 0.0398976
-0.716783 , -0.09875 , 0.039686
-0.715365 , -0.108774 , 0.0394665
-0.713807 , -0.118775 , 0.0392393
-0.712111 , -0.128751 , 0.0390044
-0.710275 , -0.138701 , 0.0387618
-0.708301 , -0.148622 , 0.0385117
-0.70619 , -0.158513 , 0.038254
-0.70394 , -0.168371 , 0.0379888
-0.701554 , -0.178194 , 0.0377162
-0.699031 , -0.187982 , 0.0374363
-0.696373 , -0.197731 , 0.037149
-0.693579 , -0.20744 , 0.0368544
-0.690651 , -0.217108 , 0.0365527
-0.687588 , -0.226731 , 0.0362438
-0.684393 , -0.236309 , 0.0359279
-0.681065 , -0.245839 , 0.035605
-0.677604 , -0.25532 , 0.0352751
-0.674013 , -0.26475 , 0.0349384
-0.670291 , -0.274127 , 0.0345948
-0.66644 , -0.283449 , 0.0342446
-0.66246 , -0.292715 , 0.0338877
-0.658352 , -0.301922 , 0.0335242
-0.654117 , -0.311069 , 0.0331542
-0.649756 , -0.320154 , 0.0327777
-0.64527 , -0.329176 , 0.0323949
-0.640659 , -0.338133 , 0.0320059
-0.635925 , -0.347022 , 0.0316106
-0.631069 , -0.355843 , 0.0312092
-0.626091 , -0.364594 , 0.0308018
-0.620994 , -0.373273 , 0.0303885
-0.615776 , -0.381878 , 0.0299692
-0.610441 , -0.390408 , 0.0295442
