x , y , z
0.719402 , 0.0599883 , -0.0409897
0.717293 , 0.0799856 , -0.0405939
0.714628 , 0.099927 , -0.0401667
0.71141 , 0.119797 , -0.0397085
0.707638 , 0.13958 , -0.0392196
0.703315 , 0.159261 , -0.0387004
0.698444 , 0.178824 , -0.0381511
0.693027 , 0.198254 , -0.0375721
0.687068 , 0.217535 , -0.0369639
0.68057 , 0.236653 , -0.0363268
0.673538 , 0.255592 , -0.0356614
0.665977 , 0.274336 , -0.034968
0.65789 , 0.292872 , -0.0342473
0.649285 , 0.311183 , -0.0334996
0.640166 , 0.329256 , -0.0327256
0.63054 , 0.347075 , -0.0319259
0.620414 , 0.364627 , -0.0311009
0.609796 , 0.381897 , -0.0302514
0.598691 , 0.39887 , -0.0293779
0.58711 , 0.415534 , -0.0284812
0.575059 , 0.431873 , -0.0275618
0.562548 , 0.447875 , -0.0266205
0.549587 , 0.463527 , -0.0256579
0.536184 , 0.478815 , -0.0246749
0.52235 , 0.493727 , -0.0236722
0.508095 , 0.50825 , -0.0226506
0.49343 , 0.522371 , -0.0216107
0.478366 , 0.53608 , -0.0205536
0.462915 , 0.549365 , -0.0194799
0.447089 , 0.562214 , -0.0183905
0.430899 , 0.574616 , -0.0172863
0.414359 , 0.58656 , -0.0161681
0.397481 , 0.598037 , -0.0150369
0.380278 , 0.609037 , -0.0138934
0.362764 , 0.619549 , -0.0127387
0.344953 , 0.629566 , -0.0115737
0.326859 , 0.639078 , -0.0103992
0.308496 , 0.648076 , -0.00921628
0.289879 , 0.656554 , -0.00802583
0.271022 , 0.664503 , -0.00682881
0.251941 , 0.671916 , -0.00562621
0.232652 , 0.678788 , -0.00441899
0.213169 , 0.685111 , -0.00320813
0.193508 , 0.69088 , -0.00199462
0.173686 , 0.69609 , -0.00077946
0.153718 , 0.700736 , 0.00043637
0.13362 , 0.704813 , 0.00165187
0.11341 , 0.708319 , 0.00286604
0.0931029 , 0.711249 , 0.00407789
0.0727161 , 0.713602 , 0.00528641
0.0522661 , 0.715374 , 0.00649063
0.0317696 , 0.716563 , 0.00768953
0.0112436 , 0.71717 , 0.00888213
-0.00929525 , 0.717191 , 0.0100674
-0.0298299 , 0.716628 , 0.0112445
-0.0503435 , 0.715481 , 0.0124123
-0.070819 , 0.71375 , 0.01357
-0.0912397 , 0.711437 , 0.0147164
-0.111589 , 0.708543 , 0.0158508
-0.131849 , 0.70507 , 0.0169721
-0.152004 , 0.701022 , 0.0180794
-0.172038 , 0.696401 , 0.0191719
-0.191933 , 0.691212 , 0.0202485
-0.211673 , 0.685458 , 0.0213085
-0.231242 , 0.679144 , 0.0223509
-0.250623 , 0.672276 , 0.0233749
-0.269802 , 0.66486 , 0.0243797
-0.288761 , 0.656901 , 0.0253644
-0.307486 , 0.648406 , 0.0263281
-0.325961 , 0.639382 , 0.0272703
-0.344171 , 0.629837 , 0.0281899
-0.362101 , 0.61978 , 0.0290864
-0.379736 , 0.609217 , 0.0299589
-0.397062 , 0.598159 , 0.0308068
-0.414065 , 0.586615 , 0.0316294
-0.430731 , 0.574594 , 0.032426
-0.447046 , 0.562107 , 0.0331959
-0.462998 , 0.549164 , 0.0339387
-0.478573 , 0.535776 , 0.0346535
-0.49376 , 0.521954 , 0.03534
-0.508545 , 0.507711 , 0.0359976
-0.522917 , 0.493057 , 0.0366257
-0.536865 , 0.478006 , 0.0372239
-0.550378 , 0.46257 , 0.0377917
-0.563445 , 0.446762 , 0.0383286
-0.576055 , 0.430595 , 0.0388342
-0.5882 , 0.414083 , 0.0393083
-0.599869 , 0.39724 , 0.0397503
-0.611053 , 0.380079 , 0.0401601
-0.621745 , 0.362615 , 0.0405372
-0.631935 , 0.344863 , 0.0408815
-0.641617 , 0.326837 , 0.0411927
-0.650783 , 0.308552 , 0.0414705
-0.659426 , 0.290023 , 0.0417148
-0.66754 , 0.271266 , 0.0419255
-0.67512 , 0.252296 , 0.0421024
-0.682159 , 0.233128 , 0.0422453
-0.688652 , 0.213778 , 0.0423544
-0.694597 , 0.194263 , 0.0424294
-0.699987 , 0.174597 , 0.0424704
-0.704821 , 0.154797 , 0.0424775
-0.709094 , 0.134879 , 0.0424505
-0.712804 , 0.11486 , 0.0423898
-0.71595 , 0.0947537 , 0.0422952
-0.718529 , 0.0745782 , 0.042167
-0.72054 , 0.054349 , 0.0420052
-0.721983 , 0.0340823 , 0.0418102
-0.722857 , 0.0137944 , 0.0415821
-0.723162 , -0.00649887 , 0.0413211
-0.7229 , -0.0267813 , 0.0410274
-0.722071 , -0.047037 , 0.0407014
-0.720677 , -0.06725 , 0.0403434
-0.71872 , -0.0874045 , 0.0399538
-0.716203 , -0.107485 , 0.0395327
-0.713127 , -0.127475 , 0.0390808
-0.709498 , -0.14736 , 0.0385982
-0.705317 , -0.167124 , 0.0380856
-0.70059 , -0.186753 , 0.0375433
-0.695321 , -0.20623 , 0.0369718
-0.689515 , -0.225542 , 0.0363715
-0.683178 , -0.244673 , 0.0357431
-0.676315 , -0.263609 , 0.0350871
-0.668932 , -0.282335 , 0.0344039
-0.661037 , -0.300838 , 0.0336941
-0.652635 , -0.319103 , 0.0329585
-0.643734 , -0.337117 , 0.0321975
-0.634343 , -0.354867 , 0.0314117
-0.624468 , -0.372338 , 0.030602
-0.614118 , -0.389519 , 0.0297688
-0.603302 , -0.406397 , 0.0289128
-0.592029 , -0.422958 , 0.0280348
-0.580308 , -0.439192 , 0.0271355
-0.568149 , -0.455086 , 0.0262156
-0.555562 , -0.470628 , 0.0252757
-0.542556 , -0.485808 , 0.0243167
-0.529143 , -0.500614 , 0.0233393
-0.515333 , -0.515035 , 0.0223443
-0.501137 , -0.529062 , 0.0213324
-0.486566 , -0.542684 , 0.0203044
-0.471632 , -0.555892 , 0.0192612
-0.456347 , -0.568676 , 0.0182036
-0.440723 , -0.581026 , 0.0171322
-0.424771 , -0.592936 , 0.0160481
-0.408504 , -0.604395 , 0.0149519
-0.391935 , -0.615396 , 0.0138446
-0.375077 , -0.625932 , 0.012727
-0.357942 , -0.635995 , 0.0115999
-0.340543 , -0.645577 , 0.0104642
-0.322894 , -0.654673 , 0.00932077
-0.305009 , -0.663277 , 0.00817041
-0.2869 , -0.671381 , 0.00701401
-0.268582 , -0.678982 , 0.00585244
-0.250068 , -0.686073 , 0.00468657
-0.231373 , -0.69265 , 0.00351726
-0.21251 , -0.698709 , 0.00234539
-0.193493 , -0.704245 , 0.00117183
-0.174337 , -0.709255 , -2.56194e-006
-0.155055 , -0.713735 , -0.0011769
-0.135663 , -0.717683 , -0.00235033
-0.116174 , -0.721096 , -0.00352198
-0.0966039 , -0.723972 , -0.00469099
-0.076966 , -0.72631 , -0.0058565
-0.0572752 , -0.728107 , -0.00701764
-0.0375459 , -0.729363 , -0.00817358
-0.0177928 , -0.730077 , -0.00932346
0.00196963 , -0.730249 , -0.0104664
0.0217268 , -0.729879 , -0.0116017
0.0414642 , -0.728968 , -0.0127283
0.0611674 , -0.727515 , -0.0138456
0.0808219 , -0.725524 , -0.0149526
0.100413 , -0.722995 , -0.0160487
0.119927 , -0.71993 , -0.0171329
0.139349 , -0.716331 , -0.0182045
0.158665 , -0.712202 , -0.0192626
0.177861 , -0.707545 , -0.0203066
0.196922 , -0.702365 , -0.0213357
0.215835 , -0.696663 , -0.022349
0.234586 , -0.690446 , -0.023346
0.253161 , -0.683717 , -0.0243257
0.271546 , -0.676481 , -0.0252875
0.289728 , -0.668744 , -0.0262308
0.307694 , -0.66051 , -0.0271547
0.32543 , -0.651787 , -0.0280586
0.342922 , -0.64258 , -0.0289419
0.36016 , -0.632896 , -0.0298039
0.377128 , -0.622742 , -0.0306439
0.393816 , -0.612124 , -0.0314614
0.410209 , -0.601052 , -0.0322556
0.426297 , -0.589532 , -0.0330261
0.442067 , -0.577573 , -0.0337722
0.457508 , -0.565183 , -0.0344934
0.472607 , -0.552372 , -0.0351891
0.487354 , -0.539148 , -0.0358588
0.501737 , -0.525521 , -0.0365019
0.515746 , -0.511501 , -0.0371181
0.529369 , -0.497098 , -0.0377068
0.542597 , -0.482322 , -0.0382675
0.555418 , -0.467183 , -0.0387998
0.567824 , -0.451694 , -0.0393033
0.579805 , -0.435864 , -0.0397776
0.591352 , -0.419705 , -0.0402224
0.602454 , -0.40323 , -0.0406371
0.613105 , -0.386449 , -0.0410216
0.623295 , -0.369375 , -0.0413755
0.633015 , -0.352021 , -0.0416985
0.64226 , -0.334399 , -0.0419903
0.65102 , -0.316522 , -0.0422507
0.659289 , -0.298404 , -0.0424794
0.66706 , -0.280056 , -0.0426762
0.674327 , -0.261493 , -0.0428409
0.681082 , -0.242729 , -0.0429735
0.687322 , -0.223778 , -0.0430736
0.69304 , -0.204652 , -0.0431413
0.698231 , -0.185367 , -0.0431764
0.702891 , -0.165938 , -0.0431788
0.707015 , -0.146377 , -0.0431485
0.7106 , -0.126701 , -0.0430855
0.713641 , -0.106923 , -0.0429898
0.716136 , -0.0870592 , -0.0428613
0.718083 , -0.0671239 , -0.0427002
0.719478 , -0.0471324 , -0.0425066
0.72032 , -0.0270998 , -0.0422804
0.720607 , -0.00704133 , -0.0420219
0.720339 , 0.0130277 , -0.0417311
0.719514 , 0.0330918 , -0.0414084
0.718133 , 0.0531357 , -0.0410538
0.716195 , 0.073144 , -0.0406675
0.713701 , 0.093101 , -0.0402499
0.710653 , 0.112991 , -0.0398012
0.707051 , 0.1328 , -0.0393217
0.702897 , 0.15251 , -0.0388116
0.698195 , 0.172108 , -0.0382715
0.692946 , 0.191577 , -0.0377015
0.687153 , 0.210903 , -0.0371022
0.680821 , 0.230069 , -0.036474
0.673953 , 0.249061 , -0.0358172
0.666554 , 0.267864 , -0.0351323
0.658629 , 0.286462 , -0.0344199
0.650183 , 0.304841 , -0.0336805
0.641222 , 0.322986 , -0.0329145
0.631752 , 0.340881 , -0.0321226
0.621779 , 0.358514 , -0.0313053
0.611312 , 0.375869 , -0.0304632
0.600356 , 0.392931 , -0.029597
0.588921 , 0.409688 , -0.0287074
0.577014 , 0.426126 , -0.0277948
0.564644 , 0.44223 , -0.0268602
0.551821 , 0.457988 , -0.0259041
0.538553 , 0.473386 , -0.0249273
0.524852 , 0.488412 , -0.0239306
0.510726 , 0.503053 , -0.0229147
0.496186 , 0.517296 , -0.0218803
0.481245 , 0.53113 , -0.0208284
0.465912 , 0.544544 , -0.0197597
0.450201 , 0.557525 , -0.0186751
0.434122 , 0.570062 , -0.0175753
0.417689 , 0.582146 , -0.0164613
0.400914 , 0.593765 , -0.015334
0.38381 , 0.604909 , -0.0141942
0.366391 , 0.61557 , -0.0130429
0.348671 , 0.625737 , -0.011881
0.330663 , 0.635402 , -0.0107093
0.312381 , 0.644556 , -0.00952886
0.293841 , 0.653192 , -0.00834062
0.275058 , 0.661301 , -0.00714553
0.256045 , 0.668877 , -0.00594455
0.236818 , 0.675913 , -0.00473865
0.217393 , 0.682403 , -0.00352881
0.197786 , 0.68834 , -0.00231602
0.178013 , 0.693719 , -0.00110127
0.158088 , 0.698536 , 0.000114448
0.138029 , 0.702786 , 0.00133014
0.117853 , 0.706465 , 0.00254482
0.0975741 , 0.70957 , 0.00375748
0.0772107 , 0.712098 , 0.00496712
0.0567788 , 0.714045 , 0.00617275
0.0362954 , 0.715411 , 0.00737338
0.0157771 , 0.716194 , 0.00856801
-0.00475906 , 0.716392 , 0.00975566
-0.0252963 , 0.716006 , 0.0109353
-0.0458176 , 0.715036 , 0.0121061
-0.0663062 , 0.713481 , 0.0132669
-0.086745 , 0.711344 , 0.0144169
-0.107117 , 0.708625 , 0.0155551
-0.127406 , 0.705327 , 0.0166805
-0.147595 , 0.701452 , 0.0177922
-0.167667 , 0.697004 , 0.0188893
-0.187606 , 0.691986 , 0.0199709
-0.207395 , 0.686402 , 0.021036
-0.227017 , 0.680256 , 0.0220839
-0.246458 , 0.673555 , 0.0231137
-0.2657 , 0.666303 , 0.0241244
-0.284728 , 0.658507 , 0.0251153
-0.303526 , 0.650173 , 0.0260855
-0.322078 , 0.641307 , 0.0270344
-0.340371 , 0.631918 , 0.0279609
-0.358387 , 0.622014 , 0.0288646
-0.376114 , 0.611602 , 0.0297445
-0.393536 , 0.600692 , 0.0306
-0.410639 , 0.589293 , 0.0314304
-0.427409 , 0.577414 , 0.032235
-0.443833 , 0.565066 , 0.0330131
-0.459897 , 0.552258 , 0.0337642
-0.475588 , 0.539002 , 0.0344877
-0.490895 , 0.525309 , 0.0351829
-0.505803 , 0.51119 , 0.0358493
-0.520303 , 0.496658 , 0.0364865
-0.534381 , 0.481724 , 0.0370938
-0.548028 , 0.466401 , 0.0376709
-0.561231 , 0.450702 , 0.0382173
-0.573982 , 0.43464 , 0.0387325
-0.586269 , 0.418229 , 0.0392162
-0.598084 , 0.401482 , 0.0396681
-0.609417 , 0.384414 , 0.0400877
