x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.187305 , 0.973283 , -1.75585e-005
-0.204408 , 0.969705 , -1.68785e-005
-0.221449 , 0.965829 , -1.61861e-005
-0.238423 , 0.961656 , -1.54813e-005
-0.255323 , 0.957186 , -1.47642e-005
-0.272146 , 0.952421 , -1.4035e-005
-0.288885 , 0.947362 , -1.32939e-005
-0.305535 , 0.942011 , -1.2541e-005
-0.322092 , 0.936369 , -1.17764e-005
-0.33855 , 0.930438 , -1.10003e-005
-0.354903 , 0.92422 , -1.0213e-005
-0.371147 , 0.917715 , -9.41449e-006
-0.387277 , 0.910928 , -8.60501e-006
-0.403287 , 0.903858 , -7.78475e-006
-0.419172 , 0.896509 , -6.95387e-006
-0.434928 , 0.888883 , -6.11257e-006
-0.45055 , 0.880982 , -5.26102e-006
-0.466032 , 0.872808 , -4.39943e-006
-0.48137 , 0.864364 , -3.52799e-006
-0.496559 , 0.855653 , -2.64689e-006
-0.511594 , 0.846677 , -1.75634e-006
-0.52647 , 0.837438 , -8.56535e-007
-0.541184 , 0.82794 , 5.23081e-008
-0.555729 , 0.818186 , 9.69981e-007
-0.570102 , 0.808179 , 1.89627e-006
-0.584299 , 0.797921 , 2.83096e-006
-0.598314 , 0.787417 , 3.77383e-006
-0.612143 , 0.776668 , 4.72466e-006
-0.625782 , 0.765679 , 5.68322e-006
-0.639227 , 0.754453 , 6.64928e-006
-0.652473 , 0.742994 , 7.62262e-006
-0.665517 , 0.731305 , 8.60301e-006
-0.678353 , 0.719389 , 9.5902e-006
-0.69098 , 0.707251 , 1.0584e-005
-0.703391 , 0.694894 , 1.15841e-005
-0.715584 , 0.682322 , 1.25902e-005
-0.727555 , 0.66954 , 1.36023e-005
-0.739299 , 0.65655 , 1.46199e-005
-0.750814 , 0.643358 , 1.56429e-005
-0.762096 , 0.629967 , 1.6671e-005
-0.773141 , 0.616382 , 1.7704e-005
-0.783946 , 0.602607 , 1.87415e-005
-0.794508 , 0.588645 , 1.97835e-005
-0.804822 , 0.574503 , 2.08295e-005
-0.814888 , 0.560183 , 2.18793e-005
-0.8247 , 0.545691 , 2.29328e-005
-0.834256 , 0.531031 , 2.39895e-005
-0.843554 , 0.516208 , 2.50494e-005
-0.85259 , 0.501226 , 2.6112e-005
-0.861362 , 0.486091 , 2.71772e-005
-0.869866 , 0.470806 , 2.82447e-005
-0.878102 , 0.455377 , 2.93142e-005
-0.886065 , 0.439809 , 3.03855e-005
-0.893754 , 0.424106 , 3.14583e-005
-0.901167 , 0.408273 , 3.25323e-005
-0.9083 , 0.392316 , 3.36073e-005
-0.915153 , 0.376239 , 3.4683e-005
-0.921723 , 0.360048 , 3.57592e-005
-0.928009 , 0.343747 , 3.68355e-005
-0.934008 , 0.327342 , 3.79118e-005
-0.939718 , 0.310838 , 3.89877e-005
-0.945139 , 0.294239 , 4.0063e-005
-0.950268 , 0.277552 , 4.11375e-005
-0.955105 , 0.260781 , 4.22109e-005
-0.959647 , 0.243932 , 4.32828e-005
-0.963894 , 0.22701 , 4.43532e-005
-0.967845 , 0.210019 , 4.54216e-005
-0.971498 , 0.192966 , 4.64879e-005
-0.974853 , 0.175856 , 4.75517e-005
-0.977908 , 0.158694 , 4.86129e-005
-0.980663 , 0.141485 , 4.96712e-005
-0.983118 , 0.124235 , 5.07262e-005
-0.985272 , 0.106949 , 5.17779e-005
-0.987124 , 0.0896322 , 5.28259e-005
-0.988674 , 0.0722902 , 5.38699e-005
-0.989921 , 0.0549281 , 5.49098e-005
-0.990867 , 0.0375515 , 5.59452e-005
-0.991509 , 0.0201655 , 5.6976e-005
-0.99185 , 0.00277565 , 5.80019e-005
-0.991888 , -0.0146129 , 5.90226e-005
-0.991624 , -0.0319947 , 6.00379e-005
-0.991058 , -0.0493645 , 6.10477e-005
-0.990192 , -0.066717 , 6.20515e-005
-0.989024 , -0.0840469 , 6.30493e-005
-0.987556 , -0.101349 , 6.40408e-005
-0.985789 , -0.118618 , 6.50257e-005
-0.983723 , -0.135849 , 6.60039e-005
-0.981359 , -0.153036 , 6.69751e-005
-0.978698 , -0.170174 , 6.7939e-005
-0.975742 , -0.187259 , 6.88956e-005
-0.972491 , -0.204284 , 6.98445e-005
-0.968947 , -0.221246 , 7.07856e-005
-0.965111 , -0.238138 , 7.17186e-005
-0.960984 , -0.254956 , 7.26433e-005
-0.956569 , -0.271695 , 7.35596e-005
-0.951866 , -0.28835 , 7.44673e-005
-0.946877 , -0.304915 , 7.5366e-005
-0.941604 , -0.321387 , 7.62557e-005
-0.93605 , -0.337759 , 7.71362e-005
-0.930215 , -0.354028 , 7.80073e-005
-0.924102 , -0.370188 , 7.88687e-005
-0.917713 , -0.386235 , 7.97204e-005
-0.91105 , -0.402164 , 8.05621e-005
-0.904116 , -0.41797 , 8.13936e-005
-0.896913 , -0.433649 , 8.22148e-005
-0.889442 , -0.449196 , 8.30256e-005
-0.881708 , -0.464607 , 8.38257e-005
-0.873712 , -0.479877 , 8.4615e-005
-0.865457 , -0.495002 , 8.53933e-005
-0.856945 , -0.509977 , 8.61606e-005
-0.84818 , -0.524799 , 8.69166e-005
-0.839165 , -0.539462 , 8.76612e-005
-0.829901 , -0.553963 , 8.83942e-005
-0.820393 , -0.568298 , 8.91156e-005
-0.810643 , -0.582462 , 8.98251e-005
-0.800655 , -0.596451 , 9.05227e-005
-0.790431 , -0.610263 , 9.12082e-005
-0.779976 , -0.623891 , 9.18816e-005
-0.769291 , -0.637334 , 9.25426e-005
-0.758382 , -0.650586 , 9.31912e-005
-0.74725 , -0.663645 , 9.38272e-005
-0.7359 , -0.676507 , 9.44507e-005
-0.724335 , -0.689167 , 9.50613e-005
-0.712559 , -0.701623 , 9.56591e-005
