x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00381529 , 0.00743596 , 2.34899e-005
-0.00382363 , 0.00743397 , 2.37198e-005
-0.00383196 , 0.00743199 , 2.39497e-005
-0.0038403 , 0.00743001 , 2.41795e-005
-0.00384863 , 0.00742802 , 2.44094e-005
-0.00385697 , 0.00742604 , 2.46393e-005
-0.00386531 , 0.00742406 , 2.48692e-005
-0.00387364 , 0.00742208 , 2.50991e-005
-0.00388198 , 0.00742011 , 2.5329e-005
-0.00389032 , 0.00741813 , 2.55588e-005
-0.00389866 , 0.00741615 , 2.57887e-005
-0.00390699 , 0.00741418 , 2.60186e-005
-0.00391533 , 0.0074122 , 2.62485e-005
-0.00392367 , 0.00741023 , 2.64784e-005
-0.00393201 , 0.00740825 , 2.67083e-005
-0.00394035 , 0.00740628 , 2.69382e-005
-0.00394869 , 0.00740431 , 2.7168e-005
-0.00395703 , 0.00740234 , 2.73979e-005
-0.00396537 , 0.00740037 , 2.76278e-005
-0.00397371 , 0.0073984 , 2.78577e-005
-0.00398206 , 0.00739643 , 2.80876e-005
-0.0039904 , 0.00739447 , 2.83175e-005
-0.00399874 , 0.0073925 , 2.85473e-005
-0.00400708 , 0.00739053 , 2.87772e-005
-0.00401543 , 0.00738857 , 2.90071e-005
-0.00402377 , 0.0073866 , 2.9237e-005
-0.00403212 , 0.00738464 , 2.94669e-005
-0.00404046 , 0.00738268 , 2.96968e-005
-0.00404881 , 0.00738072 , 2.99266e-005
-0.00405716 , 0.00737875 , 3.01565e-005
-0.0040655 , 0.00737679 , 3.03864e-005
-0.00407385 , 0.00737483 , 3.06163e-005
-0.0040822 , 0.00737287 , 3.08462e-005
-0.00409055 , 0.00737091 , 3.10761e-005
-0.0040989 , 0.00736896 , 3.13059e-005
-0.00410725 , 0.007367 , 3.15358e-005
-0.0041156 , 0.00736504 , 3.17657e-005
-0.00412395 , 0.00736309 , 3.19956e-005
-0.00413231 , 0.00736113 , 3.22255e-005
-0.00414066 , 0.00735917 , 3.24554e-005
-0.00414901 , 0.00735722 , 3.26852e-005
-0.00415737 , 0.00735527 , 3.29151e-005
-0.00416572 , 0.00735331 , 3.3145e-005
-0.00417408 , 0.00735136 , 3.33749e-005
-0.00418244 , 0.00734941 , 3.36048e-005
-0.0041908 , 0.00734746 , 3.38347e-005
-0.00419916 , 0.0073455 , 3.40645e-005
-0.00420751 , 0.00734355 , 3.42944e-005
-0.00421587 , 0.0073416 , 3.45243e-005
-0.00422424 , 0.00733965 , 3.47542e-005
-0.0042326 , 0.0073377 , 3.49841e-005
-0.00424096 , 0.00733575 , 3.5214e-005
-0.00424932 , 0.0073338 , 3.54438e-005
-0.00425769 , 0.00733186 , 3.56737e-005
-0.00426605 , 0.00732991 , 3.59036e-005
-0.00427442 , 0.00732796 , 3.61335e-005
-0.00428279 , 0.00732601 , 3.63634e-005
-0.00429115 , 0.00732407 , 3.65933e-005
-0.00429952 , 0.00732212 , 3.68231e-005
-0.00430789 , 0.00732017 , 3.7053e-005
-0.00431626 , 0.00731823 , 3.72829e-005
-0.00432463 , 0.00731628 , 3.75128e-005
-0.00433301 , 0.00731434 , 3.77427e-005
-0.00434138 , 0.00731239 , 3.79726e-005
-0.00434975 , 0.00731045 , 3.82024e-005
-0.00435813 , 0.0073085 , 3.84323e-005
-0.0043665 , 0.00730656 , 3.86622e-005
-0.00437488 , 0.00730461 , 3.88921e-005
-0.00438326 , 0.00730267 , 3.9122e-005
-0.00439163 , 0.00730072 , 3.93519e-005
-0.00440001 , 0.00729878 , 3.95817e-005
-0.00440839 , 0.00729683 , 3.98116e-005
-0.00441678 , 0.00729489 , 4.00415e-005
-0.00442516 , 0.00729295 , 4.02714e-005
-0.00443354 , 0.007291 , 4.05013e-005
-0.00444192 , 0.00728906 , 4.07312e-005
-0.00445031 , 0.00728711 , 4.0961e-005
-0.00445869 , 0.00728517 , 4.11909e-005
-0.00446708 , 0.00728323 , 4.14208e-005
-0.00447547 , 0.00728128 , 4.16507e-005
-0.00448386 , 0.00727934 , 4.18806e-005
-0.00449225 , 0.0072774 , 4.21105e-005
-0.00450064 , 0.00727545 , 4.23404e-005
-0.00450903 , 0.00727351 , 4.25702e-005
-0.00451742 , 0.00727156 , 4.28001e-005
-0.00452581 , 0.00726962 , 4.303e-005
-0.0045342 , 0.00726768 , 4.32599e-005
-0.0045426 , 0.00726573 , 4.34898e-005
-0.00455099 , 0.00726379 , 4.37197e-005
-0.00455939 , 0.00726184 , 4.39495e-005
-0.00456779 , 0.0072599 , 4.41794e-005
-0.00457619 , 0.00725795 , 4.44093e-005
-0.00458459 , 0.00725601 , 4.46392e-005
-0.00459299 , 0.00725406 , 4.48691e-005
-0.00460139 , 0.00725211 , 4.5099e-005
-0.00460979 , 0.00725017 , 4.53288e-005
-0.00461819 , 0.00724822 , 4.55587e-005
-0.00462659 , 0.00724627 , 4.57886e-005
-0.004635 , 0.00724433 , 4.60185e-005
-0.0046434 , 0.00724238 , 4.62484e-005
-0.00465181 , 0.00724043 , 4.64783e-005
-0.00466021 , 0.00723848 , 4.67081e-005
-0.00466862 , 0.00723654 , 4.6938e-005
-0.00467703 , 0.00723459 , 4.71679e-005
-0.00468544 , 0.00723264 , 4.73978e-005
-0.00469385 , 0.00723069 , 4.76277e-005
-0.00470226 , 0.00722874 , 4.78576e-005
-0.00471067 , 0.00722679 , 4.80874e-005
-0.00471908 , 0.00722484 , 4.83173e-005
-0.0047275 , 0.00722288 , 4.85472e-005
-0.00473591 , 0.00722093 , 4.87771e-005
-0.00474432 , 0.00721898 , 4.9007e-005
-0.00475274 , 0.00721703 , 4.92369e-005
-0.00476115 , 0.00721507 , 4.94668e-005
-0.00476957 , 0.00721312 , 4.96966e-005
-0.00477799 , 0.00721117 , 4.99265e-005
-0.00478641 , 0.00720921 , 5.01564e-005
-0.00479482 , 0.00720725 , 5.03863e-005
-0.00480324 , 0.0072053 , 5.06162e-005
-0.00481166 , 0.00720334 , 5.08461e-005
-0.00482008 , 0.00720138 , 5.10759e-005
-0.00482851 , 0.00719943 , 5.13058e-005
-0.00483693 , 0.00719747 , 5.15357e-005
-0.00484535 , 0.00719551 , 5.17656e-005
-0.00485377 , 0.00719355 , 5.19955e-005
-0.0048622 , 0.00719159 , 5.22254e-005
-0.00487062 , 0.00718963 , 5.24553e-005
-0.00487905 , 0.00718767 , 5.26851e-005
-0.00488747 , 0.0071857 , 5.2915e-005
-0.0048959 , 0.00718374 , 5.31449e-005
-0.00490432 , 0.00718178 , 5.33748e-005
-0.00491275 , 0.00717981 , 5.36047e-005
-0.00492118 , 0.00717785 , 5.38346e-005
-0.00492961 , 0.00717588 , 5.40645e-005
-0.00493804 , 0.00717391 , 5.42943e-005
-0.00494647 , 0.00717195 , 5.45242e-005
-0.00495489 , 0.00716998 , 5.47541e-005
-0.00496332 , 0.00716801 , 5.4984e-005
-0.00497176 , 0.00716604 , 5.52139e-005
-0.00498019 , 0.00716407 , 5.54438e-005
-0.00498862 , 0.0071621 , 5.56737e-005
-0.00499705 , 0.00716013 , 5.59035e-005
-0.00500548 , 0.00715815 , 5.61334e-005
-0.00501391 , 0.00715618 , 5.63633e-005
-0.00502235 , 0.00715421 , 5.65932e-005
-0.00503078 , 0.00715223 , 5.68231e-005
-0.00503921 , 0.00715026 , 5.7053e-005
-0.00504765 , 0.00714828 , 5.72829e-005
-0.00505608 , 0.0071463 , 5.75127e-005
-0.00506452 , 0.00714432 , 5.77426e-005
-0.00507295 , 0.00714234 , 5.79725e-005
-0.00508139 , 0.00714036 , 5.82024e-005
-0.00508982 , 0.00713838 , 5.84323e-005
-0.00509826 , 0.0071364 , 5.86622e-005
-0.00510669 , 0.00713442 , 5.88921e-005
-0.00511513 , 0.00713244 , 5.91219e-005
-0.00512356 , 0.00713045 , 5.93518e-005
-0.005132 , 0.00712847 , 5.95817e-005
-0.00514044 , 0.00712648 , 5.98116e-005
-0.00514887 , 0.00712449 , 6.00415e-005
-0.00515731 , 0.00712251 , 6.02714e-005
-0.00516575 , 0.00712052 , 6.05013e-005
-0.00517418 , 0.00711853 , 6.07311e-005
-0.00518262 , 0.00711654 , 6.0961e-005
-0.00519106 , 0.00711455 , 6.11909e-005
-0.00519949 , 0.00711256 , 6.14208e-005
-0.00520793 , 0.00711056 , 6.16507e-005
-0.00521637 , 0.00710857 , 6.18806e-005
-0.00522481 , 0.00710658 , 6.21105e-005
-0.00523324 , 0.00710458 , 6.23404e-005
-0.00524168 , 0.00710258 , 6.25702e-005
-0.00525012 , 0.00710059 , 6.28001e-005
-0.00525855 , 0.00709859 , 6.303e-005
-0.00526699 , 0.00709659 , 6.32599e-005
-0.00527543 , 0.00709459 , 6.34898e-005
-0.00528387 , 0.00709259 , 6.37197e-005
-0.0052923 , 0.00709059 , 6.39496e-005
-0.00530074 , 0.00708859 , 6.41794e-005
-0.00530918 , 0.00708659 , 6.44093e-005
-0.00531761 , 0.00708458 , 6.46392e-005
-0.00532605 , 0.00708258 , 6.48691e-005
