x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.230078 , 0.962362 , -1.57641e-005
-0.289138 , 0.944475 , -1.31496e-005
-0.34709 , 0.922949 , -1.03882e-005
-0.403702 , 0.897849 , -7.48691e-006
-0.458745 , 0.869253 , -4.4531e-006
-0.511993 , 0.837257 , -1.29494e-006
-0.563229 , 0.801974 , 1.97883e-006
-0.61224 , 0.763529 , 5.3589e-006
-0.658821 , 0.722063 , 8.83541e-006
-0.702778 , 0.677733 , 1.2398e-005
-0.743926 , 0.630708 , 1.60359e-005
-0.782091 , 0.58117 , 1.97378e-005
-0.817113 , 0.529313 , 2.34923e-005
-0.848844 , 0.475343 , 2.72874e-005
-0.877151 , 0.419475 , 3.11113e-005
-0.901915 , 0.361936 , 3.49516e-005
-0.923036 , 0.302957 , 3.8796e-005
-0.940426 , 0.242777 , 4.26323e-005
-0.954017 , 0.181642 , 4.64481e-005
-0.963758 , 0.1198 , 5.02312e-005
-0.969612 , 0.0575025 , 5.39698e-005
-0.971565 , -0.00499816 , 5.76519e-005
-0.969617 , -0.0674492 , 6.12662e-005
-0.963785 , -0.1296 , 6.48015e-005
-0.954104 , -0.191201 , 6.82471e-005
-0.940627 , -0.252009 , 7.15928e-005
-0.923422 , -0.311784 , 7.48289e-005
-0.902572 , -0.370293 , 7.79461e-005
-0.878176 , -0.427312 , 8.09359e-005
-0.850346 , -0.482622 , 8.37904e-005
-0.81921 , -0.536017 , 8.65021e-005
-0.784906 , -0.5873 , 8.90645e-005
-0.747584 , -0.636282 , 9.14717e-005
-0.707406 , -0.682791 , 9.37183e-005
-0.664543 , -0.726662 , 9.57999e-005
-0.619173 , -0.767746 , 9.77126e-005
-0.571485 , -0.805904 , 9.94534e-005
-0.521673 , -0.841014 , 0.00010102
-0.469935 , -0.872964 , 0.00010241
-0.416477 , -0.901656 , 0.000103624
-0.361505 , -0.927008 , 0.00010466
-0.305232 , -0.948949 , 0.000105519
-0.247871 , -0.967423 , 0.000106202
-0.189634 , -0.982385 , 0.000106711
-0.130738 , -0.993806 , 0.000107048
-0.0713942 , -1.00167 , 0.000107216
-0.0118168 , -1.00597 , 0.000107217
0.0477839 , -1.00671 , 0.000107057
0.1072 , -1.00391 , 0.000106739
0.166226 , -0.997614 , 0.000106268
0.22466 , -0.987851 , 0.000105649
0.282307 , -0.974677 , 0.000104889
0.338973 , -0.958157 , 0.000103994
0.394471 , -0.938363 , 0.000102969
0.44862 , -0.915379 , 0.000101821
0.501244 , -0.889296 , 0.000100559
0.552173 , -0.860217 , 9.91887e-005
0.601246 , -0.82825 , 9.77185e-005
0.648306 , -0.793512 , 9.61562e-005
0.693205 , -0.756128 , 9.45099e-005
0.735802 , -0.71623 , 9.27881e-005
0.775964 , -0.673957 , 9.09992e-005
0.813564 , -0.629452 , 8.9152e-005
0.848486 , -0.582866 , 8.72552e-005
0.880621 , -0.534355 , 8.53178e-005
0.909868 , -0.484081 , 8.33488e-005
0.936136 , -0.432208 , 8.13573e-005
0.95934 , -0.378908 , 7.93523e-005
0.979408 , -0.324353 , 7.73431e-005
0.996273 , -0.268722 , 7.53388e-005
1.00988 , -0.212194 , 7.33486e-005
1.02019 , -0.154954 , 7.13815e-005
1.02715 , -0.0971862 , 6.94467e-005
1.03074 , -0.0390792 , 6.75531e-005
1.03095 , 0.019178 , 6.57096e-005
1.02777 , 0.0773951 , 6.3925e-005
1.02119 , 0.135381 , 6.22079e-005
1.01123 , 0.192944 , 6.05669e-005
0.99792 , 0.249894 , 5.90103e-005
0.981283 , 0.306038 , 5.75461e-005
0.961364 , 0.361189 , 5.61823e-005
0.938217 , 0.415157 , 5.49265e-005
0.911906 , 0.467758 , 5.37862e-005
0.882504 , 0.518807 , 5.27683e-005
0.850095 , 0.568124 , 5.18798e-005
0.814775 , 0.615533 , 5.11269e-005
0.776648 , 0.660861 , 5.05159e-005
0.73583 , 0.703941 , 5.00522e-005
0.692446 , 0.744611 , 4.97413e-005
