x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380279 , 0.00743893 , 2.31451e-005
-0.00380695 , 0.00743794 , 2.326e-005
-0.00381112 , 0.00743695 , 2.33749e-005
-0.00381529 , 0.00743595 , 2.34899e-005
-0.00381946 , 0.00743496 , 2.36048e-005
-0.00382363 , 0.00743397 , 2.37198e-005
-0.00382779 , 0.00743298 , 2.38347e-005
-0.00383196 , 0.00743199 , 2.39497e-005
-0.00383613 , 0.007431 , 2.40646e-005
-0.0038403 , 0.00743 , 2.41795e-005
-0.00384446 , 0.00742901 , 2.42945e-005
-0.00384863 , 0.00742802 , 2.44094e-005
-0.0038528 , 0.00742703 , 2.45244e-005
-0.00385697 , 0.00742604 , 2.46393e-005
-0.00386114 , 0.00742505 , 2.47543e-005
-0.00386531 , 0.00742406 , 2.48692e-005
-0.00386947 , 0.00742307 , 2.49841e-005
-0.00387364 , 0.00742208 , 2.50991e-005
-0.00387781 , 0.00742109 , 2.5214e-005
-0.00388198 , 0.0074201 , 2.5329e-005
-0.00388615 , 0.00741911 , 2.54439e-005
-0.00389032 , 0.00741813 , 2.55588e-005
-0.00389449 , 0.00741714 , 2.56738e-005
-0.00389865 , 0.00741615 , 2.57887e-005
-0.00390282 , 0.00741516 , 2.59037e-005
-0.00390699 , 0.00741417 , 2.60186e-005
-0.00391116 , 0.00741319 , 2.61336e-005
-0.00391533 , 0.0074122 , 2.62485e-005
-0.0039195 , 0.00741121 , 2.63634e-005
-0.00392367 , 0.00741022 , 2.64784e-005
-0.00392784 , 0.00740924 , 2.65933e-005
-0.00393201 , 0.00740825 , 2.67083e-005
-0.00393618 , 0.00740726 , 2.68232e-005
-0.00394035 , 0.00740628 , 2.69382e-005
-0.00394452 , 0.00740529 , 2.70531e-005
-0.00394869 , 0.00740431 , 2.7168e-005
-0.00395286 , 0.00740332 , 2.7283e-005
-0.00395703 , 0.00740234 , 2.73979e-005
-0.0039612 , 0.00740135 , 2.75129e-005
-0.00396537 , 0.00740037 , 2.76278e-005
-0.00396954 , 0.00739938 , 2.77427e-005
-0.00397371 , 0.0073984 , 2.78577e-005
-0.00397788 , 0.00739741 , 2.79726e-005
-0.00398205 , 0.00739643 , 2.80876e-005
-0.00398623 , 0.00739544 , 2.82025e-005
-0.0039904 , 0.00739446 , 2.83175e-005
-0.00399457 , 0.00739348 , 2.84324e-005
-0.00399874 , 0.00739249 , 2.85473e-005
-0.00400291 , 0.00739151 , 2.86623e-005
-0.00400708 , 0.00739053 , 2.87772e-005
-0.00401125 , 0.00738955 , 2.88922e-005
-0.00401543 , 0.00738856 , 2.90071e-005
-0.0040196 , 0.00738758 , 2.9122e-005
-0.00402377 , 0.0073866 , 2.9237e-005
-0.00402794 , 0.00738562 , 2.93519e-005
-0.00403212 , 0.00738463 , 2.94669e-005
-0.00403629 , 0.00738365 , 2.95818e-005
-0.00404046 , 0.00738267 , 2.96968e-005
-0.00404463 , 0.00738169 , 2.98117e-005
-0.00404881 , 0.00738071 , 2.99266e-005
-0.00405298 , 0.00737973 , 3.00416e-005
-0.00405715 , 0.00737875 , 3.01565e-005
-0.00406133 , 0.00737777 , 3.02715e-005
-0.0040655 , 0.00737679 , 3.03864e-005
-0.00406968 , 0.0073758 , 3.05014e-005
-0.00407385 , 0.00737482 , 3.06163e-005
-0.00407802 , 0.00737384 , 3.07312e-005
-0.0040822 , 0.00737287 , 3.08462e-005
-0.00408637 , 0.00737189 , 3.09611e-005
-0.00409055 , 0.00737091 , 3.10761e-005
-0.00409472 , 0.00736993 , 3.1191e-005
-0.0040989 , 0.00736895 , 3.13059e-005
-0.00410307 , 0.00736797 , 3.14209e-005
-0.00410725 , 0.00736699 , 3.15358e-005
-0.00411142 , 0.00736601 , 3.16508e-005
-0.0041156 , 0.00736503 , 3.17657e-005
-0.00411978 , 0.00736405 , 3.18807e-005
-0.00412395 , 0.00736308 , 3.19956e-005
-0.00412813 , 0.0073621 , 3.21105e-005
-0.0041323 , 0.00736112 , 3.22255e-005
-0.00413648 , 0.00736014 , 3.23404e-005
-0.00414066 , 0.00735916 , 3.24554e-005
-0.00414483 , 0.00735819 , 3.25703e-005
-0.00414901 , 0.00735721 , 3.26852e-005
-0.00415319 , 0.00735623 , 3.28002e-005
-0.00415737 , 0.00735526 , 3.29151e-005
-0.00416154 , 0.00735428 , 3.30301e-005
-0.00416572 , 0.0073533 , 3.3145e-005
-0.0041699 , 0.00735232 , 3.326e-005
-0.00417408 , 0.00735135 , 3.33749e-005
-0.00417826 , 0.00735037 , 3.34898e-005
-0.00418244 , 0.0073494 , 3.36048e-005
-0.00418661 , 0.00734842 , 3.37197e-005
-0.00419079 , 0.00734744 , 3.38347e-005
-0.00419497 , 0.00734647 , 3.39496e-005
-0.00419915 , 0.00734549 , 3.40645e-005
-0.00420333 , 0.00734452 , 3.41795e-005
-0.00420751 , 0.00734354 , 3.42944e-005
-0.00421169 , 0.00734256 , 3.44094e-005
-0.00421587 , 0.00734159 , 3.45243e-005
-0.00422005 , 0.00734061 , 3.46393e-005
-0.00422423 , 0.00733964 , 3.47542e-005
-0.00422841 , 0.00733866 , 3.48691e-005
-0.00423259 , 0.00733769 , 3.49841e-005
-0.00423677 , 0.00733671 , 3.5099e-005
-0.00424096 , 0.00733574 , 3.5214e-005
-0.00424514 , 0.00733476 , 3.53289e-005
-0.00424932 , 0.00733379 , 3.54438e-005
-0.0042535 , 0.00733282 , 3.55588e-005
-0.00425768 , 0.00733184 , 3.56737e-005
-0.00426187 , 0.00733087 , 3.57887e-005
-0.00426605 , 0.00732989 , 3.59036e-005
-0.00427023 , 0.00732892 , 3.60186e-005
-0.00427441 , 0.00732795 , 3.61335e-005
-0.0042786 , 0.00732697 , 3.62484e-005
-0.00428278 , 0.007326 , 3.63634e-005
-0.00428696 , 0.00732502 , 3.64783e-005
-0.00429115 , 0.00732405 , 3.65933e-005
-0.00429533 , 0.00732308 , 3.67082e-005
-0.00429952 , 0.0073221 , 3.68231e-005
-0.0043037 , 0.00732113 , 3.69381e-005
-0.00430789 , 0.00732016 , 3.7053e-005
-0.00431207 , 0.00731918 , 3.7168e-005
-0.00431626 , 0.00731821 , 3.72829e-005
-0.00432044 , 0.00731724 , 3.73979e-005
-0.00432463 , 0.00731626 , 3.75128e-005
-0.00432881 , 0.00731529 , 3.76277e-005
-0.004333 , 0.00731432 , 3.77427e-005
-0.00433718 , 0.00731335 , 3.78576e-005
-0.00434137 , 0.00731237 , 3.79726e-005
-0.00434556 , 0.0073114 , 3.80875e-005
-0.00434974 , 0.00731043 , 3.82024e-005
-0.00435393 , 0.00730945 , 3.83174e-005
-0.00435812 , 0.00730848 , 3.84323e-005
-0.00436231 , 0.00730751 , 3.85473e-005
-0.00436649 , 0.00730654 , 3.86622e-005
