x , y , z
-0.0671335 , -0.453405 , -0.0318246
-0.0447755 , -0.454462 , -0.0339623
-0.0222975 , -0.454165 , -0.0360004
0.00023534 , -0.452501 , -0.0379319
0.022756 , -0.449457 , -0.0397495
0.0451958 , -0.445025 , -0.0414462
0.0674842 , -0.439196 , -0.0430148
0.0895485 , -0.431962 , -0.0444482
0.111313 , -0.423322 , -0.0457391
0.132701 , -0.413271 , -0.0468802
0.153632 , -0.401811 , -0.0478642
0.174022 , -0.388947 , -0.0486838
0.193784 , -0.374684 , -0.0493316
0.212829 , -0.359034 , -0.0498002
0.231062 , -0.342014 , -0.0500824
0.248388 , -0.323643 , -0.0501709
0.264705 , -0.303947 , -0.0500587
0.279908 , -0.282962 , -0.0497389
0.293889 , -0.260726 , -0.0492048
0.306537 , -0.23729 , -0.0484504
0.317736 , -0.212712 , -0.0474697
0.327369 , -0.187064 , -0.0462579
0.335318 , -0.160426 , -0.0448107
0.34146 , -0.132895 , -0.0431249
0.345678 , -0.104582 , -0.0411986
0.347852 , -0.0756153 , -0.0390314
0.34787 , -0.0461395 , -0.0366247
0.345623 , -0.0163194 , -0.0339823
0.341016 , 0.0136607 , -0.0311102
0.333965 , 0.0435963 , -0.0280175
0.324403 , 0.0732629 , -0.0247166
0.312288 , 0.102417 , -0.0212232
0.297602 , 0.130799 , -0.0175571
0.280359 , 0.158135 , -0.0137419
0.26061 , 0.184143 , -0.00980542
0.238446 , 0.208537 , -0.00577917
0.213999 , 0.231038 , -0.00169821
0.187443 , 0.251376 , 0.00239945
0.158997 , 0.269306 , 0.00647375
0.128916 , 0.28461 , 0.0104835
0.0974893 , 0.29711 , 0.0143875
0.0650313 , 0.306669 , 0.0181458
0.0318739 , 0.313202 , 0.021721
-0.00164425 , 0.316671 , 0.0250789
-0.0351872 , 0.317091 , 0.02819
-0.0684307 , 0.314522 , 0.0310293
-0.10107 , 0.309066 , 0.0335773
-0.132828 , 0.300862 , 0.0358198
-0.163454 , 0.290078 , 0.0377478
-0.192735 , 0.276905 , 0.0393571
-0.220488 , 0.261547 , 0.0406477
-0.246563 , 0.244218 , 0.0416234
-0.270845 , 0.225134 , 0.0422911
-0.293243 , 0.204513 , 0.0426605
-0.313697 , 0.182564 , 0.0427429
-0.332165 , 0.159492 , 0.0425514
-0.34863 , 0.135489 , 0.0421001
-0.363089 , 0.11074 , 0.0414038
-0.375554 , 0.0854158 , 0.0404776
-0.386049 , 0.0596774 , 0.0393368
-0.394608 , 0.0336733 , 0.0379968
-0.401272 , 0.0075413 , 0.0364724
-0.40609 , -0.0185919 , 0.0347786
-0.409113 , -0.0446094 , 0.0329296
-0.410398 , -0.0704041 , 0.0309394
-0.410004 , -0.0958774 , 0.0288214
-0.407991 , -0.120939 , 0.0265885
-0.404421 , -0.145506 , 0.0242532
-0.399358 , -0.169503 , 0.0218275
-0.392863 , -0.192859 , 0.0193229
-0.385001 , -0.215511 , 0.0167504
-0.375834 , -0.237399 , 0.0141206
-0.365424 , -0.258468 , 0.0114437
-0.353835 , -0.278669 , 0.0087295
-0.341128 , -0.297956 , 0.00598752
