x , y , z
-0.00379862 , 0.00743993 , 2.30301e-005
-0.00380695 , 0.00743793 , 2.32599e-005
-0.00381528 , 0.00743592 , 2.34897e-005
-0.00382361 , 0.0074339 , 2.37193e-005
-0.00383193 , 0.00743188 , 2.39489e-005
-0.00384026 , 0.00742984 , 2.41784e-005
-0.00384858 , 0.00742779 , 2.44079e-005
-0.00385689 , 0.00742573 , 2.46372e-005
-0.00386521 , 0.00742367 , 2.48665e-005
-0.00387352 , 0.00742159 , 2.50957e-005
-0.00388183 , 0.0074195 , 2.53248e-005
-0.00389014 , 0.00741741 , 2.55539e-005
-0.00389844 , 0.0074153 , 2.57828e-005
-0.00390674 , 0.00741318 , 2.60117e-005
-0.00391504 , 0.00741106 , 2.62405e-005
-0.00392334 , 0.00740892 , 2.64693e-005
-0.00393163 , 0.00740677 , 2.66979e-005
-0.00393992 , 0.00740462 , 2.69265e-005
-0.00394821 , 0.00740245 , 2.71549e-005
-0.0039565 , 0.00740028 , 2.73833e-005
-0.00396478 , 0.0073981 , 2.76117e-005
-0.00397306 , 0.0073959 , 2.78399e-005
-0.00398134 , 0.0073937 , 2.80681e-005
-0.00398962 , 0.00739149 , 2.82962e-005
-0.00399789 , 0.00738927 , 2.85242e-005
-0.00400616 , 0.00738703 , 2.87521e-005
-0.00401443 , 0.00738479 , 2.898e-005
-0.00402269 , 0.00738254 , 2.92078e-005
-0.00403096 , 0.00738028 , 2.94355e-005
-0.00403922 , 0.00737802 , 2.96631e-005
-0.00404748 , 0.00737574 , 2.98907e-005
-0.00405573 , 0.00737345 , 3.01183e-005
-0.00406398 , 0.00737116 , 3.03458e-005
-0.00407224 , 0.00736885 , 3.05732e-005
-0.00408048 , 0.00736654 , 3.08006e-005
-0.00408873 , 0.00736422 , 3.1028e-005
-0.00409697 , 0.00736189 , 3.12553e-005
-0.00410521 , 0.00735955 , 3.14827e-005
-0.00411345 , 0.0073572 , 3.171e-005
-0.00412169 , 0.00735485 , 3.19373e-005
-0.00412993 , 0.00735248 , 3.21646e-005
-0.00413816 , 0.00735011 , 3.2392e-005
-0.00414639 , 0.00734773 , 3.26193e-005
-0.00415462 , 0.00734534 , 3.28468e-005
-0.00416285 , 0.00734294 , 3.30742e-005
-0.00417107 , 0.00734053 , 3.33017e-005
