x , y , z
-0.170144 , 0.97656 , -1.82257e-005
-0.178791 , 0.975383 , -1.79555e-005
-0.187425 , 0.974131 , -1.76822e-005
-0.196044 , 0.972804 , -1.74057e-005
-0.204648 , 0.971403 , -1.71261e-005
-0.213237 , 0.969927 , -1.68434e-005
-0.22181 , 0.968377 , -1.65576e-005
-0.230366 , 0.966753 , -1.62687e-005
-0.238905 , 0.965055 , -1.59768e-005
-0.247425 , 0.963284 , -1.56819e-005
-0.255927 , 0.961439 , -1.5384e-005
-0.264409 , 0.959521 , -1.50831e-005
-0.272872 , 0.95753 , -1.47793e-005
-0.281313 , 0.955467 , -1.44726e-005
-0.289734 , 0.953331 , -1.4163e-005
-0.298133 , 0.951122 , -1.38505e-005
-0.306509 , 0.948842 , -1.35352e-005
-0.314863 , 0.94649 , -1.3217e-005
-0.323192 , 0.944067 , -1.28961e-005
-0.331498 , 0.941572 , -1.25724e-005
-0.339778 , 0.939006 , -1.2246e-005
-0.348033 , 0.93637 , -1.19168e-005
-0.356262 , 0.933663 , -1.1585e-005
-0.364464 , 0.930886 , -1.12505e-005
-0.372639 , 0.92804 , -1.09134e-005
-0.380786 , 0.925123 , -1.05736e-005
-0.388905 , 0.922138 , -1.02313e-005
-0.396994 , 0.919083 , -9.88645e-006
-0.405054 , 0.91596 , -9.53905e-006
-0.413084 , 0.912769 , -9.18915e-006
-0.421083 , 0.909509 , -8.83677e-006
-0.429051 , 0.906182 , -8.48194e-006
-0.436987 , 0.902788 , -8.1247e-006
-0.44489 , 0.899326 , -7.76506e-006
-0.45276 , 0.895798 , -7.40306e-006
-0.460597 , 0.892203 , -7.03873e-006
-0.4684 , 0.888542 , -6.67208e-006
-0.476168 , 0.884816 , -6.30316e-006
-0.483901 , 0.881024 , -5.93198e-006
-0.491598 , 0.877167 , -5.55857e-006
-0.499259 , 0.873246 , -5.18297e-006
-0.506883 , 0.86926 , -4.80521e-006
-0.51447 , 0.86521 , -4.4253e-006
-0.522019 , 0.861097 , -4.04327e-006
-0.52953 , 0.856921 , -3.65918e-006
-0.537002 , 0.852682 , -3.27307e-006
-0.544434 , 0.84838 , -2.88496e-006
-0.551827 , 0.844016 , -2.49491e-006
-0.559179 , 0.839591 , -2.10294e-006
